,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.198785, -7.983711)]","[(-9.361217, -6.8493257)]",[],"[(-9.819157, -4.1311183)]","[(-9.179641, -3.5221937)]","[(-9.50116, -2.6366942)]","[(-9.164925, -1.8366011)]","[(-9.191855, -0.87821764)]","[(-9.318755, 0.7507935)]","[(-9.411615, 1.6354787)]","[(-9.074233, 2.185257)]","[(-9.050486, 3.3740857)]","[(-9.084253, 4.0516043)]","[(-9.234771, 5.5814347)]","[(-9.149175, 6.3802524)]",[],[],[]
1,"[(-8.407318, -9.02577)]",[],"[(-8.161919, -7.447901)]",[],"[(-8.309661, -5.004403)]","[(-8.426525, -4.313232)]","[(-8.186437, -3.0686052)]","[(-8.212436, -2.2819865)]","[(-8.812752, -1.1217927)]","[(-8.112808, -0.28636423)]","[(-8.978425, 0.078347355)]","[(-8.217493, 1.0367064)]","[(-8.180473, 2.8479445)]","[(-8.327129, 3.1493165)]","[(-8.778643, 4.283)]","[(-8.157119, 5.023298)]","[(-8.242778, 6.014173)]","[(-8.100673, 7.1302886)]","[(-8.888821, 8.704727)]","[(-8.464178, 9.520296)]"
2,[],"[(-7.802927, -8.333532)]","[(-7.4941993, -7.5250893)]","[(-7.779545, -6.7318726)]","[(-7.64502, -5.607676)]","[(-7.0684633, -4.919394)]","[(-7.0171633, -3.1823292)]","[(-7.603664, -2.3588226)]","[(-7.304378, -1.5469497)]","[(-7.853479, -0.1099848)]","[(-7.4619083, 0.7157983)]","[(-7.507581, 1.030157)]","[(-7.1606236, 2.896499)]","[(-7.528899, 3.0405872)]","[(-7.146841, 4.978355)]","[(-7.031161, 5.663981)]","[(-7.8642282, 6.4052606)]","[(-7.0857773, 7.5682383)]","[(-7.573251, 8.105341)]","[(-7.933986, 9.549111)]"
3,"[(-6.3119407, -9.255163)]","[(-6.3562922, -8.366564)]","[(-6.661369, -7.1142883)]","[(-6.63915, -6.64944)]","[(-6.6828914, -5.4514966)]","[(-6.5255504, -4.706543)]","[(-6.0663137, -3.50079)]","[(-6.5160923, -2.4614933)]","[(-6.776395, -1.9127792)]","[(-6.2055955, -0.17387906)]","[(-6.777917, 0.58511746)]","[(-6.3865786, 1.4785314)]","[(-6.1005077, 2.9732766)]","[(-6.0926075, 3.4633255)]","[(-6.457922, 4.5116286)]","[(-6.1986322, 5.0119724)]","[(-6.4498396, 6.371081)]","[(-6.14331, 7.2803464)]","[(-6.665471, 8.280621)]","[(-6.263732, 9.532547)]"
4,"[(-5.7697725, -9.071332)]","[(-5.4108157, -8.556893)]","[(-5.1563773, -7.0779886)]","[(-5.02562, -6.147202)]","[(-5.037082, -5.2955112)]","[(-5.1889706, -4.237713)]","[(-5.1239424, -3.7981136)]","[(-5.8744903, -2.4050567)]","[(-5.4618497, -1.2614412)]","[(-5.431117, -0.4747412)]","[(-5.5619154, 0.65480775)]","[(-5.462728, 1.6629426)]","[(-5.5542593, 2.12841)]","[(-5.7919154, 3.4738474)]","[(-5.2577434, 4.6146784)]","[(-5.7773004, 5.20512)]","[(-5.175999, 6.1593347)]","[(-5.797288, 7.249106)]","[(-5.184485, 8.156391)]","[(-5.0907435, 9.235882)]"
5,"[(-4.1885395, -9.390605)]","[(-4.0871267, -8.978888)]","[(-4.9008727, -7.210806)]","[(-4.29926, -6.4057035)]","[(-4.471152, -5.8743978)]","[(-4.2226577, -4.7195573)]","[(-4.2584863, -3.4193585)]","[(-4.317201, -2.0733702)]","[(-4.2536936, -1.01545)]","[(-4.482146, -0.6511567)]","[(-4.721846, 0.9545023)]","[(-4.8660583, 1.5667462)]","[(-4.6015496, 2.1651652)]","[(-4.9736185, 3.4073415)]","[(-4.724402, 4.773726)]","[(-4.190638, 5.0572953)]","[(-4.137173, 6.601579)]","[(-4.9562783, 7.634015)]","[(-4.86862, 8.420181)]","[(-4.5186486, 9.419965)]"
6,"[(-3.9573936, -9.351682)]","[(-3.7223258, -8.0094)]","[(-3.6575696, -7.165823)]","[(-3.0188005, -6.1657066)]","[(-3.3509264, -5.4944243)]","[(-3.6770349, -4.03205)]","[(-3.1934974, -3.47407)]","[(-3.9665024, -2.261677)]","[(-3.3200943, -1.8876492)]","[(-3.2310467, -0.5735393)]","[(-3.3633265, 0.29393968)]","[(-3.1741033, 1.8862278)]","[(-3.503564, 2.329207)]","[(-3.0429993, 3.5161047)]","[(-3.3282912, 4.7447324)]","[(-3.6537132, 5.181979)]","[(-3.1725194, 6.145404)]","[(-3.1897597, 7.8537855)]","[(-3.1233668, 8.953562)]","[(-3.0851705, 9.080549)]"
7,"[(-2.593934, -9.0083065)]","[(-2.2344337, -8.564231)]","[(-2.749131, -7.8411903)]","[(-2.7397227, -6.55861)]","[(-2.2471073, -5.7093873)]","[(-2.552876, -4.384281)]","[(-2.9714336, -3.825814)]","[(-2.2106173, -2.237615)]","[(-2.4270735, -1.1009448)]","[(-2.150203, -0.40579566)]","[(-2.80075, 0.9846917)]","[(-2.2408059, 1.5200962)]","[(-2.4030569, 2.6641183)]","[(-2.24562, 3.163187)]","[(-2.733884, 4.8453097)]","[(-2.4839802, 5.6375685)]","[(-2.9814243, 6.9305534)]","[(-2.6307666, 7.1242423)]","[(-2.3259199, 8.118706)]","[(-2.6467898, 9.264513)]"
8,"[(-1.0232778, -9.412744)]","[(-1.1533713, -8.593929)]","[(-1.0527179, -7.692235)]","[(-1.0180737, -6.0567107)]","[(-1.713922, -5.4375386)]","[(-1.4781798, -4.5279493)]","[(-1.028773, -3.3552444)]","[(-1.4552997, -2.1384566)]","[(-1.012461, -1.3815339)]","[(-1.7578031, -0.23619694)]","[(-1.336053, 0.36603892)]","[(-1.0411475, 1.5426772)]","[(-1.4916701, 2.8431337)]","[(-1.9701499, 3.3477094)]","[(-1.6158675, 4.750982)]","[(-1.8484966, 5.29836)]","[(-1.9886338, 6.6894703)]","[(-1.5220675, 7.005994)]","[(-1.120394, 8.084674)]","[(-1.441773, 9.438299)]"
9,"[(-0.7409476, -9.198109)]","[(-0.0301217, -8.4141865)]","[(-0.54169637, -7.6212564)]","[(-0.8266259, -6.5577126)]","[(-0.4476217, -5.783706)]","[(-0.62505966, -4.340573)]","[(-0.3036573, -3.5545704)]","[(-0.40009272, -2.604246)]","[(-0.14353646, -1.1329612)]","[(-0.09506046, -0.0021353853)]","[(-0.8721918, 0.5215006)]","[(-0.00016988581, 1.8263681)]","[(-0.83730865, 2.977962)]","[(-0.18185596, 3.6965282)]","[(-0.66069496, 4.850844)]","[(-0.2402748, 5.145668)]","[(-0.78925335, 6.143583)]","[(-0.67173064, 7.359654)]","[(-0.41719016, 8.779513)]","[(-0.27405453, 9.100071)]"
10,"[(0.47815812, -9.22185)]","[(0.42918053, -8.469343)]","[(0.04397927, -7.304585)]","[(0.8741865, -6.294808)]","[(0.78583133, -5.415989)]","[(0.6574109, -4.016296)]","[(0.9930093, -3.1975188)]","[(0.49128008, -2.0281112)]","[(0.3450858, -1.1810733)]","[(0.28118065, -0.21390882)]","[(0.037573446, 0.08456957)]","[(0.48432598, 1.0662441)]","[(0.59712076, 2.9850724)]","[(0.033855867, 3.8604512)]","[(0.33078358, 4.8831735)]","[(0.76817536, 5.810315)]","[(0.5614871, 6.4975147)]","[(0.5114156, 7.713219)]","[(0.10908502, 8.730945)]","[(0.69953847, 9.621846)]"
11,"[(1.6342264, -9.298548)]","[(1.8315952, -8.704146)]","[(1.7864627, -7.2857485)]","[(1.1220553, -6.478908)]","[(1.4538704, -5.719169)]","[(1.8773272, -4.4902663)]","[(1.7288914, -3.720355)]","[(1.9500651, -2.4911675)]","[(1.9214593, -1.0797015)]","[(1.3652492, -0.2819776)]","[(1.2519219, 0.2726291)]","[(1.9010832, 1.4799846)]","[(1.179391, 2.1989996)]","[(1.5779247, 3.0142243)]","[(1.5841924, 4.1501155)]","[(1.5060931, 5.895606)]","[(1.3948412, 6.8558683)]","[(1.2005125, 7.6766176)]","[(1.1257226, 8.775081)]","[(1.9468061, 9.4756565)]"
12,"[(2.1657715, -9.753449)]","[(2.1307912, -8.64514)]","[(2.1588168, -7.64723)]","[(2.8922997, -6.313987)]","[(2.0941186, -5.7739654)]","[(2.0851796, -4.109929)]","[(2.0845003, -3.978037)]","[(2.7501915, -2.0100672)]","[(2.270257, -1.6250311)]","[(2.8017657, -0.41854274)]","[(2.2589757, 0.61158526)]","[(2.004616, 1.2532947)]","[(2.3841288, 2.517572)]","[(2.6032968, 3.9387631)]","[(2.1344428, 4.8049607)]","[(2.829281, 5.3060026)]","[(2.4701993, 6.2756124)]","[(2.4215095, 7.2289433)]","[(2.1087773, 8.378037)]","[(2.4092906, 9.132897)]"
13,"[(3.9731674, -9.571494)]","[(3.3030653, -8.635256)]","[(3.1041648, -7.170573)]","[(3.785546, -6.285937)]","[(3.8875508, -5.4526157)]","[(3.1881666, -4.9124937)]","[(3.5865645, -3.2981062)]","[(3.3018174, -2.03831)]","[(3.86316, -1.3530031)]","[(3.7065983, -0.50895625)]","[(3.7565498, 0.09171183)]","[(3.7464867, 1.274046)]","[(3.2104506, 2.223099)]","[(3.346376, 3.2422063)]","[(3.8740444, 4.7307005)]","[(3.319946, 5.262453)]","[(3.41163, 6.0750403)]","[(3.3277884, 7.1364737)]","[(3.6360233, 8.138542)]","[(3.11625, 9.096054)]"
14,"[(4.424958, -9.314548)]","[(4.572301, -8.16222)]","[(4.4854126, -7.870862)]","[(4.3479533, -6.7976284)]","[(4.170226, -5.5878134)]","[(4.4091053, -4.437965)]","[(4.082204, -3.2474864)]","[(4.127235, -2.9080038)]","[(4.1061306, -1.8339318)]","[(4.2520137, -0.41402012)]","[(4.527103, 0.39757323)]","[(4.2303953, 1.1027552)]","[(4.7266407, 2.5440063)]","[(4.8809943, 3.289675)]","[(4.827062, 4.977194)]","[(4.437347, 5.8623815)]","[(4.7140927, 6.7641845)]","[(4.2222066, 7.262225)]","[(4.1735106, 8.519446)]","[(4.112342, 9.353817)]"
15,"[(5.4330025, -9.236505)]","[(5.2529535, -8.804304)]","[(5.2563915, -7.0133257)]","[(5.258602, -6.2789936)]","[(5.289304, -5.2712073)]","[(5.3644395, -4.0205274)]","[(5.2726145, -3.0447834)]","[(5.008866, -2.2250905)]","[(5.792425, -1.0538297)]","[(5.661787, -0.52838415)]","[(5.76004, 0.2747852)]","[(5.8983297, 1.1358664)]","[(5.345145, 2.2098012)]","[(5.3610544, 3.4574718)]","[(5.1126976, 4.3833394)]","[(5.311831, 5.059292)]","[(5.4968047, 6.820101)]","[(5.286117, 7.40742)]",[],"[(5.8769403, 9.272651)]"
16,[],"[(6.9650774, -8.637032)]","[(6.961484, -7.0955625)]","[(6.1452947, -6.9621725)]","[(6.199757, -5.6922913)]","[(6.30389, -4.471652)]","[(6.3973007, -3.0967183)]","[(6.436469, -2.991931)]","[(6.1451707, -1.1149043)]","[(6.2946963, -0.6126071)]","[(6.8314037, 0.7064067)]","[(6.690545, 1.9852871)]","[(6.2658925, 2.1911836)]","[(6.9965334, 3.2579556)]","[(6.386425, 4.752165)]","[(6.1803946, 5.8842416)]","[(6.403574, 6.9434547)]","[(6.2073703, 7.244842)]",[],[]
17,[],"[(7.4390416, -8.378553)]","[(7.076407, -7.1946826)]","[(7.307696, -6.9176326)]","[(7.3478656, -5.7915087)]","[(7.6239023, -4.992728)]","[(7.6897616, -3.8603642)]","[(7.664423, -2.4349425)]","[(7.0882626, -1.931564)]","[(7.9165506, -0.33760607)]","[(7.604022, 0.23829715)]","[(7.7337227, 1.0879759)]","[(7.0426536, 2.088704)]","[(7.3716307, 3.7821412)]","[(7.4475913, 4.0088425)]","[(7.8171206, 5.4397864)]","[(7.564896, 6.742951)]","[(7.9965367, 7.7726517)]",[],[]
18,[],[],"[(8.197068, -7.815102)]","[(8.13531, -6.056192)]","[(8.595508, -5.12844)]","[(8.826825, -4.2960668)]","[(8.596059, -3.9687457)]","[(8.335473, -2.1659071)]","[(8.655812, -1.5026402)]","[(8.824331, -0.4134108)]","[(8.183682, 0.21029842)]","[(8.230304, 1.021086)]","[(8.70634, 2.200269)]","[(8.413605, 3.35424)]","[(8.2265625, 4.000911)]","[(8.9942465, 5.073316)]",[],"[(8.094536, 7.395355)]",[],[]
