,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,31/400,100,44,[0.6223],[0.2751],[0.0017],[0.9969],"[-4.0913,-5.1188]","[8.2866,5.5879]",19.29,1249.20
1,algoQD,1,61/400,100,42,[0.6319],[0.2686],[0.0527],[0.9969],"[-4.5108,-5.9011]","[8.2866,6.3077]",38.54,648.60
2,algoQD,2,76/400,100,34,[0.6921],[0.2663],[0.1507],[0.9975],"[-4.5108,-9.3683]","[8.2866,6.3077]",52.60,621.15
3,algoQD,3,92/400,100,34,[0.7148],[0.2582],[0.1507],[0.9985],"[-4.6065,-9.3683]","[8.2866,8.2879]",65.76,620.18
4,algoQD,4,105/400,100,25,[0.7271],[0.2593],[0.1038],[0.9985],"[-5.3762,-9.3683]","[8.2866,8.3305]",76.34,610.01
5,algoQD,5,120/400,100,40,[0.7591],[0.2606],[0.005],[0.9985],"[-8.0600,-9.3683]","[8.2866,8.3305]",91.10,604.44
6,algoQD,6,131/400,100,30,[0.7772],[0.2481],[0.005],[0.9985],"[-8.0600,-9.3683]","[8.2866,8.3305]",101.81,603.34
7,algoQD,7,142/400,100,28,[0.7821],[0.2467],[0.005],[0.9985],"[-8.0600,-9.3683]","[8.2866,8.3305]",111.06,638.59
8,algoQD,8,150/400,100,15,[0.783],[0.2487],[0.005],[0.9985],"[-8.0600,-9.3683]","[9.3136,9.6119]",117.45,598.75
9,algoQD,9,154/400,100,25,[0.7945],[0.2456],[0.005],[0.9987],"[-8.0600,-9.3683]","[9.3136,9.6119]",122.36,609.01
10,algoQD,10,168/400,100,24,[0.7906],[0.2475],[0.005],[0.9994],"[-8.0600,-9.3683]","[9.3136,9.6119]",132.81,588.74
11,algoQD,11,177/400,100,26,[0.7992],[0.2375],[0.005],[0.9994],"[-8.0600,-9.3683]","[9.3136,9.6119]",141.45,627.12
12,algoQD,12,183/400,100,16,[0.8036],[0.2359],[0.0066],[0.9994],"[-9.7922,-9.3683]","[9.3136,9.5590]",147.07,628.40
13,algoQD,13,196/400,100,26,[0.7953],[0.2517],[0.0012],[0.9994],"[-9.7922,-9.3145]","[9.3136,9.8006]",155.89,622.40
14,algoQD,14,201/400,100,23,[0.807],[0.247],[0.0012],[0.9994],"[-9.7922,-9.3145]","[9.3136,9.9001]",162.21,653.82
15,algoQD,15,203/400,100,12,[0.8124],[0.2393],[0.0012],[0.9994],"[-9.8060,-9.3145]","[9.3136,9.9001]",164.91,656.27
16,algoQD,16,212/400,100,23,[0.812],[0.2447],[0.0012],[0.9994],"[-9.8060,-9.3145]","[9.5768,9.9001]",172.15,659.27
17,algoQD,17,219/400,100,16,[0.8103],[0.2458],[0.0012],[0.9994],"[-9.8060,-9.3145]","[9.5768,9.9001]",177.45,642.20
18,algoQD,18,225/400,100,16,[0.8122],[0.2447],[0.0066],[0.9994],"[-9.9927,-9.3145]","[9.5768,9.9001]",182.74,680.15
19,algoQD,19,231/400,100,15,[0.807],[0.2508],[0.0066],[0.9994],"[-9.9927,-9.3145]","[9.5768,9.9001]",186.41,684.45
20,algoQD,20,240/400,100,20,[0.8103],[0.2413],[0.0066],[0.9994],"[-9.9927,-9.3145]","[9.5768,9.9001]",194.46,671.27
21,algoQD,21,246/400,100,14,[0.81],[0.2392],[0.0215],[0.9996],"[-9.9927,-9.3145]","[9.5768,9.9001]",199.25,645.44
22,algoQD,22,253/400,100,13,[0.8092],[0.2428],[0.0215],[0.9996],"[-9.9927,-9.3145]","[9.5768,9.9001]",204.73,663.94
23,algoQD,23,257/400,100,11,[0.8082],[0.2431],[0.0215],[0.9996],"[-9.9927,-9.3145]","[9.7702,9.9001]",207.70,658.20
24,algoQD,24,260/400,100,12,[0.8175],[0.2319],[0.048],[0.9996],"[-9.9927,-9.3145]","[9.7702,9.9001]",212.56,661.26
25,algoQD,25,268/400,100,23,[0.8191],[0.2307],[0.0543],[0.9996],"[-9.9927,-9.4050]","[9.7702,9.9001]",219.51,693.63
26,algoQD,26,274/400,100,17,[0.8184],[0.232],[0.0313],[0.9996],"[-9.9927,-9.4050]","[9.7702,9.9001]",224.24,672.71
27,algoQD,27,277/400,100,13,[0.8214],[0.2333],[0.0313],[0.9996],"[-9.9927,-9.4050]","[9.7702,9.9001]",227.51,648.29
28,algoQD,28,281/400,100,15,[0.8269],[0.2248],[0.0543],[0.9996],"[-9.9927,-9.4050]","[9.7702,9.9001]",232.35,693.61
29,algoQD,29,286/400,100,16,[0.8344],[0.2181],[0.0543],[0.9996],"[-9.9927,-9.8289]","[9.7702,9.9001]",238.64,645.89
30,algoQD,30,287/400,100,9,[0.8368],[0.2133],[0.0543],[0.9996],"[-9.9927,-9.8289]","[9.7702,9.9001]",240.17,666.15
31,algoQD,31,293/400,100,15,[0.8364],[0.2139],[0.0543],[0.9996],"[-9.9927,-9.8598]","[9.7702,9.9001]",245.06,659.67
32,algoQD,32,295/400,100,10,[0.8392],[0.2141],[0.0543],[0.9996],"[-9.9927,-9.8703]","[9.7702,9.9001]",247.57,668.86
33,algoQD,33,296/400,100,13,[0.8462],[0.2092],[0.0543],[0.9996],"[-9.9927,-9.8703]","[9.7702,9.9001]",250.46,668.39
34,algoQD,34,303/400,100,15,[0.8473],[0.2069],[0.0543],[0.9996],"[-9.9927,-9.8703]","[9.7702,9.9001]",256.73,661.73
35,algoQD,35,310/400,100,20,[0.854],[0.1974],[0.0227],[0.9997],"[-9.9927,-9.8703]","[9.7702,9.9001]",264.75,676.10
36,algoQD,36,315/400,100,20,[0.86],[0.1943],[0.0227],[0.9997],"[-9.9927,-9.8703]","[9.7702,9.9001]",270.91,669.32
37,algoQD,37,318/400,100,16,[0.8652],[0.1895],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.9001]",275.12,664.52
38,algoQD,38,320/400,100,15,[0.8684],[0.1847],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.9001]",277.90,669.95
39,algoQD,39,322/400,100,14,[0.8705],[0.1857],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.7933]",280.31,671.79
40,algoQD,40,326/400,100,16,[0.8751],[0.1777],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.7933]",285.29,660.30
41,algoQD,41,328/400,100,9,[0.8743],[0.1779],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.7933]",286.77,671.06
42,algoQD,42,329/400,100,10,[0.8774],[0.1763],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.7933]",288.65,691.10
43,algoQD,43,330/400,100,10,[0.8779],[0.1773],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.7933]",289.72,627.91
44,algoQD,44,331/400,100,13,[0.8784],[0.1778],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.7933]",290.76,633.99
45,algoQD,45,331/400,100,6,[0.881],[0.1728],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.7933]",291.63,651.43
46,algoQD,46,332/400,100,12,[0.882],[0.1738],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.7933]",292.81,655.09
47,algoQD,47,335/400,100,11,[0.8837],[0.1709],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.7933]",296.05,682.02
48,algoQD,48,337/400,100,8,[0.8826],[0.1727],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.7933]",297.44,697.09
49,algoQD,49,337/400,100,7,[0.886],[0.1693],[0.0227],[0.9997],"[-9.9927,-9.9928]","[9.7702,9.7933]",298.58,703.11
50,algoQD,50,339/400,100,11,[0.8848],[0.1735],[0.0227],[0.9999],"[-9.9927,-9.9928]","[9.7702,9.7933]",299.95,649.55
51,algoQD,51,340/400,100,7,[0.8853],[0.1723],[0.0227],[0.9999],"[-9.9927,-9.9928]","[9.7702,9.7933]",301.00,687.09
52,algoQD,52,342/400,100,13,[0.8882],[0.1711],[0.0396],[0.9999],"[-9.9927,-9.9928]","[9.7702,9.7933]",303.76,678.11
53,algoQD,53,342/400,100,9,[0.8913],[0.1674],[0.0396],[0.9999],"[-9.9927,-9.4684]","[9.7702,9.6218]",304.82,636.66
54,algoQD,54,344/400,100,5,[0.89],[0.1682],[0.0396],[0.9999],"[-9.9927,-9.4684]","[9.7702,9.6218]",306.16,691.30
55,algoQD,55,344/400,100,9,[0.8943],[0.1638],[0.0396],[0.9999],"[-9.9927,-9.4684]","[9.7702,9.6218]",307.64,658.36
56,algoQD,56,346/400,100,11,[0.8971],[0.1627],[0.0396],[0.9999],"[-9.9927,-9.4684]","[9.7702,9.6218]",310.38,668.16
57,algoQD,57,347/400,100,6,[0.8954],[0.1677],[0.0396],[0.9999],"[-9.9927,-9.4684]","[9.7702,9.6218]",310.69,681.87
58,algoQD,58,348/400,100,9,[0.8991],[0.1634],[0.0396],[0.9999],"[-9.9927,-9.4684]","[9.7702,9.6218]",312.87,672.76
59,algoQD,59,350/400,100,9,[0.9004],[0.1628],[0.0396],[0.9999],"[-9.9927,-9.4684]","[9.7702,9.6218]",315.15,657.16
60,algoQD,60,350/400,100,0,[0.9004],[0.1628],[0.0396],[0.9999],"[-9.9927,-9.4684]","[9.7702,9.6218]",315.15,711.59
61,algoQD,61,351/400,100,11,[0.9055],[0.148],[0.0634],[0.9999],"[-9.9927,-9.4684]","[9.7702,9.6218]",317.83,672.13
62,algoQD,62,352/400,100,10,[0.9064],[0.1498],[0.0634],[0.9999],"[-9.9927,-9.8880]","[9.7702,9.6218]",319.04,651.22
63,algoQD,63,354/400,100,11,[0.9055],[0.1562],[0.0031],[0.9999],"[-9.9927,-9.8880]","[9.7702,9.6218]",320.55,691.46
64,algoQD,64,355/400,100,7,[0.906],[0.1561],[0.0031],[0.9999],"[-9.9927,-9.8880]","[9.7702,9.6218]",321.63,682.82
65,algoQD,65,355/400,100,6,[0.9083],[0.1536],[0.0031],[0.9999],"[-9.9927,-9.8880]","[9.7702,9.6218]",322.46,674.47
66,algoQD,66,356/400,100,11,[0.9107],[0.1507],[0.0031],[0.9999],"[-9.9927,-9.8880]","[9.7702,9.6218]",324.22,664.94
67,algoQD,67,358/400,100,9,[0.9111],[0.1505],[0.0031],[0.9999],"[-9.9927,-9.8880]","[9.7702,9.6218]",326.17,692.62
68,algoQD,68,359/400,100,4,[0.9108],[0.1495],[0.0031],[0.9999],"[-9.9927,-9.8880]","[9.7702,9.6218]",326.97,680.16
69,algoQD,69,360/400,100,10,[0.913],[0.1477],[0.0031],[0.9999],"[-9.9927,-9.3980]","[9.7702,9.6218]",328.69,681.92
70,algoQD,70,360/400,100,2,[0.9131],[0.1477],[0.0031],[0.9999],"[-9.9927,-9.3980]","[9.7702,9.6218]",328.71,674.09
71,algoQD,71,360/400,100,6,[0.9135],[0.1478],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.7702,9.6218]",328.87,673.54
72,algoQD,72,362/400,100,10,[0.9154],[0.1467],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.7702,9.6218]",331.36,653.54
73,algoQD,73,362/400,100,9,[0.9197],[0.1388],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.7702,9.6218]",332.93,686.53
74,algoQD,74,362/400,100,3,[0.9205],[0.1372],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.7702,9.6218]",333.21,686.29
75,algoQD,75,362/400,100,10,[0.922],[0.1367],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.7702,9.6218]",333.77,651.63
76,algoQD,76,362/400,100,8,[0.9235],[0.1357],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.7702,9.6218]",334.29,666.47
77,algoQD,77,363/400,100,3,[0.9238],[0.1354],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.7702,9.6218]",335.35,683.07
78,algoQD,78,365/400,100,8,[0.9271],[0.1265],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.8554,9.6218]",338.40,697.01
79,algoQD,79,365/400,100,7,[0.9273],[0.1266],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.8554,9.6218]",338.48,684.95
80,algoQD,80,366/400,100,5,[0.9271],[0.127],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.8554,9.6218]",339.33,695.92
81,algoQD,81,366/400,100,8,[0.9282],[0.127],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.8554,9.6218]",339.74,682.09
82,algoQD,82,367/400,100,7,[0.9301],[0.124],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.8554,9.6218]",341.34,667.94
83,algoQD,83,368/400,100,5,[0.9315],[0.1227],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.8554,9.6218]",342.78,683.61
84,algoQD,84,368/400,100,4,[0.934],[0.1199],[0.0031],[0.9999],"[-9.9927,-9.5715]","[9.8554,9.6218]",343.70,672.84
