,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[(-9.662146, -9.178777)]","[(-9.884765, -8.883264)]",[],"[(-9.008914, -6.45164)]","[(-9.683245, -5.445541)]",[],"[(-9.9644785, -3.0808542)]","[(-9.973571, -2.4098907)]","[(-9.183374, -1.060531)]","[(-9.4838705, -0.46651223)]","[(-9.255324, 0.12225045)]","[(-9.546937, 1.4791882)]","[(-9.44577, 2.8039088)]",[],"[(-9.113683, 4.1025605)]","[(-9.446249, 5.7184663)]","[(-9.265312, 6.4723034)]","[(-9.758145, 7.1713877)]","[(-9.658398, 8.233403)]",[]
1,[],"[(-8.857011, -8.083319)]","[(-8.945213, -7.8613715)]","[(-8.9527235, -6.7671604)]","[(-8.374361, -5.4752836)]","[(-8.117951, -4.474739)]","[(-8.90969, -3.2758005)]","[(-8.100519, -2.7462358)]","[(-8.809413, -1.1132609)]","[(-8.626539, -0.8422168)]","[(-8.435129, 0.14582296)]","[(-8.41055, 1.1460541)]","[(-8.663453, 2.1044793)]","[(-8.973936, 3.4336965)]",[],"[(-8.965936, 5.4539146)]","[(-8.945735, 6.2389927)]","[(-8.199306, 7.802683)]","[(-8.430557, 8.232025)]","[(-8.637991, 9.145747)]"
2,"[(-7.807162, -9.423014)]","[(-7.243043, -8.227566)]","[(-7.004039, -7.3813515)]","[(-7.5683374, -6.6677814)]","[(-7.057344, -5.1516623)]","[(-7.2604175, -4.737045)]","[(-7.26961, -3.0985594)]","[(-7.4950695, -2.5684476)]","[(-7.01316, -1.0894724)]","[(-7.501129, -0.9017538)]","[(-7.2674446, 0.34631196)]","[(-7.539592, 1.2806042)]","[(-7.015442, 2.4209893)]","[(-7.708636, 3.8054008)]","[(-7.9520984, 4.4534874)]","[(-7.3828807, 5.1014876)]","[(-7.0083222, 6.4032927)]","[(-7.987036, 7.277322)]","[(-7.822778, 8.546124)]","[(-7.0140934, 9.57634)]"
3,[],"[(-6.6381783, -8.469416)]","[(-6.3223414, -7.1205306)]","[(-6.6481586, -6.6431007)]","[(-6.9667635, -5.456225)]","[(-6.6254315, -4.1022615)]","[(-6.9491787, -3.9482288)]","[(-6.0142717, -2.675721)]","[(-6.6449428, -1.249633)]","[(-6.9306717, -0.6625285)]","[(-6.943237, 0.20756802)]","[(-6.527259, 1.7390225)]","[(-6.818178, 2.329563)]","[(-6.4801965, 3.4425678)]","[(-6.535242, 4.495367)]","[(-6.164662, 5.7908597)]","[(-6.1975513, 6.324054)]","[(-6.9494324, 7.9214196)]","[(-6.500762, 8.787831)]","[(-6.0314198, 9.27615)]"
4,"[(-5.3312984, -9.0987625)]","[(-5.5601025, -8.042998)]","[(-5.8688283, -7.3679843)]","[(-5.9630995, -6.417851)]","[(-5.1639805, -5.787245)]","[(-5.3678575, -4.071028)]","[(-5.3158355, -3.7452703)]","[(-5.0510902, -2.8599992)]","[(-5.238656, -1.8669062)]","[(-5.814016, -0.30776548)]","[(-5.485304, 0.8637638)]","[(-5.122603, 1.8094002)]","[(-5.087625, 2.4661589)]","[(-5.8301954, 3.4432073)]","[(-5.6751966, 4.2028)]","[(-5.365901, 5.061879)]","[(-5.2547927, 6.2215815)]","[(-5.9352574, 7.4617734)]","[(-5.626361, 8.543941)]","[(-5.4973736, 9.639207)]"
5,"[(-4.9879847, -9.329352)]","[(-4.7339025, -8.1901245)]","[(-4.7509766, -7.302195)]","[(-4.1667404, -6.791351)]","[(-4.8063087, -5.870143)]","[(-4.2508836, -4.11295)]","[(-4.724172, -3.1236506)]","[(-4.521823, -2.0323148)]","[(-4.988983, -1.5971007)]","[(-4.21725, -0.8365195)]","[(-4.855316, 0.432643)]","[(-4.4485097, 1.1166075)]","[(-4.294034, 2.4988368)]","[(-4.661295, 3.560395)]","[(-4.0929794, 4.5876536)]","[(-4.369634, 5.222487)]","[(-4.3960023, 6.053445)]","[(-4.4652014, 7.6789274)]","[(-4.4749618, 8.639818)]","[(-4.567461, 9.704257)]"
6,"[(-3.4719663, -9.705142)]","[(-3.376618, -8.165576)]","[(-3.8452604, -7.8920026)]","[(-3.3394938, -6.0260577)]","[(-3.00901, -5.9963603)]","[(-3.994761, -4.138313)]","[(-3.5832753, -3.6323946)]","[(-3.790369, -2.2317183)]","[(-3.1681848, -1.8697639)]","[(-3.569475, -0.01979065)]","[(-3.123698, 0.980496)]","[(-3.3479133, 1.3599149)]","[(-3.6693845, 2.2957892)]","[(-3.829217, 3.8587687)]","[(-3.2134545, 4.7296734)]","[(-3.797628, 5.339721)]","[(-3.2753224, 6.714339)]","[(-3.3175724, 7.839507)]","[(-3.4458332, 8.991399)]","[(-3.0845869, 9.338058)]"
7,"[(-2.0979517, -9.152238)]","[(-2.399352, -8.129983)]","[(-2.013746, -7.6630507)]","[(-2.4392502, -6.0254483)]","[(-2.5076694, -5.4571595)]","[(-2.775076, -4.215634)]","[(-2.9831626, -3.5217965)]","[(-2.939952, -2.9580655)]","[(-2.570414, -1.2030447)]","[(-2.4359803, -0.5830034)]","[(-2.5482757, 0.7725784)]","[(-2.0331197, 1.6265587)]","[(-2.353556, 2.7557683)]","[(-2.0130796, 3.2756143)]","[(-2.870464, 4.4439273)]","[(-2.0668387, 5.9212985)]","[(-2.0575676, 6.102135)]","[(-2.765901, 7.0856113)]","[(-2.1726935, 8.277502)]","[(-2.821008, 9.8048525)]"
8,"[(-1.5699905, -9.929766)]","[(-1.8644438, -8.864651)]","[(-1.8451818, -7.5178256)]","[(-1.3048197, -6.743385)]","[(-1.4688102, -5.7081723)]","[(-1.2651267, -4.0161166)]","[(-1.9901792, -3.0801222)]","[(-1.464326, -2.2952595)]","[(-1.0593544, -1.5153866)]","[(-1.5182455, -0.377584)]","[(-1.4450046, 0.006376166)]","[(-1.1960346, 1.4633145)]","[(-1.0382316, 2.2835956)]","[(-1.8896267, 3.2477403)]","[(-1.9109079, 4.6665225)]","[(-1.2433803, 5.4271836)]","[(-1.8576595, 6.8484235)]","[(-1.5835148, 7.847551)]","[(-1.9539751, 8.568875)]","[(-1.5321801, 9.484323)]"
9,"[(-0.55984795, -9.234872)]","[(-0.41288528, -8.125445)]","[(-0.80788165, -7.982157)]","[(-0.86715853, -6.1298423)]","[(-0.14685062, -5.3511386)]","[(-0.11807117, -4.106895)]","[(-0.9684938, -3.15851)]","[(-0.46970153, -2.1548877)]","[(-0.04754562, -1.4928439)]","[(-0.055792008, -0.032022916)]","[(-0.95391726, 0.60353535)]","[(-0.4901474, 1.0841469)]","[(-0.648058, 2.4384508)]","[(-0.64244, 3.496265)]","[(-0.072045885, 4.706332)]","[(-0.4277749, 5.880276)]","[(-0.6698224, 6.2881985)]","[(-0.107337385, 7.557867)]","[(-0.110346854, 8.017821)]","[(-0.8758328, 9.901256)]"
10,"[(0.42873648, -9.594507)]","[(0.17104807, -8.580922)]","[(0.03212458, -7.373931)]","[(0.25800532, -6.583963)]","[(0.4485126, -5.674034)]","[(0.88190097, -4.4817553)]","[(0.833219, -3.0917444)]","[(0.046466433, -2.2813563)]","[(0.92480445, -1.3286401)]","[(0.2284971, -0.24530362)]","[(0.050566845, 0.019361336)]","[(0.5361459, 1.375921)]","[(0.6676343, 2.6727643)]","[(0.26527575, 3.963852)]","[(0.40121713, 4.2180986)]","[(0.14825395, 5.963949)]","[(0.9848827, 6.632961)]","[(0.7611632, 7.840398)]","[(0.7022037, 8.963674)]","[(0.8238258, 9.83966)]"
11,"[(1.0181587, -9.349223)]","[(1.5840611, -8.479823)]","[(1.6504085, -7.9401083)]","[(1.3159064, -6.920336)]","[(1.3372405, -5.4374576)]","[(1.7598306, -4.633534)]","[(1.909136, -3.4395878)]","[(1.4435085, -2.7893708)]","[(1.8893392, -1.1015025)]","[(1.3825724, -0.16278926)]","[(1.7474681, 0.2639464)]","[(1.7749075, 1.3966465)]","[(1.5775795, 2.709302)]","[(1.3947941, 3.5578198)]","[(1.7439643, 4.478415)]","[(1.6956319, 5.5725584)]","[(1.567059, 6.3977475)]","[(1.2013819, 7.5715466)]","[(1.5757043, 8.261559)]","[(1.1368929, 9.119319)]"
12,"[(2.9468803, -9.085292)]","[(2.241988, -8.724309)]","[(2.639523, -7.321602)]","[(2.7306383, -6.053754)]","[(2.2400618, -5.719374)]","[(2.9762962, -4.922479)]","[(2.0979745, -3.5067644)]","[(2.0684855, -2.88146)]","[(2.2332263, -1.0531859)]","[(2.4679866, -0.4995712)]","[(2.9942675, 0.63012904)]","[(2.6083071, 1.5916548)]","[(2.4152303, 2.6977859)]","[(2.9412644, 3.9344966)]","[(2.379428, 4.0809875)]","[(2.1404912, 5.791761)]","[(2.44344, 6.4017477)]","[(2.7394392, 7.134741)]","[(2.0703044, 8.588759)]","[(2.2064128, 9.658405)]"
13,"[(3.4427295, -9.800485)]","[(3.2234843, -8.494063)]","[(3.3069882, -7.0349913)]","[(3.04002, -6.8158336)]","[(3.2521098, -5.218834)]","[(3.2429721, -4.103881)]","[(3.9161773, -3.6360755)]","[(3.2341278, -2.5643973)]","[(3.8397326, -1.2809359)]","[(3.2515104, -0.7778239)]","[(3.1057596, 0.43969753)]","[(3.34818, 1.5908645)]","[(3.430245, 2.1682484)]","[(3.310265, 3.5448527)]","[(3.2559142, 4.121405)]","[(3.3166363, 5.6809697)]","[(3.749135, 6.962353)]","[(3.352238, 7.8671236)]","[(3.4524872, 8.69619)]","[(3.9096773, 9.661976)]"
14,"[(4.920845, -9.127599)]","[(4.212982, -8.203777)]","[(4.4821773, -7.8037252)]","[(4.460574, -6.0545783)]","[(4.51677, -5.9865937)]","[(4.026365, -4.9628572)]","[(4.4211907, -3.0002565)]","[(4.3532934, -2.5419517)]","[(4.4582734, -1.4028183)]","[(4.328017, -0.115940474)]","[(4.9600496, 0.2864112)]","[(4.7239637, 1.8111492)]","[(4.805013, 2.7743561)]","[(4.746848, 3.905417)]","[(4.1624403, 4.105013)]","[(4.442136, 5.6892204)]","[(4.060288, 6.0802546)]","[(4.9142203, 7.2831078)]","[(4.7058873, 8.435697)]","[(4.9670577, 9.028963)]"
15,"[(5.936343, -9.620022)]","[(5.111767, -8.109637)]","[(5.557919, -7.3594956)]","[(5.405296, -6.12184)]","[(5.8895683, -5.442333)]","[(5.7438626, -4.779101)]","[(5.5625916, -3.712444)]","[(5.9535837, -2.085952)]","[(5.1238627, -1.2783737)]","[(5.971947, -0.53502357)]","[(5.1715364, 0.45845723)]","[(5.3244133, 1.6800097)]","[(5.175993, 2.35863)]","[(5.0130324, 3.8776603)]","[(5.5570483, 4.4787602)]","[(5.085898, 5.5989375)]","[(5.2476745, 6.2195907)]","[(5.095984, 7.357785)]","[(5.1967025, 8.618674)]","[(5.293283, 9.35572)]"
16,"[(6.8028336, -9.332885)]","[(6.166969, -8.14131)]","[(6.068879, -7.0710864)]","[(6.482505, -6.859037)]","[(6.952362, -5.4015994)]","[(6.973122, -4.72752)]","[(6.150025, -3.3360488)]","[(6.133759, -2.3449156)]","[(6.9182267, -1.7970312)]","[(6.4688106, -0.48969835)]","[(6.193434, 0.93852776)]","[(6.3142953, 1.8900166)]","[(6.9936633, 2.953173)]","[(6.2270303, 3.5971923)]","[(6.2448254, 4.2972302)]","[(6.6832585, 5.0390067)]","[(6.035558, 6.1422076)]","[(6.8803854, 7.1945558)]","[(6.2720675, 8.241299)]","[(6.1568804, 9.056828)]"
17,[],"[(7.1534405, -8.43143)]","[(7.071717, -7.809804)]","[(7.3929625, -6.523024)]","[(7.7106657, -5.38359)]","[(7.5713, -4.6289034)]","[(7.7201304, -3.6417084)]","[(7.636357, -2.6576717)]","[(7.7621737, -1.416378)]","[(7.6973104, -0.30287498)]","[(7.0771465, 0.44273376)]","[(7.01265, 1.393724)]","[(7.78, 2.4599657)]","[(7.703264, 3.0234833)]","[(7.2330503, 4.2916865)]","[(7.369596, 5.23049)]","[(7.5970316, 6.204784)]","[(7.801644, 7.4075837)]","[(7.3341417, 8.280334)]","[(7.685793, 9.610128)]"
