,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],"[(-9.173868, -6.4728723)]","[(-9.749747, -5.25953)]","[(-9.106879, -4.516514)]","[(-9.377147, -3.3152149)]","[(-9.732131, -2.5977473)]","[(-9.785472, -1.7604728)]","[(-9.595159, -0.7083139)]","[(-9.12757, 0.030230246)]","[(-9.784209, 1.6583446)]","[(-9.611902, 2.104943)]","[(-9.639834, 3.638841)]","[(-9.587874, 4.6557016)]","[(-9.584013, 5.0690923)]","[(-9.428351, 6.3919506)]","[(-9.004362, 7.236459)]",[],[]
1,[],[],"[(-8.401201, -7.5944386)]",[],"[(-8.228795, -5.249602)]","[(-8.499645, -4.75347)]","[(-8.279749, -3.4299939)]","[(-8.101062, -2.4090512)]","[(-8.132116, -1.2571471)]","[(-8.473165, -0.7624082)]","[(-8.663038, 0.7635087)]","[(-8.049416, 1.3654108)]","[(-8.604849, 2.4386888)]","[(-8.886142, 3.4887586)]","[(-8.752887, 4.034435)]","[(-8.151979, 5.6580367)]","[(-8.299303, 6.2604046)]","[(-8.424964, 7.6055937)]","[(-8.097375, 8.004946)]","[(-8.440207, 9.497732)]"
2,"[(-7.2778034, -9.82301)]","[(-7.7337947, -8.040982)]","[(-7.3073406, -7.1414294)]","[(-7.7065606, -6.0492516)]","[(-7.1771965, -5.711197)]","[(-7.5988913, -4.8738885)]","[(-7.925922, -3.1866481)]","[(-7.7554846, -2.3945456)]","[(-7.5885353, -1.6677573)]","[(-7.522945, -0.29883415)]","[(-7.0765915, 0.562133)]","[(-7.686056, 1.2941693)]","[(-7.2225723, 2.9112864)]","[(-7.7794394, 3.7555454)]","[(-7.5109897, 4.938847)]","[(-7.9077187, 5.4829774)]","[(-7.9706273, 6.7926903)]","[(-7.4470615, 7.001384)]","[(-7.275888, 8.978901)]","[(-7.593539, 9.051205)]"
3,[],"[(-6.1362925, -8.684632)]","[(-6.535075, -7.592102)]","[(-6.4319253, -6.1778927)]","[(-6.239798, -5.2449684)]","[(-6.7022347, -4.4620543)]","[(-6.517099, -3.2918453)]","[(-6.0817447, -2.563047)]","[(-6.182363, -1.6624116)]","[(-6.2155237, -0.517056)]","[(-6.1361575, 0.6691693)]","[(-6.864924, 1.7257837)]","[(-6.4821286, 2.7829688)]","[(-6.35901, 3.4626133)]","[(-6.2789173, 4.965457)]","[(-6.523903, 5.966167)]","[(-6.971637, 6.856811)]","[(-6.3459983, 7.856247)]","[(-6.056104, 8.559819)]","[(-6.7048297, 9.000098)]"
4,[],"[(-5.731348, -8.912151)]","[(-5.228328, -7.4609036)]","[(-5.35274, -6.2746606)]","[(-5.031037, -5.62019)]","[(-5.5652175, -4.3674154)]","[(-5.9540863, -3.8835995)]","[(-5.8978586, -2.5259213)]","[(-5.255499, -1.5016307)]","[(-5.0255127, -0.14122161)]","[(-5.9770875, 0.06775742)]","[(-5.797006, 1.5139315)]","[(-5.183072, 2.3589308)]","[(-5.2792096, 3.5217495)]","[(-5.0585914, 4.448468)]","[(-5.664536, 5.495858)]","[(-5.039385, 6.348506)]","[(-5.2876964, 7.493676)]","[(-5.2482877, 8.873007)]","[(-5.1783023, 9.089171)]"
5,"[(-4.808657, -9.996073)]","[(-4.217151, -8.264192)]","[(-4.9288106, -7.6029673)]","[(-4.191037, -6.331604)]","[(-4.525541, -5.817643)]","[(-4.975098, -4.001402)]","[(-4.700259, -3.295318)]","[(-4.101401, -2.151142)]","[(-4.4183693, -1.1410681)]","[(-4.128342, -0.98813945)]","[(-4.1529055, 0.0092417225)]","[(-4.705691, 1.4088075)]","[(-4.7758193, 2.0965617)]","[(-4.27386, 3.555003)]","[(-4.9138374, 4.6334095)]","[(-4.5582795, 5.7299724)]","[(-4.35371, 6.1163783)]","[(-4.103815, 7.409804)]","[(-4.862541, 8.661224)]","[(-4.807137, 9.639127)]"
6,"[(-3.4843175, -9.9856)]","[(-3.7478178, -8.705881)]","[(-3.4676797, -7.725142)]","[(-3.9090438, -6.9549923)]","[(-3.1063752, -5.617729)]","[(-3.6850088, -4.003454)]","[(-3.32698, -3.8674593)]","[(-3.5021493, -2.9397902)]","[(-3.6202736, -1.473059)]","[(-3.316223, -0.93766564)]","[(-3.3766837, 0.91968423)]","[(-3.0033357, 1.4369628)]","[(-3.2038324, 2.5878074)]","[(-3.58624, 3.9030547)]","[(-3.1188138, 4.3448825)]","[(-3.4168525, 5.5918393)]","[(-3.1009169, 6.0331755)]","[(-3.1290627, 7.6460195)]","[(-3.5171654, 8.051345)]","[(-3.192856, 9.278697)]"
7,"[(-2.885049, -9.788945)]","[(-2.6520755, -8.971031)]","[(-2.5136983, -7.530306)]","[(-2.452599, -6.6813836)]","[(-2.0481758, -5.4669704)]","[(-2.8192677, -4.585247)]","[(-2.8264792, -3.9896367)]","[(-2.4742353, -2.798174)]","[(-2.673735, -1.9236954)]","[(-2.6840901, -0.007705819)]","[(-2.385582, 0.4125795)]","[(-2.0752084, 1.6419283)]","[(-2.27945, 2.0666168)]","[(-2.4678533, 3.426413)]","[(-2.3012986, 4.677132)]","[(-2.096898, 5.855528)]","[(-2.998021, 6.0034585)]","[(-2.2568746, 7.666484)]","[(-2.071959, 8.195328)]","[(-2.691526, 9.432554)]"
8,"[(-1.1576324, -9.392648)]","[(-1.9876368, -8.390851)]","[(-1.4315962, -7.0806427)]","[(-1.546259, -6.505011)]","[(-1.0198271, -5.196317)]","[(-1.4299858, -4.9920573)]","[(-1.1048255, -3.2645078)]","[(-1.9216344, -2.8964982)]","[(-1.2149985, -1.0725187)]","[(-1.6564908, -0.9212763)]","[(-1.0571548, 0.835011)]","[(-1.5768077, 1.1822445)]","[(-1.7480078, 2.0124962)]","[(-1.9178753, 3.322865)]","[(-1.7657841, 4.528751)]","[(-1.641867, 5.6455092)]","[(-1.5731995, 6.890956)]","[(-1.01461, 7.238542)]","[(-1.8991065, 8.428744)]","[(-1.1194855, 9.784954)]"
9,"[(-0.9397583, -9.519228)]","[(-0.53833246, -8.321435)]","[(-0.7824679, -7.046209)]","[(-0.19740579, -6.3541427)]","[(-0.55136377, -5.0604086)]","[(-0.1394342, -4.5564766)]","[(-0.9518033, -3.6657116)]","[(-0.8968917, -2.5349684)]","[(-0.29783398, -1.2587559)]","[(-0.13460062, -0.022528388)]","[(-0.15724082, 0.9286636)]","[(-0.76560324, 1.056433)]","[(-0.15806572, 2.6800861)]","[(-0.16068031, 3.510492)]","[(-0.464836, 4.0132637)]","[(-0.7548189, 5.17943)]","[(-0.19243187, 6.478094)]","[(-0.54093003, 7.3720436)]","[(-0.33735704, 8.030689)]","[(-0.4237246, 9.16711)]"
