,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1,1,1,2,2,2,1,3,1,2,2,3,2,3,5,0,2,1,4,2
1,3,1,1,2,4,2,2,3,3,3,3,2,5,5,3,2,2,3,0,1
2,3,2,3,1,2,5,2,6,7,4,4,4,6,4,6,2,2,2,3,0
3,2,3,1,3,5,5,6,6,6,3,4,4,3,6,2,6,1,2,3,2
4,2,4,3,3,4,6,2,3,4,3,8,4,2,1,4,4,2,3,1,1
5,7,5,4,4,4,3,4,5,6,5,7,6,5,5,4,3,3,3,3,5
6,1,2,4,5,8,5,4,5,3,5,5,3,2,4,5,3,7,4,3,3
7,1,5,3,7,5,5,2,6,4,5,4,1,7,4,5,6,5,4,3,1
8,1,3,3,6,4,5,6,4,10,7,8,4,6,5,5,7,4,5,4,5
9,2,3,4,7,3,3,9,2,6,10,7,2,8,12,5,4,5,2,2,4
10,1,4,3,4,6,6,4,5,6,7,5,8,4,2,2,3,5,3,4,2
11,2,4,2,4,5,4,3,8,4,8,3,6,5,4,6,5,5,2,3,4
12,2,4,3,3,5,5,5,4,13,4,4,6,7,6,3,7,6,2,2,2
13,4,2,5,4,4,4,4,7,4,3,5,10,2,4,7,7,4,4,3,3
14,1,4,3,6,2,4,5,5,4,9,7,7,6,3,6,5,3,5,3,3
15,3,2,3,3,4,4,2,4,3,5,7,3,4,5,3,4,1,3,4,2
16,2,2,4,5,4,3,5,3,3,4,3,2,1,4,5,3,3,1,1,3
17,1,2,1,4,2,3,3,4,4,3,5,4,3,3,3,4,1,1,2,2
18,1,1,2,3,3,3,2,2,2,2,4,4,2,3,2,2,2,2,1,0
19,0,0,2,2,1,3,2,2,3,2,2,2,2,2,3,2,2,2,0,0
