,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,41/400,100,55,[0.638],[0.2896],[0.0021],[0.9971],"[-5.9917,-9.8026]","[9.7449,8.6690]",26.16,1215.74
1,algoQD,1,82/400,100,57,[0.6118],[0.2925],[0.0387],[0.998],"[-9.5911,-9.8026]","[9.7449,8.8586]",50.17,629.59
2,algoQD,2,105/400,100,41,[0.6133],[0.2971],[0.0048],[0.9997],"[-9.5911,-9.8026]","[9.7449,8.8586]",64.39,619.30
3,algoQD,3,125/400,100,34,[0.6281],[0.2834],[0.0387],[0.9997],"[-9.5911,-9.8026]","[9.7449,8.9276]",78.51,621.90
4,algoQD,4,145/400,100,40,[0.6358],[0.2943],[0.0025],[0.9997],"[-9.5911,-9.8026]","[9.7449,8.9276]",92.19,624.53
5,algoQD,5,162/400,100,34,[0.6547],[0.2942],[0.0025],[0.9997],"[-9.5911,-9.8026]","[9.7449,8.9276]",106.06,619.24
6,algoQD,6,177/400,100,34,[0.6628],[0.2967],[0.0025],[0.9997],"[-9.5911,-9.8517]","[9.7449,9.5197]",117.32,629.76
7,algoQD,7,190/400,100,26,[0.6742],[0.2904],[0.0025],[0.9997],"[-9.5911,-9.8517]","[9.7449,9.5197]",128.10,636.89
8,algoQD,8,203/400,100,25,[0.6644],[0.2955],[0.0025],[0.9997],"[-9.5911,-9.8517]","[9.7449,9.5197]",134.87,602.30
9,algoQD,9,212/400,100,20,[0.6742],[0.2912],[0.0025],[0.9997],"[-9.5911,-9.8517]","[9.7449,9.5197]",142.92,624.65
10,algoQD,10,223/400,100,31,[0.6808],[0.2866],[0.0025],[0.9997],"[-9.5911,-9.8517]","[9.7449,9.5197]",151.83,606.77
11,algoQD,11,232/400,100,24,[0.6886],[0.2826],[0.0025],[1.],"[-9.5911,-9.8517]","[9.7449,9.5197]",159.75,621.78
12,algoQD,12,243/400,100,29,[0.6896],[0.2775],[0.0025],[1.],"[-9.5911,-9.8517]","[9.7449,9.5197]",167.58,593.98
13,algoQD,13,250/400,100,20,[0.697],[0.2749],[0.0025],[1.],"[-9.5911,-9.8517]","[9.7449,9.5197]",174.24,627.23
14,algoQD,14,258/400,100,26,[0.7045],[0.2738],[0.0025],[1.],"[-9.5911,-9.8517]","[9.7449,9.5197]",181.77,616.83
15,algoQD,15,265/400,100,23,[0.7145],[0.2688],[0.0025],[1.],"[-9.5911,-9.8956]","[9.7449,9.5197]",189.35,595.18
16,algoQD,16,273/400,100,22,[0.7182],[0.2706],[0.0016],[1.],"[-9.5911,-9.8956]","[9.7449,9.5197]",196.07,593.41
17,algoQD,17,276/400,100,22,[0.7278],[0.2668],[0.0025],[1.],"[-9.5911,-9.8956]","[9.7449,9.5197]",200.87,614.19
18,algoQD,18,279/400,100,20,[0.7327],[0.2661],[0.0025],[1.],"[-9.5911,-9.8956]","[9.7449,9.5197]",204.41,631.09
19,algoQD,19,280/400,100,24,[0.7494],[0.2526],[0.0025],[1.],"[-9.5911,-9.8956]","[9.7449,9.5197]",209.84,592.74
20,algoQD,20,285/400,100,23,[0.7564],[0.2522],[0.0025],[1.],"[-9.5911,-9.8956]","[9.7449,9.9114]",215.56,624.96
21,algoQD,21,285/400,100,20,[0.767],[0.2442],[0.0025],[1.],"[-9.5911,-9.8956]","[9.7449,9.9114]",218.61,622.46
22,algoQD,22,292/400,100,22,[0.7653],[0.2483],[0.0025],[1.],"[-9.5911,-9.8956]","[9.7449,9.9114]",223.47,598.25
23,algoQD,23,295/400,100,14,[0.7734],[0.2409],[0.0025],[1.],"[-9.5911,-9.8956]","[9.7449,9.9114]",228.14,614.91
24,algoQD,24,299/400,100,11,[0.7725],[0.2438],[0.0025],[1.],"[-9.5911,-9.9820]","[9.7449,9.9114]",230.98,608.89
25,algoQD,25,304/400,100,20,[0.7808],[0.2385],[0.0025],[1.],"[-9.5911,-9.9820]","[9.7449,9.9114]",237.37,617.88
26,algoQD,26,307/400,100,14,[0.7878],[0.2313],[0.0025],[1.],"[-9.5911,-9.9820]","[9.7449,9.9114]",241.87,611.41
27,algoQD,27,312/400,100,16,[0.7903],[0.2311],[0.0025],[1.],"[-9.5911,-9.9820]","[9.7449,9.9114]",246.57,604.39
28,algoQD,28,312/400,100,16,[0.7992],[0.2275],[0.0025],[1.],"[-9.5911,-9.9820]","[9.7449,9.9114]",249.35,599.67
29,algoQD,29,316/400,100,15,[0.8006],[0.2269],[0.0025],[1.],"[-9.5911,-9.9820]","[9.7449,9.9114]",253.00,595.15
30,algoQD,30,318/400,100,12,[0.8013],[0.2308],[0.0025],[1.],"[-9.5911,-9.9820]","[9.7449,9.9114]",254.80,626.84
31,algoQD,31,320/400,100,18,[0.8079],[0.2296],[0.0025],[1.],"[-9.5911,-9.9820]","[9.7449,9.9114]",258.53,613.61
32,algoQD,32,320/400,100,17,[0.8163],[0.222],[0.0025],[1.],"[-9.5911,-9.9820]","[9.7449,9.9114]",261.21,591.95
33,algoQD,33,321/400,100,11,[0.8236],[0.2133],[0.0025],[1.],"[-9.5911,-9.9820]","[9.7449,9.9114]",264.37,620.90
34,algoQD,34,326/400,100,22,[0.8266],[0.2124],[0.0025],[1.],"[-9.5911,-9.9568]","[9.7449,9.9114]",269.47,617.72
35,algoQD,35,327/400,100,17,[0.8261],[0.2159],[0.0025],[1.],"[-9.5911,-9.9568]","[9.7449,9.9114]",270.14,611.88
36,algoQD,36,331/400,100,18,[0.8325],[0.2137],[0.0025],[1.],"[-9.5911,-9.9568]","[9.7449,9.9114]",275.54,611.60
37,algoQD,37,333/400,100,9,[0.8361],[0.2101],[0.0025],[1.],"[-9.5911,-9.9568]","[9.7449,9.9114]",278.43,598.28
38,algoQD,38,340/400,100,16,[0.8368],[0.2112],[0.0025],[1.],"[-9.5911,-9.9568]","[9.7449,9.9114]",284.52,616.47
39,algoQD,39,338/400,100,9,[0.8406],[0.2073],[0.0025],[1.],"[-9.5911,-9.9568]","[9.7449,9.9114]",284.11,597.70
40,algoQD,40,338/400,100,19,[0.8498],[0.2016],[0.0025],[1.],"[-9.5911,-9.9568]","[9.7449,9.9114]",287.25,603.66
41,algoQD,41,340/400,100,11,[0.8503],[0.2018],[0.0025],[1.],"[-9.5911,-9.9568]","[9.7449,9.9114]",289.09,612.35
