,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],"[(-9.200086, -8.449029)]","[(-9.420631, -7.1143246)]","[(-9.528491, -6.5148754)]","[(-9.187938, -5.076019)]","[(-9.804424, -4.7255006)]","[(-9.317912, -3.7913048)]","[(-9.298694, -2.7813306)]","[(-9.985093, -1.5808424)]","[(-9.626669, -0.7207813)]","[(-9.202313, 0.70989144)]","[(-9.449196, 1.7853545)]","[(-9.424433, 2.7702258)]","[(-9.946579, 3.2696772)]","[(-9.732524, 4.4173646)]","[(-9.367354, 5.263911)]","[(-9.843485, 6.3432126)]","[(-9.278544, 7.79111)]",[],"[(-9.380684, 9.230109)]"
1,[],"[(-8.644928, -8.271856)]","[(-8.122834, -7.47952)]","[(-8.517249, -6.3755884)]","[(-8.9316225, -5.5086145)]","[(-8.0761595, -4.170737)]","[(-8.949602, -3.6281314)]","[(-8.493027, -2.8928502)]","[(-8.020952, -1.0773644)]","[(-8.921338, -0.4924591)]","[(-8.318262, 0.7147024)]","[(-8.081381, 1.1962407)]","[(-8.15971, 2.7702744)]","[(-8.018141, 3.8843293)]","[(-8.525463, 4.8422637)]","[(-8.970534, 5.42131)]",[],"[(-8.049624, 7.09707)]","[(-8.725231, 8.600317)]","[(-8.373289, 9.489509)]"
2,"[(-7.1202126, -9.015899)]","[(-7.7990274, -8.718774)]","[(-7.055569, -7.545874)]","[(-7.7474003, -6.7020497)]","[(-7.8202925, -5.155836)]","[(-7.2780223, -4.5241537)]","[(-7.05234, -3.701163)]","[(-7.054611, -2.4301088)]","[(-7.04718, -1.0960089)]","[(-7.9971395, -0.28205532)]","[(-7.9341693, 0.13660552)]","[(-7.7431445, 1.8297026)]",[],"[(-7.199304, 3.0850337)]","[(-7.9201694, 4.215364)]","[(-7.0628, 5.185377)]",[],"[(-7.9609942, 7.1248007)]","[(-7.0287924, 8.815482)]","[(-7.4485946, 9.209556)]"
3,"[(-6.6746845, -9.83161)]","[(-6.837819, -8.950843)]","[(-6.7865515, -7.575538)]","[(-6.6932597, -6.4758415)]","[(-6.3566175, -5.2470527)]","[(-6.657424, -4.0527134)]","[(-6.7877364, -3.80632)]","[(-6.276814, -2.408273)]","[(-6.033638, -1.8617338)]","[(-6.3201885, -0.3219685)]","[(-6.6076884, 0.8414257)]","[(-6.0618596, 1.6646068)]","[(-6.5357375, 2.288481)]","[(-6.14627, 3.840404)]","[(-6.5605936, 4.6169043)]","[(-6.4529576, 5.785893)]","[(-6.3794894, 6.4432583)]",[],"[(-6.683243, 8.291856)]","[(-6.1769223, 9.728321)]"
4,"[(-5.1072173, -9.593155)]","[(-5.4464374, -8.730285)]","[(-5.5900555, -7.5181766)]","[(-5.2374988, -6.462935)]","[(-5.733011, -5.9572163)]","[(-5.3840733, -4.1783648)]","[(-5.7659583, -3.7996235)]","[(-5.9730496, -2.6945732)]","[(-5.1744246, -1.7836125)]","[(-5.9010353, -0.28926784)]","[(-5.1187234, 0.20083064)]","[(-5.394509, 1.7297523)]","[(-5.47479, 2.6139743)]","[(-5.5120006, 3.7078264)]","[(-5.1730657, 4.6098824)]","[(-5.4723225, 5.0873504)]","[(-5.7901278, 6.7624335)]","[(-5.7851605, 7.4422207)]","[(-5.149383, 8.851422)]","[(-5.0005417, 9.342478)]"
5,"[(-4.4566708, -9.247018)]","[(-4.658485, -8.974299)]","[(-4.862822, -7.572279)]","[(-4.800285, -6.3169975)]","[(-4.729197, -5.336172)]","[(-4.6055517, -4.8607936)]","[(-4.206736, -3.8942003)]","[(-4.761786, -2.7465703)]","[(-4.124805, -1.2401103)]","[(-4.5046663, -0.85053825)]","[(-4.4303236, 0.071044594)]","[(-4.1134644, 1.2183586)]","[(-4.4484267, 2.2811272)]","[(-4.768513, 3.5898533)]","[(-4.67874, 4.5969887)]","[(-4.4435773, 5.748559)]","[(-4.971959, 6.6722226)]","[(-4.941483, 7.671978)]","[(-4.303826, 8.689447)]","[(-4.305884, 9.152896)]"
6,"[(-3.59888, -9.547989)]","[(-3.301476, -8.831026)]","[(-3.8553677, -7.0661316)]","[(-3.6555717, -6.139907)]","[(-3.856832, -5.0429616)]","[(-3.231931, -4.8998117)]","[(-3.32198, -3.807882)]","[(-3.0877397, -2.4761832)]","[(-3.9165447, -1.341257)]","[(-3.6711597, -0.8463197)]","[(-3.2973223, 0.50994444)]","[(-3.7514017, 1.383434)]","[(-3.0652096, 2.3724113)]","[(-3.2498245, 3.9391565)]","[(-3.8234031, 4.2175364)]","[(-3.2962258, 5.647414)]","[(-3.5733118, 6.134622)]","[(-3.4713805, 7.650247)]","[(-3.5307672, 8.045357)]","[(-3.8450284, 9.687484)]"
7,"[(-2.8390715, -9.178155)]","[(-2.20438, -8.840089)]","[(-2.4076147, -7.790686)]","[(-2.5182383, -6.441838)]","[(-2.54018, -5.3661604)]","[(-2.8151045, -4.3694243)]","[(-2.9343638, -3.3022532)]","[(-2.4356256, -2.5606205)]","[(-2.442814, -1.506644)]","[(-2.4958677, -0.3642674)]","[(-2.9061732, 0.82609195)]","[(-2.5503066, 1.8750825)]","[(-2.8423207, 2.9898653)]","[(-2.2714396, 3.4437766)]","[(-2.9743137, 4.5441756)]","[(-2.189591, 5.5915213)]","[(-2.854699, 6.8700833)]","[(-2.8154233, 7.561008)]","[(-2.8429136, 8.720418)]","[(-2.9272208, 9.064641)]"
8,"[(-1.3403337, -9.179606)]","[(-1.1594273, -8.11867)]","[(-1.8777701, -7.3591413)]","[(-1.3437618, -6.1556907)]","[(-1.7469391, -5.6376476)]","[(-1.5802759, -4.8874116)]","[(-1.4425675, -3.372372)]","[(-1.3547894, -2.756274)]","[(-1.0489067, -1.8517058)]","[(-1.0381441, -0.73298)]","[(-1.4408015, 0.10189772)]","[(-1.3654798, 1.580123)]","[(-1.8184048, 2.699617)]","[(-1.669816, 3.2302425)]","[(-1.6254139, 4.915706)]","[(-1.123793, 5.856528)]","[(-1.2414353, 6.410324)]","[(-1.0953244, 7.065348)]","[(-1.4590974, 8.820639)]","[(-1.884949, 9.1598)]"
9,"[(-0.2468495, -9.852445)]","[(-0.3352631, -8.755668)]","[(-0.16553232, -7.1795573)]","[(-0.18166031, -6.213092)]","[(-0.9911978, -5.9396114)]","[(-0.12622029, -4.5368786)]","[(-0.07970259, -3.838331)]","[(-0.065626875, -2.0919535)]","[(-0.73333913, -1.3337075)]","[(-0.2878149, -0.36149734)]","[(-0.75913733, 0.20026046)]","[(-0.36083382, 1.0887336)]","[(-0.80956954, 2.4339118)]","[(-0.7662431, 3.375147)]","[(-0.1542417, 4.862008)]","[(-0.9724932, 5.2946606)]","[(-0.0033788346, 6.8590374)]","[(-0.7959236, 7.308768)]","[(-0.44285077, 8.653217)]","[(-0.8726449, 9.843823)]"
10,"[(0.14670558, -9.389099)]","[(0.4634373, -8.513235)]","[(0.39865178, -7.3135133)]","[(0.3077559, -6.884897)]","[(0.32797986, -5.5197096)]","[(0.6949563, -4.7745557)]","[(0.47641525, -3.3633192)]","[(0.7059082, -2.2050805)]","[(0.12419578, -1.2152367)]","[(0.32038832, -0.269041)]","[(0.04931736, 0.09339903)]","[(0.07526648, 1.4839625)]","[(0.6400664, 2.5912278)]","[(0.09418224, 3.2765944)]","[(0.65885895, 4.850975)]","[(0.7908272, 5.4677715)]","[(0.64571315, 6.059827)]","[(0.6670717, 7.845509)]","[(0.49583226, 8.172269)]","[(0.6321927, 9.13745)]"
11,"[(1.5261743, -9.455902)]","[(1.5011227, -8.510774)]","[(1.5624025, -7.9097996)]","[(1.505058, -6.5449686)]","[(1.3121136, -5.4619994)]","[(1.104904, -4.3901267)]","[(1.4475822, -3.458335)]","[(1.0694735, -2.2128856)]","[(1.7826935, -1.9918238)]","[(1.0051068, -0.1832782)]","[(1.1435671, 0.08816263)]","[(1.5564815, 1.0446982)]","[(1.6172198, 2.0768785)]","[(1.7650955, 3.5669987)]","[(1.1263767, 4.7413764)]","[(1.5539409, 5.3830247)]","[(1.8293105, 6.855826)]","[(1.1692257, 7.037352)]","[(1.1215045, 8.458011)]","[(1.9407372, 9.068648)]"
12,"[(2.060255, -9.087033)]","[(2.5160313, -8.106601)]","[(2.4423041, -7.3429246)]","[(2.470487, -6.232395)]","[(2.8949091, -5.51069)]","[(2.6931381, -4.960884)]","[(2.0781953, -3.5791726)]","[(2.4288125, -2.0463202)]","[(2.079609, -1.4726863)]","[(2.0873656, -0.5677824)]","[(2.2790816, 0.41936082)]","[(2.6518397, 1.397002)]","[(2.1384375, 2.3134198)]","[(2.876447, 3.884393)]","[(2.657765, 4.395172)]","[(2.1228683, 5.0651383)]","[(2.851503, 6.774013)]","[(2.9484892, 7.1658883)]","[(2.8238473, 8.469779)]","[(2.0470128, 9.570098)]"
13,"[(3.7570925, -9.11545)]","[(3.9719467, -8.828101)]","[(3.3744812, -7.468439)]","[(3.652868, -6.430295)]","[(3.86704, -5.569507)]","[(3.8799953, -4.4164643)]","[(3.3560066, -3.9683971)]","[(3.413023, -2.5561306)]","[(3.833623, -1.4568237)]","[(3.0116544, -0.31669664)]","[(3.4606373, 0.33383262)]","[(3.922111, 1.0469375)]","[(3.2414453, 2.2933369)]","[(3.26573, 3.2530277)]","[(3.1662495, 4.7486258)]","[(3.3312464, 5.023302)]","[(3.8845208, 6.0989785)]","[(3.4001544, 7.574464)]","[(3.3656154, 8.340042)]","[(3.0457659, 9.575942)]"
14,"[(4.8717604, -9.7120285)]","[(4.0863595, -8.749668)]","[(4.4276876, -7.660481)]","[(4.8091645, -6.323945)]","[(4.0520606, -5.8337216)]","[(4.282246, -4.3631816)]","[(4.537683, -3.5707629)]","[(4.7835655, -2.8615236)]","[(4.148716, -1.933556)]","[(4.6878614, -0.8337298)]","[(4.19687, 0.5678332)]","[(4.6168923, 1.3798637)]","[(4.437094, 2.4703395)]","[(4.1951337, 3.1940894)]","[(4.3083277, 4.0408487)]","[(4.668459, 5.698498)]","[(4.3076587, 6.978676)]","[(4.511279, 7.726134)]","[(4.2689023, 8.759639)]","[(4.973639, 9.093855)]"
15,"[(5.6621904, -9.989917)]","[(5.4894543, -8.002235)]","[(5.2848887, -7.456304)]","[(5.714883, -6.5307107)]","[(5.792185, -5.5025334)]","[(5.1597066, -4.406941)]","[(5.9886727, -3.293487)]","[(5.519651, -2.1375399)]","[(5.350918, -1.6723523)]","[(5.313373, -0.14426923)]","[(5.453259, 0.84401155)]","[(5.448851, 1.2753801)]","[(5.4795713, 2.6689503)]","[(5.3265133, 3.6941862)]","[(5.060567, 4.894488)]","[(5.0044966, 5.1251874)]","[(5.1710944, 6.198451)]","[(5.168648, 7.4595494)]","[(5.155392, 8.2535515)]","[(5.565516, 9.7385845)]"
