,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.775779, -7.8185086)]","[(-9.356307, -6.6383805)]","[(-9.448208, -5.9683375)]","[(-9.802, -4.592761)]","[(-9.515226, -3.5386007)]","[(-9.395043, -2.3877652)]","[(-9.650812, -1.879439)]","[(-9.837906, -0.8846925)]","[(-9.00563, 0.69644564)]","[(-9.497095, 1.8737155)]","[(-9.273032, 2.527191)]","[(-9.488051, 3.0583844)]",[],[],[],[],[],[]
1,"[(-8.492285, -9.530396)]","[(-8.823756, -8.826486)]","[(-8.786864, -7.678115)]","[(-8.639759, -6.57003)]","[(-8.2266, -5.383687)]","[(-8.131782, -4.7348404)]","[(-8.080739, -3.9945745)]","[(-8.905339, -2.473034)]","[(-8.25455, -1.003987)]","[(-8.023845, -0.42527774)]","[(-8.603126, 0.48591325)]","[(-8.830197, 1.4176079)]","[(-8.07566, 2.4117546)]","[(-8.762612, 3.787832)]","[(-8.269496, 4.454425)]",[],[],[],[],[]
2,"[(-7.1822705, -9.185762)]","[(-7.158151, -8.8415575)]","[(-7.4172764, -7.0747857)]","[(-7.230069, -6.517186)]","[(-7.54695, -5.893031)]","[(-7.013029, -4.5780697)]","[(-7.5511794, -3.822663)]","[(-7.089697, -2.7591906)]","[(-7.2133245, -1.8968434)]","[(-7.2869644, -0.9182602)]","[(-7.9473596, 0.4330151)]","[(-7.1165943, 1.0608687)]","[(-7.175785, 2.0368748)]","[(-7.108379, 3.0489533)]","[(-7.051514, 4.1472545)]","[(-7.3255734, 5.8443317)]","[(-7.6562586, 6.3994336)]","[(-7.096184, 7.554799)]",[],[]
3,"[(-6.081202, -9.74402)]","[(-6.5790396, -8.673903)]","[(-6.038887, -7.542655)]","[(-6.0756383, -6.1719246)]","[(-6.9571652, -5.9597993)]","[(-6.607029, -4.8941393)]","[(-6.300179, -3.3269157)]","[(-6.320244, -2.3744962)]","[(-6.5951943, -1.7671571)]","[(-6.687445, -0.78847003)]","[(-6.024865, 0.6249232)]","[(-6.6983876, 1.7375393)]","[(-6.5991054, 2.3450174)]","[(-6.5752244, 3.1399586)]","[(-6.7138414, 4.9186516)]","[(-6.3528414, 5.5692115)]","[(-6.6594534, 6.355808)]","[(-6.08711, 7.788397)]","[(-6.399296, 8.400224)]",[]
4,"[(-5.1353726, -9.486173)]","[(-5.2108994, -8.228381)]","[(-5.4095616, -7.4978113)]","[(-5.800532, -6.232327)]","[(-5.1082244, -5.287429)]","[(-5.8520355, -4.530217)]","[(-5.872122, -3.0610447)]","[(-5.7612987, -2.8407729)]","[(-5.0472493, -1.2440796)]","[(-5.0215273, -0.7964241)]","[(-5.5686064, 0.11163653)]","[(-5.386992, 1.7666358)]","[(-5.518658, 2.1684823)]","[(-5.8048673, 3.5247583)]","[(-5.1674633, 4.326258)]","[(-5.221168, 5.5026827)]","[(-5.0728855, 6.081064)]","[(-5.276006, 7.7398186)]","[(-5.324953, 8.6329975)]",[]
5,"[(-4.2831955, -9.313941)]","[(-4.6458297, -8.849694)]","[(-4.058473, -7.3689113)]","[(-4.050656, -6.344354)]","[(-4.4215913, -5.187375)]","[(-4.957642, -4.6961155)]","[(-4.294965, -3.2639048)]","[(-4.7543206, -2.8241515)]","[(-4.2047462, -1.4225574)]","[(-4.224172, -0.47951967)]","[(-4.577241, 0.49721026)]","[(-4.217472, 1.2709019)]","[(-4.325495, 2.583178)]","[(-4.128517, 3.1677928)]","[(-4.8751554, 4.651388)]","[(-4.6992426, 5.186834)]","[(-4.440721, 6.531379)]","[(-4.2971034, 7.3270984)]","[(-4.0300097, 8.05638)]","[(-4.4173617, 9.005275)]"
6,"[(-3.1297596, -9.1511135)]","[(-3.9883924, -8.062111)]","[(-3.4709108, -7.0584173)]","[(-3.1916592, -6.3385034)]","[(-3.0535035, -5.639566)]","[(-3.3567472, -4.0127683)]","[(-3.4454243, -3.0808482)]","[(-3.3205535, -2.4148157)]","[(-3.0704687, -1.2830195)]","[(-3.2714834, -0.17238036)]","[(-3.1272275, 0.12826796)]","[(-3.463414, 1.3895416)]","[(-3.8258832, 2.2548122)]","[(-3.1910026, 3.8935535)]","[(-3.4489787, 4.635367)]","[(-3.1567998, 5.9427333)]","[(-3.200737, 6.3500977)]","[(-3.3120394, 7.4341116)]","[(-3.1483898, 8.219514)]","[(-3.0944512, 9.256024)]"
7,"[(-2.8946202, -9.707646)]","[(-2.688212, -8.09969)]","[(-2.4431882, -7.9466925)]","[(-2.597319, -6.8286004)]","[(-2.0932329, -5.347217)]","[(-2.145612, -4.0192)]","[(-2.3727953, -3.555495)]","[(-2.212639, -2.0095088)]","[(-2.4764745, -1.0139388)]","[(-2.7308831, -0.31447452)]","[(-2.563367, 0.39433885)]","[(-2.436369, 1.2351829)]","[(-2.790954, 2.0989041)]","[(-2.860999, 3.6649766)]","[(-2.835228, 4.5493593)]","[(-2.9668682, 5.965692)]","[(-2.7947118, 6.3823423)]","[(-2.0760486, 7.8631663)]","[(-2.1112227, 8.060764)]","[(-2.9472055, 9.727465)]"
8,"[(-1.1470215, -9.869043)]","[(-1.2425885, -8.241991)]","[(-1.9452268, -7.6849275)]","[(-1.3896749, -6.2977724)]","[(-1.2046417, -5.3492966)]","[(-1.1994833, -4.115143)]","[(-1.6758622, -3.8600626)]","[(-1.5142944, -2.7347426)]","[(-1.1050192, -1.1544225)]","[(-1.5427291, -0.4640079)]","[(-1.6588058, 0.6199161)]","[(-1.0836539, 1.7329017)]","[(-1.1652011, 2.0143237)]","[(-1.1814339, 3.0483315)]","[(-1.4324381, 4.082056)]","[(-1.3360875, 5.1219244)]","[(-1.4035659, 6.4437346)]","[(-1.0406314, 7.542863)]","[(-1.7899952, 8.069074)]","[(-1.8622292, 9.567481)]"
9,"[(-0.45418233, -9.251345)]","[(-0.9001426, -8.311696)]","[(-0.9863103, -7.633577)]","[(-0.1359897, -6.4422584)]","[(-0.21988459, -5.4227433)]","[(-0.2525308, -4.6629663)]","[(-0.022989143, -3.2487018)]","[(-0.7736832, -2.8017776)]","[(-0.07591692, -1.4108644)]","[(-0.10473859, -0.74078083)]","[(-0.40473342, 0.19274142)]","[(-0.039459303, 1.7568)]","[(-0.36518618, 2.185352)]","[(-0.5019965, 3.5192814)]","[(-0.8658642, 4.0985546)]","[(-0.014177665, 5.7261996)]","[(-0.5948596, 6.116502)]","[(-0.28611037, 7.762125)]","[(-0.6794518, 8.820578)]","[(-0.028599134, 9.062176)]"
