,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,32/400,100,54,[0.5614],[0.3234],[0.0697],[0.9985],"[-3.2675,-4.4945]","[3.2037,6.1272]",17.97,1171.84
1,algoQD,1,40/400,100,23,[0.6315],[0.3081],[0.0314],[0.9985],"[-3.4752,-4.4945]","[4.2994,6.1272]",25.26,576.81
2,algoQD,2,49/400,100,23,[0.6661],[0.3029],[0.0296],[0.9985],"[-3.4752,-4.4945]","[4.2994,6.1272]",32.64,575.55
3,algoQD,3,52/400,100,17,[0.6901],[0.2887],[0.0296],[0.9985],"[-3.4752,-4.4945]","[4.2994,6.1272]",35.88,584.48
4,algoQD,4,58/400,100,13,[0.6942],[0.2766],[0.0296],[0.9985],"[-3.4752,-4.4945]","[4.2994,6.1272]",40.26,568.53
5,algoQD,5,61/400,100,13,[0.7112],[0.2628],[0.0307],[0.9985],"[-3.4752,-5.5047]","[5.0618,6.1272]",43.38,571.36
6,algoQD,6,67/400,100,15,[0.6957],[0.2753],[0.0314],[0.9985],"[-3.4752,-5.5047]","[5.3854,6.1272]",46.61,564.65
7,algoQD,7,70/400,100,13,[0.6945],[0.2806],[0.0399],[0.9985],"[-3.4752,-5.5047]","[5.3854,6.1272]",48.61,578.08
8,algoQD,8,76/400,100,16,[0.7008],[0.2782],[0.0399],[0.9985],"[-4.2533,-5.5047]","[5.3854,6.1272]",53.26,568.76
9,algoQD,9,80/400,100,18,[0.7187],[0.271],[0.0399],[0.9988],"[-5.0567,-5.5047]","[5.3854,6.1272]",57.50,570.24
10,algoQD,10,85/400,100,19,[0.7248],[0.2822],[0.0399],[0.9998],"[-5.0567,-5.5047]","[5.4631,6.1272]",61.61,572.44
11,algoQD,11,87/400,100,7,[0.7285],[0.2843],[0.0399],[0.9998],"[-5.0567,-5.6532]","[5.4631,6.1272]",63.38,566.62
12,algoQD,12,94/400,100,12,[0.7095],[0.2942],[0.0399],[0.9998],"[-5.0567,-6.2229]","[5.4631,6.1272]",66.69,584.11
13,algoQD,13,97/400,100,12,[0.7168],[0.3002],[0.0288],[0.9998],"[-5.0567,-6.2229]","[5.4631,6.1272]",69.53,545.16
14,algoQD,14,103/400,100,15,[0.7147],[0.2986],[0.0208],[0.9998],"[-5.0567,-6.2229]","[6.7986,6.2918]",73.61,563.70
15,algoQD,15,105/400,100,9,[0.7237],[0.2875],[0.0288],[0.9998],"[-5.0567,-6.2229]","[6.7986,6.2918]",75.99,566.67
16,algoQD,16,108/400,100,12,[0.7419],[0.2872],[0.0288],[0.9998],"[-5.0567,-7.4405]","[6.7986,6.2918]",80.12,553.10
17,algoQD,17,113/400,100,12,[0.7427],[0.2836],[0.0288],[0.9998],"[-5.0567,-7.4405]","[6.7986,6.2918]",83.92,551.72
18,algoQD,18,119/400,100,14,[0.7354],[0.2896],[0.0288],[0.9998],"[-5.0567,-7.4405]","[6.7986,6.2918]",87.51,562.27
19,algoQD,19,121/400,100,11,[0.7428],[0.2897],[0.0288],[0.9999],"[-5.2650,-7.4405]","[6.7986,6.2918]",89.88,569.66
20,algoQD,20,121/400,100,4,[0.7451],[0.29],[0.0288],[0.9999],"[-5.2650,-7.4405]","[6.7986,6.2918]",90.16,558.94
21,algoQD,21,121/400,100,12,[0.7545],[0.2887],[0.0361],[0.9999],"[-5.2650,-7.4405]","[6.7986,6.2918]",91.30,568.59
22,algoQD,22,125/400,100,9,[0.7554],[0.2861],[0.0426],[0.9999],"[-5.2650,-7.4405]","[6.7986,6.2918]",94.42,573.13
23,algoQD,23,126/400,100,8,[0.7633],[0.2805],[0.0426],[0.9999],"[-5.2650,-7.4405]","[6.7986,6.4772]",96.17,568.04
24,algoQD,24,126/400,100,5,[0.7742],[0.2709],[0.1113],[0.9999],"[-5.2650,-7.4405]","[6.7986,6.4772]",97.55,550.48
25,algoQD,25,127/400,100,8,[0.7802],[0.2697],[0.1113],[0.9999],"[-5.2650,-7.4405]","[6.7986,6.4772]",99.09,563.80
26,algoQD,26,128/400,100,6,[0.786],[0.2666],[0.1113],[0.9999],"[-5.2650,-7.6658]","[6.7986,6.4772]",100.61,588.61
27,algoQD,27,128/400,100,9,[0.7914],[0.2646],[0.1113],[0.9999],"[-5.2650,-7.6658]","[6.7986,6.4772]",101.31,535.52
28,algoQD,28,128/400,100,8,[0.797],[0.263],[0.1113],[0.9999],"[-5.2650,-7.6658]","[6.7986,6.4772]",102.01,566.63
29,algoQD,29,130/400,100,9,[0.7983],[0.2615],[0.1113],[0.9999],"[-5.2650,-7.6658]","[6.7986,6.4772]",103.78,561.97
30,algoQD,30,133/400,100,8,[0.7894],[0.272],[0.0203],[0.9999],"[-5.2650,-7.6658]","[7.2132,6.4772]",104.99,567.12
31,algoQD,31,134/400,100,9,[0.799],[0.2665],[0.0203],[0.9999],"[-5.2650,-7.6658]","[7.2132,6.4772]",107.07,602.10
32,algoQD,32,135/400,100,8,[0.8151],[0.2502],[0.0203],[0.9999],"[-5.2650,-7.6658]","[7.2132,6.4772]",110.03,576.80
33,algoQD,33,136/400,100,8,[0.8213],[0.2442],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",111.70,570.21
34,algoQD,34,137/400,100,6,[0.8194],[0.2456],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",112.26,566.06
35,algoQD,35,137/400,100,10,[0.8277],[0.2393],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",113.39,563.65
36,algoQD,36,137/400,100,2,[0.8279],[0.2394],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",113.42,569.67
37,algoQD,37,138/400,100,7,[0.8326],[0.2386],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",114.90,567.22
38,algoQD,38,139/400,100,10,[0.8442],[0.2276],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",117.34,541.50
39,algoQD,39,141/400,100,9,[0.8496],[0.2261],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",119.79,591.95
40,algoQD,40,143/400,100,6,[0.8573],[0.2175],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",122.60,555.75
41,algoQD,41,145/400,100,7,[0.8591],[0.2128],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",124.57,521.56
42,algoQD,42,147/400,100,5,[0.86],[0.2115],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",126.43,583.25
43,algoQD,43,148/400,100,8,[0.8613],[0.2073],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",127.47,546.76
44,algoQD,44,150/400,100,4,[0.8589],[0.2083],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",128.83,563.38
45,algoQD,45,150/400,100,4,[0.8619],[0.2047],[0.0203],[0.9999],"[-5.2650,-7.6658]","[8.1275,6.4772]",129.29,547.88
46,algoQD,46,152/400,100,10,[0.8653],[0.1999],[0.0203],[0.9999],"[-5.2650,-7.6785]","[8.1275,6.4772]",131.53,564.28
47,algoQD,47,156/400,100,10,[0.8624],[0.2015],[0.0203],[0.9999],"[-5.2650,-7.6785]","[8.1275,6.4772]",134.54,576.29
48,algoQD,48,157/400,100,7,[0.8634],[0.2033],[0.0203],[0.9999],"[-5.2650,-7.6785]","[8.1275,7.4615]",135.55,575.46
49,algoQD,49,157/400,100,1,[0.8638],[0.2034],[0.0203],[0.9999],"[-5.2650,-7.6785]","[8.1275,7.4615]",135.61,549.78
50,algoQD,50,157/400,100,8,[0.8672],[0.2008],[0.0203],[0.9999],"[-5.2650,-7.6785]","[8.1275,7.4615]",136.15,567.61
51,algoQD,51,161/400,100,10,[0.8647],[0.1986],[0.0203],[0.9999],"[-5.2650,-7.6785]","[8.1275,7.4615]",139.21,584.66
52,algoQD,52,162/400,100,5,[0.8656],[0.1985],[0.0203],[0.9999],"[-5.2650,-7.6785]","[8.1275,7.4615]",140.22,560.09
53,algoQD,53,162/400,100,4,[0.8697],[0.1954],[0.0203],[0.9999],"[-5.2650,-7.6785]","[8.1275,7.4615]",140.89,563.48
