,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1,[],[],[],[],[],[],"[(-8.481064, -3.3551657)]",[],"[(-8.4209175, -1.1864798)]",[],[],[],"[(-8.062473, 2.833807)]",[],[],[],[],[],[],[]
2,[],"[(-7.463718, -8.592588)]","[(-7.405949, -7.797566)]",[],[],[],[],[],"[(-7.284645, -1.1352682)]",[],[],[],[],[],[],[],[],[],[],[]
3,[],[],[],[],"[(-6.7432513, -5.6422653)]","[(-6.837234, -4.167782)]","[(-6.4997234, -3.783772)]","[(-6.5095043, -2.9027348)]","[(-6.1399307, -1.1999238)]","[(-6.1350183, -0.6125708)]","[(-6.499002, 0.9728773)]",[],"[(-6.8899064, 2.240265)]",[],[],[],[],[],[],[]
4,[],[],"[(-5.111524, -7.062076)]","[(-5.158742, -6.970082)]","[(-5.46318, -5.4177427)]","[(-5.4206567, -4.1999574)]","[(-5.7441607, -3.5452929)]","[(-5.2804775, -2.467504)]","[(-5.43785, -1.4579797)]","[(-5.2920346, -0.6664016)]","[(-5.136179, 0.01992935)]","[(-5.07728, 1.430772)]","[(-5.1779857, 2.3235161)]","[(-5.311446, 3.4470954)]","[(-5.091753, 4.343355)]","[(-5.383338, 5.1795096)]",[],[],[],[]
5,[],"[(-4.1035976, -8.043015)]","[(-4.078364, -7.904203)]","[(-4.561346, -6.8676124)]","[(-4.05115, -5.0007)]","[(-4.6923714, -4.152172)]","[(-4.454593, -3.851327)]","[(-4.618488, -2.5768194)]","[(-4.3832426, -1.6358141)]","[(-4.7782965, -0.95670664)]","[(-4.1481757, 0.19854939)]","[(-4.3441925, 1.788403)]","[(-4.712518, 2.2019055)]","[(-4.1005216, 3.0723882)]","[(-4.564773, 4.899956)]","[(-4.321313, 5.7020674)]",[],"[(-4.701789, 7.5458264)]",[],[]
6,"[(-3.8134854, -9.2249155)]","[(-3.3274045, -8.145609)]",[],"[(-3.9617748, -6.0427856)]","[(-3.960534, -5.052496)]","[(-3.317554, -4.593714)]","[(-3.3346746, -3.342627)]","[(-3.1822646, -2.8639345)]","[(-3.5526686, -1.0268669)]","[(-3.9050462, -0.3493561)]","[(-3.785671, 0.76684105)]","[(-3.2140915, 1.0673839)]","[(-3.051493, 2.6894932)]","[(-3.7002153, 3.6097372)]",[],"[(-3.5204022, 5.219269)]",[],"[(-3.2522442, 7.2085366)]",[],[]
7,"[(-2.5995677, -9.851793)]","[(-2.833987, -8.571383)]","[(-2.7556818, -7.5526533)]","[(-2.7298706, -6.8232794)]","[(-2.302044, -5.2400875)]","[(-2.7039073, -4.603988)]","[(-2.2088132, -3.0613184)]","[(-2.5383773, -2.6062922)]","[(-2.164557, -1.1022393)]","[(-2.0094078, -0.52176785)]","[(-2.306142, 0.5648607)]","[(-2.0250607, 1.954819)]","[(-2.8529165, 2.1202435)]","[(-2.3287148, 3.3195975)]","[(-2.7993898, 4.3055162)]","[(-2.7632606, 5.226189)]","[(-2.843058, 6.7985)]",[],"[(-2.9489114, 8.058816)]",[]
8,[],"[(-1.1753029, -8.111608)]","[(-1.7891241, -7.3330793)]","[(-1.0009537, -6.4854836)]","[(-1.8896796, -5.2751975)]","[(-1.5122372, -4.004729)]","[(-1.9339126, -3.843838)]","[(-1.407888, -2.2924)]","[(-1.4560294, -1.2735816)]","[(-1.8636107, -0.45952284)]","[(-1.7804029, 0.32185143)]","[(-1.424459, 1.530595)]","[(-1.9220188, 2.5190177)]","[(-1.2008687, 3.2391949)]","[(-1.0738828, 4.0170465)]","[(-1.9285636, 5.7092695)]","[(-1.0378275, 6.1856413)]","[(-1.8042172, 7.0702987)]","[(-1.258454, 8.608409)]",[]
9,"[(-0.086679555, -9.1939335)]","[(-0.6740117, -8.5696125)]","[(-0.32220232, -7.5457344)]","[(-0.77664554, -6.2876368)]","[(-0.6258808, -5.8412576)]","[(-0.727979, -4.2641554)]","[(-0.6713725, -3.1139865)]","[(-0.6243167, -2.088097)]","[(-0.31828946, -1.2732644)]","[(-0.06863305, -0.074154496)]","[(-0.36908382, 0.99558675)]","[(-0.6361237, 1.2508713)]","[(-0.7018591, 2.8580713)]","[(-0.4075594, 3.6622505)]","[(-0.80177027, 4.563407)]","[(-0.98755705, 5.391923)]","[(-0.9611074, 6.106381)]",[],[],[]
10,[],"[(0.85695446, -8.2219715)]","[(0.87993264, -7.2975335)]","[(0.633395, -6.709101)]","[(0.84101427, -5.7351418)]","[(0.3216245, -4.1010404)]","[(0.8985897, -3.7895203)]","[(0.1875943, -2.727791)]","[(0.25764242, -1.0367057)]","[(0.85537106, -0.7853563)]","[(0.12028906, 0.022508902)]","[(0.20205149, 1.1193447)]","[(0.7034772, 2.527077)]","[(0.60569364, 3.777148)]","[(0.29295355, 4.1678953)]","[(0.1265283, 5.132748)]","[(0.6449163, 6.8110375)]","[(0.03218428, 7.4083285)]",[],[]
11,[],"[(1.5813442, -8.135191)]","[(1.1318394, -7.015864)]","[(1.8170531, -6.6731234)]","[(1.5806776, -5.460627)]","[(1.3580546, -4.9758735)]","[(1.7392381, -3.7261908)]","[(1.6580652, -2.6446698)]","[(1.9756306, -1.4863162)]","[(1.3526422, -0.80521804)]","[(1.0316553, 0.1856197)]","[(1.4980495, 1.3836424)]","[(1.4146609, 2.7928317)]","[(1.1409905, 3.361785)]","[(1.815266, 4.0416026)]","[(1.8322589, 5.1156096)]","[(1.7853764, 6.365582)]","[(1.0119313, 7.064986)]","[(1.566915, 8.671606)]",[]
12,[],"[(2.4435272, -8.191329)]","[(2.1535592, -7.5305576)]","[(2.982115, -6.0560284)]","[(2.5984585, -5.7236958)]","[(2.27298, -4.246439)]","[(2.7947316, -3.3917)]","[(2.379016, -2.952513)]","[(2.6005938, -1.5333774)]","[(2.3075385, -0.57284033)]","[(2.0597959, 0.83899635)]","[(2.8355467, 1.7586784)]","[(2.2536457, 2.7094166)]","[(2.254495, 3.6026864)]","[(2.8153756, 4.691764)]","[(2.6284285, 5.7721467)]","[(2.8713553, 6.0820103)]","[(2.8248913, 7.7965274)]",[],[]
13,"[(3.548941, -9.827937)]",[],[],"[(3.8354259, -6.8686657)]","[(3.240794, -5.395517)]","[(3.4062088, -4.5684824)]","[(3.146421, -3.5629318)]","[(3.4296997, -2.9001935)]","[(3.5713234, -1.9752125)]","[(3.0653024, -0.058619015)]","[(3.1264253, 0.35167494)]","[(3.37432, 1.6819531)]","[(3.025488, 2.536793)]","[(3.8897662, 3.3605797)]","[(3.829878, 4.2584524)]","[(3.5407078, 5.3404417)]",[],"[(3.3658578, 7.274393)]",[],[]
14,[],[],[],"[(4.1898212, -6.3689427)]","[(4.3598385, -5.360604)]","[(4.2717795, -4.1056876)]","[(4.545353, -3.2352512)]","[(4.7545257, -2.9916234)]","[(4.1196876, -1.4930094)]","[(4.336617, -0.96954054)]","[(4.0807943, 0.01582162)]","[(4.373332, 1.5171051)]","[(4.105023, 2.10989)]","[(4.8465767, 3.0446365)]","[(4.4892364, 4.593327)]","[(4.340697, 5.52594)]","[(4.0717597, 6.4701176)]","[(4.654038, 7.6313796)]","[(4.6213408, 8.555963)]",[]
15,[],"[(5.8167877, -8.245835)]","[(5.8160453, -7.0328083)]","[(5.741584, -6.2477603)]","[(5.5442877, -5.0348024)]","[(5.062034, -4.582576)]","[(5.072952, -3.2049704)]","[(5.7018995, -2.4436462)]","[(5.5339932, -1.6702152)]","[(5.021848, -0.013562378)]","[(5.154269, 0.29324225)]","[(5.5788426, 1.70886)]","[(5.4662156, 2.7668273)]","[(5.589599, 3.2921436)]","[(5.603183, 4.405515)]","[(5.027889, 5.5728216)]","[(5.282015, 6.078749)]","[(5.085752, 7.141096)]",[],[]
16,[],[],[],[],[],"[(6.301843, -4.3381987)]","[(6.384221, -3.5017164)]","[(6.0866814, -2.6013577)]","[(6.248314, -1.5576158)]","[(6.386057, -0.21699472)]","[(6.295143, 0.3211637)]","[(6.0960536, 1.6435714)]","[(6.1310873, 2.419746)]","[(6.125134, 3.0334103)]","[(6.0205135, 4.182333)]","[(6.0821047, 5.069841)]","[(6.0480547, 6.3481984)]",[],[],[]
17,[],[],[],[],[],"[(7.818204, -4.8040347)]","[(7.565758, -3.6061642)]","[(7.26159, -2.524567)]","[(7.134933, -1.2055124)]","[(7.8270707, -0.04484944)]","[(7.610407, 0.17407776)]","[(7.252053, 1.4171268)]","[(7.466089, 2.3185601)]","[(7.1466527, 3.4592576)]","[(7.7981367, 4.8541965)]","[(7.9279566, 5.31918)]","[(7.5385246, 6.8603487)]",[],[],[]
18,[],[],[],[],[],"[(8.3846655, -4.023778)]","[(8.434595, -3.695111)]","[(8.174535, -2.82024)]","[(8.268148, -1.0794905)]","[(8.008851, -0.45941234)]","[(8.508732, 0.0053911097)]","[(8.022727, 1.1470454)]","[(8.011316, 2.4433708)]","[(8.814793, 3.12824)]","[(8.050961, 4.616576)]","[(8.726102, 5.6233745)]",[],[],[],[]
19,[],[],[],[],[],"[(9.088102, -4.428158)]",[],[],"[(9.456254, -1.3906093)]","[(9.131209, -0.52493554)]","[(9.627751, 0.05762627)]","[(9.890292, 1.1910789)]","[(9.056669, 2.451932)]","[(9.203658, 3.4089203)]",[],[],[],[],[],[]
