,0
0,118
1,157
2,161
3,166
4,170
5,173
6,176
7,213
8,243
9,286
10,290
11,301
12,306
13,312
14,319
15,324
16,332
17,346
18,351
19,358
20,367
21,369
22,370
23,376
24,378
25,381
26,387
27,393
28,395
29,400
30,408
31,413
32,420
33,431
34,433
35,438
36,439
37,444
38,449
39,450
40,451
41,453
42,455
43,457
44,459
45,460
46,463
47,466
48,469
49,478
50,482
51,483
52,485
53,489
54,490
55,491
56,493
57,498
58,514
59,515
60,520
61,522
62,525
63,534
64,535
65,546
66,549
67,550
68,553
69,554
70,558
71,563
72,565
73,566
74,569
75,572
76,575
77,582
78,586
79,588
80,590
81,595
82,596
83,598
84,603
85,604
86,606
87,607
88,608
89,616
90,619
91,625
92,628
93,631
94,632
95,635
96,637
97,640
98,643
99,649
100,650
101,653
102,654
103,658
104,659
105,660
106,666
107,667
108,668
109,670
110,673
111,677
112,679
113,680
114,682
115,683
116,684
117,688
118,690
119,692
120,694
121,695
122,697
123,700
124,702
125,703
126,704
127,705
128,707
129,708
130,710
131,711
132,712
133,715
134,716
135,718
136,722
137,727
138,729
139,730
140,731
141,732
142,733
143,734
144,739
145,740
146,741
147,745
148,747
149,750
150,751
151,755
152,757
153,758
154,760
155,762
156,764
157,765
158,766
159,767
160,768
161,770
162,772
163,774
164,775
165,777
166,779
167,780
168,781
169,782
170,783
171,785
172,788
173,789
174,792
175,794
176,797
177,798
178,799
179,801
180,802
181,803
182,804
183,805
184,806
185,807
186,811
187,812
188,813
189,815
190,816
191,817
192,818
193,819
194,820
195,821
196,822
197,823
198,824
199,825
200,826
201,828
202,829
203,831
204,832
205,833
206,834
207,836
208,838
209,839
210,840
211,841
212,842
213,845
214,846
215,847
216,848
217,849
218,850
219,851
220,852
221,853
222,854
223,855
224,857
225,858
226,859
227,860
228,861
229,862
230,863
231,864
232,866
233,868
234,869
235,870
236,871
237,872
238,873
239,874
240,875
241,876
242,877
243,879
244,880
245,881
246,882
247,883
248,884
249,885
250,886
251,887
252,889
253,892
254,893
255,894
256,895
257,896
258,898
259,899
260,900
261,901
262,902
263,903
264,904
265,905
266,906
267,907
268,908
269,909
270,910
271,911
272,912
273,913
274,914
275,915
276,916
277,917
278,918
279,919
280,920
281,921
282,922
283,923
284,924
285,925
286,926
287,927
288,928
289,929
290,930
291,931
292,932
293,933
294,934
295,935
296,936
