,0
0,50
1,77
2,179
3,201
4,320
5,323
6,330
7,353
8,359
9,365
10,368
11,373
12,383
13,394
14,398
15,403
16,404
17,414
18,418
19,419
20,422
21,423
22,430
23,439
24,455
25,460
26,464
27,469
28,471
29,480
30,481
31,497
32,500
33,504
34,508
35,509
36,514
37,516
38,519
39,520
40,535
41,557
42,559
43,562
44,575
45,581
46,586
47,594
48,598
49,599
50,601
51,602
52,609
53,620
54,622
55,629
56,630
57,635
58,636
59,638
60,641
61,644
62,648
63,651
64,652
65,653
66,656
67,663
68,664
69,668
70,674
71,677
72,680
73,684
74,686
75,690
76,698
77,703
78,704
79,707
80,709
81,710
82,712
83,715
84,716
85,717
86,720
87,721
88,722
89,723
90,728
91,729
92,734
93,739
94,742
95,744
96,748
97,749
98,751
99,752
100,757
101,758
102,760
103,763
104,764
105,765
106,775
107,778
108,779
109,782
110,786
111,787
112,788
113,794
114,800
115,803
116,804
117,808
118,810
119,813
120,814
121,818
122,819
123,822
124,824
125,826
126,827
127,829
128,831
129,832
130,835
131,839
132,840
133,846
134,848
135,850
136,851
137,852
138,853
139,854
140,862
141,867
142,873
143,874
144,875
145,877
146,880
147,881
148,882
149,884
150,887
151,891
152,892
153,894
154,897
155,899
156,900
157,901
158,911
159,913
160,919
161,921
162,923
163,924
164,925
165,926
166,927
167,928
168,933
169,934
170,935
171,938
172,939
173,940
174,941
175,942
176,943
177,945
178,947
179,948
180,949
181,951
182,952
183,953
184,957
185,958
186,961
187,963
188,965
189,966
190,967
191,968
192,969
193,971
194,972
195,975
196,976
197,979
198,981
199,983
200,984
201,988
202,989
203,990
204,993
205,994
206,995
207,998
208,1001
209,1003
210,1005
211,1006
212,1007
213,1008
214,1009
215,1010
216,1012
217,1013
218,1014
219,1016
220,1017
221,1018
222,1021
223,1022
224,1024
225,1025
226,1027
227,1028
228,1031
229,1032
230,1033
231,1037
232,1038
233,1040
234,1041
235,1042
236,1044
237,1045
238,1046
239,1047
240,1048
241,1049
242,1050
243,1051
244,1053
245,1054
246,1055
247,1056
248,1060
249,1062
250,1064
251,1066
252,1068
253,1069
254,1070
255,1072
256,1073
257,1074
258,1075
259,1076
260,1077
261,1079
262,1080
263,1081
264,1082
265,1083
266,1084
267,1085
268,1087
269,1088
270,1089
271,1090
272,1091
273,1092
274,1093
275,1094
276,1095
277,1096
278,1097
279,1098
280,1100
281,1101
282,1102
283,1103
284,1105
285,1106
286,1107
287,1108
288,1109
289,1110
290,1111
291,1112
292,1113
293,1114
294,1115
295,1116
296,1117
297,1118
298,1119
299,1120
300,1121
301,1122
302,1123
303,1124
304,1125
305,1126
306,1127
307,1128
308,1129
309,1130
310,1131
311,1132
312,1133
313,1134
314,1135
315,1136
316,1137
317,1138
318,1139
