,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,42/400,100,63,[0.6725],[0.2836],[0.0092],[0.9915],"[-5.2027,-5.2264]","[5.5346,4.7924]",28.25,1070.76
1,algoQD,1,61/400,100,31,[0.658],[0.2868],[0.0092],[0.9915],"[-5.2027,-5.6111]","[5.5346,4.7924]",40.14,534.18
2,algoQD,2,71/400,100,30,[0.6832],[0.2821],[0.0092],[0.9915],"[-5.2027,-5.6111]","[5.5346,4.4149]",48.51,535.14
3,algoQD,3,80/400,100,28,[0.7174],[0.2772],[0.0092],[0.9975],"[-5.2027,-6.2195]","[5.5346,4.4149]",57.39,520.34
4,algoQD,4,88/400,100,24,[0.7223],[0.275],[0.0092],[0.9992],"[-5.3887,-8.4976]","[5.5346,4.4149]",63.56,553.93
5,algoQD,5,92/400,100,13,[0.7256],[0.2731],[0.0092],[0.9992],"[-6.3899,-8.4976]","[5.5346,4.4149]",66.76,539.74
6,algoQD,6,100/400,100,18,[0.739],[0.269],[0.0092],[0.9992],"[-7.1019,-9.1760]","[5.5346,5.7002]",73.90,520.06
7,algoQD,7,103/400,100,16,[0.7554],[0.2658],[0.0092],[0.9993],"[-7.1019,-9.1760]","[6.6650,5.7002]",77.80,517.89
8,algoQD,8,108/400,100,14,[0.746],[0.2736],[0.0142],[0.9993],"[-7.1019,-9.1760]","[6.6650,5.7002]",80.57,506.16
9,algoQD,9,117/400,100,18,[0.7538],[0.2689],[0.0142],[0.9993],"[-7.4000,-9.1760]","[6.6650,5.7002]",88.19,531.74
10,algoQD,10,121/400,100,15,[0.7623],[0.266],[0.0142],[0.9993],"[-7.4000,-9.1760]","[6.6650,5.7002]",92.23,533.28
11,algoQD,11,130/400,100,18,[0.7549],[0.2666],[0.0142],[0.9993],"[-9.2957,-9.4728]","[7.0412,5.7002]",98.14,509.39
12,algoQD,12,132/400,100,12,[0.7585],[0.2649],[0.0142],[0.9993],"[-9.2957,-9.4728]","[7.0412,5.7002]",100.13,502.07
13,algoQD,13,133/400,100,9,[0.7673],[0.2616],[0.0142],[0.9993],"[-9.6909,-9.4728]","[7.0412,5.7002]",102.06,524.07
14,algoQD,14,140/400,100,16,[0.766],[0.2634],[0.0142],[0.9993],"[-9.6909,-9.4728]","[7.0412,5.7002]",107.24,529.41
15,algoQD,15,143/400,100,8,[0.7691],[0.2571],[0.0142],[0.9993],"[-9.6909,-9.4728]","[7.0412,5.7002]",109.98,514.30
