,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.168429, -7.045778)]","[(-9.838145, -6.3008285)]","[(-9.141355, -5.0646186)]","[(-9.8373165, -4.148658)]","[(-9.805379, -3.093866)]","[(-9.398452, -2.2484643)]","[(-9.217066, -1.2844733)]","[(-9.53126, -0.6056136)]","[(-9.253055, 0.80189806)]","[(-9.632632, 1.5512544)]","[(-9.347193, 2.0080554)]","[(-9.456386, 3.8890083)]","[(-9.239237, 4.0359097)]","[(-9.6669, 5.651587)]",[],[],[],[]
1,[],"[(-8.222526, -8.1516)]",[],"[(-8.271716, -6.2410665)]","[(-8.373593, -5.6312876)]","[(-8.439115, -4.2034063)]","[(-8.35945, -3.4706604)]","[(-8.499685, -2.6989484)]","[(-8.2754135, -1.9297034)]","[(-8.245407, -0.27921873)]","[(-8.445975, 0.09351302)]","[(-8.096017, 1.3147756)]","[(-8.998396, 2.0072107)]","[(-8.486653, 3.6707113)]","[(-8.732104, 4.1366377)]","[(-8.880148, 5.0323343)]","[(-8.644354, 6.396807)]","[(-8.184188, 7.7199736)]","[(-8.211956, 8.611904)]",[]
2,"[(-7.305734, -9.012563)]","[(-7.1484113, -8.976975)]","[(-7.9212885, -7.5905275)]","[(-7.2394443, -6.608002)]","[(-7.017574, -5.31323)]","[(-7.4856935, -4.7543173)]","[(-7.690898, -3.7469962)]","[(-7.1700606, -2.1661222)]","[(-7.506305, -1.3949449)]","[(-7.038065, -0.64270365)]","[(-7.182411, 0.15782228)]","[(-7.497484, 1.9969155)]","[(-7.5687165, 2.4315217)]","[(-7.762996, 3.5050101)]","[(-7.032037, 4.970584)]","[(-7.7180567, 5.822164)]","[(-7.724612, 6.626924)]","[(-7.0333567, 7.868578)]","[(-7.2072725, 8.10388)]",[]
3,"[(-6.0331416, -9.507092)]","[(-6.027508, -8.786337)]","[(-6.4832625, -7.709831)]","[(-6.0369425, -6.787258)]","[(-6.176486, -5.7661376)]","[(-6.7988925, -4.2778373)]","[(-6.4065976, -3.2369125)]","[(-6.292924, -2.1955192)]","[(-6.9946547, -1.9226317)]","[(-6.5406218, -0.9334189)]","[(-6.242683, 0.6060335)]","[(-6.5654736, 1.5272455)]","[(-6.1622033, 2.7956545)]","[(-6.0218635, 3.056134)]","[(-6.7934294, 4.783389)]","[(-6.307788, 5.4145107)]","[(-6.722473, 6.205694)]","[(-6.4556484, 7.0107865)]","[(-6.4640145, 8.391248)]","[(-6.4468913, 9.318292)]"
4,"[(-5.0214148, -9.303257)]","[(-5.7653265, -8.069291)]","[(-5.4912963, -7.0932517)]","[(-5.1160517, -6.3296742)]","[(-5.3702884, -5.7225432)]","[(-5.1554217, -4.440476)]","[(-5.2394676, -3.2603893)]","[(-5.4998903, -2.8417945)]","[(-5.4425864, -1.6043419)]","[(-5.3396473, -0.71124065)]","[(-5.59304, 0.92316914)]","[(-5.6632285, 1.5125538)]","[(-5.6059422, 2.7886755)]","[(-5.4982, 3.163635)]","[(-5.708619, 4.837884)]","[(-5.9775467, 5.9990625)]","[(-5.0518665, 6.109733)]","[(-5.462091, 7.28877)]","[(-5.344151, 8.596643)]","[(-5.6299143, 9.471352)]"
5,"[(-4.8118615, -9.671366)]","[(-4.036508, -8.985732)]","[(-4.437906, -7.9970913)]","[(-4.9842834, -6.041837)]","[(-4.2655354, -5.856813)]","[(-4.080587, -4.774853)]","[(-4.011663, -3.6382153)]","[(-4.7936, -2.4875798)]","[(-4.674319, -1.3137684)]","[(-4.7315297, -0.8222819)]","[(-4.724428, 0.86172783)]","[(-4.4097376, 1.6810292)]","[(-4.3271317, 2.4939098)]","[(-4.719238, 3.2865477)]","[(-4.587604, 4.279514)]","[(-4.590773, 5.7231565)]","[(-4.192382, 6.283457)]","[(-4.3912125, 7.83279)]","[(-4.1153526, 8.922442)]","[(-4.672923, 9.559634)]"
6,"[(-3.5494623, -9.123167)]","[(-3.829136, -8.314665)]","[(-3.3348594, -7.8424206)]","[(-3.947239, -6.0504994)]","[(-3.50986, -5.0670853)]","[(-3.9496734, -4.549142)]","[(-3.175785, -3.983437)]","[(-3.4485254, -2.2451808)]","[(-3.2402067, -1.7494433)]","[(-3.9723375, -0.53669494)]","[(-3.8684459, 0.8035437)]","[(-3.2188315, 1.9901229)]","[(-3.668119, 2.4175122)]","[(-3.0109866, 3.4246004)]","[(-3.384576, 4.5941396)]","[(-3.9572656, 5.192906)]","[(-3.1101656, 6.3339934)]","[(-3.434468, 7.5717425)]","[(-3.5839682, 8.887583)]","[(-3.3479335, 9.556324)]"
7,"[(-2.4014916, -9.547498)]","[(-2.340068, -8.640873)]","[(-2.0789633, -7.303643)]","[(-2.9404268, -6.976958)]","[(-2.8059034, -5.3984766)]","[(-2.7840662, -4.2635584)]","[(-2.3671913, -3.896778)]","[(-2.356341, -2.6010883)]","[(-2.6875162, -1.2728158)]","[(-2.3794162, -0.09589489)]","[(-2.8678849, 0.9458138)]","[(-2.0844827, 1.3316255)]","[(-2.1410224, 2.0809076)]","[(-2.3863685, 3.0314803)]","[(-2.354469, 4.7536254)]","[(-2.5143373, 5.353425)]","[(-2.4753354, 6.6720476)]","[(-2.7547836, 7.469819)]","[(-2.3314908, 8.164877)]","[(-2.078374, 9.979745)]"
8,"[(-1.2641832, -9.9531145)]","[(-1.9425025, -8.803609)]","[(-1.0727539, -7.341052)]","[(-1.2156794, -6.478424)]","[(-1.143844, -5.6774263)]","[(-1.5646609, -4.929447)]","[(-1.1369667, -3.789306)]","[(-1.6194887, -2.6102564)]","[(-1.8465736, -1.3162355)]","[(-1.6815314, -0.96646166)]","[(-1.6489849, 0.2817437)]","[(-1.2847395, 1.7629853)]","[(-1.518894, 2.7095425)]","[(-1.9743245, 3.0613072)]","[(-1.9572475, 4.146502)]","[(-1.7547826, 5.555495)]","[(-1.4261208, 6.6517167)]","[(-1.9970224, 7.480766)]","[(-1.7127029, 8.587152)]","[(-1.3752993, 9.742976)]"
9,"[(-0.2939708, -9.589797)]","[(-0.5248685, -8.544719)]","[(-0.38674095, -7.297436)]","[(-0.5530549, -6.6692014)]","[(-0.8240367, -5.8788695)]","[(-0.42241287, -4.8084087)]","[(-0.15234494, -3.7913926)]","[(-0.3241178, -2.316375)]","[(-0.7953067, -1.5282542)]","[(-0.009874282, -0.18961245)]","[(-0.8068817, 0.5061722)]","[(-0.5107441, 1.0464655)]","[(-0.6931244, 2.1814632)]","[(-0.07851502, 3.3486195)]","[(-0.022262085, 4.6201687)]","[(-0.37496, 5.34511)]","[(-0.28209257, 6.4742312)]","[(-0.8475943, 7.6304984)]","[(-0.71838903, 8.704625)]","[(-0.74541503, 9.2982235)]"
