,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"(0.7543908558338571,)","(0.9146414185088201,)","(0.9376130525088773,)","(0.9898151956831535,)","(0.9155478649604472,)","(0.9830128554035421,)","(0.9281886006061013,)","(0.5134424978007832,)","(0.8762770254477728,)",,"(0.9632368556638392,)","(0.9311879997121186,)","(0.8241998473971894,)","(0.9826952421053536,)","(0.9922459062290847,)","(0.9673927170671445,)","(0.9248169953716929,)","(0.8625578620693166,)","(0.9170892213671938,)","(0.9164845624654769,)"
1,"(0.8029297943379714,)","(0.8986498445037421,)","(0.9708584028621612,)","(0.9663007882456552,)","(0.9816358778054265,)","(0.9940726665985724,)","(0.987396439433433,)","(0.9732541112600468,)","(0.9722588509506116,)","(0.9941015205979941,)","(0.8610522514866075,)","(0.9895017398928605,)","(0.9617780887257943,)","(0.9651392877281378,)","(0.9185512409468395,)","(0.9959217068444038,)","(0.9754831569994157,)","(0.9811951676588516,)","(0.969266074302769,)","(0.9490007023516929,)"
2,,"(0.9095637022445182,)","(0.9663737575799911,)","(0.9786854514821799,)","(0.9661138880719486,)","(0.9743356711341217,)","(0.9741133563979256,)","(0.8513541380944707,)","(0.9950012742408998,)","(0.9711809753135786,)","(0.8784783714568293,)","(0.998435302340323,)","(0.9726270320934512,)","(0.9801163409578363,)","(0.9832866080944291,)","(0.934979855262505,)","(0.9406675722560995,)","(0.9921234911757788,)","(0.9960149589419185,)","(0.9628107910460977,)"
3,"(0.7696912962814677,)","(0.9761723618397551,)","(0.9809225054411046,)","(0.9797152402001418,)","(0.9969382575393254,)","(0.9893595463851472,)","(0.3644796674694972,)","(0.985655003899406,)","(0.9963095548810313,)","(0.9670932643245774,)","(0.9856746840534457,)","(0.9713268937476496,)","(0.9992757957813183,)","(0.994363646972001,)","(0.9918583449413644,)","(0.9928084407232285,)","(0.9893210904404454,)","(0.997824801771298,)","(0.9967721126369926,)","(0.9921067296818447,)"
4,"(0.9870600160822551,)","(0.9821958193673321,)","(0.9949245947916399,)","(0.9878818790044719,)","(0.9716547747496503,)","(0.9889644391652512,)","(0.9392893481916135,)","(0.9981695321840633,)","(0.9010672512516509,)","(0.9880506429891366,)","(0.9869234009383123,)","(0.9676559353777603,)","(0.9671388284062133,)","(0.9844124264983856,)","(0.9919410531102655,)","(0.9916768559797352,)","(0.9711704131688571,)","(0.977421896064183,)","(0.9807153258481145,)","(0.9517466444215532,)"
5,"(0.9440683213420393,)","(0.9526342486565339,)","(0.9911319627280446,)","(0.924081389537044,)","(0.9925441985129596,)","(0.9808977448738752,)","(0.9630700717652539,)","(0.933268890022748,)","(0.9990946204644167,)","(0.9832709177207134,)","(0.9642300230238776,)","(0.9314317781059092,)","(0.9979608280809031,)","(0.9419474846705486,)","(0.9992830177324906,)","(0.9998889896959005,)","(0.9724100293692206,)","(0.9979828624177893,)","(0.9973165674987462,)","(0.9867971541268749,)"
6,"(0.9864783223827683,)","(0.9928421195532184,)","(0.9949923643842735,)","(0.9795236408769648,)","(0.971334958995454,)","(0.9965208331496594,)","(0.997121775584669,)","(0.9575509473878645,)","(0.998176034099952,)","(0.9982636630591722,)","(0.9883179118281457,)","(0.9931438086266048,)","(0.9887708603167426,)","(0.99881529071446,)","(0.9568520027892033,)","(0.989532823276157,)","(0.9940090627640308,)","(0.9955283363069558,)","(0.9692197881632795,)","(0.9877832986559358,)"
7,"(0.975112229308696,)","(0.9846921421249057,)","(0.9554540599735446,)","(0.9926716484204159,)","(0.9975950031953489,)","(0.9774863400667232,)","(0.9991860653047911,)","(0.9968456137065805,)","(0.9865534722598508,)","(0.9889910633067397,)","(0.9847483396144826,)","(0.9947831136300161,)","(0.9902379163790553,)","(0.9991404064827757,)","(0.9759951027515702,)","(0.9890975211929566,)","(0.9809263106395858,)","(0.9833554113544557,)","(0.9918349973171997,)","(0.9744246186695774,)"
8,"(0.8871845079563865,)","(0.9690525131573494,)","(0.9945114406850242,)","(0.9958258827053365,)","(0.9847336580073778,)","(0.9952071011058141,)","(0.9909646228194529,)","(0.9864054849922839,)","(0.9991334296198291,)","(0.9979823592051258,)","(0.99991239075419,)","(0.9964574270059953,)","(0.9963808968606994,)","(0.9966100925193379,)","(0.9942771685381697,)","(0.9623384987164596,)","(0.994915527071966,)","(0.9617205217711665,)","(0.8737679586032524,)","(0.9506738095549534,)"
9,"(0.9888370092724548,)","(0.9863942303985116,)","(0.9989454888934975,)","(0.9832205465991047,)","(0.9826453811596387,)","(0.9965877240268634,)","(0.9975386049230763,)","(0.9796236945054064,)","(0.9984913168595555,)","(0.999765598277251,)","(0.997910647922092,)","(0.9975921843724005,)","(0.9903660678054526,)","(0.9951409388179532,)","(0.9312033055696525,)","(0.9809164223916998,)","(0.9510525201033371,)","(0.9699261445572157,)","(0.957733014147801,)","(0.9994308907934857,)"
