,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,54/400,100,72,[0.5966],[0.2827],[0.0093],[0.9976],"[-6.6225,-6.8256]","[8.5088,9.8795]",32.22,1132.48
1,algoQD,1,88/400,100,56,[0.601],[0.2888],[0.0093],[0.9988],"[-9.3046,-7.8667]","[8.5088,9.8795]",52.89,542.36
2,algoQD,2,114/400,100,54,[0.6597],[0.2955],[0.0093],[0.9988],"[-9.3046,-8.3803]","[8.5088,9.8795]",75.20,564.13
3,algoQD,3,136/400,100,38,[0.668],[0.2928],[0.0119],[0.9988],"[-9.3046,-8.3803]","[9.2194,9.8795]",90.84,567.15
4,algoQD,4,157/400,100,39,[0.6979],[0.2931],[0.0105],[0.9988],"[-9.3046,-9.3535]","[9.2194,9.8795]",109.57,579.80
5,algoQD,5,176/400,100,38,[0.7111],[0.2873],[0.0105],[0.9995],"[-9.3046,-9.5223]","[9.2194,9.8795]",125.16,553.63
6,algoQD,6,190/400,100,30,[0.7106],[0.2895],[0.0119],[0.9995],"[-9.3046,-9.3535]","[9.2194,9.8795]",135.01,571.46
7,algoQD,7,204/400,100,37,[0.718],[0.2791],[0.0021],[0.9995],"[-9.3046,-9.3535]","[9.5315,9.8795]",146.48,569.55
8,algoQD,8,218/400,100,29,[0.7217],[0.2725],[0.0021],[0.9995],"[-9.3046,-9.3535]","[9.5315,9.8795]",157.32,563.21
9,algoQD,9,227/400,100,24,[0.7206],[0.2764],[0.0021],[0.9996],"[-9.3046,-9.3535]","[9.8801,9.8795]",163.58,549.88
10,algoQD,10,235/400,100,26,[0.7255],[0.2811],[0.0021],[0.9996],"[-9.3046,-9.3535]","[9.8801,9.8795]",170.50,564.64
11,algoQD,11,242/400,100,16,[0.7323],[0.2774],[0.0021],[0.9996],"[-9.3046,-9.3535]","[9.8801,9.8795]",177.21,574.28
12,algoQD,12,245/400,100,19,[0.7486],[0.2629],[0.0021],[0.9996],"[-9.3046,-9.9899]","[9.8801,9.8795]",183.41,556.26
13,algoQD,13,253/400,100,23,[0.759],[0.2542],[0.0021],[0.9996],"[-9.3046,-9.9899]","[9.8801,9.8795]",192.04,555.05
