,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,"(0.6739643423144597,)","(0.9874197971019599,)","(0.9219761148082128,)","(0.9532170398231223,)","(0.5333415032483922,)","(0.9763836865921676,)","(0.9983097240792849,)","(0.7729086247531218,)","(0.9833888396570286,)","(0.9271223674641388,)","(0.9294162592679373,)","(0.8627286976926425,)",,"(0.9515121017389011,)","(0.9777187029935274,)","(0.9985649075020421,)","(0.9023961678226502,)",
1,,,,"(0.6379330912374845,)",,"(0.552595079357781,)","(0.7203375368883882,)","(0.9904046244354672,)","(0.7392368059429502,)","(0.6082164281463456,)","(0.9896268826591899,)","(0.48835550154527896,)","(0.9583623269228462,)","(0.905245986025924,)","(0.9791907016933455,)","(0.9030239239284356,)","(0.9817469775967557,)","(0.9568301035815769,)","(0.8378793366669508,)",
2,"(0.9686416169861303,)",,"(0.9856570752999393,)","(0.7463221619047719,)","(0.7435665589439164,)","(0.729917810634904,)","(0.7646660571539865,)","(0.8468344149388239,)","(0.9349421007815093,)","(0.9552854179017756,)","(0.9979774814897926,)","(0.957449338136952,)","(0.9764765310495739,)","(0.7779189501194379,)","(0.9995043376386111,)","(0.9711789439508051,)","(0.9789013487349317,)","(0.9604315427576151,)","(0.9445137690967758,)","(0.8431255067961365,)"
3,"(0.9105850511644051,)",,"(0.973337812950871,)","(0.8062062729583408,)","(0.6477487401025722,)","(0.6066697354522397,)","(0.9880119689240779,)","(0.8888116537537909,)","(0.921987840056806,)","(0.9643289147902844,)","(0.9039916457014536,)","(0.9831363361991552,)","(0.9615440612289199,)","(0.9910346542391485,)","(0.9794928690558821,)","(0.9874542759818644,)","(0.9541513104228746,)","(0.9852898107432702,)","(0.984369215345741,)","(0.738747254720858,)"
4,"(0.8381333286757333,)","(0.7194696551540445,)","(0.9382041749640068,)","(0.8413042360645095,)","(0.9056745572475546,)","(0.8572976664970046,)","(0.9793445049459886,)","(0.9974345380636862,)","(0.9899396493892537,)","(0.9697881712994,)","(0.9611850476888681,)","(0.9984183514205458,)","(0.9606838830352861,)","(0.9743392031803682,)","(0.9837633305763066,)","(0.9927227463133713,)","(0.9686016035371172,)","(0.9869553954713682,)","(0.9685885886477494,)","(0.9423061994159737,)"
5,"(0.9758148979070603,)","(0.9780125207641044,)","(0.9836235458241593,)","(0.9974594407293248,)","(0.9991318324950877,)","(0.8519182722919807,)","(0.9124479089274007,)","(0.9915734659200965,)","(0.9128467659695957,)","(0.9943187501425671,)","(0.9970676156215555,)","(0.9894298472518187,)","(0.9965214206576627,)","(0.9722346252163179,)","(0.9833285012026494,)","(0.9952910738488586,)","(0.9990095406216202,)","(0.9994368677821199,)","(0.9614047234882709,)","(0.9694564883250598,)"
6,"(0.8689243044072384,)","(0.9885020106739973,)","(0.9852397078606314,)","(0.9912385211902358,)","(0.9701355360632558,)","(0.9703248609102716,)","(0.9992477732801549,)","(0.9460977485393863,)","(0.9904185303660071,)","(0.9931826698443216,)","(0.991510239309525,)","(0.9921295244161087,)","(0.9881721076197664,)","(0.9915500532486735,)","(0.9974748445727405,)","(0.997195140077075,)","(0.9805792175556014,)","(0.9841534929905473,)","(0.9812987266534227,)","(0.9183115540202105,)"
7,"(0.9172181950696832,)","(0.9928441403375717,)","(0.9901102604116457,)","(0.9364123001486739,)","(0.9774676379871287,)","(0.9630836533764713,)","(0.9880951697388402,)","(0.984538357383543,)","(0.9981629688728871,)","(0.9952336826088157,)","(0.970238496848941,)","(0.9884365464229454,)","(0.9842269187986972,)","(0.9887056782816969,)","(0.9723184963946766,)","(0.995884489843745,)","(0.958093002597697,)","(0.9952758799301819,)","(0.9974307355973742,)","(0.9274782345007995,)"
8,"(0.9986282099040266,)","(0.9795612697233941,)","(0.9962206556228529,)","(0.9977392533155376,)","(0.9984119200186187,)","(0.9992309777719992,)","(0.9909780316848225,)","(0.9991871743707113,)","(0.9787012227367575,)","(0.9629984864083813,)","(0.9986538923167902,)","(0.9962587290555843,)","(0.9918467341029441,)","(0.9997168974679842,)","(0.9996574006193394,)","(0.9973864342221961,)","(0.867765137024048,)","(0.9849317000167434,)","(0.977961013784297,)","(0.9168732105262904,)"
9,"(0.9824926871539625,)","(0.9877099607674886,)","(0.9792577876933329,)","(0.965281815549093,)","(0.9905560174412148,)","(0.9758763890864455,)","(0.9999624542661297,)","(0.9857429087136457,)","(0.9953524764340279,)","(0.9998905446794298,)","(0.9928466796875,)","(0.9960791511192396,)","(0.9983153678713917,)","(0.9992726919075011,)","(0.9998314477731589,)","(0.9967767940006129,)","(0.9668807822368086,)","(0.997944675644072,)","(0.9934169956222086,)","(0.9826328227803806,)"
10,"(0.9836065410097745,)","(0.9847753963394072,)","(0.9843288678702796,)","(0.9913617311636039,)","(0.9956405020531343,)","(0.9956867705172183,)","(0.9909230426034498,)","(0.9980684744213337,)","(0.9982500261852898,)","(0.9993743040457976,)","(0.9999094989564684,)","(0.9863713874825863,)","(0.9908925166325182,)","(0.9928111819473846,)","(0.9959011968941509,)","(0.9920466536635836,)","(0.9818547857673174,)","(0.9667815645505574,)","(0.9595407182393586,)","(0.995190641329212,)"
11,"(0.9899466927888416,)","(0.9987872682108411,)","(0.9869928345809752,)","(0.9924348002888981,)","(0.9952937377081443,)","(0.998199759386921,)","(0.9858337034457567,)","(0.9994293880220416,)","(0.9961315574153642,)","(0.9896749323137264,)","(0.997247731856252,)","(0.9860693962024923,)","(0.9962920851896405,)","(0.9918153660495432,)","(0.9759366555177599,)","(0.9983258192345736,)","(0.9967362250271476,)","(0.9445616319547341,)","(0.9418647040940271,)","(0.995535884367381,)"
12,"(0.9983519129883749,)","(0.9932073595442242,)","(0.9715811280552379,)","(0.9922216095330175,)","(0.9947045413971257,)","(0.9895350742577345,)","(0.9811898123012036,)","(0.9966639117860817,)","(0.9818296032125343,)","(0.992651897271587,)","(0.9756202539830614,)","(0.9924716566792651,)","(0.978738991433338,)","(0.9954277135895726,)","(0.9764192775899944,)","(0.9836998244062009,)","(0.9449981046561244,)","(0.8986341247426147,)","(0.979803109581899,)","(0.9903480926453118,)"
13,"(0.9952929678573756,)","(0.9908299462391773,)","(0.9961363416669343,)","(0.9959037881660192,)","(0.985272747475625,)","(0.9998759116057695,)","(0.979709067537654,)","(0.9811296457383754,)","(0.9021427574510555,)","(0.9889687261566362,)","(0.990204051918258,)","(0.9603991338991812,)","(0.9680217473805809,)","(0.9472968589628841,)","(0.9882126503271442,)","(0.9956334174586634,)","(0.879171933347245,)","(0.9607359573715816,)","(0.9951544858061354,)","(0.9674758500354392,)"
14,"(0.9967699560514208,)","(0.983106336256123,)","(0.9227276799800873,)","(0.9734956353621587,)","(0.9962936024738506,)","(0.9986060352528356,)","(0.9699716963897329,)","(0.978719881254176,)","(0.997678952850949,)","(0.9805120658371992,)","(0.9418081352332959,)","(0.9959509337002304,)","(0.9795883353857435,)","(0.954318276714825,)","(0.9455721790859974,)","(0.9031357835304354,)","(0.9968141264012031,)","(0.9921402834862625,)","(0.9968167841247065,)","(0.9719577423798186,)"
15,"(0.9921286270310286,)","(0.9945050195323419,)","(0.998464321329198,)","(0.9893249860415627,)","(0.9848533725437404,)","(0.9990944005820306,)","(0.971022397905293,)","(0.98951806395111,)","(0.9261548746420468,)","(0.9848178856316673,)","(0.9299964705751721,)","(0.8900920735101165,)","(0.9498947466370884,)","(0.9936541301571755,)","(0.935010190071521,)","(0.9963086186620606,)","(0.9065603018335004,)","(0.9843953701635021,)","(0.9667523347337269,)","(0.9704142106959934,)"
