,0
0,51
1,84
2,135
3,137
4,147
5,169
6,186
7,229
8,247
9,299
10,314
11,323
12,327
13,341
14,351
15,381
16,398
17,420
18,438
19,490
20,495
21,497
22,499
23,511
24,524
25,529
26,541
27,544
28,551
29,554
30,556
31,562
32,569
33,582
34,585
35,593
36,602
37,605
38,610
39,619
40,626
41,634
42,637
43,638
44,639
45,647
46,663
47,682
48,684
49,686
50,690
51,691
52,704
53,714
54,718
55,723
56,724
57,731
58,734
59,735
60,743
61,750
62,752
63,758
64,760
65,761
66,768
67,769
68,776
69,778
70,779
71,781
72,786
73,788
74,789
75,793
76,823
77,827
78,829
79,834
80,836
81,840
82,845
83,846
84,848
85,860
86,867
87,871
88,879
89,880
90,885
91,896
92,897
93,898
94,900
95,905
96,907
97,908
98,915
99,917
100,918
101,919
102,920
103,921
104,922
105,924
106,925
107,926
108,930
109,933
110,940
111,941
112,942
113,955
114,956
115,961
116,965
117,970
118,972
119,975
120,977
121,978
122,979
123,981
124,987
125,989
126,995
127,996
128,1002
129,1003
130,1005
131,1008
132,1012
133,1013
134,1016
135,1023
136,1028
137,1030
138,1032
139,1034
140,1040
141,1041
142,1042
143,1043
144,1048
145,1049
146,1050
147,1058
148,1059
149,1063
150,1067
151,1068
152,1070
153,1072
154,1073
155,1074
156,1076
157,1084
158,1086
159,1091
160,1099
161,1104
162,1106
163,1107
164,1110
165,1112
166,1113
167,1114
168,1120
169,1122
170,1123
171,1125
172,1127
173,1128
174,1129
175,1132
176,1133
177,1136
178,1140
179,1142
180,1144
181,1145
182,1148
183,1149
184,1155
185,1156
186,1158
187,1161
188,1163
189,1167
190,1168
191,1172
192,1173
193,1174
194,1176
195,1177
196,1178
197,1179
198,1180
199,1183
200,1184
201,1186
202,1187
203,1189
204,1190
205,1193
206,1195
207,1198
208,1199
209,1200
210,1201
211,1207
212,1208
213,1209
214,1211
215,1212
216,1213
217,1215
218,1216
219,1217
220,1218
221,1220
222,1223
223,1225
224,1226
225,1227
226,1228
227,1230
228,1233
229,1235
230,1237
231,1238
232,1239
233,1240
234,1242
235,1243
236,1244
237,1245
238,1246
239,1247
240,1248
241,1249
242,1250
243,1254
244,1258
245,1259
246,1260
247,1261
248,1263
249,1264
250,1265
251,1269
252,1271
253,1272
254,1273
255,1274
256,1275
257,1278
258,1280
259,1281
260,1283
261,1286
262,1287
263,1288
264,1289
265,1290
266,1291
267,1292
268,1293
269,1294
270,1295
271,1296
272,1297
273,1298
274,1299
275,1300
276,1303
277,1304
278,1306
279,1307
280,1308
281,1309
282,1311
283,1312
284,1313
285,1314
286,1315
287,1318
288,1320
289,1321
290,1323
291,1325
292,1326
293,1327
294,1328
295,1329
296,1330
297,1332
298,1333
299,1334
300,1335
301,1336
302,1338
303,1339
304,1340
305,1341
306,1342
307,1343
308,1344
309,1345
310,1346
311,1347
312,1348
313,1349
314,1350
315,1353
316,1355
317,1357
318,1358
319,1359
320,1361
321,1362
322,1363
323,1364
324,1365
325,1366
326,1367
327,1368
328,1369
329,1370
330,1371
331,1372
332,1374
333,1376
334,1377
335,1378
336,1379
337,1381
338,1382
339,1383
340,1384
341,1385
342,1386
343,1387
344,1388
345,1389
346,1390
347,1391
348,1392
349,1393
350,1394
351,1395
352,1396
353,1397
354,1398
355,1399
356,1400
357,1401
358,1402
359,1403
360,1404
361,1405
362,1406
363,1407
364,1408
365,1409
366,1410
367,1411
368,1412
369,1413
370,1414
371,1415
372,1416
373,1417
374,1418
375,1419
376,1420
377,1421
378,1422
379,1423
380,1424
381,1425
382,1426
