,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,"(0.13851319811512053,)","(0.14233505523535173,)","(0.17321133987690918,)","(0.30392581932845053,)","(0.25362944614688376,)","(0.2160599847942769,)","(0.2513111498850389,)","(0.08959640933348001,)",,,,,,,
1,,,,,"(0.06607587731413322,)","(0.1878546193191193,)","(0.2071430792133655,)","(0.3303397934631923,)","(0.3005167645331822,)","(0.5828758461559125,)","(0.29503962585021837,)","(0.22475348498160985,)","(0.26207848051584093,)","(0.16607483306632043,)","(0.14101759164946548,)",,,,,
2,,,,"(0.13881990625775575,)","(0.14464867176695684,)","(0.22244682270487537,)","(0.2526765182221604,)","(0.3189404486176114,)","(0.284441457339462,)","(0.22213991814238876,)","(0.27076801721485244,)","(0.7693312935300595,)","(0.828451254967358,)","(0.6691668066479599,)","(0.8338137081558676,)",,,,,
3,,,"(0.051781135150866575,)","(0.15141235227768557,)","(0.19561966608760595,)","(0.30555065822332006,)","(0.3205538582907653,)","(0.2524094012288759,)","(0.6725344673736781,)","(0.9697662128750715,)","(0.8342589257740681,)","(0.9405142158558002,)","(0.8355063242324983,)","(0.8915960515014996,)","(0.8433811024959659,)","(0.8133669966078205,)","(0.9073392154943807,)",,,
4,,,"(0.04942602476580771,)","(0.1636964771851187,)","(0.4861660869328016,)","(0.13807065358219284,)","(0.9941076698686859,)","(0.9815585619170922,)","(0.9980587243255397,)","(0.8927929237519082,)","(0.8544175350568967,)","(0.9033076592442386,)","(0.7957892670221403,)","(0.9068150873929597,)","(0.9465497789734874,)","(0.97646865788848,)","(0.9375227083508119,)","(0.7733887700677422,)",,
5,,,"(0.13304821085687857,)","(0.85785485599419,)","(0.17625982543346252,)","(0.9601057140834471,)","(0.9707251480937835,)","(0.9883527457986204,)","(0.995943477530361,)","(0.9942979781315567,)","(0.962637356669667,)","(0.8544967420275662,)","(0.9488885589520335,)","(0.9860340693604936,)","(0.8979898339914812,)","(0.8418246982740227,)","(0.9589084563409428,)","(0.8672857845045914,)",,
6,,,"(0.14109068475350273,)","(0.9188323533355559,)","(0.9886317241975874,)","(0.8588061206302173,)","(0.9884752996643112,)","(0.9998450374794067,)","(0.9854035466205078,)","(0.9851963099710009,)","(0.9920324185635762,)","(0.9995887056837041,)","(0.9852158282000482,)","(0.9571403660463011,)","(0.9031826816214477,)","(0.9818831072977152,)","(0.9717029033010924,)","(0.9912705869707114,)","(0.7867884502317404,)","(0.653475332298479,)"
7,,,"(0.8800996519085128,)","(0.9085250724049858,)","(0.9856724818090506,)","(0.984243760424238,)","(0.9981951551392151,)","(0.9975791942360573,)","(0.9954642856500503,)","(0.9997200115741112,)","(0.9740257012089455,)","(0.9944836743414897,)","(0.9993515850521305,)","(0.9901936103463397,)","(0.9869628046527241,)","(0.9937708639498298,)","(0.9820553603250731,)","(0.9981403995486612,)","(0.9411379655984363,)",
8,,,"(0.9829868986684562,)","(0.9283951530255474,)","(0.9891599215319935,)","(0.9421441865380876,)","(0.9770480765794671,)","(0.9945376829713691,)","(0.9985715802782731,)","(0.9985025295779173,)","(0.9918482875094848,)","(0.9981568014183271,)","(0.9996813018293905,)","(0.9941755367193956,)","(0.9723712121505735,)","(0.9776727823321569,)","(0.988560027377411,)","(0.9671289167711905,)",,"(0.9050709522098865,)"
9,,"(0.8369178563169872,)","(0.9940973719754884,)","(0.9712248764102178,)","(0.9965077338181502,)","(0.993989816613939,)","(0.9961620942441837,)","(0.9961452857217785,)","(0.999707727627161,)","(0.9998173952102661,)","(0.9968574523925782,)","(0.9984067564806944,)","(0.9892335691812915,)","(0.9913969590671075,)","(0.9885136886784324,)","(0.9969059449537339,)","(0.9734744250506796,)","(0.9691010891090293,)","(0.9893390909269505,)","(0.9641852796858109,)"
10,,"(0.9638457224416808,)","(0.9824466300570378,)","(0.9963711923366929,)","(0.9947160079320643,)","(0.9965382440379471,)","(0.9994640714054627,)","(0.99764177265723,)","(0.9996684101626288,)","(0.999703194834678,)","(0.9999214768409729,)","(0.997893556014654,)","(0.9984198314560612,)","(0.9720695048474511,)","(0.9919224624967075,)","(0.999372378812099,)","(0.9962419358563464,)","(0.9914359508674474,)","(0.8713066543000906,)","(0.7424717754336385,)"
11,,"(0.9892339282149291,)","(0.992976013974916,)","(0.9996137312736377,)","(0.9975715587580737,)","(0.9925602677780849,)","(0.9933963334928996,)","(0.9946745971758146,)","(0.9990812889753562,)","(0.9969475646432948,)","(0.9992165253329861,)","(0.9933441730460801,)","(0.9912654861769332,)","(0.9932111974531913,)","(0.9886726755978886,)","(0.9854604284090764,)","(0.9973575601597888,)","(0.9867708982347692,)","(0.9841446106045388,)","(0.918220587556909,)"
12,,,"(0.9875155828746108,)","(0.9987826499719508,)","(0.9853076112073578,)","(0.998315820665484,)","(0.9935622824739075,)","(0.958310468324643,)","(0.9953843944768396,)","(0.9957275065142669,)","(0.987069847886289,)","(0.9989403666340493,)","(0.9933371550260156,)","(0.9974164812206855,)","(0.9988418900841574,)","(0.9731268175270936,)","(0.9972014517028722,)","(0.987788968026655,)","(0.94112428398218,)","(0.8637089244374038,)"
13,,"(0.8701512106852202,)","(0.9865065236390156,)","(0.9996749273262108,)","(0.9946866646397208,)","(0.9914502581075482,)","(0.9933126527614083,)","(0.9962752154731914,)","(0.973834551641947,)","(0.9766467974663928,)","(0.9929953604365097,)","(0.9832222928477273,)","(0.9886604239911811,)","(0.9925743254661828,)","(0.997072408611046,)","(0.9975221802631131,)","(0.9965200229678661,)","(0.9996829732114315,)","(0.9603220387340833,)",
14,,,"(0.9064258246765096,)","(0.9560121061350622,)","(0.991884866742544,)","(0.9868022890580376,)","(0.995139874578472,)","(0.9944170947936445,)","(0.9858298821248677,)","(0.9999591460767656,)","(0.9984975429936251,)","(0.9945592772481585,)","(0.9934180579086149,)","(0.9799216083391117,)","(0.9939253073018817,)","(0.984202766629855,)","(0.9626010961228149,)",,,
15,,,,"(0.9590181251083167,)","(0.9850511378958774,)","(0.9774690089842307,)","(0.9777366442060049,)","(0.9541624582883054,)","(0.9064980400286496,)","(0.9218267283025336,)","(0.9897924386245713,)","(0.9683530697598207,)","(0.9949988289389347,)","(0.9907207274354594,)","(0.9680551720712776,)","(0.982608728730156,)","(0.9899474200655258,)",,,
16,,,,,,,"(0.7451198448089078,)","(0.9650211626947339,)","(0.7965516013034981,)",,"(0.7137494378930509,)","(0.9415542810717958,)","(0.9788152950505439,)","(0.9996094341093329,)","(0.9785405055803768,)","(0.9486269622273854,)",,,,
17,,,,,,,,"(0.12848972342158704,)","(0.1422788867127961,)",,"(0.7115677931078228,)",,"(0.9860492045473854,)",,"(0.9656142080520367,)",,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
