,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],[],[],"[(-9.06323, -3.216102)]","[(-9.356626, -2.386686)]","[(-9.088399, -1.0705346)]","[(-9.425481, -0.98847544)]",[],[],"[(-9.524585, 2.2894928)]",[],[],[],[],[],[],[]
1,[],[],[],"[(-8.058834, -6.0595903)]","[(-8.477719, -5.1092944)]","[(-8.275697, -4.574167)]","[(-8.358608, -3.0154583)]","[(-8.676538, -2.969721)]","[(-8.408655, -1.1038929)]","[(-8.432333, -0.49352998)]","[(-8.100077, 0.0745355)]","[(-8.467372, 1.7573214)]",[],[],[],[],[],[],[],[]
2,[],[],"[(-7.166026, -7.109053)]","[(-7.262801, -6.037368)]","[(-7.04006, -5.043381)]","[(-7.186239, -4.3607078)]","[(-7.351792, -3.8041859)]","[(-7.4763517, -2.7080603)]","[(-7.495082, -1.7201736)]","[(-7.9634347, -0.8789908)]","[(-7.0996943, 0.2186684)]","[(-7.1638083, 1.6541346)]",[],"[(-7.2690573, 3.3917873)]",[],[],[],[],[],[]
3,[],"[(-6.059597, -8.490812)]","[(-6.9490986, -7.2502384)]","[(-6.0452724, -6.184554)]","[(-6.125628, -5.816906)]","[(-6.3866887, -4.975734)]","[(-6.206262, -3.7490878)]","[(-6.320581, -2.8874304)]","[(-6.886893, -1.6533438)]","[(-6.4302597, -0.51461816)]","[(-6.105298, 0.5463579)]","[(-6.307926, 1.3066692)]","[(-6.350282, 2.9907534)]","[(-6.1916075, 3.1811986)]","[(-6.2060347, 4.3192806)]","[(-6.762247, 5.411408)]",[],[],[],[]
4,"[(-5.8919015, -9.501477)]","[(-5.999707, -8.673986)]","[(-5.537121, -7.5086555)]","[(-5.315837, -6.536057)]","[(-5.558695, -5.2825418)]","[(-5.314025, -4.968853)]","[(-5.7176185, -3.730084)]","[(-5.6816874, -2.970361)]","[(-5.8208127, -1.1347375)]","[(-5.6145253, -0.23619696)]","[(-5.125522, 0.26499906)]","[(-5.56763, 1.8139027)]","[(-5.857826, 2.050949)]","[(-5.6199665, 3.8032005)]","[(-5.184821, 4.8202405)]","[(-5.1056523, 5.3669357)]","[(-5.2600293, 6.969826)]","[(-5.6792374, 7.7945375)]",[],[]
5,"[(-4.613064, -9.370408)]","[(-4.52906, -8.860426)]","[(-4.079533, -7.050778)]","[(-4.373824, -6.4820585)]","[(-4.3038735, -5.0648475)]","[(-4.606518, -4.7527366)]","[(-4.2794547, -3.9018497)]","[(-4.882515, -2.872959)]","[(-4.3049746, -1.2911189)]","[(-4.9262114, -0.4305343)]","[(-4.3601685, 0.99817824)]","[(-4.495625, 1.5893797)]","[(-4.3525863, 2.2762227)]","[(-4.3472853, 3.9544566)]","[(-4.1411724, 4.7266006)]","[(-4.404808, 5.0465074)]","[(-4.342825, 6.302198)]","[(-4.1141677, 7.0475497)]",[],[]
6,[],"[(-3.7333262, -8.330492)]","[(-3.3973475, -7.0950427)]","[(-3.1722405, -6.9016957)]","[(-3.487016, -5.5823455)]","[(-3.0500069, -4.855198)]","[(-3.1546957, -3.2132263)]","[(-3.7901647, -2.6208768)]","[(-3.5952666, -1.7641339)]","[(-3.5066285, -0.8797917)]","[(-3.8530939, 0.12274578)]","[(-3.207468, 1.4258044)]","[(-3.740514, 2.6423514)]","[(-3.880013, 3.024987)]","[(-3.0626023, 4.3911757)]","[(-3.8457932, 5.9825435)]","[(-3.7166836, 6.375039)]","[(-3.6616588, 7.312918)]",[],[]
7,"[(-2.2021909, -9.146119)]",[],"[(-2.4960377, -7.731717)]","[(-2.2195525, -6.3382587)]","[(-2.4552515, -5.39334)]","[(-2.5148416, -4.2421255)]","[(-2.9762304, -3.1354122)]","[(-2.6185055, -2.7813222)]","[(-2.9298081, -1.5385253)]","[(-2.1777842, -0.52444)]","[(-2.5647438, 0.37385315)]","[(-2.2858016, 1.0611374)]","[(-2.3254306, 2.787652)]","[(-2.7908182, 3.4291732)]","[(-2.7170954, 4.750008)]","[(-2.4017942, 5.0060863)]","[(-2.14287, 6.984295)]","[(-2.580603, 7.542289)]",[],[]
8,[],"[(-1.5919302, -8.217402)]","[(-1.146652, -7.215738)]","[(-1.2091066, -6.2474804)]","[(-1.813077, -5.1926527)]","[(-1.8797443, -4.0536237)]","[(-1.4969006, -3.237661)]","[(-1.3223444, -2.0817397)]","[(-1.2294813, -1.4139367)]","[(-1.4214238, -0.4157589)]","[(-1.3483471, 0.9222117)]","[(-1.957266, 1.2552307)]","[(-1.732971, 2.4942615)]","[(-1.7703489, 3.0753431)]","[(-1.5266703, 4.855733)]","[(-1.930767, 5.0058966)]","[(-1.1078765, 6.4176803)]",[],[],[]
9,[],"[(-0.74908763, -8.327969)]","[(-0.8784877, -7.159323)]","[(-0.45666388, -6.562814)]","[(-0.21093853, -5.125448)]","[(-0.7450895, -4.0424128)]","[(-0.8753772, -3.5016172)]","[(-0.21690671, -2.633947)]","[(-0.21366692, -1.5257505)]","[(-0.4953925, -0.80617476)]","[(-0.57054526, 0.98817825)]","[(-0.70669925, 1.0643306)]","[(-0.94111407, 2.1600387)]","[(-0.8036963, 3.220918)]","[(-0.6135556, 4.6009917)]","[(-0.32568642, 5.632077)]","[(-0.55256915, 6.0458717)]","[(-0.94208634, 7.5345993)]",[],[]
