,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,25/400,100,39,[0.6854],[0.2376],[0.199],[0.997],"[-7.4173,-3.5472]","[2.2827,3.0776]",17.13,1345.10
1,algoQD,1,37/400,100,25,[0.6406],[0.2691],[0.103],[0.999],"[-7.4173,-3.5472]","[2.8031,5.2579]",23.70,676.74
2,algoQD,2,47/400,100,24,[0.7132],[0.2537],[0.103],[0.999],"[-7.4173,-4.0830]","[2.8031,5.2579]",33.52,683.34
3,algoQD,3,61/400,100,22,[0.6874],[0.2741],[0.103],[0.999],"[-7.4173,-4.0830]","[4.0217,5.4527]",41.93,664.32
4,algoQD,4,77/400,100,26,[0.6849],[0.2846],[0.0182],[0.999],"[-7.4173,-5.6929]","[5.0454,5.4527]",52.74,668.36
5,algoQD,5,84/400,100,18,[0.6977],[0.2788],[0.103],[0.9999],"[-8.8252,-5.6929]","[5.0454,5.4527]",58.61,669.73
6,algoQD,6,91/400,100,22,[0.71],[0.295],[0.0571],[0.9999],"[-8.8252,-6.9017]","[5.0454,5.4527]",64.61,676.82
7,algoQD,7,94/400,100,12,[0.7198],[0.2877],[0.0646],[0.9999],"[-8.8252,-6.9017]","[5.0454,5.4527]",67.67,678.83
8,algoQD,8,101/400,100,16,[0.7407],[0.269],[0.0646],[0.9999],"[-8.8252,-6.9017]","[5.0454,5.4527]",74.81,692.25
9,algoQD,9,110/400,100,19,[0.753],[0.2686],[0.0503],[0.9999],"[-8.8252,-8.8604]","[5.1987,5.4527]",82.83,666.32
10,algoQD,10,115/400,100,15,[0.7695],[0.2466],[0.0646],[0.9999],"[-8.8252,-8.8604]","[5.1987,5.4527]",88.49,674.04
11,algoQD,11,117/400,100,10,[0.7796],[0.245],[0.0646],[0.9999],"[-8.8252,-8.8604]","[5.1987,5.4527]",91.22,689.00
12,algoQD,12,122/400,100,16,[0.7851],[0.2487],[0.0248],[0.9999],"[-8.8252,-8.8604]","[5.1987,5.4527]",95.78,649.84
13,algoQD,13,129/400,100,16,[0.7889],[0.2423],[0.0248],[0.9999],"[-8.8252,-8.8604]","[5.1987,5.4527]",101.77,673.94
14,algoQD,14,130/400,100,10,[0.7926],[0.2388],[0.0248],[0.9999],"[-8.8252,-8.8604]","[5.1987,5.4527]",103.04,694.94
15,algoQD,15,135/400,100,18,[0.8067],[0.2283],[0.0248],[0.9999],"[-8.8252,-8.8604]","[5.1987,5.4527]",108.91,697.77
16,algoQD,16,137/400,100,13,[0.8127],[0.2235],[0.0248],[0.9999],"[-8.8252,-8.8604]","[5.1987,5.4527]",111.34,673.30
17,algoQD,17,141/400,100,14,[0.8182],[0.2206],[0.0248],[0.9999],"[-8.8252,-8.8604]","[5.1987,5.4527]",115.37,696.18
18,algoQD,18,142/400,100,19,[0.8322],[0.2171],[0.0504],[0.9999],"[-8.8252,-8.8604]","[5.1987,5.4527]",118.17,668.85
