,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,21/400,100,34,[0.6209],[0.2867],[0.0074],[0.9995],"[-2.5252,-1.7100]","[2.7617,3.0861]",13.04,1087.84
1,algoQD,1,27/400,100,18,[0.6198],[0.3347],[0.0074],[0.9995],"[-2.5941,-2.4032]","[3.2850,3.9898]",16.74,555.93
2,algoQD,2,32/400,100,16,[0.6536],[0.3175],[0.0404],[0.9995],"[-2.6127,-2.4248]","[3.2850,3.9898]",20.91,574.37
3,algoQD,3,38/400,100,14,[0.6802],[0.2913],[0.0404],[0.9995],"[-2.6127,-3.5062]","[4.7128,4.3650]",25.85,555.06
4,algoQD,4,43/400,100,17,[0.6428],[0.3271],[0.0166],[0.9995],"[-3.2024,-3.7743]","[4.7128,4.3650]",27.64,533.64
5,algoQD,5,47/400,100,8,[0.6221],[0.3327],[0.0166],[0.9995],"[-3.2024,-3.7743]","[4.7128,4.3650]",29.24,557.75
6,algoQD,6,50/400,100,8,[0.6265],[0.3372],[0.0166],[0.9995],"[-3.2418,-3.7743]","[4.7128,4.3650]",31.32,558.33
7,algoQD,7,53/400,100,15,[0.6299],[0.3383],[0.0166],[0.9996],"[-3.2418,-3.7743]","[4.7128,4.3650]",33.38,547.31
8,algoQD,8,58/400,100,11,[0.6229],[0.3424],[0.0034],[0.9996],"[-3.2418,-3.7743]","[4.7128,4.3650]",36.13,555.07
9,algoQD,9,65/400,100,13,[0.6241],[0.3361],[0.0034],[0.9996],"[-3.2418,-4.8127]","[4.7128,4.3650]",40.57,532.61
10,algoQD,10,67/400,100,14,[0.6448],[0.3254],[0.0034],[0.9996],"[-3.2418,-4.8127]","[5.5326,4.3650]",43.20,560.71
11,algoQD,11,67/400,100,10,[0.6621],[0.3162],[0.0034],[0.9996],"[-3.2418,-4.8127]","[5.5326,4.3650]",44.36,537.40
12,algoQD,12,70/400,100,12,[0.6673],[0.3183],[0.0034],[0.9996],"[-3.2418,-4.8127]","[5.5326,4.3650]",46.71,541.81
13,algoQD,13,73/400,100,8,[0.6717],[0.3188],[0.0034],[0.9996],"[-3.2418,-4.8127]","[5.5326,5.1192]",49.03,569.22
14,algoQD,14,74/400,100,5,[0.6847],[0.311],[0.0034],[0.9996],"[-3.2418,-4.8127]","[5.5326,5.1192]",50.67,512.30
15,algoQD,15,77/400,100,10,[0.6896],[0.3033],[0.033],[0.9996],"[-3.2418,-4.8127]","[6.4386,5.1192]",53.10,567.00
16,algoQD,16,77/400,100,10,[0.7042],[0.2966],[0.033],[0.9996],"[-3.2418,-4.8127]","[6.4386,5.1192]",54.23,541.97
17,algoQD,17,78/400,100,7,[0.7146],[0.294],[0.033],[0.9996],"[-3.5523,-4.8127]","[6.4386,5.1192]",55.74,527.17
18,algoQD,18,81/400,100,8,[0.6949],[0.3127],[0.0197],[0.9996],"[-3.5523,-4.8127]","[6.8497,5.1192]",56.29,540.08
19,algoQD,19,82/400,100,8,[0.7055],[0.3093],[0.033],[0.9996],"[-3.5523,-4.8127]","[6.8497,5.1192]",57.85,530.20
20,algoQD,20,85/400,100,8,[0.6919],[0.3184],[0.033],[0.9996],"[-3.5523,-4.8127]","[6.8497,5.1192]",58.81,573.28
21,algoQD,21,86/400,100,4,[0.6883],[0.3185],[0.033],[0.9996],"[-3.5523,-4.8127]","[6.8497,5.1192]",59.19,543.86
22,algoQD,22,86/400,100,6,[0.6954],[0.3188],[0.033],[0.9996],"[-3.5523,-4.8127]","[6.8497,5.1192]",59.80,536.39
23,algoQD,23,89/400,100,8,[0.7127],[0.3147],[0.033],[0.9996],"[-4.7465,-4.8127]","[6.8497,5.1192]",63.43,566.71
24,algoQD,24,90/400,100,8,[0.7141],[0.3109],[0.033],[0.9996],"[-4.7465,-4.8127]","[6.8497,5.1192]",64.26,544.57
25,algoQD,25,91/400,100,3,[0.7143],[0.3068],[0.0492],[0.9996],"[-4.7465,-5.7840]","[6.8497,5.1192]",65.01,571.84
26,algoQD,26,92/400,100,6,[0.7106],[0.3106],[0.0492],[0.9996],"[-4.7465,-5.7840]","[6.8497,5.1192]",65.38,530.57
27,algoQD,27,96/400,100,8,[0.6964],[0.3145],[0.0492],[0.9996],"[-4.7465,-5.7840]","[6.8497,5.1192]",66.85,540.28
28,algoQD,28,100/400,100,10,[0.6996],[0.3098],[0.0492],[0.9996],"[-4.7465,-5.7840]","[6.8497,5.1192]",69.96,561.52
29,algoQD,29,103/400,100,7,[0.6942],[0.3128],[0.0283],[0.9998],"[-4.7465,-6.8160]","[6.7517,5.1192]",71.50,553.66
30,algoQD,30,106/400,100,6,[0.6862],[0.3158],[0.0283],[0.9998],"[-4.7465,-6.8160]","[7.4507,5.1192]",72.74,534.25
31,algoQD,31,109/400,100,8,[0.6816],[0.3131],[0.0283],[0.9998],"[-4.7465,-6.8160]","[7.4507,5.1192]",74.29,549.86
32,algoQD,32,111/400,100,3,[0.6857],[0.3102],[0.0283],[0.9998],"[-4.7465,-6.8160]","[7.4507,5.1192]",76.11,555.37
33,algoQD,33,112/400,100,8,[0.6875],[0.3089],[0.0283],[0.9998],"[-4.7465,-6.8160]","[7.4507,5.1192]",77.00,546.98
