,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,24/400,100,39,[0.662],[0.2624],[0.131],[0.9941],"[-2.7648,-2.4669]","[3.8338,2.8858]",15.89,1116.81
1,algoQD,1,35/400,100,30,[0.6813],[0.2812],[0.0122],[0.9941],"[-3.8757,-2.4669]","[3.8338,3.2320]",23.85,585.46
2,algoQD,2,39/400,100,20,[0.7005],[0.2876],[0.0122],[0.9977],"[-3.8757,-2.4669]","[3.8338,3.2320]",27.32,560.82
3,algoQD,3,46/400,100,16,[0.7293],[0.2653],[0.1182],[0.9977],"[-4.4951,-4.6146]","[4.7692,3.2320]",33.55,539.39
4,algoQD,4,51/400,100,9,[0.7233],[0.2686],[0.0984],[0.9977],"[-4.4951,-5.5075]","[4.7692,3.2320]",36.89,557.14
5,algoQD,5,55/400,100,13,[0.7326],[0.256],[0.0984],[0.9985],"[-4.4951,-5.5075]","[4.7692,4.7626]",40.29,558.58
6,algoQD,6,61/400,100,11,[0.7515],[0.2493],[0.0984],[0.9999],"[-4.4951,-5.5075]","[4.7692,5.0358]",45.84,553.34
7,algoQD,7,65/400,100,12,[0.7488],[0.261],[0.0312],[1.],"[-4.4951,-5.5075]","[6.3166,5.0358]",48.67,554.34
8,algoQD,8,66/400,100,9,[0.7599],[0.2637],[0.0312],[1.],"[-4.4951,-5.5075]","[6.3166,5.0358]",50.15,549.43
9,algoQD,9,68/400,100,6,[0.7673],[0.261],[0.0312],[1.],"[-4.4951,-5.5075]","[6.3166,5.0358]",52.17,570.44
10,algoQD,10,73/400,100,10,[0.7664],[0.2677],[0.0312],[1.],"[-4.4951,-5.5075]","[6.3166,5.0358]",55.95,562.05
11,algoQD,11,81/400,100,15,[0.7525],[0.2835],[0.0312],[1.],"[-4.4951,-5.5075]","[6.3166,5.2656]",60.95,550.98
12,algoQD,12,84/400,100,9,[0.7426],[0.2878],[0.0312],[1.],"[-4.4951,-5.5075]","[6.3166,5.2656]",62.38,572.53
13,algoQD,13,85/400,100,6,[0.752],[0.2759],[0.0312],[1.],"[-4.4951,-5.5075]","[6.3166,5.2656]",63.92,536.29
14,algoQD,14,87/400,100,13,[0.7725],[0.2551],[0.0312],[1.],"[-4.4951,-5.5075]","[6.3166,5.9443]",67.21,562.20
15,algoQD,15,90/400,100,8,[0.7646],[0.2586],[0.0312],[1.],"[-4.4951,-7.0178]","[6.3166,5.9443]",68.81,571.84
16,algoQD,16,93/400,100,7,[0.7657],[0.2598],[0.0312],[1.],"[-4.4951,-7.0178]","[6.3166,5.9443]",71.21,557.51
17,algoQD,17,97/400,100,14,[0.778],[0.2578],[0.0074],[1.],"[-4.4951,-7.0178]","[6.3166,5.9443]",75.46,546.02
18,algoQD,18,100/400,100,10,[0.7906],[0.2493],[0.0074],[1.],"[-4.4951,-7.0178]","[6.3166,5.9443]",79.06,562.45
19,algoQD,19,101/400,100,1,[0.7909],[0.2481],[0.0074],[1.],"[-4.4951,-7.0178]","[6.3166,5.9443]",79.89,559.65
20,algoQD,20,101/400,100,8,[0.7961],[0.2486],[0.0074],[1.],"[-4.4951,-7.0178]","[6.3166,5.9443]",80.41,556.01
21,algoQD,21,103/400,100,9,[0.7991],[0.254],[0.0074],[1.],"[-4.4951,-7.0178]","[6.3166,5.9443]",82.30,549.97
22,algoQD,22,109/400,100,17,[0.7916],[0.2597],[0.0312],[1.],"[-4.4951,-7.5229]","[7.0639,5.9443]",86.28,576.19
23,algoQD,23,113/400,100,11,[0.7829],[0.2657],[0.0312],[1.],"[-4.4951,-7.5229]","[7.0639,5.9443]",88.47,550.26
24,algoQD,24,117/400,100,10,[0.7842],[0.2632],[0.0312],[1.],"[-4.4951,-7.5229]","[7.0639,5.9443]",91.76,544.04
25,algoQD,25,120/400,100,5,[0.7875],[0.2589],[0.0312],[1.],"[-6.2748,-7.5229]","[7.0639,5.9443]",94.50,556.26
26,algoQD,26,122/400,100,8,[0.7881],[0.258],[0.0312],[1.],"[-6.2748,-7.5229]","[7.0639,5.9443]",96.15,578.55
27,algoQD,27,122/400,100,5,[0.7938],[0.2523],[0.0594],[1.],"[-6.2748,-7.5229]","[7.0639,5.9443]",96.84,550.95
28,algoQD,28,124/400,100,5,[0.7931],[0.2509],[0.0594],[1.],"[-6.2748,-7.5229]","[7.0639,5.9443]",98.35,546.05
29,algoQD,29,128/400,100,7,[0.7915],[0.2484],[0.0594],[1.],"[-6.2748,-7.5229]","[7.0639,5.9443]",101.31,573.58
30,algoQD,30,128/400,100,5,[0.7947],[0.2455],[0.0594],[1.],"[-6.2748,-7.5229]","[7.0639,5.9443]",101.73,570.53
31,algoQD,31,128/400,100,5,[0.8024],[0.2413],[0.0594],[1.],"[-6.2748,-7.5229]","[7.0639,5.6606]",102.71,579.58
32,algoQD,32,130/400,100,6,[0.7958],[0.2485],[0.0594],[1.],"[-6.2748,-7.5229]","[7.9445,5.6606]",103.45,558.17
33,algoQD,33,133/400,100,6,[0.7992],[0.2472],[0.0594],[1.],"[-6.2748,-7.8012]","[7.9445,5.6606]",106.30,572.91
34,algoQD,34,135/400,100,6,[0.7985],[0.2441],[0.0634],[1.],"[-6.4508,-7.8012]","[7.9445,5.6606]",107.80,558.39
35,algoQD,35,135/400,100,6,[0.8089],[0.2387],[0.0634],[1.],"[-6.4508,-7.8012]","[7.9445,5.6606]",109.20,555.12
36,algoQD,36,136/400,100,3,[0.8071],[0.2418],[0.0634],[1.],"[-6.4508,-7.8012]","[7.9445,5.6606]",109.76,581.82
37,algoQD,37,137/400,100,6,[0.8105],[0.2404],[0.0634],[1.],"[-6.4508,-7.8012]","[7.9445,5.6606]",111.04,551.12
38,algoQD,38,138/400,100,4,[0.8135],[0.2392],[0.0634],[1.],"[-6.4508,-7.8012]","[7.9445,5.6606]",112.26,551.44
39,algoQD,39,139/400,100,4,[0.8142],[0.2385],[0.0634],[1.],"[-6.4508,-7.8012]","[7.9445,5.6606]",113.17,557.48
40,algoQD,40,142/400,100,5,[0.8063],[0.2457],[0.0546],[1.],"[-6.4508,-7.8012]","[7.9445,5.6606]",114.50,562.02
41,algoQD,41,145/400,100,5,[0.8096],[0.239],[0.0546],[1.],"[-6.4508,-7.8012]","[7.9445,5.6606]",117.40,566.24
42,algoQD,42,146/400,100,7,[0.8184],[0.2309],[0.0546],[1.],"[-6.4508,-7.8012]","[7.9445,5.6606]",119.49,519.09
43,algoQD,43,148/400,100,9,[0.8233],[0.2238],[0.0726],[1.],"[-6.4508,-8.9245]","[7.9445,5.6606]",121.85,563.64
44,algoQD,44,150/400,100,8,[0.8247],[0.2257],[0.0726],[1.],"[-6.4508,-8.9245]","[7.9445,6.0944]",123.70,562.98
45,algoQD,45,151/400,100,7,[0.8266],[0.2256],[0.0726],[1.],"[-6.4508,-8.9245]","[7.9445,6.0944]",124.81,540.57
