,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],[],[],[],"[(-9.484721, -2.7196226)]",[],"[(-9.269927, -0.97308904)]","[(-9.03042, 0.60051197)]","[(-9.369592, 1.126832)]","[(-9.070054, 2.1240685)]","[(-9.210988, 3.4500065)]",[],[],[],[],[],[]
1,[],[],"[(-8.352881, -7.008759)]",[],"[(-8.932359, -5.1120567)]","[(-8.112297, -4.1175146)]","[(-8.42944, -3.5493248)]","[(-8.2519245, -2.4276512)]","[(-8.226505, -1.0357926)]","[(-8.59439, -0.9552082)]","[(-8.415539, 0.7407259)]","[(-8.556224, 1.1940361)]","[(-8.52631, 2.5611708)]","[(-8.645911, 3.1053236)]","[(-8.72104, 4.1766667)]","[(-8.3064, 5.7014523)]",[],"[(-8.543113, 7.0273347)]",[],[]
2,[],[],[],"[(-7.1523857, -6.8090515)]","[(-7.4407773, -5.7502604)]","[(-7.3042927, -4.696914)]","[(-7.044196, -3.721777)]","[(-7.091354, -2.972691)]","[(-7.247515, -1.3424687)]","[(-7.571308, -0.3095833)]","[(-7.36055, 0.9375733)]","[(-7.387717, 1.7778206)]","[(-7.850118, 2.034164)]","[(-7.442062, 3.541186)]","[(-7.771951, 4.114024)]","[(-7.4097776, 5.176706)]","[(-7.881846, 6.26754)]","[(-7.8746195, 7.6139364)]","[(-7.099677, 8.217229)]",[]
3,[],[],[],"[(-6.043793, -6.502876)]","[(-6.4737544, -5.4288635)]","[(-6.0883584, -4.0032496)]","[(-6.286499, -3.501707)]","[(-6.9143353, -2.39964)]","[(-6.148819, -1.6940076)]","[(-6.091936, -0.8648753)]","[(-6.228256, 0.031044193)]","[(-6.312169, 1.6504743)]","[(-6.1866126, 2.8684874)]","[(-6.6579146, 3.2323654)]","[(-6.732341, 4.716509)]","[(-6.3800097, 5.084898)]","[(-6.4755855, 6.693626)]","[(-6.696917, 7.861821)]","[(-6.605817, 8.130979)]",[]
4,[],"[(-5.887974, -8.70093)]","[(-5.431682, -7.269195)]","[(-5.7281194, -6.494906)]","[(-5.319813, -5.4121423)]","[(-5.0540624, -4.4134507)]","[(-5.32899, -3.401857)]","[(-5.4772325, -2.7306516)]","[(-5.7381854, -1.0456425)]","[(-5.5285635, -0.8764402)]","[(-5.577996, 0.3112501)]","[(-5.2031417, 1.7420892)]","[(-5.486016, 2.0173783)]","[(-5.163273, 3.0428348)]","[(-5.4076247, 4.845267)]","[(-5.6616354, 5.1520796)]","[(-5.456528, 6.704924)]","[(-5.186731, 7.7592096)]","[(-5.395693, 8.752116)]",[]
5,"[(-4.7824254, -9.0727215)]","[(-4.1428657, -8.8448715)]","[(-4.2935514, -7.475405)]","[(-4.0510087, -6.5387106)]","[(-4.5803676, -5.66485)]","[(-4.2081504, -4.9156647)]","[(-4.6810336, -3.5959837)]","[(-4.037155, -2.2287467)]","[(-4.298221, -1.2271484)]","[(-4.0592437, -0.6724077)]","[(-4.203104, 0.0047551896)]","[(-4.5880656, 1.7684773)]","[(-4.445223, 2.984978)]","[(-4.3705654, 3.2988818)]","[(-4.11701, 4.7051916)]","[(-4.8786654, 5.8994927)]","[(-4.141639, 6.3298664)]","[(-4.938776, 7.9818034)]","[(-4.1559577, 8.943437)]","[(-4.9792852, 9.573787)]"
6,"[(-3.3830328, -9.279241)]","[(-3.5022748, -8.055765)]","[(-3.9654114, -7.4997244)]","[(-3.1547928, -6.8320637)]","[(-3.268368, -5.0845757)]","[(-3.96491, -4.801443)]","[(-3.7483487, -3.1809528)]","[(-3.1818314, -2.8181539)]","[(-3.1591337, -1.6866794)]","[(-3.724721, -0.14258185)]","[(-3.9972467, 0.256424)]","[(-3.2445025, 1.7117192)]","[(-3.8408844, 2.1159036)]","[(-3.138693, 3.0289044)]","[(-3.9373786, 4.4791546)]","[(-3.9102023, 5.659057)]","[(-3.1131876, 6.1073904)]","[(-3.2188027, 7.535604)]","[(-3.3916552, 8.675406)]","[(-3.6691825, 9.251618)]"
7,"[(-2.3041506, -9.65119)]","[(-2.631662, -8.665559)]","[(-2.097362, -7.0812273)]","[(-2.6096227, -6.975378)]","[(-2.0721169, -5.0530653)]","[(-2.2738364, -4.809845)]","[(-2.1941786, -3.9597442)]","[(-2.602593, -2.044527)]","[(-2.550127, -1.0193201)]","[(-2.459831, -0.853458)]","[(-2.6401846, 0.023818359)]","[(-2.0005221, 1.4822727)]","[(-2.6930401, 2.7206712)]","[(-2.9737923, 3.684019)]","[(-2.8032556, 4.604097)]","[(-2.1082928, 5.9550114)]","[(-2.1042614, 6.738223)]","[(-2.677856, 7.1476817)]","[(-2.6483135, 8.2677965)]","[(-2.6707592, 9.532302)]"
8,"[(-1.0869278, -9.120292)]","[(-1.2290356, -8.78452)]","[(-1.4716685, -7.2005377)]","[(-1.3640553, -6.7743883)]","[(-1.3929629, -5.6008825)]","[(-1.2539362, -4.9960732)]","[(-1.2207963, -3.939864)]","[(-1.5718709, -2.223383)]","[(-1.8986886, -1.2023063)]","[(-1.6879238, -0.11148058)]","[(-1.2330849, 0.9813038)]","[(-1.5888561, 1.270267)]","[(-1.0488979, 2.3249302)]","[(-1.6936506, 3.7818053)]","[(-1.6624546, 4.1205134)]","[(-1.5070425, 5.6386666)]","[(-1.0299139, 6.176624)]","[(-1.3033364, 7.600293)]","[(-1.8204185, 8.696893)]","[(-1.5125331, 9.668409)]"
9,"[(-0.9458749, -9.613774)]","[(-0.8287956, -8.034417)]","[(-0.57286334, -7.803845)]","[(-0.18282667, -6.425797)]","[(-0.45786557, -5.80474)]","[(-0.22820435, -4.0252542)]","[(-0.50257725, -3.1181326)]","[(-0.119548306, -2.7861326)]","[(-0.32686684, -1.1113962)]","[(-0.82843125, -0.06291732)]","[(-0.8769424, 0.666922)]","[(-0.9466726, 1.3957248)]","[(-0.026707556, 2.9880104)]","[(-0.39123505, 3.713941)]","[(-0.920729, 4.2125726)]","[(-0.48655564, 5.0215783)]","[(-0.9420581, 6.177931)]","[(-0.30667323, 7.4280286)]","[(-0.9846231, 8.67978)]","[(-0.25869593, 9.206693)]"
