,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,"(0.38872886038137777,)","(0.2624039024978504,)","(0.38486189520835923,)","(0.4284495421693697,)","(0.43450094657435145,)","(0.42731560583938843,)","(0.48171238333885325,)","(0.8959741376970328,)","(0.7946381810571217,)","(0.9393813621234074,)","(0.8578384851770235,)","(0.8674942837266302,)","(0.7276500996998126,)","(0.7821820761205843,)","(0.7490219450070956,)","(0.7335998721746854,)",,
1,,,"(0.27171476761084024,)","(0.46859304717924066,)","(0.5681266761688741,)","(0.9223601679245498,)","(0.8412042619925338,)","(0.8933102795259771,)","(0.7763491714271404,)","(0.8000897176055338,)","(0.7760743941197956,)","(0.8983447314809246,)","(0.882420661879016,)","(0.9176514619970075,)","(0.9087346624101789,)","(0.9147299234643873,)","(0.8384996880015602,)","(0.660640887227245,)","(0.8343402027788733,)","(0.5931409258532401,)"
2,,"(0.902711460176628,)","(0.5637188646812294,)","(0.8649088147136874,)","(0.8177348026489327,)","(0.9605288096753132,)","(0.9949861531872003,)","(0.8809961610837819,)","(0.9008825857157389,)","(0.9670210951108512,)","(0.9875175582749333,)","(0.9645763223728712,)","(0.9826931628977226,)","(0.8669272630149388,)","(0.9638607675326512,)","(0.8634081666312903,)","(0.985910562947202,)","(0.9210088638729682,)",,
3,"(0.3972758943129583,)","(0.9755657962577,)","(0.9880729045784942,)","(0.9860433616718772,)","(0.9697423341589078,)","(0.9924625854196479,)","(0.9743478705356785,)","(0.9312336237930824,)","(0.99945446360739,)","(0.9926692752195401,)","(0.9860879743579068,)","(0.9839324470726157,)","(0.9955202229181913,)","(0.998941826602199,)","(0.9963804338401562,)","(0.9740681076693256,)","(0.9992358051686747,)","(0.9431876473407044,)","(0.30473520804754217,)","(0.40840777069686884,)"
4,"(0.9585304745193086,)","(0.963517649939285,)","(0.9737099989842478,)","(0.9929372578802338,)","(0.9987933134222687,)","(0.9990755940333151,)","(0.9676972307872268,)","(0.9951182276405633,)","(0.9860124564278506,)","(0.915359581498399,)","(0.9886531953104585,)","(0.9878477785677818,)","(0.9946284132426374,)","(0.9953203810340695,)","(0.9966392883848755,)","(0.9948632953812516,)","(0.9971357063322368,)","(0.9744520843038988,)","(0.873850172312647,)","(0.667468920339037,)"
5,"(0.9311556737601063,)","(0.9657128503139955,)","(0.9950323243944723,)","(0.9975906261440022,)","(0.9708794526771345,)","(0.99582492933975,)","(0.9992942359439917,)","(0.9874195518128717,)","(0.994686482875308,)","(0.9994582332590289,)","(0.9965420955813348,)","(0.974289075469787,)","(0.9893913420679111,)","(0.9930369581773252,)","(0.9834164436726686,)","(0.9955176874778681,)","(0.9888393534842206,)","(0.9775637526163347,)","(0.9533511059122971,)","(0.9738744906164792,)"
6,"(0.9078211780656661,)","(0.9797352764893874,)","(0.999554310717915,)","(0.9993086963274999,)","(0.9701131486931184,)","(0.9840638212690611,)","(0.9978131317731522,)","(0.9955096466137662,)","(0.9727920324255902,)","(0.9879653345979149,)","(0.9851300620378131,)","(0.9947345322202422,)","(0.9998698511544322,)","(0.9659398166528661,)","(0.9957231994491035,)","(0.992251673978908,)","(0.9863342973519877,)","(0.9838382112840147,)","(0.9845762414366956,)","(0.9905051723440194,)"
7,"(0.875356206061346,)","(0.9940549908833183,)","(0.9891739968790861,)","(0.9991414359650045,)","(0.9877796983414706,)","(0.9841744506163838,)","(0.9949871165053038,)","(0.9998604480436722,)","(0.9905562880968882,)","(0.9982823811077465,)","(0.9835431882163025,)","(0.9936105679462356,)","(0.9969880420407331,)","(0.9794122564032395,)","(0.9158856828161555,)","(0.9946630990837788,)","(0.9955180550538374,)","(0.9934253459116229,)","(0.9914745616645657,)","(0.9147548539858222,)"
8,"(0.9669292035874494,)","(0.9912818672744286,)","(0.9992425589344258,)","(0.997122427821775,)","(0.9677932232953333,)","(0.9903689586241499,)","(0.9823553139101571,)","(0.9994078824364159,)","(0.9901104595577805,)","(0.9944005870498649,)","(0.9958043018857855,)","(0.990835261059532,)","(0.992826272171054,)","(0.9794181399044728,)","(0.9647973121862113,)","(0.9903191318443867,)","(0.9968530461260394,)","(0.9752440700007349,)","(0.9350705198764542,)","(0.9436429769697501,)"
9,"(0.9931937337679598,)","(0.9981353249281292,)","(0.9762055943477683,)","(0.9677669753341582,)","(0.9967724465522181,)","(0.9813383222072372,)","(0.9995211389583538,)","(0.9989149477477824,)","(0.9969893612090552,)","(0.994994111193551,)","(0.9916870964898004,)","(0.9977483138377895,)","(0.9953606329553313,)","(0.9910344615026809,)","(0.9989919338428687,)","(0.8159199682519105,)","(0.9893076822584429,)","(0.9962288451339494,)","(0.9755594294644349,)","(0.9793863685370878,)"
