,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,1,1,3,2,3,4,3,1,2,2,2,0,1,0,0,0
1,0,0,0,1,2,3,5,4,2,3,3,3,2,3,3,1,1,1,0,0
2,0,0,0,2,3,1,3,2,3,4,3,2,3,3,2,1,3,1,2,0
3,1,1,2,3,2,5,3,3,4,3,3,3,3,3,3,2,5,1,1,0
4,0,1,2,2,1,1,3,3,7,1,3,7,3,1,2,2,3,3,2,1
5,4,3,3,3,2,4,2,4,3,2,2,3,3,1,2,3,4,3,3,2
6,1,3,5,2,2,3,3,4,2,7,3,3,6,2,4,3,1,4,2,4
7,1,5,3,3,3,3,5,5,5,5,8,4,8,3,6,3,2,3,3,2
8,2,3,5,7,6,9,3,4,4,4,3,5,6,5,8,7,5,1,2,3
9,1,6,4,2,4,3,5,1,4,4,6,4,4,8,3,3,3,5,2,2
10,2,3,4,3,7,5,4,7,4,7,5,5,5,9,3,5,2,3,6,2
11,2,3,3,7,2,4,5,7,5,7,2,6,3,3,7,6,4,4,2,2
12,1,2,5,1,3,1,4,2,5,3,3,5,5,5,2,3,3,2,1,3
13,0,3,3,4,2,4,2,5,6,3,3,4,2,6,3,4,4,4,2,2
14,1,3,2,1,2,6,4,4,4,8,4,5,7,4,6,4,3,3,2,1
15,0,0,2,3,2,3,6,2,4,4,5,3,3,2,5,3,3,1,2,1
16,0,1,0,2,4,2,5,4,7,1,2,3,4,6,1,1,3,1,1,1
17,0,0,2,1,2,3,2,4,4,3,3,3,4,2,4,3,2,2,0,0
18,0,0,0,1,1,2,2,1,3,2,2,2,2,2,1,2,0,0,0,0
19,0,0,0,0,0,1,1,5,2,3,2,3,2,3,0,1,1,1,0,0
