,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,36/400,100,49,[0.6701],[0.3205],[0.0087],[0.9944],"[-4.3805,-4.8461]","[6.6359,5.3084]",24.12,1018.34
1,algoQD,1,60/400,100,35,[0.6414],[0.2886],[0.0932],[0.9944],"[-4.3805,-8.6829]","[6.6359,5.8258]",38.48,525.88
2,algoQD,2,77/400,100,41,[0.6985],[0.2627],[0.0955],[0.9988],"[-7.7692,-8.6829]","[6.6359,5.8258]",53.78,528.46
3,algoQD,3,95/400,100,38,[0.7176],[0.2645],[0.0955],[0.9988],"[-7.7692,-8.6829]","[9.3904,5.8258]",68.17,522.89
4,algoQD,4,111/400,100,30,[0.7395],[0.2511],[0.0955],[0.9988],"[-7.7692,-9.2076]","[9.3904,5.8258]",82.09,524.93
5,algoQD,5,125/400,100,31,[0.7578],[0.2384],[0.1149],[0.9988],"[-7.7692,-9.4592]","[9.3904,5.8258]",94.73,522.99
6,algoQD,6,134/400,100,21,[0.7715],[0.2233],[0.1149],[0.9991],"[-8.7224,-9.4592]","[9.3904,5.8258]",103.38,517.59
7,algoQD,7,146/400,100,25,[0.7735],[0.2155],[0.1149],[0.9991],"[-8.4863,-9.4592]","[9.3904,5.8258]",112.93,529.80
8,algoQD,8,157/400,100,29,[0.784],[0.2077],[0.098],[0.9996],"[-8.5076,-9.4592]","[9.3904,6.6245]",123.08,531.22
9,algoQD,9,165/400,100,20,[0.7846],[0.2137],[0.098],[0.9996],"[-8.5076,-9.8656]","[9.3904,6.6245]",129.46,526.41
10,algoQD,10,170/400,100,22,[0.7997],[0.1994],[0.1444],[0.9996],"[-8.5076,-9.8656]","[9.3904,6.6245]",135.95,518.63
11,algoQD,11,178/400,100,22,[0.805],[0.1971],[0.1008],[0.9996],"[-8.5076,-9.8656]","[9.3904,6.6245]",143.29,521.50
12,algoQD,12,184/400,100,17,[0.8075],[0.1951],[0.1008],[0.9996],"[-8.5076,-9.8656]","[9.3904,7.1607]",148.57,520.06
