,0
0,65
1,97
2,113
3,137
4,204
5,243
6,248
7,269
8,293
9,311
10,320
11,336
12,356
13,365
14,370
15,380
16,384
17,394
18,395
19,421
20,439
21,440
22,445
23,464
24,476
25,477
26,482
27,485
28,487
29,515
30,528
31,529
32,530
33,549
34,552
35,553
36,556
37,564
38,578
39,579
40,589
41,590
42,591
43,601
44,622
45,623
46,627
47,635
48,639
49,644
50,647
51,655
52,670
53,672
54,675
55,684
56,689
57,694
58,696
59,702
60,707
61,709
62,728
63,736
64,740
65,745
66,753
67,758
68,759
69,761
70,763
71,770
72,771
73,773
74,775
75,780
76,781
77,788
78,789
79,791
80,792
81,793
82,798
83,800
84,803
85,807
86,808
87,811
88,812
89,813
90,817
91,818
92,827
93,828
94,837
95,839
96,840
97,841
98,842
99,847
100,850
101,856
102,857
103,868
104,869
105,872
106,874
107,875
108,876
109,877
110,880
111,886
112,887
113,888
114,895
115,898
116,901
117,904
118,905
119,907
120,908
121,914
122,917
123,918
124,919
125,928
126,929
127,931
128,934
129,935
130,938
131,939
132,948
133,949
134,951
135,958
136,960
137,962
138,970
139,971
140,976
141,978
142,979
143,980
144,983
145,984
146,985
147,987
148,988
149,992
150,993
151,995
152,996
153,999
154,1001
155,1003
156,1005
157,1006
158,1014
159,1016
160,1024
161,1025
162,1027
163,1032
164,1033
165,1036
166,1037
167,1038
168,1039
169,1040
170,1050
171,1052
172,1053
173,1056
174,1059
175,1060
176,1061
177,1062
178,1063
179,1065
180,1067
181,1069
182,1070
183,1071
184,1073
185,1074
186,1075
187,1076
188,1078
189,1079
190,1081
191,1084
192,1086
193,1088
194,1091
195,1092
196,1094
197,1096
198,1098
199,1100
200,1101
201,1102
202,1103
203,1105
204,1106
205,1107
206,1110
207,1114
208,1115
209,1116
210,1117
211,1119
212,1120
213,1123
214,1125
215,1126
216,1128
217,1129
218,1130
219,1131
220,1132
221,1134
222,1135
223,1137
224,1138
225,1139
226,1141
227,1142
228,1144
229,1145
230,1148
231,1149
232,1150
233,1151
234,1152
235,1153
236,1155
237,1156
238,1157
239,1158
240,1161
241,1162
242,1165
243,1166
244,1168
245,1169
246,1170
247,1171
248,1172
249,1174
250,1175
251,1176
252,1177
253,1178
254,1179
255,1181
256,1185
257,1186
258,1187
259,1188
260,1189
261,1191
262,1195
263,1196
264,1197
265,1200
266,1201
267,1204
268,1206
269,1207
270,1211
271,1212
272,1213
273,1214
274,1215
275,1216
276,1219
277,1220
278,1222
279,1223
280,1225
281,1228
282,1229
283,1230
284,1232
285,1235
286,1236
287,1237
288,1238
289,1239
290,1242
291,1243
292,1245
293,1246
294,1247
295,1249
296,1250
297,1252
298,1253
299,1254
300,1256
301,1257
302,1258
303,1259
304,1261
305,1263
306,1264
307,1265
308,1266
309,1267
310,1268
311,1269
312,1270
313,1271
314,1272
315,1273
316,1274
317,1277
318,1279
319,1280
320,1281
321,1282
322,1283
323,1284
324,1285
325,1286
326,1287
327,1288
328,1289
329,1290
330,1291
331,1292
332,1293
333,1294
334,1296
335,1297
336,1298
337,1299
338,1300
339,1301
340,1302
341,1303
342,1304
343,1305
344,1306
345,1307
346,1308
347,1309
348,1310
349,1311
350,1313
351,1314
352,1315
353,1316
354,1317
355,1318
356,1319
357,1320
358,1321
359,1322
360,1323
361,1324
362,1325
363,1326
364,1327
365,1328
366,1329
367,1330
368,1331
369,1332
370,1334
371,1335
372,1336
373,1337
374,1338
375,1339
376,1340
377,1341
378,1342
379,1343
