,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.053778, -7.0971456)]","[(-9.491113, -6.8349204)]","[(-9.455099, -5.0854664)]","[(-9.254173, -4.038759)]",[],"[(-9.584374, -2.7605886)]","[(-9.433144, -1.8472118)]","[(-9.348272, -0.3799968)]","[(-9.729475, 0.43316004)]","[(-9.6799555, 1.5216737)]","[(-9.616753, 2.8858259)]","[(-9.339024, 3.0895581)]","[(-9.417296, 4.0012684)]","[(-9.180001, 5.768102)]","[(-9.267334, 6.377372)]","[(-9.626503, 7.5988455)]",[],[]
1,[],[],[],[],"[(-8.062969, -5.13725)]","[(-8.767863, -4.735484)]","[(-8.530944, -3.4312327)]","[(-8.407075, -2.929619)]","[(-8.665062, -1.5220306)]","[(-8.315503, -0.114900485)]","[(-8.435262, 0.3390356)]","[(-8.29422, 1.0170102)]","[(-8.2957115, 2.070652)]","[(-8.235175, 3.8277273)]","[(-8.893227, 4.126391)]","[(-8.119154, 5.7276397)]","[(-8.027795, 6.6634593)]","[(-8.463268, 7.779253)]",[],[]
2,[],[],[],"[(-7.4162273, -6.7042336)]","[(-7.6878705, -5.238236)]","[(-7.979834, -4.191198)]","[(-7.227259, -3.4899342)]","[(-7.678915, -2.894184)]","[(-7.0530624, -1.2021576)]","[(-7.30535, -0.46549454)]","[(-7.0270715, 0.47330925)]","[(-7.401981, 1.7125936)]","[(-7.0397944, 2.6545205)]","[(-7.27421, 3.96357)]","[(-7.8697004, 4.3878202)]","[(-7.9289136, 5.1927214)]","[(-7.9671655, 6.982964)]","[(-7.2351236, 7.590242)]","[(-7.2969728, 8.568544)]","[(-7.4193034, 9.179086)]"
3,"[(-6.3358984, -9.488573)]","[(-6.282573, -8.805101)]","[(-6.6847897, -7.129997)]","[(-6.0526314, -6.8840075)]","[(-6.6201515, -5.496529)]","[(-6.623896, -4.26611)]","[(-6.0046325, -3.2171068)]","[(-6.2925973, -2.5677698)]","[(-6.3448834, -1.9612563)]","[(-6.406953, -0.38913524)]","[(-6.1409464, 0.42515326)]","[(-6.785042, 1.7261702)]","[(-6.0631676, 2.4654646)]","[(-6.998596, 3.3462462)]","[(-6.5745416, 4.5079613)]","[(-6.9230633, 5.833003)]","[(-6.871653, 6.487091)]","[(-6.891554, 7.388458)]","[(-6.927638, 8.199895)]","[(-6.552193, 9.267477)]"
4,"[(-5.3334055, -9.496171)]","[(-5.121794, -8.805197)]","[(-5.582094, -7.1468067)]","[(-5.1963124, -6.296726)]","[(-5.1215115, -5.927983)]","[(-5.0324187, -4.518255)]","[(-5.2468457, -3.726614)]","[(-5.8294086, -2.036888)]","[(-5.3401623, -1.8813801)]","[(-5.5369697, -0.8227916)]","[(-5.1336412, 0.42427918)]","[(-5.3680778, 1.1313006)]","[(-5.5355377, 2.4870558)]","[(-5.053955, 3.1047227)]","[(-5.2751436, 4.8605695)]","[(-5.892062, 5.5184703)]","[(-5.7236333, 6.514963)]","[(-5.493067, 7.2021995)]","[(-5.4991055, 8.5821295)]","[(-5.6231174, 9.257934)]"
5,"[(-4.5323095, -9.327343)]","[(-4.878812, -8.275043)]","[(-4.363084, -7.9319715)]","[(-4.8446574, -6.9347434)]","[(-4.142158, -5.836851)]","[(-4.767274, -4.1827674)]","[(-4.3835654, -3.7732334)]","[(-4.3701725, -2.9688478)]","[(-4.0298176, -1.6992812)]","[(-4.8916163, -0.11264031)]","[(-4.470008, 0.51185656)]","[(-4.760691, 1.3868904)]","[(-4.0891814, 2.0650785)]","[(-4.079759, 3.213443)]","[(-4.4963346, 4.6194654)]","[(-4.2962055, 5.2013507)]","[(-4.5411587, 6.257484)]","[(-4.5004644, 7.6566825)]","[(-4.915578, 8.537203)]","[(-4.0802956, 9.640072)]"
6,"[(-3.291241, -9.427546)]","[(-3.9303865, -8.669537)]","[(-3.5295076, -7.076508)]","[(-3.0591772, -6.2196016)]","[(-3.6288643, -5.217261)]","[(-3.1827884, -4.4748297)]","[(-3.5896115, -3.8839662)]","[(-3.1476986, -2.854195)]","[(-3.5320377, -1.8959519)]","[(-3.3162198, -0.37958306)]","[(-3.879279, 0.6991148)]","[(-3.3994713, 1.6134319)]","[(-3.5491788, 2.711691)]","[(-3.94124, 3.923079)]","[(-3.2562618, 4.5267987)]","[(-3.4470606, 5.111566)]","[(-3.771749, 6.6639023)]","[(-3.8442752, 7.2840686)]","[(-3.6224642, 8.392116)]","[(-3.279832, 9.703939)]"
7,"[(-2.4518616, -9.467121)]","[(-2.2088332, -8.424138)]","[(-2.4456193, -7.694063)]","[(-2.5960798, -6.003992)]","[(-2.5125384, -5.538414)]","[(-2.882233, -4.982744)]","[(-2.9352298, -3.7707682)]","[(-2.1200025, -2.9370823)]","[(-2.1921072, -1.5581656)]","[(-2.8177233, -0.9785533)]","[(-2.700188, 0.9235115)]","[(-2.4707115, 1.1889029)]","[(-2.2418613, 2.186179)]","[(-2.801332, 3.6816165)]","[(-2.2048907, 4.3415737)]","[(-2.184423, 5.0706854)]","[(-2.9358482, 6.0798917)]","[(-2.8366966, 7.659132)]","[(-2.5624125, 8.871297)]","[(-2.6554332, 9.103348)]"
8,"[(-1.6244427, -9.215733)]","[(-1.237005, -8.539407)]","[(-1.5863833, -7.784815)]","[(-1.4819359, -6.078408)]","[(-1.8141475, -5.2013435)]","[(-1.044168, -4.625581)]","[(-1.7326932, -3.1561294)]","[(-1.7470367, -2.4818122)]","[(-1.0217918, -1.001895)]","[(-1.5275812, -0.25988352)]","[(-1.5914674, 0.14143692)]","[(-1.0065056, 1.440034)]","[(-1.1888694, 2.921647)]","[(-1.1215178, 3.5780535)]","[(-1.988773, 4.0787673)]","[(-1.3681574, 5.331251)]","[(-1.886441, 6.913185)]","[(-1.7375182, 7.9191875)]","[(-1.9057025, 8.587963)]","[(-1.8493133, 9.416523)]"
9,"[(-0.6940816, -9.800416)]","[(-0.60361177, -8.535774)]","[(-0.84877676, -7.152874)]","[(-0.2686054, -6.9901905)]","[(-0.3410131, -5.4742556)]","[(-0.9211907, -4.7041774)]","[(-0.69445175, -3.0430899)]","[(-0.6941708, -2.261127)]","[(-0.9216568, -1.6423384)]","[(-0.001843432, -0.04789935)]","[(-0.21177301, 0.038499027)]","[(-0.21083319, 1.3833383)]","[(-0.067978166, 2.0881844)]","[(-0.8380709, 3.3403528)]","[(-0.5641865, 4.469199)]","[(-0.95756745, 5.7424364)]","[(-0.5988526, 6.4715734)]","[(-0.62309235, 7.3643384)]","[(-0.79561275, 8.464645)]","[(-0.16308613, 9.431938)]"
