,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,"(0.9939657198058234,)","(0.9367644415961371,)","(0.9248950640360514,)","(0.8441487206353082,)","(0.9216069751315646,)","(0.4164891560872396,)","(0.9615035030576918,)","(0.9879401259952121,)","(0.952272187338935,)","(0.6509488211737738,)","(0.7975269741482205,)","(0.7881626764933268,)",,,
1,,"(0.9009726842244467,)",,"(0.9160518487294516,)","(0.830916076236301,)","(0.9279568195343018,)","(0.9531781726413303,)","(0.98502703110377,)","(0.9785752521620856,)","(0.9722946219974093,)","(0.9872841066784329,)","(0.9291574902004666,)","(0.9946611404418946,)","(0.9047731717427572,)","(0.8744504610697428,)","(0.9636418686972724,)","(0.2625339931911892,)","(0.9485531806945801,)",,
2,,"(0.8474545266893174,)","(0.9861118978924222,)","(0.9848410593138801,)","(0.9605769846174452,)","(0.9811785565482245,)","(0.9411495791541206,)","(0.9767596456739638,)","(0.9965444902578989,)","(0.8756761974758572,)","(0.9820620801713732,)","(0.9770125071207683,)","(0.9463112036387126,)","(0.984395005967882,)","(0.8564518292744954,)","(0.9041167471143934,)","(0.75177976820204,)","(0.44697854783799906,)","(0.8814169247945149,)","(0.606928210788303,)"
3,"(0.7157700856526692,)","(0.7865359200371637,)","(0.8285468207465277,)","(0.881310600704617,)","(0.9928901592890421,)","(0.9281611018710666,)","(0.9982777463065253,)","(0.9796536591317918,)","(0.9851038310262892,)","(0.9614638487497965,)","(0.9939658906724718,)","(0.9914852778116862,)","(0.9505342483520508,)","(0.9787838564978706,)","(0.9704027732213338,)","(0.9852968706025018,)","(0.7596424526638454,)","(0.8140816370646159,)","(0.7921616236368815,)",
4,"(0.7063949161105685,)","(0.8309435526529948,)","(0.902598508199056,)","(0.9828046586778428,)","(0.9657453854878744,)","(0.9993028100993898,)","(0.9947787854406569,)","(0.9729577170477973,)","(0.9223052607642279,)","(0.9888825721210903,)","(0.9211892233954535,)","(0.9322118759155273,)","(0.9412300851609972,)","(0.9877879460652669,)","(0.9953088972303602,)","(0.8639287312825521,)","(0.8058773040771484,)","(0.9692317989137438,)","(0.5506248474121094,)","(0.8944416787889269,)"
5,"(0.7123053656684027,)","(0.8792512681749132,)","(0.9007584677802192,)","(0.9774284097883437,)","(0.8785778575473362,)","(0.9789020379384359,)","(0.9605077266693115,)","(0.9780747082498339,)","(0.9864873740408155,)","(0.9561541053983901,)","(0.9817781024509006,)","(0.9861369132995605,)","(0.9691659026675754,)","(0.9187747849358453,)","(0.9908396429485745,)","(0.9743142233954536,)","(0.7917930603027343,)","(0.9332166512807211,)","(0.5629734887017144,)","(0.921264754401313,)"
6,"(0.9570637438032362,)","(0.8041652043660481,)","(0.9568126175138686,)","(0.9036500718858507,)","(0.97428261174096,)","(0.9855332454045613,)","(0.9809099833170573,)","(0.9982678069008721,)","(0.9868027435408698,)","(0.9886968692143758,)","(0.9975013732910156,)","(0.9918629884719848,)","(0.99691787328985,)","(0.9918915185663435,)","(0.9641601456536187,)","(0.8122604582044813,)","(0.7574064042833116,)","(0.8732754177517361,)","(0.8499615139431423,)","(0.8355902247958713,)"
7,"(0.9363283581203885,)","(0.9795731412039863,)","(0.9976360857486725,)","(0.9759748723771837,)","(0.9990110769867897,)","(0.9860042956140306,)","(0.9949636419614156,)","(0.9933364272117615,)","(0.9992653045389387,)","(0.9870564407772489,)","(0.9886345876587762,)","(0.9898281945122613,)","(0.9800923665364584,)","(0.9754915475845337,)","(0.9866906589931912,)","(0.9752068652047051,)","(0.9722953981823391,)","(0.89275697072347,)","(0.9147329224480523,)","(0.7105752733018663,)"
8,"(0.7191413667466906,)","(0.9713356547885471,)","(0.9832547505696615,)","(0.8825006908840604,)","(0.9652008427513971,)","(0.9438501887851292,)","(0.9995315419303046,)","(0.9897526853614383,)","(0.9971519238419003,)","(0.9919864853223165,)","(0.9933111296759711,)","(0.9902036190032959,)","(0.9852542453342014,)","(0.9851819409264458,)","(0.9681361357371012,)","(0.9731711520089044,)","(0.9615058475070529,)","(0.9222531848483615,)","(0.7426374859280056,)","(0.9874147746298049,)"
9,"(0.8771209610833062,)","(0.9664238717820909,)","(0.998987117740843,)","(0.9338854895697699,)","(0.9985524369610681,)","(0.9468720912933349,)","(0.9806346853574117,)","(0.9892940858999888,)","(0.9982321341832479,)","(0.999951592584451,)","(0.9999089803960588,)","(0.9830920219421386,)","(0.9956795636150572,)","(0.9926059669918484,)","(0.9772697157329984,)","(0.9894970893859864,)","(0.9801210191514756,)","(0.9101225005255805,)","(0.844220330980089,)","(0.9722536537382338,)"
10,"(0.9503472328186036,)","(0.9916550556818644,)",,"(0.9934777650568221,)","(0.9888789070977105,)","(0.9709177679485745,)","(0.9998331278562546,)","(0.9992015414767795,)","(0.9935932053460015,)","(0.9999275975550215,)","(0.9995221925692426,)","(0.9994313711921374,)","(0.9971001519097222,)","(0.9864846441480849,)","(0.9662468406889174,)","(0.9619920200771755,)","(0.9791111204359266,)","(0.9625792185465495,)","(0.9870182938045926,)","(0.988133618566725,)"
