,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],"[(-9.164077, -8.453915)]","[(-9.099218, -7.97149)]","[(-9.454583, -6.155082)]","[(-9.145427, -5.0244713)]","[(-9.900491, -4.3717732)]","[(-9.2424, -3.676761)]",[],"[(-9.808107, -1.923839)]","[(-9.55166, -0.8872127)]","[(-9.254228, 0.2970911)]","[(-9.016791, 1.1324867)]","[(-9.562847, 2.491064)]","[(-9.574166, 3.845272)]","[(-9.456551, 4.9893107)]","[(-9.89856, 5.290808)]","[(-9.182049, 6.863139)]",[],[],[]
1,[],[],"[(-8.559011, -7.0466986)]","[(-8.056775, -6.7185545)]","[(-8.746905, -5.4034824)]","[(-8.658194, -4.097046)]","[(-8.111677, -3.2761188)]","[(-8.01773, -2.4918284)]","[(-8.110764, -1.0985961)]","[(-8.432727, -0.17559858)]","[(-8.595918, 0.61680156)]","[(-8.549545, 1.3162637)]","[(-8.573393, 2.895674)]","[(-8.703684, 3.6477506)]","[(-8.83814, 4.1327763)]","[(-8.360452, 5.2837453)]","[(-8.373952, 6.7895527)]",[],[],[]
2,[],"[(-7.1010103, -8.231557)]","[(-7.0982084, -7.3224187)]","[(-7.242154, -6.2871213)]","[(-7.6207557, -5.7740273)]","[(-7.955615, -4.301813)]","[(-7.2353115, -3.0957072)]","[(-7.8954415, -2.9614031)]","[(-7.7385507, -1.0996964)]","[(-7.1409993, -0.825203)]","[(-7.8273635, 0.55576074)]","[(-7.3287196, 1.5783677)]","[(-7.4324036, 2.1250546)]","[(-7.120912, 3.0095663)]","[(-7.2831535, 4.8352923)]","[(-7.252605, 5.0834284)]","[(-7.093582, 6.358976)]","[(-7.110566, 7.115895)]","[(-7.7206106, 8.026491)]","[(-7.262215, 9.586946)]"
3,"[(-6.6129966, -9.005198)]","[(-6.153803, -8.101973)]","[(-6.391542, -7.2568603)]","[(-6.4377756, -6.7997184)]","[(-6.089995, -5.0474916)]","[(-6.161388, -4.930115)]","[(-6.4666557, -3.9187176)]","[(-6.429465, -2.8335447)]","[(-6.314821, -1.352619)]","[(-6.2414026, -0.7674503)]","[(-6.7949557, 0.37489104)]","[(-6.580322, 1.5106878)]","[(-6.702704, 2.3699183)]","[(-6.532757, 3.2875674)]","[(-6.762294, 4.9891043)]","[(-6.861185, 5.9359117)]","[(-6.437482, 6.786112)]","[(-6.0010567, 7.8257856)]","[(-6.00525, 8.805852)]","[(-6.3988876, 9.997175)]"
4,"[(-5.03172, -9.925592)]","[(-5.4158616, -8.824897)]","[(-5.3991213, -7.353938)]","[(-5.6748786, -6.649815)]","[(-5.4716234, -5.846727)]","[(-5.784687, -4.836268)]","[(-5.5264206, -3.9248898)]","[(-5.6514726, -2.176401)]","[(-5.885584, -1.6196609)]","[(-5.240692, -0.84534484)]","[(-5.017269, 0.93782794)]","[(-5.5746737, 1.8534006)]","[(-5.9874854, 2.9814832)]","[(-5.1012545, 3.168149)]","[(-5.3715243, 4.56872)]","[(-5.0271, 5.2533903)]","[(-5.373662, 6.6286674)]","[(-5.0564423, 7.658863)]","[(-5.353353, 8.442196)]","[(-5.6322675, 9.577685)]"
5,"[(-4.102202, -9.153601)]","[(-4.174365, -8.980229)]","[(-4.8698044, -7.779863)]","[(-4.118381, -6.198003)]","[(-4.1640463, -5.1513915)]","[(-4.7912526, -4.255293)]","[(-4.87093, -3.9547002)]","[(-4.028904, -2.5152576)]","[(-4.514794, -1.3779609)]","[(-4.244935, -0.82541996)]","[(-4.556856, 0.85556877)]","[(-4.2415633, 1.7058775)]","[(-4.2993984, 2.4225495)]","[(-4.7582817, 3.80735)]","[(-4.432219, 4.0763044)]","[(-4.3536286, 5.5579286)]","[(-4.391951, 6.646009)]","[(-4.370834, 7.752429)]","[(-4.322096, 8.37795)]","[(-4.253059, 9.48414)]"
6,"[(-3.2062001, -9.107391)]","[(-3.629284, -8.207439)]","[(-3.576903, -7.7966485)]","[(-3.7433665, -6.880714)]","[(-3.0934098, -5.6083827)]","[(-3.8302162, -4.131272)]","[(-3.9721134, -3.5658264)]","[(-3.5637662, -2.9082587)]","[(-3.7028122, -1.7470702)]","[(-3.9555042, -0.9630244)]","[(-3.1778636, 0.2706429)]","[(-3.5365026, 1.4853357)]","[(-3.1354573, 2.849133)]","[(-3.3725471, 3.4918625)]","[(-3.7558706, 4.556534)]","[(-3.2859218, 5.225556)]","[(-3.972037, 6.1255317)]","[(-3.9717555, 7.6484227)]","[(-3.6903849, 8.936998)]","[(-3.0397058, 9.325703)]"
7,"[(-2.267035, -9.55734)]","[(-2.995245, -8.37554)]","[(-2.041192, -7.256465)]","[(-2.055699, -6.617385)]","[(-2.20809, -5.5931115)]","[(-2.022399, -4.066847)]","[(-2.4087262, -3.8402746)]","[(-2.0789623, -2.0024514)]","[(-2.2745683, -1.2230785)]","[(-2.7291336, -0.9234813)]","[(-2.0237017, 0.15699555)]","[(-2.7463455, 1.5407296)]","[(-2.837519, 2.2183952)]","[(-2.7301464, 3.3111446)]","[(-2.8877406, 4.9687734)]","[(-2.2519708, 5.766789)]","[(-2.0796356, 6.0307007)]","[(-2.4924047, 7.954001)]","[(-2.306976, 8.187033)]","[(-2.2930934, 9.518948)]"
8,"[(-1.2086825, -9.297348)]","[(-1.431954, -8.36761)]","[(-1.9087116, -7.9305844)]","[(-1.3860644, -6.002048)]","[(-1.0712135, -5.6534653)]","[(-1.599482, -4.0009418)]","[(-1.0306011, -3.3155084)]","[(-1.6440262, -2.5144877)]","[(-1.6539984, -1.4509697)]","[(-1.0391908, -0.35527396)]","[(-1.2735116, 0.10648547)]","[(-1.3421564, 1.9832873)]","[(-1.0600669, 2.1434772)]","[(-1.7806304, 3.9057071)]","[(-1.3717377, 4.3542824)]","[(-1.9420978, 5.7942104)]","[(-1.394803, 6.2015104)]","[(-1.9863372, 7.6550717)]","[(-1.7323921, 8.672907)]","[(-1.7869307, 9.232326)]"
9,"[(-0.7926587, -9.240917)]","[(-0.09540492, -8.929282)]","[(-0.86963177, -7.5930967)]","[(-0.9961511, -6.770894)]","[(-0.37580857, -5.591666)]","[(-0.31044158, -4.2539687)]","[(-0.8774127, -3.1823654)]","[(-0.2890656, -2.4318924)]","[(-0.29016036, -1.5246583)]","[(-0.09432478, -0.14957178)]","[(-0.5117206, 0.39655828)]","[(-0.18661425, 1.4474941)]","[(-0.80504036, 2.596348)]","[(-0.9245851, 3.6291327)]","[(-0.7949946, 4.8093634)]","[(-0.8473283, 5.943373)]","[(-0.19244963, 6.6912985)]","[(-0.065952405, 7.5029435)]","[(-0.11023286, 8.555308)]","[(-0.78758115, 9.389677)]"
