,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,36/400,100,55,[0.6654],[0.2739],[0.0288],[0.9987],"[-4.6656,-5.8943]","[4.4117,3.1553]",23.95,1082.57
1,algoQD,1,54/400,100,33,[0.6682],[0.2832],[0.0018],[0.9992],"[-5.1480,-6.3855]","[4.8991,6.6006]",36.08,553.05
2,algoQD,2,70/400,100,33,[0.7002],[0.2774],[0.0018],[0.9995],"[-5.8606,-6.3855]","[5.7970,6.6006]",49.02,541.84
3,algoQD,3,90/400,100,34,[0.6976],[0.2739],[0.0018],[0.9995],"[-6.1072,-7.2092]","[6.7427,9.9862]",62.79,546.90
4,algoQD,4,104/400,100,24,[0.7144],[0.2703],[0.0018],[0.9995],"[-7.5272,-9.6632]","[6.7427,9.9862]",74.30,548.81
5,algoQD,5,115/400,100,23,[0.7167],[0.2598],[0.0018],[0.9995],"[-7.5272,-9.6632]","[7.0832,9.9862]",82.43,549.07
6,algoQD,6,121/400,100,18,[0.7329],[0.2487],[0.0018],[0.9995],"[-7.5272,-9.6632]","[7.0832,9.9862]",88.68,556.82
7,algoQD,7,132/400,100,21,[0.7573],[0.2341],[0.0018],[0.9995],"[-7.5272,-9.6632]","[8.0063,9.9862]",99.96,548.03
8,algoQD,8,145/400,100,23,[0.7477],[0.2491],[0.0018],[0.9995],"[-7.5272,-9.6632]","[9.0898,9.9862]",108.41,552.64
9,algoQD,9,158/400,100,26,[0.7558],[0.2365],[0.0674],[0.9995],"[-8.1018,-9.6632]","[9.0898,9.9862]",119.42,548.99
10,algoQD,10,166/400,100,23,[0.7672],[0.2341],[0.0674],[0.9995],"[-8.1018,-9.9548]","[9.0898,9.9862]",127.35,550.48
11,algoQD,11,176/400,100,25,[0.7759],[0.2278],[0.0674],[1.],"[-8.1018,-9.9548]","[9.0898,9.9862]",136.56,551.88
12,algoQD,12,185/400,100,17,[0.776],[0.2349],[0.0674],[1.],"[-8.1018,-9.9548]","[9.0898,9.9862]",143.56,548.43
13,algoQD,13,194/400,100,20,[0.7826],[0.2235],[0.0674],[1.],"[-8.9352,-9.9548]","[9.0898,9.9862]",151.82,553.08
14,algoQD,14,203/400,100,17,[0.7812],[0.2254],[0.0351],[1.],"[-8.9352,-9.9548]","[9.0898,9.9862]",158.58,555.62
15,algoQD,15,214/400,100,22,[0.7785],[0.2283],[0.0351],[1.],"[-9.0762,-9.9548]","[9.9260,9.9862]",166.61,553.17
16,algoQD,16,222/400,100,24,[0.792],[0.2198],[0.0351],[1.],"[-9.0762,-9.9548]","[9.9260,9.9862]",175.81,556.63
17,algoQD,17,230/400,100,23,[0.8012],[0.2112],[0.0692],[1.],"[-9.0762,-9.9548]","[9.9260,9.9862]",184.26,554.13
18,algoQD,18,234/400,100,16,[0.8095],[0.2025],[0.0692],[1.],"[-9.0762,-9.9548]","[9.9260,9.9862]",189.43,555.21
19,algoQD,19,246/400,100,23,[0.8091],[0.199],[0.0719],[1.],"[-9.3123,-9.9548]","[9.9260,9.9862]",199.05,560.46
20,algoQD,20,256/400,100,22,[0.8059],[0.2085],[0.0059],[1.],"[-9.3123,-9.9548]","[9.9260,9.9862]",206.32,552.76
21,algoQD,21,257/400,100,18,[0.8078],[0.2098],[0.0059],[1.],"[-9.3123,-9.9548]","[9.9260,9.9862]",207.60,557.52
22,algoQD,22,259/400,100,13,[0.8146],[0.2027],[0.0059],[1.],"[-9.3123,-9.9548]","[9.9260,9.9862]",210.99,557.47
23,algoQD,23,266/400,100,18,[0.8155],[0.2023],[0.0059],[1.],"[-9.7530,-9.9548]","[9.9260,9.9862]",216.93,552.68
24,algoQD,24,267/400,100,15,[0.8207],[0.1997],[0.0059],[1.],"[-9.7530,-9.9548]","[9.9260,9.9862]",219.13,551.51
25,algoQD,25,273/400,100,22,[0.8197],[0.2082],[0.0059],[1.],"[-9.7530,-9.9548]","[9.9260,9.9862]",223.77,543.82
26,algoQD,26,276/400,100,14,[0.8221],[0.2082],[0.0059],[1.],"[-9.7530,-9.9136]","[9.9260,9.9862]",226.89,552.17
27,algoQD,27,279/400,100,9,[0.8225],[0.2077],[0.0059],[1.],"[-9.7530,-9.9136]","[9.9260,9.9862]",229.49,545.91
28,algoQD,28,283/400,100,15,[0.828],[0.2028],[0.0059],[1.],"[-9.7530,-9.9136]","[9.9260,9.9862]",234.34,550.04
29,algoQD,29,287/400,100,15,[0.8294],[0.2026],[0.0177],[1.],"[-9.7530,-9.9136]","[9.9260,9.9862]",238.03,556.18
30,algoQD,30,291/400,100,16,[0.8326],[0.2017],[0.0177],[1.],"[-9.7530,-9.9136]","[9.9260,9.9862]",242.29,552.92
31,algoQD,31,296/400,100,21,[0.8355],[0.1993],[0.0177],[1.],"[-9.7530,-9.9136]","[9.9260,9.9862]",247.31,547.79
32,algoQD,32,296/400,100,10,[0.8401],[0.199],[0.0177],[1.],"[-9.7530,-9.9136]","[9.9260,9.9862]",248.66,543.68
33,algoQD,33,301/400,100,14,[0.8453],[0.188],[0.0972],[1.],"[-9.7530,-9.9136]","[9.9407,9.9862]",254.44,551.26
34,algoQD,34,301/400,100,10,[0.849],[0.1881],[0.0972],[1.],"[-9.7530,-9.9136]","[9.9407,9.9862]",255.56,549.65
35,algoQD,35,306/400,100,15,[0.8513],[0.1884],[0.0653],[1.],"[-9.7530,-9.9136]","[9.9407,9.9862]",260.51,549.33
36,algoQD,36,310/400,100,13,[0.8545],[0.1833],[0.0653],[1.],"[-9.8862,-9.9136]","[9.9407,9.9862]",264.91,548.28
37,algoQD,37,316/400,100,13,[0.8531],[0.1832],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.9862]",269.56,548.28
38,algoQD,38,321/400,100,15,[0.8566],[0.1782],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.9862]",274.97,545.41
39,algoQD,39,323/400,100,12,[0.8604],[0.1762],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.8716]",277.90,551.67
40,algoQD,40,324/400,100,18,[0.8628],[0.1749],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.8716]",279.55,554.45
41,algoQD,41,324/400,100,9,[0.8651],[0.1749],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.8716]",280.30,550.27
42,algoQD,42,328/400,100,8,[0.8624],[0.1812],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.8716]",282.86,553.75
43,algoQD,43,331/400,100,6,[0.8634],[0.1807],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.8716]",285.80,553.58
44,algoQD,44,337/400,100,13,[0.8607],[0.183],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.8716]",290.06,545.70
45,algoQD,45,338/400,100,13,[0.8628],[0.182],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.9259]",291.63,545.96
46,algoQD,46,339/400,100,7,[0.8653],[0.1805],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.9259]",293.33,551.16
47,algoQD,47,342/400,100,10,[0.8659],[0.18],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.9259]",296.12,549.76
48,algoQD,48,343/400,100,8,[0.8681],[0.1799],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.9259]",297.75,551.02
49,algoQD,49,345/400,100,13,[0.8698],[0.1767],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.9259]",300.07,552.45
50,algoQD,50,348/400,100,10,[0.8707],[0.1741],[0.0653],[1.],"[-9.8862,-9.9960]","[9.9407,9.9259]",303.01,548.20
