,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,"(0.7720274183485243,)","(0.8076979107326931,)","(0.8316760381062825,)","(0.907947752210829,)","(0.9083849800957574,)","(0.9781397740046184,)","(0.9424335055881077,)","(0.76251769595676,)","(0.7968660566541883,)","(0.935268931918674,)","(0.9716614458296035,)","(0.9414638095431858,)","(0.9047286987304688,)","(0.8861297819349501,)","(0.892079332139757,)","(0.7990834765964084,)","(0.8992207845052084,)",
1,,,,"(0.8902312172783746,)","(0.9911543660693698,)","(0.9816092385186089,)","(0.8876841015285916,)","(0.8373396873474122,)","(0.8364750438266331,)","(0.7852528889973958,)","(0.9919550365871853,)","(0.9498071723514133,)","(0.9868532392713759,)","(0.8204311794704862,)","(0.9786077790790134,)","(0.9299018859863282,)","(0.9766732003953722,)","(0.9228017701043023,)","(0.8870943069458008,)","(0.9534134864807129,)"
2,"(0.9566993554433186,)","(0.9544606102837456,)",,"(0.9659278472264607,)","(0.9644721878899468,)","(0.9568465524249606,)","(0.9934230857425266,)","(0.9780522876315647,)","(0.7659672207302517,)","(0.9202342086368137,)","(0.9993340429332521,)","(0.8836152500576443,)","(0.956564638349745,)","(0.9749855412377252,)","(0.9832395235697429,)","(0.9843172073364258,)","(0.9793917179107666,)","(0.9859176635742187,)","(0.999914038181305,)","(0.9797144995795356,)"
3,"(0.8390285280015733,)","(0.997675844695833,)","(0.9712718248367309,)","(0.9325945536295572,)","(0.9726142088572184,)","(0.9948024090793398,)","(0.9757218890719943,)","(0.9990336659881803,)","(0.9741470363405016,)","(0.9416228771209717,)","(0.9971757931841745,)","(0.9652364518907335,)","(0.9368662728203667,)","(0.9825261645846897,)","(0.9996222654978434,)","(0.9803077697753906,)","(0.9984485311640634,)","(0.9879209359486898,)","(0.9697638856040107,)","(0.9907018058829837,)"
4,,"(0.9445041656494141,)","(0.9508727232615153,)","(0.9588175826602512,)","(0.9954748825894462,)","(0.9908836775355869,)","(0.8740667555067274,)","(0.996552105082406,)","(0.9974893162647883,)","(0.9986381493508816,)","(0.9819550726148817,)","(0.977629107899136,)","(0.9275758690304227,)","(0.9956203553411695,)","(0.9967027955585056,)","(0.9903053058518304,)","(0.9988863547643025,)","(0.9999866803487142,)","(0.9731666723887126,)","(0.9920313073529138,)"
5,"(0.8624492645263672,)","(0.8846902847290039,)","(0.9401856740315755,)","(0.9518473943074545,)","(0.9997694581747055,)","(0.970125158627828,)","(0.9909442477756076,)","(0.9649513191647,)","(0.9976964977052477,)","(0.9974216673109266,)","(0.9875815934605069,)","(0.9965478863981035,)","(0.91514220767551,)","(0.990464104546441,)","(0.9908348507351346,)","(0.9449723985460069,)","(0.9915056917402479,)","(0.9834042390187582,)","(0.9959129359987047,)","(0.9977587835656272,)"
6,"(0.8034837298923069,)","(0.981295375029246,)","(0.9908657928307851,)","(0.9772893693712023,)","(0.9768701818254258,)","(0.9954858144124349,)","(0.9687990294562445,)","(0.9841065433290269,)","(0.9927673194143507,)","(0.9981826252407497,)","(0.9990762511061297,)","(0.9661779509650337,)","(0.9860939025878906,)","(0.8768543667263455,)","(0.9700909455617269,)","(0.9986426804628638,)","(0.9864144868320889,)","(0.9898159239027235,)","(0.9856935037506951,)","(0.935581382115682,)"
7,"(0.9490534994337294,)","(0.8512218475341797,)","(0.9842366112603081,)","(0.9459445635477701,)","(0.9511153592003716,)","(0.9838780826992459,)","(0.9902477343877156,)","(0.9990695079995526,)","(0.9827039440472921,)","(0.9887458668814765,)","(0.9898163259029389,)","(0.9930557118521797,)","(0.9963081359863282,)","(0.962826747364468,)","(0.9583559486601088,)","(0.9974886311425103,)","(0.9770899030897352,)","(0.9988213605350919,)","(0.9990186055501302,)","(0.9583833588494195,)"
8,"(0.9279655456542969,)","(0.7413808186848958,)","(0.976067066192627,)","(0.9797539393107096,)","(0.975273158815172,)","(0.9892850246694352,)","(0.9575289726257324,)","(0.9947054637802972,)","(0.9783532566494412,)","(0.9996500346395705,)","(0.9997396762172381,)","(0.9875786582628886,)","(0.989784856637319,)","(0.9780101895332336,)","(0.9696998092863295,)","(0.9821272028817071,)","(0.9927482061915928,)","(0.9891396760940552,)","(0.9744096861945258,)","(0.9052527215745714,)"
9,"(0.8560164981418186,)","(0.821539560953776,)","(0.9910483943091498,)","(0.9593376689487033,)","(0.9954856753349304,)","(0.9989826646116045,)","(0.9986744201017751,)","(0.9841850055588617,)","(0.9987903995646371,)","(0.9996924991408984,)","(0.9999945746527777,)","(0.9989995968010691,)","(0.9992349025275972,)","(0.9768456512027317,)","(0.9988121175103717,)","(0.9856578826904296,)","(0.9694572369257609,)","(0.9697224511040582,)","(0.9466921965281169,)","(0.9196203708648681,)"
