,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"(0.842590872446696,)","(0.9463225258721246,)","(0.32740270826551643,)","(0.34558393690321176,)","(0.9443390687306722,)","(0.9521204312642415,)","(0.9071870274013943,)","(0.9813356651200189,)","(0.8650023460388183,)","(0.9256820148891873,)","(0.9430330276489258,)","(0.9982996846238772,)","(0.767123179965549,)","(0.9955644246604708,)","(0.8649800618489583,)","(0.9001402431064182,)","(0.7164367675781249,)","(0.49426422119140623,)","(0.5601365407307943,)",
1,"(0.7724136776394315,)","(0.7044351153903536,)","(0.986476817395952,)","(0.9959245185057323,)","(0.9585803535249499,)","(0.9414952807956272,)","(0.9072854465908474,)","(0.98167900774214,)","(0.963682410452101,)","(0.9738600783877902,)","(0.9563944604661729,)","(0.7924303690592448,)","(0.9545767890082465,)","(0.9089353349473741,)","(0.7024947060479059,)","(0.995167252752516,)","(0.9415267202589247,)",,"(0.8591093381245931,)","(0.6492579142252604,)"
2,,"(0.9914097521040175,)","(0.9262607786390517,)","(0.8419595612419977,)","(0.9744689755969578,)","(0.9894003318415747,)","(0.9973127928045061,)","(0.8438697603013781,)","(0.9141358693440755,)","(0.966518947813246,)","(0.9322082572513156,)","(0.9310036129421658,)","(0.7060830858018663,)","(0.9647225035561455,)","(0.9979944494035509,)","(0.9981002257929907,)","(0.9481196085611979,)","(0.9674697664048937,)","(0.6067477332221137,)","(0.8870163175794813,)"
3,"(0.6344192928738064,)","(0.9569186740451389,)","(0.9361012723710802,)","(0.8738636016845703,)","(0.9707699245876736,)","(0.9472117053137885,)","(0.9999664306640625,)","(0.9972835938135783,)","(0.9671282450358073,)","(0.8839569939507379,)","(0.9595509105258517,)","(0.947340620888604,)","(0.8797757890489366,)","(0.9921385950512356,)","(0.985839745733473,)","(0.889683108859592,)","(0.9740383307139079,)","(0.7525326199001736,)","(0.9192550659179688,)","(0.9025329801771376,)"
4,,"(0.8986172993977865,)","(0.8469505310058594,)","(0.9049458397759331,)","(0.969497283299764,)","(0.9788931078381009,)","(0.9595206764009264,)","(0.9328121609157987,)","(0.9790224843555027,)","(0.9961415191491445,)","(0.9970799869961209,)","(0.9922113769584232,)","(0.9933552179071639,)","(0.973748779296875,)","(0.9956625752978855,)","(0.8988678932189942,)","(0.9246154043409559,)","(0.8890177938673232,)","(0.2451934814453125,)","(0.9342558013068305,)"
5,"(0.9159007602267795,)","(0.9892235577106476,)","(0.9786444293128119,)","(0.9575871785481771,)","(0.9264031728108724,)","(0.9900547756089104,)","(0.9914068149195777,)","(0.8480430179172092,)","(0.9816223674350315,)","(0.9983563012546963,)","(0.9581903378168741,)","(0.9437246534559461,)","(0.9925376660294003,)","(0.9945853021409776,)","(0.9721828964021471,)","(0.9734912501441108,)","(0.9720245387819079,)","(0.974099858601888,)","(0.9970057487487793,)","(0.799328358968099,)"
6,"(0.6880785200330946,)","(0.8540717866685655,)","(0.7877751880221897,)","(0.9932851784759098,)","(0.97326750225491,)","(0.94446472591824,)","(0.9939754002624088,)","(0.9643789635764228,)","(0.9999324215783013,)","(0.9895830293496449,)","(0.9986893912156423,)","(0.9993888735771179,)","(0.9909007721477084,)","(0.9834027965863545,)","(0.9771871142917209,)","(0.9992987500296698,)","(0.9651908053292169,)","(0.9618145333396064,)","(0.9742322709825304,)","(0.9829017877578735,)"
7,"(0.8784132215711805,)","(0.9631706423229641,)","(0.9971879773669773,)","(0.9938440534803602,)","(0.9881968047883776,)","(0.999206832713551,)","(0.999633832110299,)","(0.9789903653992547,)","(0.9955857064988878,)","(0.9995474285549588,)","(0.9422382990519206,)","(0.9968285375171237,)","(0.9902416626612346,)","(0.9871022807227241,)","(0.9773101276821561,)","(0.9784465167257521,)","(0.9928868532180786,)","(0.99795683754815,)","(0.5463328467475044,)","(0.8095533159044054,)"
8,"(0.9175819608900282,)","(0.9702591790093316,)","(0.9687629858652751,)","(0.8995165824890137,)","(0.9981799019707573,)","(0.9743427117665608,)","(0.9546615918477376,)","(0.9998772515190972,)","(0.9857251710361905,)","(0.9992728339301216,)","(0.999381748172972,)","(0.9943027284410265,)","(0.9732835133870442,)","(0.9549728393554687,)","(0.9786976046032376,)","(0.9820514546500312,)","(0.7775750478108724,)","(0.8677297804090711,)","(0.8637773937649197,)","(0.9951626247829861,)"
9,"(0.9669140073988173,)","(0.9822740475336711,)","(0.8682830386691623,)","(0.9780671967400445,)","(0.991321145163642,)","(0.9971999410125945,)","(0.9959796537955602,)","(0.9937755756907993,)","(0.9994295756022136,)","(0.9999728149837918,)","(0.9998700543306768,)","(0.9997281468576855,)","(0.9984064857165019,)","(0.9950274414486355,)","(0.9892684373590681,)","(0.9980437464184231,)","(0.8460164599948459,)","(0.9524449348449707,)","(0.9069936116536458,)","(0.9623044146431817,)"
