,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,37/400,100,44,[0.6993],[0.256],[0.211],[0.9992],"[-8.0172,-5.0124]","[8.3861,6.0863]",25.87,1202.10
1,algoQD,1,65/400,100,43,[0.6904],[0.2452],[0.0846],[0.9992],"[-8.3181,-7.2578]","[8.3861,6.0863]",44.88,624.13
2,algoQD,2,90/400,100,41,[0.6791],[0.2676],[0.0442],[1.],"[-8.3181,-7.2578]","[8.3861,6.0863]",61.12,610.96
3,algoQD,3,116/400,100,41,[0.6919],[0.2564],[0.0705],[1.],"[-8.6707,-9.1324]","[8.4316,8.5855]",80.26,616.83
4,algoQD,4,140/400,100,41,[0.6929],[0.2661],[0.0935],[1.],"[-8.6707,-9.1324]","[8.4316,9.2387]",97.00,625.12
5,algoQD,5,152/400,100,28,[0.6945],[0.265],[0.0062],[1.],"[-8.6707,-9.1324]","[8.4316,9.2387]",105.57,616.80
6,algoQD,6,172/400,100,27,[0.7049],[0.2589],[0.0062],[1.],"[-8.6707,-9.1324]","[8.4316,9.2387]",121.24,624.36
7,algoQD,7,182/400,100,29,[0.7179],[0.2545],[0.0062],[1.],"[-8.6707,-9.1324]","[8.7257,9.2387]",130.65,635.09
8,algoQD,8,199/400,100,27,[0.7128],[0.2577],[0.0062],[1.],"[-8.6707,-9.8256]","[9.0369,9.5542]",141.85,617.13
9,algoQD,9,217/400,100,33,[0.7236],[0.2536],[0.0062],[1.],"[-9.6889,-9.8256]","[9.0369,9.5542]",157.02,616.80
10,algoQD,10,223/400,100,24,[0.7422],[0.2426],[0.0062],[1.],"[-9.6889,-9.8256]","[9.0369,9.5542]",165.52,626.24
11,algoQD,11,235/400,100,23,[0.755],[0.2275],[0.0062],[1.],"[-9.8990,-9.8256]","[9.0369,9.5542]",177.42,627.95
12,algoQD,12,240/400,100,20,[0.7624],[0.225],[0.0062],[1.],"[-9.8990,-9.8256]","[9.1472,9.5542]",182.98,624.02
13,algoQD,13,247/400,100,22,[0.7706],[0.22],[0.0062],[1.],"[-9.8990,-9.8256]","[9.1472,9.5542]",190.35,629.65
14,algoQD,14,254/400,100,26,[0.7827],[0.2134],[0.0062],[1.],"[-9.8990,-9.8256]","[9.5183,9.5542]",198.80,635.72
15,algoQD,15,260/400,100,17,[0.7853],[0.2098],[0.0062],[1.],"[-9.8990,-9.8256]","[9.5183,9.5542]",204.17,603.78
16,algoQD,16,265/400,100,13,[0.7872],[0.2044],[0.0062],[1.],"[-9.8990,-9.8256]","[9.5183,9.5542]",208.60,622.35
17,algoQD,17,271/400,100,15,[0.7911],[0.2029],[0.0062],[1.],"[-9.8990,-9.8256]","[9.5183,9.5542]",214.40,625.39
18,algoQD,18,277/400,100,15,[0.7946],[0.1988],[0.0062],[1.],"[-9.8990,-9.9339]","[9.5183,9.5542]",220.10,630.67
19,algoQD,19,285/400,100,25,[0.7992],[0.1957],[0.0062],[1.],"[-9.8990,-9.9339]","[9.5183,9.5542]",227.78,633.94
20,algoQD,20,289/400,100,14,[0.7972],[0.2007],[0.0062],[1.],"[-9.8990,-9.9958]","[9.6758,9.5542]",230.39,623.22
21,algoQD,21,295/400,100,18,[0.8005],[0.1985],[0.0217],[1.],"[-9.8990,-9.9958]","[9.6758,9.5542]",236.16,600.22
22,algoQD,22,298/400,100,15,[0.8053],[0.1984],[0.0066],[1.],"[-9.8990,-9.9958]","[9.6758,9.5542]",239.99,626.12
23,algoQD,23,300/400,100,14,[0.8092],[0.1972],[0.0066],[1.],"[-9.8990,-9.9958]","[9.6758,9.5542]",242.76,623.18
24,algoQD,24,306/400,100,20,[0.8127],[0.1952],[0.0066],[1.],"[-9.8990,-9.9958]","[9.6758,9.5542]",248.69,626.46
25,algoQD,25,309/400,100,14,[0.8174],[0.1912],[0.0066],[1.],"[-9.8990,-9.9958]","[9.6758,9.5542]",252.57,631.09
26,algoQD,26,311/400,100,11,[0.8209],[0.1898],[0.0066],[1.],"[-9.8990,-9.9958]","[9.6758,9.5542]",255.31,630.86
27,algoQD,27,314/400,100,12,[0.8232],[0.1889],[0.0066],[1.],"[-9.8990,-9.9958]","[9.6758,9.5542]",258.48,630.91
28,algoQD,28,316/400,100,19,[0.8288],[0.1878],[0.0066],[1.],"[-9.8990,-9.9958]","[9.6758,9.5542]",261.90,634.62
29,algoQD,29,321/400,100,13,[0.8328],[0.1853],[0.0066],[1.],"[-9.8990,-9.9958]","[9.6758,9.5542]",267.32,636.67
30,algoQD,30,325/400,100,19,[0.8361],[0.1826],[0.0066],[1.],"[-9.8990,-9.9958]","[9.8147,9.5542]",271.73,633.30
31,algoQD,31,328/400,100,13,[0.836],[0.183],[0.0066],[1.],"[-9.8990,-9.9958]","[9.9219,9.5542]",274.21,642.54
32,algoQD,32,334/400,100,21,[0.8432],[0.1787],[0.0066],[1.],"[-9.8990,-9.9958]","[9.9219,9.7199]",281.62,634.84
33,algoQD,33,336/400,100,14,[0.8458],[0.178],[0.0066],[1.],"[-9.8990,-9.9958]","[9.9219,9.7199]",284.18,640.76
34,algoQD,34,338/400,100,11,[0.8475],[0.1747],[0.0066],[1.],"[-9.8990,-9.9958]","[9.9219,9.7199]",286.46,635.18
35,algoQD,35,338/400,100,13,[0.8508],[0.1746],[0.0066],[1.],"[-9.8990,-9.9958]","[9.9219,9.7199]",287.56,631.82
36,algoQD,36,341/400,100,13,[0.8506],[0.1761],[0.0066],[1.],"[-9.8990,-9.9958]","[9.9219,9.9861]",290.05,636.60
37,algoQD,37,342/400,100,10,[0.8524],[0.1743],[0.0066],[1.],"[-9.8990,-9.9958]","[9.9219,9.9861]",291.54,638.90
38,algoQD,38,346/400,100,12,[0.8486],[0.1822],[0.0066],[1.],"[-9.8990,-9.9958]","[9.9219,9.9861]",293.60,634.35
39,algoQD,39,347/400,100,9,[0.8527],[0.1782],[0.0066],[1.],"[-9.8990,-9.9958]","[9.9219,9.9861]",295.87,632.77
40,algoQD,40,348/400,100,11,[0.8551],[0.178],[0.0066],[1.],"[-9.8990,-9.9958]","[9.9219,9.9861]",297.56,636.52
41,algoQD,41,350/400,100,16,[0.8597],[0.1742],[0.0066],[1.],"[-9.8990,-9.8518]","[9.9219,9.9861]",300.91,629.46
42,algoQD,42,354/400,100,13,[0.8603],[0.1725],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9219,9.9861]",304.54,633.74
43,algoQD,43,354/400,100,11,[0.8647],[0.1668],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9219,9.9861]",306.10,623.92
44,algoQD,44,354/400,100,15,[0.869],[0.165],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",307.63,622.85
45,algoQD,45,358/400,100,9,[0.8678],[0.1666],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",310.69,626.11
46,algoQD,46,358/400,100,11,[0.8696],[0.1649],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",311.30,635.86
47,algoQD,47,359/400,100,14,[0.8719],[0.1653],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",313.02,638.68
48,algoQD,48,361/400,100,10,[0.871],[0.1679],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",314.44,638.01
49,algoQD,49,362/400,100,8,[0.8728],[0.1672],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",315.95,632.20
50,algoQD,50,365/400,100,8,[0.8706],[0.1711],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",317.75,627.31
51,algoQD,51,365/400,100,10,[0.8739],[0.1686],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",318.97,632.54
52,algoQD,52,367/400,100,12,[0.8757],[0.1681],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",321.39,634.31
53,algoQD,53,368/400,100,9,[0.8778],[0.1657],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",323.03,634.24
54,algoQD,54,370/400,100,9,[0.8786],[0.165],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",325.08,629.40
55,algoQD,55,370/400,100,11,[0.8817],[0.1625],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",326.24,630.85
56,algoQD,56,370/400,100,5,[0.8833],[0.1622],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",326.81,630.77
57,algoQD,57,370/400,100,10,[0.8849],[0.1616],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",327.42,627.08
58,algoQD,58,370/400,100,5,[0.8859],[0.161],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",327.79,634.11
59,algoQD,59,370/400,100,5,[0.887],[0.1603],[0.0066],[1.],"[-9.9628,-9.8518]","[9.6563,9.9861]",328.20,630.48
60,algoQD,60,370/400,100,6,[0.8882],[0.1599],[0.0066],[1.],"[-9.9628,-9.8518]","[9.8329,9.9861]",328.62,630.79
61,algoQD,61,371/400,100,4,[0.8882],[0.1598],[0.0066],[1.],"[-9.9628,-9.8518]","[9.8329,9.9861]",329.54,617.85
62,algoQD,62,371/400,100,10,[0.8901],[0.1596],[0.0066],[1.],"[-9.9628,-9.8518]","[9.8329,9.9861]",330.22,634.01
63,algoQD,63,372/400,100,6,[0.8905],[0.1594],[0.0066],[1.],"[-9.9628,-9.8518]","[9.8329,9.9861]",331.28,615.14
64,algoQD,64,372/400,100,10,[0.8956],[0.1529],[0.0066],[1.],"[-9.9628,-9.8518]","[9.8329,9.9367]",333.15,626.27
65,algoQD,65,373/400,100,9,[0.8965],[0.1523],[0.0066],[1.],"[-9.9628,-9.8518]","[9.8329,9.9367]",334.38,635.32
66,algoQD,66,373/400,100,6,[0.8982],[0.1491],[0.0066],[1.],"[-9.9628,-9.8518]","[9.8329,9.9367]",335.03,639.57
67,algoQD,67,373/400,100,6,[0.8996],[0.1471],[0.0066],[1.],"[-9.9628,-9.8518]","[9.8329,9.9367]",335.53,638.31
68,algoQD,68,373/400,100,4,[0.9008],[0.1462],[0.0066],[1.],"[-9.9628,-9.8518]","[9.8329,9.9367]",336.01,613.91
69,algoQD,69,375/400,100,6,[0.9021],[0.145],[0.0066],[1.],"[-9.9628,-9.8518]","[9.8329,9.9367]",338.27,617.61
70,algoQD,70,376/400,100,7,[0.9034],[0.1439],[0.0066],[1.],"[-9.9628,-9.8518]","[9.8329,9.9367]",339.66,638.64
71,algoQD,71,377/400,100,4,[0.9014],[0.1496],[0.0066],[1.],"[-9.9628,-9.8518]","[9.8329,9.9367]",339.83,632.57
72,algoQD,72,378/400,100,6,[0.902],[0.1495],[0.0066],[1.],"[-9.9628,-9.8518]","[9.7160,9.9367]",340.97,636.42
73,algoQD,73,378/400,100,6,[0.9029],[0.1494],[0.0066],[1.],"[-9.9628,-9.8518]","[9.7160,9.9367]",341.30,631.41
74,algoQD,74,379/400,100,7,[0.9067],[0.141],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",343.63,632.77
75,algoQD,75,379/400,100,11,[0.9092],[0.1386],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",344.60,620.05
76,algoQD,76,380/400,100,9,[0.9103],[0.1376],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",345.91,631.72
77,algoQD,77,380/400,100,5,[0.9111],[0.1376],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",346.22,628.75
78,algoQD,78,380/400,100,7,[0.912],[0.1361],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",346.56,627.96
79,algoQD,79,380/400,100,4,[0.9134],[0.1356],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",347.08,611.15
80,algoQD,80,382/400,100,7,[0.914],[0.1353],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",349.13,632.38
81,algoQD,81,382/400,100,9,[0.9155],[0.1348],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",349.71,634.29
82,algoQD,82,382/400,100,2,[0.9156],[0.1341],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",349.78,631.78
83,algoQD,83,382/400,100,3,[0.9166],[0.1337],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",350.14,631.22
84,algoQD,84,383/400,100,6,[0.9186],[0.1314],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",351.82,632.35
85,algoQD,85,383/400,100,9,[0.922],[0.1269],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",353.14,618.38
86,algoQD,86,383/400,100,5,[0.9229],[0.1262],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",353.48,635.41
87,algoQD,87,384/400,100,4,[0.9225],[0.1272],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",354.24,624.47
88,algoQD,88,384/400,100,1,[0.9225],[0.1272],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",354.24,622.30
89,algoQD,89,384/400,100,6,[0.9232],[0.1272],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",354.51,627.91
90,algoQD,90,385/400,100,5,[0.923],[0.1272],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",355.35,584.73
91,algoQD,91,385/400,100,6,[0.9238],[0.1271],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",355.66,588.82
92,algoQD,92,385/400,100,4,[0.9239],[0.1271],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",355.71,582.15
93,algoQD,93,385/400,100,6,[0.9253],[0.1268],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",356.23,573.81
94,algoQD,94,385/400,100,4,[0.9281],[0.1214],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",357.34,572.94
95,algoQD,95,385/400,100,4,[0.9286],[0.121],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",357.52,578.53
96,algoQD,96,387/400,100,6,[0.9281],[0.1215],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",359.16,566.90
97,algoQD,97,387/400,100,6,[0.9293],[0.1205],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",359.63,559.35
98,algoQD,98,387/400,100,2,[0.9295],[0.1204],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",359.74,555.51
99,algoQD,99,388/400,100,4,[0.9304],[0.1197],[0.0066],[1.],"[-9.9628,-9.8518]","[9.9872,9.9367]",360.99,4.87
