,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.774381, -7.9197416)]","[(-9.456994, -6.025538)]","[(-9.215359, -5.677909)]","[(-9.161813, -4.7924094)]","[(-9.700174, -3.8148963)]","[(-9.248591, -2.3821182)]","[(-9.377783, -1.1944885)]","[(-9.1272335, -0.55934024)]","[(-9.1183, 0.27504587)]","[(-9.098676, 1.0604086)]","[(-9.997113, 2.7135465)]","[(-9.6474495, 3.3635886)]","[(-9.636459, 4.2782674)]",[],"[(-9.962432, 6.034675)]","[(-9.301945, 7.621879)]",[],[]
1,"[(-8.743559, -9.429232)]","[(-8.645595, -8.2310505)]","[(-8.297993, -7.549862)]",[],"[(-8.493593, -5.232748)]","[(-8.622147, -4.545761)]","[(-8.027014, -3.0609303)]","[(-8.328944, -2.8653035)]","[(-8.722895, -1.1382641)]","[(-8.733434, -0.51581496)]","[(-8.284051, 0.9644687)]","[(-8.205788, 1.5534035)]","[(-8.014847, 2.5658813)]","[(-8.552263, 3.8096025)]","[(-8.811475, 4.074424)]","[(-8.746995, 5.4330983)]","[(-8.613624, 6.1035423)]","[(-8.430026, 7.782143)]",[],[]
2,"[(-7.8122835, -9.425469)]","[(-7.1924014, -8.463011)]","[(-7.16253, -7.5922346)]","[(-7.5157285, -6.5532956)]","[(-7.8974032, -5.6036906)]","[(-7.1032643, -4.3786016)]","[(-7.4813595, -3.0481024)]","[(-7.689846, -2.257592)]","[(-7.5274286, -1.6747724)]","[(-7.324149, -0.51216066)]","[(-7.203844, 0.7330684)]","[(-7.772581, 1.9680727)]","[(-7.7699, 2.0704677)]","[(-7.451133, 3.8309913)]","[(-7.987175, 4.582075)]","[(-7.2525797, 5.3814993)]","[(-7.6926537, 6.3716645)]","[(-7.228883, 7.774303)]","[(-7.3144193, 8.053052)]","[(-7.3919086, 9.6141615)]"
3,"[(-6.0563664, -9.243861)]","[(-6.6171937, -8.732284)]","[(-6.342332, -7.9296784)]","[(-6.8267994, -6.784354)]","[(-6.86792, -5.2788363)]","[(-6.3018284, -4.2015615)]","[(-6.867741, -3.9056363)]","[(-6.850618, -2.3420355)]","[(-6.874256, -1.531335)]","[(-6.296954, -0.68469465)]","[(-6.673192, 0.67951304)]","[(-6.2002845, 1.5476279)]","[(-6.8328466, 2.489741)]","[(-6.846613, 3.2045245)]","[(-6.10998, 4.764756)]","[(-6.444875, 5.1004934)]","[(-6.928948, 6.5233903)]","[(-6.8521113, 7.3980556)]","[(-6.2912807, 8.072021)]",[]
4,"[(-5.429972, -9.008527)]","[(-5.676657, -8.8387165)]","[(-5.2468014, -7.548577)]","[(-5.5448694, -6.210628)]","[(-5.741825, -5.0515485)]","[(-5.409271, -4.3363595)]","[(-5.3955717, -3.743593)]","[(-5.9925075, -2.6732595)]","[(-5.5677037, -1.8755292)]","[(-5.599966, -0.28616512)]","[(-5.334533, 0.8468351)]","[(-5.841386, 1.8674331)]","[(-5.9121175, 2.7103064)]","[(-5.1180997, 3.3905022)]","[(-5.2226443, 4.761352)]","[(-5.101228, 5.460807)]","[(-5.9097385, 6.4474006)]","[(-5.722651, 7.325568)]","[(-5.397878, 8.52588)]","[(-5.385238, 9.98739)]"
5,"[(-4.7151914, -9.888049)]","[(-4.7361555, -8.382727)]","[(-4.6212063, -7.495914)]","[(-4.1500278, -6.8096943)]","[(-4.859361, -5.3963947)]","[(-4.739049, -4.3288436)]","[(-4.749834, -3.6247451)]","[(-4.1707754, -2.3700547)]","[(-4.477993, -1.8150804)]","[(-4.712918, -0.90360963)]","[(-4.2046485, 0.09685281)]","[(-4.232718, 1.5441387)]","[(-4.6359515, 2.5164244)]","[(-4.889256, 3.3096442)]","[(-4.1484265, 4.819755)]","[(-4.1690273, 5.371086)]","[(-4.5912156, 6.6481247)]","[(-4.2080107, 7.059682)]","[(-4.752882, 8.521557)]","[(-4.182101, 9.5193205)]"
6,"[(-3.7337916, -9.7352705)]","[(-3.0085044, -8.52452)]","[(-3.2024393, -7.2450047)]","[(-3.9125104, -6.040861)]","[(-3.7161515, -5.825088)]","[(-3.203508, -4.3269114)]","[(-3.7713275, -3.4655845)]","[(-3.8481956, -2.8787417)]","[(-3.812935, -1.9587744)]","[(-3.7257757, -0.463571)]","[(-3.997614, 0.9174049)]","[(-3.564767, 1.2659807)]","[(-3.4080312, 2.4415648)]","[(-3.0329747, 3.9701955)]","[(-3.6537428, 4.5590925)]","[(-3.1607912, 5.9321203)]","[(-3.7307544, 6.6752453)]","[(-3.7482178, 7.6752)]","[(-3.1931257, 8.559502)]","[(-3.140293, 9.11626)]"
7,"[(-2.047109, -9.250962)]","[(-2.6024191, -8.098686)]","[(-2.8275008, -7.4586086)]","[(-2.0215914, -6.4175057)]","[(-2.5382981, -5.0961514)]","[(-2.2359288, -4.63319)]","[(-2.713321, -3.8242807)]","[(-2.3636053, -2.3440876)]","[(-2.351409, -1.0032952)]","[(-2.508802, -0.83742714)]","[(-2.1835852, 0.6369687)]","[(-2.482848, 1.9374181)]","[(-2.599411, 2.7008305)]","[(-2.7640116, 3.3596451)]","[(-2.1127102, 4.276873)]","[(-2.5029736, 5.298728)]","[(-2.5149992, 6.319383)]","[(-2.9774623, 7.7881966)]","[(-2.1476817, 8.431783)]","[(-2.7785382, 9.838809)]"
8,"[(-1.8840954, -9.2119)]","[(-1.3978947, -8.99946)]","[(-1.128961, -7.3181515)]","[(-1.8904549, -6.017401)]","[(-1.2315377, -5.012992)]","[(-1.3152484, -4.9314213)]","[(-1.9066072, -3.8063123)]","[(-1.3532392, -2.0931368)]","[(-1.3651286, -1.8609464)]","[(-1.0253499, -0.44262883)]","[(-1.6524516, 0.10945277)]","[(-1.5637815, 1.7609566)]","[(-1.5054452, 2.9507465)]","[(-1.6972802, 3.2701614)]","[(-1.219023, 4.043579)]","[(-1.0943538, 5.2871313)]","[(-1.0116457, 6.691847)]","[(-1.0548968, 7.1238923)]","[(-1.6384896, 8.316724)]","[(-1.7073791, 9.145599)]"
9,"[(-0.17292881, -9.378456)]","[(-0.3607513, -8.271996)]","[(-0.100391544, -7.234189)]","[(-0.9354326, -6.5305347)]","[(-0.23223758, -5.1388702)]","[(-0.05700251, -4.9490924)]","[(-0.23406571, -3.930663)]","[(-0.3099909, -2.1795168)]","[(-0.79535186, -1.027906)]","[(-0.099467985, -0.010819253)]","[(-0.079105, 0.16526881)]","[(-0.14913067, 1.952925)]","[(-0.40989882, 2.5234246)]","[(-0.6135785, 3.36766)]","[(-0.3711378, 4.171195)]","[(-0.1562349, 5.3866234)]","[(-0.2067138, 6.025817)]","[(-0.52732337, 7.4266934)]","[(-0.41411296, 8.523845)]","[(-0.9646027, 9.309955)]"
