,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,"(0.7886964586046007,)",,,"(0.8841833114624024,)","(0.8088757408989801,)","(0.7660423490736219,)","(0.985167740450965,)","(0.9351246356964111,)","(0.8229578653971354,)","(0.970186087820265,)","(0.8719018618265788,)","(0.9677624146143595,)","(0.9894852002461751,)","(0.7773682488335504,)","(0.9479770448472765,)","(0.6369113074408637,)","(0.6733656141493056,)",,
1,,"(0.9534581396314833,)","(0.8034083896213108,)","(0.9436229599846734,)","(0.9623970323138766,)","(0.7415352715386285,)","(0.9735125621159871,)","(0.9566687371995714,)","(0.9388873630099827,)","(0.8722976260715061,)","(0.9565660264756944,)","(0.9284737957848443,)","(0.8131625493367514,)","(0.9335072941250271,)","(0.9964532017707824,)","(0.8870517942640517,)","(0.7525839275783963,)",,,
2,,"(0.9767311731974284,)","(0.8719015545315213,)","(0.9846185445785522,)","(0.97781343460083,)","(0.9974342107772827,)","(0.9823634624481201,)","(0.9158444404602051,)","(0.9203622817993165,)","(0.9765558295779758,)","(0.9810760868920221,)","(0.8866203308105469,)","(0.9291222466362847,)","(0.9408058908250597,)","(0.9715309725867377,)","(0.9237402015262179,)","(0.8111687554253473,)","(0.7830098046196832,)","(0.7268417358398438,)",
3,"(0.9434285799662272,)","(0.4667506747775607,)","(0.8835227860344781,)","(0.9864096919695536,)","(0.9905528035428789,)","(0.9454310205247667,)","(0.9715471532609727,)","(0.9680465565787422,)","(0.99766978820165,)","(0.8780878172980414,)","(0.9970874150594076,)","(0.9247225443522136,)","(0.9349473741319444,)","(0.9683911244074503,)","(0.9857491387261285,)","(0.9570634629991319,)","(0.7220089382595486,)","(0.8890232510036893,)","(0.986355537838406,)","(0.8183138953314887,)"
4,"(0.953043704562717,)","(0.9778020832273695,)","(0.9065391116672092,)","(0.9949849446614584,)","(0.8913715362548829,)","(0.9105046378241645,)","(0.9796400878164503,)","(0.997266149520874,)","(0.990604739718967,)","(0.9606754276487562,)","(0.8814146359761555,)","(0.9502567715115018,)","(0.9770120329327053,)",,"(0.9965655326843261,)","(0.9972942246331109,)","(0.8904894087049696,)","(0.9540330039130317,)","(0.9546508153279623,)","(0.9383739365471734,)"
5,"(0.9789318137698704,)","(0.9684739987055461,)","(0.9845670753055149,)","(0.9993891871637768,)","(0.9464513937632243,)","(0.942825338575575,)","(0.9588291671541002,)","(0.978314028845893,)","(0.980761300192939,)","(0.9897573331991831,)","(0.8637199613783094,)","(0.9734269566006131,)","(0.914497873518202,)","(0.893040837181939,)","(0.9873752382066515,)","(0.9654736465877957,)","(0.7232567681206596,)","(0.8933047612508138,)","(0.9799075378312005,)","(0.9856563342942132,)"
6,"(0.8578761842515733,)","(0.9988325355781449,)","(0.9781747712029352,)","(0.9622197998894586,)","(0.9976300075650215,)","(0.9958626200755437,)","(0.9547436290317112,)","(0.944634140862359,)","(0.9929868863688575,)","(0.9921213593747881,)","(0.9511849721272786,)","(0.9952433738443587,)","(0.9873459233178032,)","(0.9924129300647312,)","(0.9885492285092672,)","(0.9926747110154893,)","(0.964667542775472,)","(0.9172618442111545,)","(0.8358324262830946,)","(0.9828425076272752,)"
7,"(0.9252327971988255,)","(0.9930814954969618,)","(0.9587511777877807,)","(0.9809440347883437,)","(0.9856960588031345,)","(0.9934184935357836,)","(0.997127831644482,)","(0.9987883355882433,)","(0.9886972533331977,)","(0.9950762503676944,)","(0.992740062210295,)","(0.9947307752238379,)","(0.972413444519043,)","(0.9771979067060682,)","(0.9985501847333378,)","(0.9512174394395616,)","(0.9306503507826063,)","(0.8745124499003092,)","(0.9532416184743245,)","(0.9123411814371745,)"
8,"(0.9875572403271993,)","(0.9237258275349935,)","(0.9688058005438911,)","(0.985896979437934,)","(0.9911475499471029,)","(0.9828169080946181,)","(0.9854057457711961,)","(0.9996437602572971,)","(0.9988340165879991,)","(0.9830524232652452,)","(0.9927435027228462,)","(0.9988989353179931,)","(0.9985639373461406,)","(0.991083272298177,)","(0.9602258152431912,)","(0.955046123928494,)","(0.9607585880491468,)","(0.9131621466742621,)","(0.8922414143880208,)","(0.893355041080051,)"
9,"(0.9774771107567681,)","(0.9729235251744588,)","(0.977041753133138,)","(0.9529826058281793,)","(0.9760948419570923,)","(0.9835834291246203,)","(0.991606162654029,)","(0.9834679285685222,)","(0.9876999272240533,)","(0.9999839055558873,)","(0.9999846059518556,)","(0.9959138009283278,)","(0.9812756074799431,)","(0.9850021865632799,)","(0.9888151857588027,)","(0.9888334353764852,)","(0.9982905394501156,)","(0.968053764767117,)","(0.9802778879801433,)","(0.8896800782945421,)"
10,"(0.9995883378717635,)","(0.9740965207417805,)","(0.9810072011417813,)","(0.9940670563115014,)","(0.9978719810644786,)","(0.9613607856962416,)","(0.9878403001361423,)","(0.995948674943712,)","(0.998610602484809,)","(0.9998561875687705,)","(0.9998809804519018,)","(0.9987664752536349,)","(0.9753570609622532,)","(0.995855712890625,)","(0.9818274603949653,)","(0.9853070325321621,)","(0.9463609536488851,)","(0.9917996101909213,)","(0.955988883972168,)","(0.9142345428466797,)"
11,"(0.7329424752129449,)","(0.9245447794596354,)","(0.9805898242526584,)","(0.972418933444553,)","(0.9386830647786458,)","(0.9936230176024967,)","(0.9848027971055773,)","(0.9743337048424615,)","(0.9996021366781659,)","(0.994573974609375,)","(0.9994694232940674,)","(0.9938280979792277,)","(0.9868672370910645,)","(0.9725167592366536,)","(0.9992100987169478,)","(0.9960032287571166,)","(0.9815070695347257,)","(0.9678064558241103,)","(0.9681352429919773,)","(0.9635860443115234,)"
12,"(0.9255661010742188,)","(0.9166761822170681,)","(0.9645443810356988,)","(0.9172133551703558,)","(0.9919228123293983,)","(0.9767328262329101,)","(0.9933757146199544,)","(0.9624838935004341,)","(0.9957170996401045,)","(0.9756720648871527,)","(0.9815823594729106,)","(0.9782762315538195,)","(0.9821638743082682,)","(0.9173935678270128,)","(0.9832794295416938,)","(0.9976483239067926,)","(0.9994148969650268,)","(0.9907334910498725,)","(0.9739056295818753,)","(0.9611954185697767,)"
13,"(0.9434141900804308,)","(0.7396813074747721,)","(0.8713749249776204,)","(0.8961636649237739,)","(0.9940495921505822,)","(0.9986603842841254,)","(0.9797803905275133,)","(0.9819678399297926,)","(0.9986605604489645,)","(0.9862498654259576,)","(0.9892517513699002,)","(0.9953876283433702,)","(0.9600179778205024,)","(0.9857099890708924,)","(0.9337220615810818,)","(0.99788881805208,)","(0.9620256317986382,)","(0.9881651600201925,)","(0.9959214094612333,)","(0.9237845526801215,)"
14,"(0.7632097032335069,)","(0.9165018399556478,)","(0.8531076749165853,)","(0.8571192953321669,)","(0.8321364720662434,)","(0.9424682352277968,)","(0.952416107389662,)","(0.9137820137871636,)","(0.99335601594713,)","(0.9924643410576715,)","(0.9925385594367981,)","(0.9789019836319818,)","(0.9872452563709683,)","(0.9757864024904039,)","(0.9639525095621745,)","(0.9967976427740521,)","(0.9281320465935601,)","(0.9363191922505697,)","(0.9524760405222574,)","(0.9691860251956516,)"
