,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.100041, -7.9008293)]","[(-9.531101, -6.3357882)]","[(-9.897711, -5.162401)]","[(-9.180113, -4.4092083)]","[(-9.137173, -3.7312067)]","[(-9.346247, -2.4518473)]","[(-9.221584, -1.5580393)]","[(-9.6790495, -0.18361393)]","[(-9.508235, 0.44610554)]","[(-9.063735, 1.5065017)]","[(-9.873919, 2.4926176)]","[(-9.338789, 3.8622165)]","[(-9.747227, 4.886945)]","[(-9.376098, 5.3921566)]","[(-9.075737, 6.4235735)]","[(-9.318523, 7.6185575)]",[],"[(-9.35806, 9.218044)]"
1,[],[],[],"[(-8.702197, -6.4525)]","[(-8.856519, -5.187792)]","[(-8.311008, -4.0968494)]","[(-8.7505865, -3.8177257)]","[(-8.722435, -2.4683964)]","[(-8.610335, -1.0632927)]","[(-8.38826, -0.11148719)]","[(-8.224652, 0.05615949)]","[(-8.752736, 1.0045305)]","[(-8.625465, 2.2744083)]","[(-8.7773485, 3.038771)]","[(-8.130131, 4.793645)]","[(-8.34136, 5.561222)]","[(-8.004342, 6.812855)]",[],[],[]
2,[],"[(-7.0039477, -8.211739)]","[(-7.7272854, -7.7247043)]","[(-7.1526814, -6.2317915)]","[(-7.606071, -5.297757)]","[(-7.13209, -4.023269)]","[(-7.4838567, -3.999699)]","[(-7.3792067, -2.2151504)]","[(-7.289951, -1.1506788)]","[(-7.0680275, -0.19169469)]","[(-7.8725057, 0.9543213)]","[(-7.7038774, 1.1333922)]","[(-7.5806527, 2.162569)]","[(-7.1562667, 3.925327)]","[(-7.4833407, 4.211425)]","[(-7.621592, 5.8882155)]","[(-7.730659, 6.758264)]","[(-7.125028, 7.4470606)]","[(-7.9598026, 8.176471)]","[(-7.499946, 9.127549)]"
3,[],"[(-6.9000134, -8.086218)]","[(-6.655249, -7.5510974)]","[(-6.315226, -6.0881104)]","[(-6.0014524, -5.966117)]","[(-6.637102, -4.780666)]","[(-6.8541274, -3.305712)]","[(-6.5105953, -2.7940278)]","[(-6.7647114, -1.7699033)]","[(-6.9322724, -0.72631854)]","[(-6.0491705, 0.60174376)]","[(-6.2539916, 1.2761521)]","[(-6.060717, 2.3611577)]","[(-6.230717, 3.4453714)]","[(-6.5983915, 4.8752503)]","[(-6.6727176, 5.836836)]","[(-6.4817643, 6.0101676)]","[(-6.932275, 7.3823733)]","[(-6.1030684, 8.923625)]",[]
4,"[(-5.010843, -9.692879)]","[(-5.345362, -8.9108925)]","[(-5.5970244, -7.290597)]","[(-5.505915, -6.962391)]","[(-5.655918, -5.0378833)]","[(-5.311999, -4.5908704)]","[(-5.9970055, -3.8679821)]","[(-5.7469373, -2.8993547)]","[(-5.483208, -1.0254707)]","[(-5.0888557, -0.6923903)]","[(-5.4514728, 0.14398439)]","[(-5.828619, 1.1006229)]","[(-5.712721, 2.1319568)]","[(-5.044111, 3.356708)]","[(-5.6663013, 4.0303025)]","[(-5.8607297, 5.5265064)]","[(-5.5323987, 6.1305933)]","[(-5.2391624, 7.700017)]","[(-5.4461894, 8.335975)]",[]
5,"[(-4.002008, -9.719235)]","[(-4.70095, -8.0044365)]","[(-4.483008, -7.383283)]","[(-4.472752, -6.5939684)]","[(-4.1805077, -5.56073)]","[(-4.589868, -4.841653)]","[(-4.8777094, -3.7000406)]","[(-4.3960276, -2.5277967)]","[(-4.788701, -1.3811953)]","[(-4.772994, -0.49770546)]","[(-4.347612, 0.8825026)]","[(-4.1049714, 1.592454)]","[(-4.069801, 2.6637254)]","[(-4.0215254, 3.4224415)]","[(-4.781196, 4.3823357)]","[(-4.506611, 5.707188)]","[(-4.0314255, 6.536836)]","[(-4.65756, 7.1333213)]","[(-4.152884, 8.816092)]","[(-4.850046, 9.30434)]"
6,"[(-3.9071229, -9.297723)]","[(-3.641228, -8.628618)]","[(-3.1902583, -7.1901455)]","[(-3.8437455, -6.5893416)]","[(-3.5053618, -5.2124286)]","[(-3.469916, -4.6561856)]","[(-3.6161664, -3.2950444)]","[(-3.2483754, -2.726963)]","[(-3.5462303, -1.8318024)]","[(-3.5266078, -0.99525344)]","[(-3.1970491, 0.6744145)]","[(-3.5653586, 1.4902794)]","[(-3.6511657, 2.6958213)]","[(-3.561944, 3.6785965)]","[(-3.858941, 4.0341725)]","[(-3.864041, 5.642157)]","[(-3.9136338, 6.3909864)]","[(-3.2880006, 7.3183265)]","[(-3.3042202, 8.830047)]","[(-3.9044948, 9.790528)]"
7,"[(-2.9765885, -9.959611)]","[(-2.1309571, -8.426667)]","[(-2.6488378, -7.5942793)]","[(-2.2250783, -6.60047)]","[(-2.527025, -5.1489544)]","[(-2.5964112, -4.844192)]","[(-2.3793197, -3.3282015)]","[(-2.5525901, -2.1858327)]","[(-2.974767, -1.8816191)]","[(-2.8995917, -0.1564583)]","[(-2.238073, 0.12628433)]","[(-2.1971593, 1.462404)]","[(-2.0037725, 2.0201375)]","[(-2.8908703, 3.5128005)]","[(-2.0539262, 4.1193924)]","[(-2.289295, 5.3117056)]","[(-2.4368038, 6.9137)]","[(-2.5542133, 7.068533)]","[(-2.9261029, 8.36764)]","[(-2.0877078, 9.186823)]"
8,"[(-1.1979625, -9.779839)]","[(-1.2204773, -8.452565)]","[(-1.0313169, -7.7240624)]","[(-1.263604, -6.55523)]","[(-1.782086, -5.805761)]","[(-1.2839935, -4.79348)]","[(-1.8690373, -3.1945074)]","[(-1.064335, -2.9518607)]","[(-1.8415495, -1.0311792)]","[(-1.0765668, -0.8197663)]","[(-1.3178399, 0.8691488)]","[(-1.8438307, 1.8279245)]","[(-1.970135, 2.0614629)]","[(-1.3198187, 3.8498178)]","[(-1.2755144, 4.8492455)]","[(-1.6332676, 5.6621547)]","[(-1.8663447, 6.033918)]","[(-1.0154297, 7.6786766)]","[(-1.744034, 8.632779)]","[(-1.73265, 9.57441)]"
9,"[(-0.5926654, -9.7097645)]","[(-0.245371, -8.94105)]","[(-0.39583275, -7.2553077)]","[(-0.3624766, -6.1092687)]","[(-0.9084745, -5.1022067)]","[(-0.66008097, -4.8675838)]","[(-0.9108215, -3.6999993)]","[(-0.31324425, -2.1411672)]","[(-0.13370731, -1.1373262)]","[(-0.13656227, -0.025558688)]","[(-0.87452304, 0.024951734)]","[(-0.08807188, 1.5737656)]","[(-0.35014158, 2.417536)]","[(-0.19757918, 3.0049)]","[(-0.38759592, 4.198696)]","[(-0.5813353, 5.5702343)]","[(-0.98788285, 6.5376067)]","[(-0.81869197, 7.8038664)]","[(-0.36885226, 8.771323)]","[(-0.2670141, 9.716128)]"
