,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,41/400,100,53,[0.6136],[0.3157],[0.0592],[0.9978],"[-7.3033,-6.0956]","[7.9001,6.0186]",25.16,1032.82
1,algoQD,1,72/400,100,45,[0.5892],[0.3126],[0.0592],[0.9978],"[-7.3033,-9.1925]","[7.9001,6.7155]",42.42,519.77
2,algoQD,2,96/400,100,39,[0.6523],[0.278],[0.0712],[0.9978],"[-9.5707,-9.3597]","[7.9001,6.7155]",62.62,528.32
3,algoQD,3,121/400,100,37,[0.6588],[0.2803],[0.0182],[0.9999],"[-9.5707,-9.4552]","[7.9001,9.8165]",79.71,517.90
4,algoQD,4,137/400,100,33,[0.6786],[0.2729],[0.0182],[0.9999],"[-9.5707,-9.4552]","[7.9001,9.8165]",92.97,516.41
5,algoQD,5,159/400,100,33,[0.6829],[0.2677],[0.0182],[0.9999],"[-9.7368,-9.4552]","[7.9001,9.8165]",108.58,530.48
6,algoQD,6,174/400,100,31,[0.6856],[0.2732],[0.0182],[0.9999],"[-9.7368,-9.4552]","[7.9001,9.8165]",119.29,524.99
7,algoQD,7,186/400,100,26,[0.6971],[0.2669],[0.0012],[0.9999],"[-9.7368,-9.7780]","[7.9001,9.8165]",129.67,529.33
8,algoQD,8,196/400,100,29,[0.7098],[0.2598],[0.0012],[0.9999],"[-9.7368,-9.7780]","[7.9001,9.8165]",139.12,527.05
9,algoQD,9,207/400,100,24,[0.7182],[0.2592],[0.0012],[0.9999],"[-9.7368,-9.7780]","[7.9001,9.8165]",148.68,532.17
10,algoQD,10,219/400,100,27,[0.7294],[0.253],[0.0012],[0.9999],"[-9.7368,-9.7780]","[7.9001,9.8165]",159.74,529.31
11,algoQD,11,227/400,100,25,[0.7418],[0.2457],[0.0227],[0.9999],"[-9.9627,-9.7780]","[7.9001,9.8165]",168.39,529.85
12,algoQD,12,235/400,100,17,[0.7445],[0.2444],[0.0227],[0.9999],"[-9.9627,-9.7780]","[9.0027,9.8165]",174.96,525.53
