,0
0,49
1,97
2,108
3,132
4,141
5,171
6,175
7,218
8,235
9,245
10,252
11,255
12,294
13,302
14,317
15,327
16,343
17,346
18,350
19,352
20,356
21,392
22,399
23,432
24,438
25,448
26,454
27,458
28,465
29,466
30,468
31,475
32,479
33,484
34,487
35,496
36,502
37,524
38,525
39,526
40,527
41,534
42,539
43,542
44,557
45,559
46,565
47,580
48,591
49,592
50,593
51,594
52,595
53,596
54,608
55,611
56,627
57,628
58,638
59,639
60,640
61,641
62,652
63,661
64,668
65,670
66,682
67,685
68,686
69,695
70,715
71,716
72,718
73,719
74,722
75,725
76,726
77,728
78,729
79,745
80,752
81,754
82,755
83,761
84,762
85,770
86,771
87,776
88,781
89,782
90,784
91,797
92,803
93,804
94,807
95,808
96,813
97,816
98,817
99,819
100,820
101,821
102,827
103,828
104,831
105,833
106,835
107,837
108,838
109,841
110,862
111,871
112,876
113,879
114,892
115,895
116,897
117,898
118,900
119,901
120,908
121,909
122,910
123,912
124,914
125,916
126,918
127,924
128,926
129,928
130,929
131,930
132,931
133,937
134,940
135,943
136,946
137,947
138,953
139,956
140,957
141,959
142,964
143,966
144,967
145,968
146,973
147,974
148,975
149,976
150,979
151,982
152,983
153,984
154,985
155,989
156,990
157,994
158,995
159,996
160,998
161,999
162,1000
163,1001
164,1007
165,1008
166,1010
167,1011
168,1013
169,1016
170,1018
171,1019
172,1021
173,1027
174,1031
175,1032
176,1034
177,1036
178,1039
179,1041
180,1042
181,1044
182,1046
183,1047
184,1049
185,1050
186,1051
187,1052
188,1056
189,1061
190,1062
191,1064
192,1066
193,1067
194,1068
195,1069
196,1070
197,1072
198,1075
199,1076
200,1077
201,1079
202,1081
203,1082
204,1084
205,1085
206,1086
207,1090
208,1093
209,1094
210,1095
211,1096
212,1098
213,1099
214,1100
215,1101
216,1103
217,1105
218,1108
219,1109
220,1111
221,1113
222,1114
223,1115
224,1121
225,1122
226,1123
227,1124
228,1125
229,1126
230,1133
231,1134
232,1135
233,1138
234,1140
235,1141
236,1142
237,1143
238,1144
239,1145
240,1146
241,1147
242,1148
243,1149
244,1150
245,1152
246,1153
247,1154
248,1155
249,1157
250,1159
251,1161
252,1163
253,1165
254,1166
255,1170
256,1172
257,1173
258,1175
259,1176
260,1178
261,1182
262,1183
263,1184
264,1185
265,1188
266,1189
267,1190
268,1191
269,1193
270,1194
271,1195
272,1197
273,1198
274,1199
275,1200
276,1201
277,1202
278,1203
279,1204
280,1205
281,1206
282,1207
283,1208
284,1209
285,1212
286,1213
287,1214
288,1215
289,1216
290,1217
291,1218
292,1219
293,1220
294,1221
295,1222
296,1223
297,1224
298,1225
299,1226
300,1227
301,1228
302,1229
303,1230
304,1231
305,1232
306,1233
307,1234
308,1235
309,1238
310,1239
311,1240
312,1241
313,1242
314,1244
315,1245
316,1246
317,1247
318,1248
319,1249
320,1250
321,1251
322,1252
323,1254
324,1255
325,1256
326,1257
327,1258
328,1259
329,1261
330,1263
331,1264
332,1265
333,1266
334,1267
335,1268
336,1269
337,1270
338,1271
339,1272
340,1273
341,1274
342,1275
343,1276
344,1277
345,1278
346,1279
347,1280
348,1281
349,1282
350,1283
351,1284
352,1286
353,1287
354,1289
355,1290
356,1291
357,1292
358,1293
359,1294
360,1295
361,1296
362,1297
363,1298
364,1299
365,1300
366,1301
367,1302
368,1303
369,1304
370,1305
371,1306
372,1307
373,1308
374,1309
375,1310
376,1311
377,1312
378,1313
379,1314
