,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"(0.7698037677341037,)",,"(0.9656365050209893,)","(0.09590852525499127,)",,"(0.5605348798963758,)","(0.6673264821370443,)","(0.8615252388848199,)","(0.8278489430745443,)","(0.9730086432562934,)","(0.9414150344000922,)","(0.9825829399956597,)","(0.9784225503603617,)","(0.9609013663397895,)","(0.9987196604410807,)","(0.9530323028564454,)","(0.9276444435119628,)","(0.9487269931369358,)",,
1,,,"(0.9890234178966946,)","(0.886674075656467,)","(0.9436023288302952,)","(0.8310262044270833,)","(0.9823970516522725,)","(0.9471180333031548,)","(0.8775962511698405,)","(0.83758118947347,)","(0.9962538729111353,)","(0.9911876320838928,)","(0.993874290254381,)","(0.9930565330717299,)","(0.9658568912082248,)","(0.9914388431443109,)","(0.9475015375349257,)","(0.9810279462072584,)","(0.5294283972846137,)","(0.9600332392586602,)"
2,,"(0.852704832288954,)",,"(0.9153826448652479,)","(0.9987701839870877,)","(0.9944606810808182,)","(0.9309240553114149,)","(0.9866974300808377,)","(0.9525363392300076,)","(0.9619402143690321,)","(0.9589717785517374,)","(0.9958763360977173,)","(0.9972333568665717,)","(0.9987570232815213,)","(0.9927938951386346,)","(0.7851796468098958,)","(0.9713488022486368,)","(0.8877584139506022,)","(0.9363532967037624,)",
3,"(0.6283074273003473,)","(0.530675803290473,)","(0.9909219377570682,)","(0.9007272614373101,)","(0.9946321232451333,)","(0.9916364742649926,)","(0.994910560713874,)","(0.9080157385932075,)","(0.9745210568110149,)","(0.9880091879102919,)","(0.9045332166883681,)","(0.9958177364534802,)","(0.9591158813900418,)","(0.9934485117594402,)","(0.9848096119032965,)","(0.9890997853544023,)","(0.9607121149698893,)","(0.8083879470825195,)","(0.9530973381466336,)","(0.9995348559485542,)"
4,"(0.9724121941460504,)","(0.9874181932873196,)","(0.9420873165130615,)","(0.9863709767659505,)","(0.9587941063774956,)","(0.9807785895135668,)","(0.8808086819118923,)","(0.9920577618810865,)","(0.9519497606489393,)","(0.9997650358412001,)","(0.9584853596157498,)","(0.9821762959162395,)","(0.9965985457102458,)","(0.9796497053570218,)","(0.9866434017817179,)","(0.9376988728841146,)","(0.9267547395494249,)","(0.9294093237982856,)","(0.9121968428293864,)","(0.9798596103986105,)"
5,"(0.9176478491889106,)","(0.9166846593221029,)","(0.903903579711914,)","(0.9680603239271376,)","(0.9951500362820096,)","(0.9913850201500787,)","(0.9943392713864644,)","(0.9953070700168609,)","(0.9967921468946669,)","(0.9754828559027777,)","(0.9816479762395223,)","(0.9984107120169534,)","(0.9976968973875046,)","(0.9745254145728217,)","(0.9794271151224773,)","(0.9696613205803766,)","(0.966149287753635,)","(0.9730231602986653,)","(0.9743278450436063,)","(0.9102511723836263,)"
6,"(0.9727266550064086,)","(0.965959980752733,)","(0.8304783715142144,)","(0.9999003092447917,)","(0.9887978619999356,)","(0.9825508541531033,)","(0.9848996930652194,)","(0.9755359437730577,)","(0.9591460174984402,)","(0.9642043034235637,)","(0.9447487301296658,)","(0.9982372078630659,)","(0.9843428081936306,)","(0.9327018313937717,)","(0.9861255221896701,)","(0.9943456927935282,)","(0.9938301477167342,)","(0.936693541208903,)","(0.9771264950434367,)","(0.9287310706244575,)"
7,"(0.8306952370537652,)","(0.8664580874972874,)","(0.9465725209977892,)","(0.9540926191541884,)","(0.9970167564021216,)","(0.9212640656365289,)","(0.9627185424168905,)","(0.9966598822010888,)","(0.9697453710767958,)","(0.9933761172824436,)","(0.9991608089870877,)","(0.9972707218594021,)","(0.9655576017167833,)","(0.9896756410598755,)","(0.9416853162977431,)","(0.8911503685845269,)","(0.9762336942884657,)","(0.9748427894380357,)","(0.970306396484375,)","(0.8153392367892796,)"
8,"(0.9556224160724216,)","(0.9627861923641629,)","(0.9859264678425259,)","(0.9812220546934339,)","(0.974196179707845,)","(0.9667701297336154,)","(0.9986560980478922,)","(0.9973637931876712,)","(0.9844473322232564,)","(0.9984456554055214,)","(0.999213242613607,)","(0.9976619376076592,)","(0.9921824753284454,)","(0.9963616685734855,)","(0.9232905069986979,)","(0.9210840755038792,)","(0.9848291820949978,)","(0.9275994936625163,)","(0.8854956732855903,)","(0.9817209879557292,)"
9,"(0.9531095080905491,)","(0.9797262920273675,)","(0.9928556932343378,)","(0.9844498528374566,)","(0.9920752267042796,)","(0.9684161716037326,)","(0.9976334475808674,)","(0.9984830932484733,)","(0.9971820321347978,)","(0.9999648359086778,)","(0.99998222370632,)","(0.9937934451633029,)","(0.9883133980962965,)","(0.994334128830168,)","(0.9902468469407824,)","(0.9573381106058756,)","(0.9970414161682128,)","(0.9663981013827854,)","(0.8944461186726888,)","(0.9250422583685981,)"
10,"(0.9160576714409723,)","(0.9495466444227431,)","(0.9875677956475152,)","(0.9304503122965495,)","(0.9697789510091146,)","(0.9992816593911913,)","(0.9897609710693359,)","(0.9987481223212348,)","(0.9958477245436774,)","(0.9976843939887152,)","(0.9998056982954343,)","(0.9925563931465149,)","(0.9912329620785183,)","(0.9770465930302937,)","(0.9733994377983941,)","(0.9737751007080078,)","(0.9610689613554213,)","(0.9148877673678928,)","(0.9912738376193576,)","(0.8865530437893338,)"
11,"(0.812802971733941,)","(0.9503401120503744,)","(0.9254263824886746,)","(0.9680975172254774,)","(0.9959592819213867,)","(0.9677877108256022,)","(0.9867453098297119,)","(0.9676694366667006,)","(0.9973021613226997,)","(0.9914988888634576,)","(0.9957366105582979,)","(0.9853444629245334,)","(0.9981843577490912,)","(0.9795267913076613,)","(0.9823927866088019,)","(0.8167685190836589,)","(0.9367340087890625,)","(0.9973194758097331,)","(0.9527242395612928,)","(0.9916084024641248,)"
