,0
0,44
1,72
2,83
3,118
4,121
5,127
6,129
7,190
8,224
9,231
10,247
11,269
12,283
13,305
14,328
15,337
16,343
17,357
18,361
19,368
20,382
21,388
22,395
23,397
24,403
25,414
26,433
27,441
28,445
29,448
30,453
31,454
32,462
33,477
34,481
35,487
36,494
37,512
38,516
39,531
40,532
41,534
42,541
43,542
44,544
45,552
46,553
47,559
48,563
49,564
50,566
51,571
52,573
53,594
54,601
55,603
56,606
57,608
58,609
59,613
60,615
61,620
62,621
63,623
64,630
65,631
66,632
67,634
68,638
69,653
70,655
71,658
72,675
73,678
74,679
75,680
76,682
77,686
78,687
79,696
80,698
81,700
82,702
83,712
84,714
85,715
86,717
87,719
88,720
89,725
90,726
91,737
92,741
93,744
94,748
95,750
96,754
97,756
98,758
99,767
100,770
101,771
102,779
103,791
104,796
105,797
106,803
107,806
108,807
109,809
110,816
111,820
112,823
113,829
114,832
115,833
116,834
117,835
118,836
119,837
120,843
121,846
122,849
123,851
124,852
125,853
126,854
127,862
128,863
129,864
130,867
131,871
132,875
133,878
134,879
135,881
136,888
137,891
138,898
139,902
140,906
141,907
142,909
143,918
144,926
145,933
146,934
147,936
148,940
149,941
150,942
151,944
152,945
153,946
154,947
155,948
156,950
157,959
158,960
159,961
160,963
161,966
162,968
163,969
164,973
165,975
166,978
167,984
168,991
169,993
170,995
171,997
172,1002
173,1004
174,1005
175,1006
176,1009
177,1010
178,1011
179,1012
180,1014
181,1015
182,1016
183,1022
184,1024
185,1028
186,1030
187,1036
188,1037
189,1038
190,1039
191,1040
192,1042
193,1043
194,1044
195,1046
196,1048
197,1049
198,1051
199,1052
200,1058
201,1059
202,1060
203,1062
204,1065
205,1067
206,1069
207,1070
208,1073
209,1079
210,1081
211,1082
212,1092
213,1097
214,1099
215,1103
216,1105
217,1106
218,1107
219,1109
220,1110
221,1111
222,1112
223,1113
224,1114
225,1117
226,1118
227,1121
228,1125
229,1126
230,1127
231,1129
232,1132
233,1134
234,1135
235,1136
236,1139
237,1142
238,1145
239,1146
240,1148
241,1149
242,1150
243,1152
244,1156
245,1158
246,1159
247,1160
248,1162
249,1164
250,1166
251,1167
252,1168
253,1170
254,1171
255,1172
256,1174
257,1176
258,1177
259,1178
260,1182
261,1183
262,1184
263,1185
264,1186
265,1187
266,1188
267,1189
268,1192
269,1194
270,1195
271,1196
272,1197
273,1199
274,1200
275,1202
276,1204
277,1206
278,1207
279,1208
280,1209
281,1210
282,1211
283,1213
284,1215
285,1216
286,1217
287,1218
288,1221
289,1222
290,1223
291,1224
292,1226
293,1227
294,1228
295,1230
296,1232
297,1234
298,1236
299,1237
300,1238
301,1241
302,1242
303,1243
304,1244
305,1245
306,1246
307,1247
308,1248
309,1249
310,1250
311,1251
312,1252
313,1253
314,1254
315,1256
316,1257
317,1258
318,1259
319,1260
320,1261
321,1262
322,1263
323,1264
324,1265
325,1266
326,1267
327,1268
328,1269
329,1270
330,1272
331,1273
332,1274
333,1275
334,1276
335,1277
336,1278
337,1279
338,1280
339,1281
340,1282
341,1283
342,1284
343,1286
344,1287
345,1288
346,1289
347,1290
348,1291
349,1292
350,1293
351,1294
352,1295
353,1296
354,1297
355,1298
356,1299
357,1300
358,1301
359,1302
360,1303
361,1304
362,1305
363,1306
364,1307
365,1308
366,1309
367,1310
368,1311
369,1312
370,1313
371,1314
372,1315
373,1316
374,1317
375,1318
376,1319
377,1320
378,1321
379,1322
380,1323
381,1324
