,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,2,0,1,1,2,2,1,3,4,2,3,5,3,1,1,1,1,1,0
1,1,3,1,2,2,4,2,2,3,2,6,3,3,4,2,3,3,1,1,1
2,1,1,2,5,3,5,2,3,3,7,6,5,4,1,2,2,2,2,1,1
3,0,2,2,2,4,3,2,4,6,2,2,3,4,4,6,3,3,1,2,2
4,1,1,3,4,7,6,5,1,5,7,3,3,2,5,5,3,5,1,3,2
5,2,3,4,5,4,6,4,3,5,5,6,3,4,2,7,3,4,3,2,3
6,2,4,5,6,4,6,5,4,3,6,4,3,2,3,6,2,7,1,3,4
7,3,3,3,1,7,3,2,3,4,4,3,5,7,5,5,4,5,3,4,1
8,2,4,6,2,2,4,5,5,9,5,8,4,6,2,7,3,5,1,3,3
9,2,3,2,5,3,4,3,6,8,7,8,3,9,14,2,4,4,3,3,2
10,2,5,1,2,6,5,8,5,4,7,8,4,7,6,10,3,5,3,2,3
11,3,2,6,3,4,1,5,8,5,2,7,5,6,4,9,5,9,3,2,4
12,3,3,5,2,9,4,2,7,2,5,5,4,5,5,3,5,5,4,4,2
13,1,2,2,4,3,4,5,4,13,7,3,3,4,4,2,5,2,3,2,4
14,3,2,4,1,4,3,1,4,4,3,6,4,5,6,6,2,1,3,3,3
15,3,2,4,3,5,3,3,4,4,3,3,5,4,3,3,2,5,2,3,4
16,0,2,2,4,3,7,7,4,3,5,5,2,4,3,3,2,1,1,2,1
17,1,1,2,4,1,2,3,4,4,2,3,3,5,4,5,4,3,2,1,1
18,0,0,1,1,3,3,4,2,4,1,2,2,3,4,4,2,1,1,2,2
19,0,0,1,2,2,3,3,3,2,2,1,4,1,2,2,1,2,2,1,0
