,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.77526, -7.1916413)]","[(-9.596569, -6.831349)]","[(-9.292873, -5.4069877)]","[(-9.174747, -4.5189347)]","[(-9.624653, -3.2312233)]","[(-9.443804, -2.8308854)]","[(-9.298089, -1.1544166)]","[(-9.8114, -0.008896589)]","[(-9.779899, 0.39858344)]","[(-9.882105, 1.9622991)]","[(-9.670952, 2.7044952)]","[(-9.137119, 3.6156669)]","[(-9.441552, 4.3277044)]","[(-9.549323, 5.2567496)]","[(-9.026057, 6.9466696)]","[(-9.481514, 7.7879314)]","[(-9.883771, 8.247665)]",[]
1,[],[],"[(-8.422476, -7.5146523)]","[(-8.418474, -6.918855)]","[(-8.298668, -5.1308284)]","[(-8.099531, -4.724282)]","[(-8.997701, -3.9545078)]","[(-8.248475, -2.7965586)]","[(-8.382306, -1.7695152)]","[(-8.643693, -0.15283155)]","[(-8.838008, 0.83133394)]","[(-8.279346, 1.0866431)]","[(-8.97704, 2.9614174)]","[(-8.897465, 3.438097)]","[(-8.409768, 4.186614)]","[(-8.461996, 5.6550493)]","[(-8.754464, 6.4922175)]",[],"[(-8.177734, 8.5637455)]","[(-8.782488, 9.83827)]"
2,"[(-7.7898808, -9.395916)]","[(-7.675395, -8.860081)]","[(-7.2714305, -7.043214)]","[(-7.427852, -6.283531)]","[(-7.206329, -5.566233)]","[(-7.8619156, -4.136199)]","[(-7.583256, -3.3947518)]","[(-7.6009765, -2.0081327)]","[(-7.7199373, -1.7353445)]","[(-7.979505, -0.8735531)]","[(-7.9753723, 0.14860004)]","[(-7.246009, 1.3684155)]","[(-7.512216, 2.1224165)]","[(-7.353048, 3.9245105)]","[(-7.648212, 4.905799)]","[(-7.387412, 5.0080094)]","[(-7.928815, 6.290331)]","[(-7.8802123, 7.070789)]","[(-7.611105, 8.674907)]","[(-7.7106614, 9.285498)]"
3,"[(-6.484957, -9.384048)]","[(-6.2963495, -8.369197)]","[(-6.35822, -7.4020467)]","[(-6.756395, -6.407174)]","[(-6.029246, -5.963589)]","[(-6.228021, -4.690269)]","[(-6.088291, -3.7535832)]","[(-6.86325, -2.021715)]","[(-6.3455224, -1.9356433)]","[(-6.452918, -0.75299704)]","[(-6.181046, 0.083678484)]","[(-6.4415913, 1.9479425)]","[(-6.444393, 2.7112834)]","[(-6.365436, 3.2620072)]","[(-6.8882403, 4.881147)]","[(-6.909426, 5.4619036)]","[(-6.063037, 6.757085)]","[(-6.468896, 7.116494)]","[(-6.5653844, 8.020062)]",[]
4,"[(-5.2142706, -9.689016)]","[(-5.09906, -8.456517)]","[(-5.4191213, -7.4175277)]","[(-5.6820126, -6.506306)]","[(-5.412207, -5.0598044)]","[(-5.830238, -4.6926913)]","[(-5.8213267, -3.2690313)]","[(-5.687499, -2.5042615)]","[(-5.7655983, -1.5598406)]","[(-5.850818, -0.36119437)]","[(-5.8372393, 0.4904266)]","[(-5.3830757, 1.6798689)]","[(-5.25255, 2.4719043)]","[(-5.280603, 3.8032894)]","[(-5.6845617, 4.8584566)]","[(-5.3581944, 5.170442)]","[(-5.210764, 6.5503716)]","[(-5.6775084, 7.8502107)]","[(-5.1301804, 8.217641)]","[(-5.869071, 9.6008835)]"
5,"[(-4.828777, -9.184661)]","[(-4.733765, -8.711558)]","[(-4.869036, -7.2008796)]","[(-4.086903, -6.735266)]","[(-4.3232474, -5.3544893)]","[(-4.7915955, -4.394809)]","[(-4.85983, -3.8475761)]","[(-4.0172186, -2.4956539)]","[(-4.4074244, -1.5940498)]","[(-4.6823406, -0.32567823)]","[(-4.3383164, 0.9444836)]","[(-4.799293, 1.7993803)]","[(-4.039273, 2.6851995)]","[(-4.1393394, 3.1738954)]","[(-4.124773, 4.56088)]","[(-4.0189495, 5.033617)]","[(-4.6806645, 6.807927)]","[(-4.272542, 7.198188)]","[(-4.421945, 8.2334)]","[(-4.919531, 9.2267475)]"
6,"[(-3.6912022, -9.560275)]","[(-3.710454, -8.697821)]","[(-3.6663616, -7.4547596)]","[(-3.3245287, -6.3966737)]","[(-3.8330789, -5.966225)]","[(-3.1307378, -4.5247917)]","[(-3.859272, -3.9093752)]","[(-3.639613, -2.3369858)]","[(-3.799482, -1.9057236)]","[(-3.6732185, -0.4966757)]","[(-3.955162, 0.17271987)]","[(-3.8351688, 1.1869541)]","[(-3.5769882, 2.6222332)]","[(-3.021253, 3.5049794)]","[(-3.386419, 4.0017123)]","[(-3.5429435, 5.0015297)]","[(-3.5626178, 6.0931654)]","[(-3.0606873, 7.512382)]","[(-3.5231154, 8.247089)]","[(-3.4024115, 9.164739)]"
7,"[(-2.744797, -9.051932)]","[(-2.3227413, -8.816865)]","[(-2.6445553, -7.6581564)]","[(-2.0473258, -6.8188095)]","[(-2.8916984, -5.635874)]","[(-2.0779297, -4.087269)]","[(-2.073907, -3.3770776)]","[(-2.5468378, -2.6394289)]","[(-2.093131, -1.6728494)]","[(-2.7872832, -0.920241)]","[(-2.8585887, 0.88526994)]","[(-2.923064, 1.2098377)]","[(-2.2240493, 2.4041374)]","[(-2.2860556, 3.7555947)]","[(-2.1085572, 4.543756)]","[(-2.5670466, 5.025049)]","[(-2.2192118, 6.768593)]","[(-2.6860833, 7.2531357)]","[(-2.7719724, 8.120111)]","[(-2.2189505, 9.286954)]"
8,"[(-1.6224025, -9.249205)]","[(-1.0188662, -8.898856)]","[(-1.2470369, -7.9674044)]","[(-1.9278294, -6.133763)]","[(-1.673183, -5.4171777)]","[(-1.0459228, -4.965525)]","[(-1.0858011, -3.1922963)]","[(-1.5645429, -2.5580814)]","[(-1.395132, -1.6360829)]","[(-1.1507612, -0.40681237)]","[(-1.7578399, 0.63808954)]","[(-1.040935, 1.2321397)]","[(-1.2051488, 2.7732878)]","[(-1.2943399, 3.0452297)]","[(-1.9961429, 4.5945587)]","[(-1.9824718, 5.534777)]","[(-1.6971197, 6.5529656)]","[(-1.5236874, 7.939502)]","[(-1.5746508, 8.282953)]","[(-1.5454719, 9.074391)]"
9,"[(-0.9093704, -9.578148)]","[(-0.11581359, -8.070909)]","[(-0.63975865, -7.0131116)]","[(-0.01388995, -6.0448194)]","[(-0.65439063, -5.923121)]","[(-0.2129977, -4.558411)]","[(-0.2123434, -3.2574818)]","[(-0.009503961, -2.6650062)]","[(-0.18942378, -1.8579456)]","[(-0.27184415, -0.042528745)]","[(-0.095454775, 0.04483664)]","[(-0.63315654, 1.3565748)]","[(-0.36656064, 2.084486)]","[(-0.5940457, 3.211055)]","[(-0.5685685, 4.5075464)]","[(-0.06622081, 5.0685263)]","[(-0.50005436, 6.8636513)]","[(-0.01620206, 7.2806673)]","[(-0.30133402, 8.435198)]","[(-0.9095388, 9.146995)]"
