,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,38/400,100,51,[0.5789],[0.295],[0.0702],[0.9984],"[-5.9275,-5.7238]","[7.2665,6.0966]",22.00,1241.80
1,algoQD,1,74/400,100,55,[0.6171],[0.2944],[0.0702],[0.9992],"[-5.9275,-9.5372]","[7.2665,6.6845]",45.66,628.32
2,algoQD,2,98/400,100,41,[0.6441],[0.2858],[0.0304],[0.9997],"[-8.7318,-9.5372]","[9.5584,9.5899]",63.12,633.71
3,algoQD,3,123/400,100,43,[0.6692],[0.2746],[0.0209],[0.9997],"[-9.3774,-9.5372]","[9.5584,9.7577]",82.32,637.32
4,algoQD,4,138/400,100,40,[0.6862],[0.2654],[0.0124],[0.9997],"[-9.3774,-9.8318]","[9.7636,9.7577]",94.70,631.45
5,algoQD,5,158/400,100,40,[0.6801],[0.2761],[0.0015],[0.9997],"[-9.3774,-9.8318]","[9.7636,9.7577]",107.45,625.78
6,algoQD,6,178/400,100,32,[0.6791],[0.2783],[0.0015],[0.9997],"[-9.3774,-9.8318]","[9.7636,9.7577]",120.89,645.08
7,algoQD,7,191/400,100,32,[0.7045],[0.2664],[0.0015],[0.9997],"[-9.3774,-9.8318]","[9.7636,9.7577]",134.55,619.89
8,algoQD,8,207/400,100,41,[0.7282],[0.2559],[0.0015],[0.9997],"[-9.3774,-9.8318]","[9.7636,9.7577]",150.73,567.67
9,algoQD,9,219/400,100,24,[0.7366],[0.2462],[0.0015],[0.9997],"[-9.3774,-9.8318]","[9.8237,9.8582]",161.32,581.41
10,algoQD,10,225/400,100,29,[0.7543],[0.2418],[0.0015],[0.9997],"[-9.3774,-9.8318]","[9.8410,9.8582]",169.73,577.19
11,algoQD,11,238/400,100,32,[0.758],[0.2393],[0.0015],[1.],"[-9.3774,-9.8318]","[9.9075,9.8582]",180.42,562.40
12,algoQD,12,248/400,100,23,[0.76],[0.2383],[0.0015],[1.],"[-9.3774,-9.8318]","[9.9075,9.8582]",188.49,559.68
13,algoQD,13,255/400,100,22,[0.7695],[0.2343],[0.0015],[1.],"[-9.3774,-9.8318]","[9.9075,9.8582]",196.22,556.86
14,algoQD,14,262/400,100,20,[0.7725],[0.2369],[0.0015],[1.],"[-9.3774,-9.8318]","[9.9075,9.8582]",202.40,580.86
15,algoQD,15,271/400,100,29,[0.7828],[0.2271],[0.0015],[1.],"[-9.7982,-9.8318]","[9.9075,9.8582]",212.13,597.15
16,algoQD,16,276/400,100,25,[0.7917],[0.2215],[0.0015],[1.],"[-9.7982,-9.8318]","[9.9075,9.8582]",218.51,592.94
17,algoQD,17,284/400,100,19,[0.7951],[0.2209],[0.0015],[1.],"[-9.7982,-9.8818]","[9.9075,9.8582]",225.82,595.09
18,algoQD,18,293/400,100,19,[0.795],[0.2218],[0.0015],[1.],"[-9.7982,-9.9473]","[9.9075,9.8582]",232.95,592.62
19,algoQD,19,297/400,100,21,[0.8009],[0.2194],[0.0015],[1.],"[-9.7982,-9.9473]","[9.9422,9.8582]",237.86,592.08
20,algoQD,20,303/400,100,23,[0.8059],[0.2185],[0.0015],[1.],"[-9.7982,-9.9473]","[9.9422,9.8582]",244.20,590.13
21,algoQD,21,306/400,100,10,[0.812],[0.2085],[0.0015],[1.],"[-9.7982,-9.9473]","[9.9422,9.8582]",248.49,601.09
22,algoQD,22,310/400,100,24,[0.8171],[0.2068],[0.0015],[1.],"[-9.9007,-9.9473]","[9.9422,9.8582]",253.30,603.85
23,algoQD,23,314/400,100,17,[0.82],[0.2058],[0.0015],[1.],"[-9.9007,-9.9473]","[9.9422,9.8582]",257.49,608.38
24,algoQD,24,314/400,100,9,[0.8223],[0.2012],[0.0015],[1.],"[-9.9007,-9.9473]","[9.9422,9.8582]",258.21,608.66
25,algoQD,25,318/400,100,11,[0.8238],[0.201],[0.0015],[1.],"[-9.9007,-9.9473]","[9.9422,9.8582]",261.96,606.37
26,algoQD,26,321/400,100,17,[0.8248],[0.2036],[0.0015],[1.],"[-9.9007,-9.9473]","[9.9422,9.8582]",264.76,616.70
27,algoQD,27,324/400,100,12,[0.8259],[0.2008],[0.0015],[1.],"[-9.9007,-9.9473]","[9.9422,9.8582]",267.59,607.57
28,algoQD,28,326/400,100,10,[0.8272],[0.2004],[0.0015],[1.],"[-9.9007,-9.9473]","[9.9422,9.8582]",269.65,603.23
29,algoQD,29,329/400,100,19,[0.8266],[0.2056],[0.0015],[1.],"[-9.9007,-9.9473]","[9.9408,9.8582]",271.95,604.81
30,algoQD,30,330/400,100,7,[0.8293],[0.2032],[0.0015],[1.],"[-9.9007,-9.9473]","[9.9408,9.8582]",273.67,596.87
31,algoQD,31,333/400,100,15,[0.8266],[0.2092],[0.0015],[1.],"[-9.9007,-9.9473]","[9.9408,9.8582]",275.27,596.12
32,algoQD,32,336/400,100,14,[0.8328],[0.2036],[0.0015],[1.],"[-9.9007,-9.9812]","[9.9408,9.8582]",279.83,596.55
33,algoQD,33,339/400,100,16,[0.832],[0.2053],[0.0015],[1.],"[-9.9007,-9.9812]","[9.9408,9.8582]",282.06,600.67
34,algoQD,34,342/400,100,16,[0.8334],[0.2055],[0.0015],[1.],"[-9.9007,-9.9812]","[9.9408,9.8582]",285.03,597.86
35,algoQD,35,342/400,100,15,[0.8404],[0.1966],[0.0015],[1.],"[-9.9007,-9.9812]","[9.9408,9.8582]",287.43,601.32
36,algoQD,36,345/400,100,14,[0.8426],[0.1955],[0.0015],[1.],"[-9.7982,-9.9812]","[9.9408,9.8582]",290.69,590.03
37,algoQD,37,344/400,100,8,[0.8462],[0.193],[0.0015],[1.],"[-9.7982,-9.9812]","[9.9408,9.8582]",291.08,590.45
