,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,"(0.6178181966145833,)","(0.9314751466115316,)","(0.5563186645507812,)","(0.8563553704155816,)","(0.9736943668789334,)","(0.794312243991428,)","(0.9638926876915825,)","(0.959545824262831,)","(0.9633208592732747,)",,"(0.5849216885036892,)","(0.7071490393744575,)","(0.5913207160101996,)",,"(0.5308601379394531,)",,,,
1,,"(0.7357411066691081,)","(0.9156243536207411,)","(0.9975005361768935,)","(0.7606100082397461,)","(0.8836434364318848,)","(0.9670176241132948,)","(0.9539071030086941,)","(0.7569796244303385,)","(0.9077452977498373,)","(0.3726238250732422,)","(0.8960071033901639,)","(0.5052970886230468,)","(0.5718125237358941,)","(0.5714656405978733,)","(0.5162845187717013,)",,"(0.7101642184787327,)",,
2,,"(0.9805911593967014,)","(0.8920968797471788,)","(0.997070644961463,)","(0.902020009358724,)","(0.9455674807230632,)","(0.8064137564765083,)","(0.8320103115505643,)","(0.8395451439751519,)","(0.7627146614922418,)","(0.48849800957573786,)","(0.857101896074083,)","(0.7428595860799154,)","(0.7622510274251302,)","(0.6505236307779948,)","(0.803016620212131,)","(0.6033144209120008,)","(0.7619472927517361,)",,"(0.8480134116278755,)"
3,"(0.6521636539035374,)","(0.8764068285624186,)","(0.9967362370755938,)","(0.9996309386359321,)","(0.917425643073188,)","(0.9793574227227105,)","(0.9666148980458578,)","(0.8725374009874132,)","(0.9980000283983018,)","(0.871824222140842,)","(0.9641657511393229,)","(0.8388960520426432,)","(0.844565052456326,)","(0.9802583111657037,)","(0.8846598307291667,)","(0.9850089603000217,)","(0.9101196712917752,)","(0.9547872967190213,)",,
4,"(0.9089851803249783,)","(0.9949576172563764,)","(0.967158685790168,)","(0.9829651435216268,)","(0.9972947494851219,)","(0.860894415113661,)","(0.956265746222602,)","(0.9930993768903944,)","(0.9996982468499078,)","(0.9720357841915555,)","(0.974362564086914,)","(0.9960556930965847,)","(0.9371488147311741,)","(0.9787276956770156,)","(0.7699736701117621,)","(0.9849481172031826,)","(0.9430061340332031,)",,"(0.9781594448619418,)","(0.8634277555677625,)"
5,"(0.9832629111078051,)","(0.9544409063127306,)","(0.9881936073303222,)","(0.9823922965261671,)","(0.9964015781879425,)","(0.9972921777102682,)","(0.9758861329820421,)","(0.9931029770109389,)","(0.9434009181128608,)","(0.9879876295725505,)","(0.9689051946004231,)","(0.9761647489335802,)","(0.9821065465609232,)","(0.960285382800632,)","(0.9577757702933417,)","(0.9355362362331814,)","(0.8906480577256944,)","(0.9875290632247925,)","(0.9681485917833116,)","(0.964662766456604,)"
6,"(0.9987344529893664,)","(0.9078988711039225,)","(0.9733071221245659,)","(0.9826143595907423,)","(0.9984869988428222,)","(0.9993018733130561,)","(0.994084718492296,)","(0.9820748011271159,)","(0.9564117219712999,)","(0.9998398568895128,)","(0.9923349910312229,)","(0.9598188718159993,)","(0.9558341079288059,)","(0.9229971567789713,)","(0.984330497847663,)","(0.9866685059335497,)","(0.9941145261128743,)","(0.9950654394096798,)","(0.9960017840067545,)","(0.9550286610921224,)"
7,"(0.9426721996731229,)","(0.9920579837428198,)","(0.9629563013712565,)","(0.9979435299833616,)","(0.990371533897188,)","(0.9997555139991973,)","(0.9733446942435371,)","(0.9906265331639184,)","(0.9837038040161132,)","(0.9905108663770887,)","(0.9941408647431268,)","(0.996465359462632,)","(0.9892393324110244,)","(0.9962946302360959,)","(0.9631845050387913,)","(0.9641604132122463,)","(0.9805930137634278,)","(0.9975179289778073,)","(0.9915805631213718,)","(0.9582200686136881,)"
8,"(0.9819371541341145,)","(0.9994861986902025,)","(0.8772806273566351,)","(0.9631254196166992,)","(0.995006662607193,)","(0.9801490916146173,)","(0.9804283062616984,)","(0.9813555174403721,)","(0.9994116465250651,)","(0.9990282760726081,)","(0.9993569361252918,)","(0.9995996653205819,)","(0.999093786875407,)","(0.9964791191948785,)","(0.9880057626300388,)","(0.9948523147238626,)","(0.9810320681995816,)","(0.9946830117040211,)","(0.9949823591444228,)","(0.9919566684299045,)"
9,"(0.7934894773695204,)","(0.9762563705444336,)","(0.9924066331651475,)","(0.969341786702474,)","(0.9884866290622287,)","(0.9966769112481011,)","(0.9959379851818084,)","(0.9986797061231402,)","(0.999762183924516,)","(0.9987658399674627,)","(0.9999855034881168,)","(0.9993009905020396,)","(0.996660276916292,)","(0.9957916259765625,)","(0.9973901748657227,)","(0.9841239717271593,)","(0.9629559093051486,)","(0.997882260216607,)","(0.9696217007107205,)","(0.9243149492475722,)"
10,"(0.8666522979736329,)","(0.6677602556016711,)","(0.9162131627400716,)","(0.9548164155748156,)","(0.9420086754692926,)","(0.9733978218502468,)","(0.9838536871804131,)","(0.9973636402024163,)","(0.9983392768436008,)","(0.9988005187776353,)","(0.9998641040590074,)","(0.9986704349517822,)","(0.9981890567474895,)","(0.9833389295472039,)","(0.9765532599555121,)","(0.9627530309889052,)","(0.9933296216858758,)","(0.9166947470770942,)","(0.7488413704766168,)","(0.9374343236287435,)"
11,"(0.8299142413669163,)","(0.9849021408292983,)","(0.9131350623236762,)","(0.9679492817984687,)","(0.9590073479546442,)","(0.9934196180767483,)","(0.9890971554650201,)","(0.9980368695325321,)","(0.9983507477574878,)","(0.997700309753418,)","(0.9994428091579013,)","(0.9955365939272774,)","(0.9997806409994762,)","(0.9972532876663738,)","(0.932082388136122,)","(0.9880883905622694,)","(0.9974590725368924,)","(0.9394471698337131,)","(0.9300892035166423,)","(0.8173630396525065,)"
12,"(0.9990467521879408,)","(0.9567056232028537,)","(0.9707793527179294,)","(0.9986305806371901,)","(0.9837348871760898,)","(0.9644947263929579,)","(0.9745925876829359,)","(0.9788027617666456,)","(0.9978033762839106,)","(0.9864758809407552,)","(0.9951924035946528,)","(0.9754364172617594,)","(0.9984194874763489,)","(0.9897183418273926,)","(0.989420520597034,)","(0.9571319580078125,)","(0.9650139384799533,)","(0.9988372921943665,)","(0.8455003208584255,)","(0.8638225661383735,)"
13,,"(0.9791247910923428,)","(0.9937558432420095,)","(0.9749599112404718,)","(0.9974211308691237,)","(0.9649628851148817,)","(0.9392102029588487,)","(0.9936400281058417,)","(0.9970102472437753,)","(0.9755539629194472,)","(0.9920855336719089,)","(0.9614546775817872,)","(0.9981557961967257,)","(0.9987034877141316,)","(0.991969633102417,)","(0.977599459224277,)","(0.9673373328314887,)","(0.8597979651557075,)","(0.6964423285590278,)","(0.8968184577094184,)"
14,"(0.7876165601942274,)","(0.895626884036594,)","(0.976970018280877,)","(0.9930420690112644,)","(0.9687144835789998,)","(0.9723588969972399,)","(0.9894860029220581,)","(0.9998953157001071,)","(0.9944987452692455,)","(0.994322093990114,)","(0.9984057146641944,)","(0.9846197989251878,)","(0.9919040196471745,)","(0.9971019956800673,)","(0.9846704098913405,)","(0.9689350737465753,)","(0.9115507761637369,)","(0.8906929016113281,)","(0.7775248209635417,)","(0.46677356296115446,)"
15,,"(0.9181396855248345,)","(0.9209373580084906,)","(0.9932823088434007,)","(0.9712614854176839,)","(0.9919631441434225,)","(0.9698983934190538,)","(0.9787332243389554,)","(0.9987472058998214,)","(0.9977321886354023,)","(0.9846584320068359,)","(0.9650426652696398,)","(0.9802622331513299,)","(0.9794098668628268,)","(0.927921379937066,)","(0.9539634810553657,)","(0.9731686486138238,)","(0.7919308132595486,)","(0.8819414244757758,)","(0.5118701934814454,)"
16,"(0.7837506612141927,)","(0.862039777967665,)",,"(0.9775744226243761,)","(0.9822225928306579,)","(0.9901562995380826,)","(0.9787881665759617,)","(0.9907647285196516,)","(0.9744287702772353,)","(0.8589942932128907,)","(0.9717273950576782,)","(0.9781077120039198,)","(0.9222027036878797,)","(0.9226669629414876,)","(0.9383311801486545,)","(0.9987900488906436,)","(0.9894871777958341,)","(0.9994549180070559,)","(0.6551728990342882,)","(0.9563309695985582,)"
17,"(0.9416059652964274,)","(0.9737837738460965,)","(0.899773120880127,)","(0.9339216285281711,)","(0.857946268717448,)","(0.9353493955400255,)","(0.939810848236084,)","(0.9984829232096673,)","(0.9862912787331475,)","(0.940745989481608,)","(0.8779640091790093,)","(0.9333852873908148,)","(0.9953185359636942,)","(0.9409065670437283,)","(0.945244386461046,)","(0.9835519658194648,)","(0.9620960235595704,)","(0.4799974229600694,)","(0.8841422398885092,)",
18,,,"(0.7072966893513997,)","(0.8430950164794921,)","(0.8058098051283095,)","(0.832147725423177,)","(0.9354502307044135,)","(0.9148857010735406,)","(0.9743109862009685,)","(0.8025544060601129,)","(0.9644007232454088,)","(0.8334748586018881,)","(0.9672311570909288,)","(0.9638150215148926,)","(0.9911179860432943,)","(0.99611859454049,)","(0.5967233445909288,)","(0.7306688944498698,)",,
19,,,"(0.625534439086914,)","(0.9535870605044895,)","(0.9734280427296956,)","(0.9770730336507162,)","(0.71744261847602,)","(0.9804493652449714,)","(0.8627754105461969,)","(0.956436178419325,)","(0.9673623932732476,)","(0.9962139659457736,)","(0.9741125610139635,)","(0.9714199940363566,)","(0.9604638576507568,)","(0.9573365953233507,)",,,,
