,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,38/400,100,51,[0.6667],[0.2634],[0.0494],[0.9974],"[-7.7118,-4.7594]","[4.7609,8.8169]",25.33,1161.70
1,algoQD,1,62/400,100,43,[0.7358],[0.2605],[0.0494],[0.9979],"[-7.7118,-5.7468]","[4.7609,9.8577]",45.62,588.75
2,algoQD,2,74/400,100,32,[0.7747],[0.2317],[0.0494],[0.9979],"[-7.7118,-7.0057]","[5.3155,9.8577]",57.33,590.11
3,algoQD,3,91/400,100,29,[0.7876],[0.2117],[0.0494],[0.9979],"[-8.8860,-7.3509]","[5.9383,9.8577]",71.67,594.44
4,algoQD,4,114/400,100,37,[0.7807],[0.218],[0.0413],[0.9979],"[-8.8860,-7.7171]","[8.5931,9.8577]",89.00,583.79
5,algoQD,5,129/400,100,35,[0.7855],[0.2196],[0.0413],[0.9986],"[-9.8659,-7.7171]","[8.5931,9.8577]",101.32,583.39
6,algoQD,6,142/400,100,32,[0.7957],[0.2087],[0.0413],[1.],"[-9.8659,-8.1717]","[8.5931,9.8577]",112.98,577.13
7,algoQD,7,154/400,100,26,[0.8045],[0.2055],[0.0413],[1.],"[-9.8659,-8.1717]","[8.5931,9.8577]",123.89,574.09
8,algoQD,8,162/400,100,23,[0.8102],[0.2043],[0.0413],[1.],"[-9.8659,-8.1717]","[8.5931,9.8577]",131.25,587.66
9,algoQD,9,173/400,100,31,[0.8181],[0.2058],[0.0413],[1.],"[-9.8659,-8.1717]","[8.5931,9.8577]",141.54,581.00
10,algoQD,10,185/400,100,17,[0.8171],[0.2047],[0.0413],[1.],"[-9.8659,-8.1717]","[8.5931,9.8577]",151.17,584.10
11,algoQD,11,193/400,100,13,[0.8181],[0.2021],[0.0413],[1.],"[-9.8659,-8.1717]","[9.5869,9.8577]",157.90,583.17
12,algoQD,12,203/400,100,20,[0.812],[0.2102],[0.0413],[1.],"[-9.8659,-8.1717]","[9.5869,9.8577]",164.84,595.40
13,algoQD,13,211/400,100,16,[0.8163],[0.207],[0.0413],[1.],"[-9.8659,-8.1717]","[9.5869,9.8577]",172.23,587.43
14,algoQD,14,217/400,100,15,[0.8208],[0.2053],[0.0413],[1.],"[-9.8659,-8.1717]","[9.5869,9.8577]",178.12,589.67
15,algoQD,15,221/400,100,14,[0.8237],[0.2024],[0.0413],[1.],"[-9.8659,-8.1717]","[9.5869,9.8577]",182.04,586.50
16,algoQD,16,228/400,100,19,[0.8313],[0.1942],[0.0413],[1.],"[-9.8659,-8.1717]","[9.5869,9.8577]",189.53,593.67
17,algoQD,17,234/400,100,17,[0.8299],[0.1954],[0.0413],[1.],"[-9.8659,-8.1717]","[9.5869,9.8577]",194.19,581.30
18,algoQD,18,237/400,100,20,[0.8357],[0.1927],[0.0413],[1.],"[-9.8659,-8.1717]","[9.5869,9.8577]",198.06,584.46
19,algoQD,19,241/400,100,19,[0.8476],[0.1752],[0.0413],[1.],"[-9.8659,-8.6333]","[9.5869,9.8577]",204.26,591.42
20,algoQD,20,243/400,100,12,[0.852],[0.1748],[0.0413],[1.],"[-9.8659,-8.6333]","[9.5869,9.8577]",207.04,588.41
21,algoQD,21,248/400,100,20,[0.8586],[0.1729],[0.0413],[1.],"[-9.8659,-8.6333]","[9.5869,9.8577]",212.94,586.89
22,algoQD,22,254/400,100,18,[0.8607],[0.1744],[0.0413],[1.],"[-9.8659,-8.6333]","[9.5869,9.8577]",218.61,593.34
23,algoQD,23,257/400,100,12,[0.8598],[0.1746],[0.0413],[1.],"[-9.8659,-8.6333]","[9.5869,9.8577]",220.97,596.78
24,algoQD,24,259/400,100,11,[0.8622],[0.1687],[0.0413],[1.],"[-9.8659,-8.6333]","[9.5869,9.8577]",223.31,593.84
25,algoQD,25,264/400,100,13,[0.864],[0.1674],[0.0413],[1.],"[-9.8659,-8.6333]","[9.5869,9.8577]",228.10,595.99
26,algoQD,26,266/400,100,10,[0.8675],[0.1634],[0.0413],[1.],"[-9.8659,-8.6333]","[9.5869,9.8577]",230.76,587.29
27,algoQD,27,271/400,100,16,[0.8677],[0.1665],[0.0413],[1.],"[-9.8659,-8.6333]","[9.5869,9.8577]",235.15,586.28
28,algoQD,28,272/400,100,9,[0.8722],[0.1599],[0.0413],[1.],"[-9.8659,-8.6333]","[9.5869,9.7203]",237.25,596.61
29,algoQD,29,274/400,100,9,[0.8734],[0.1594],[0.0413],[1.],"[-9.8659,-8.6333]","[9.5869,9.7203]",239.31,583.98
30,algoQD,30,277/400,100,8,[0.8723],[0.1594],[0.0413],[1.],"[-9.8659,-8.6333]","[9.5869,9.7203]",241.63,586.52
31,algoQD,31,283/400,100,11,[0.8673],[0.1688],[0.0413],[1.],"[-9.8659,-9.9177]","[9.5869,9.7203]",245.46,585.23
32,algoQD,32,284/400,100,11,[0.8731],[0.1602],[0.0413],[1.],"[-9.8659,-9.9177]","[9.5869,9.7203]",247.97,594.33
33,algoQD,33,285/400,100,11,[0.8744],[0.1606],[0.0413],[1.],"[-9.8659,-9.9177]","[9.5869,9.7203]",249.19,598.11
34,algoQD,34,289/400,100,16,[0.877],[0.1567],[0.0413],[1.],"[-9.8659,-9.9177]","[9.5869,9.7203]",253.46,585.18
35,algoQD,35,292/400,100,11,[0.8792],[0.1552],[0.0413],[1.],"[-9.8659,-9.9177]","[9.5869,9.7203]",256.74,593.08
36,algoQD,36,294/400,100,14,[0.8817],[0.1522],[0.0413],[1.],"[-9.8659,-9.9177]","[9.5869,9.7203]",259.22,593.37
37,algoQD,37,297/400,100,15,[0.8861],[0.1489],[0.0413],[1.],"[-9.8659,-9.9177]","[9.5869,9.7203]",263.17,594.19
38,algoQD,38,298/400,100,7,[0.8872],[0.1481],[0.0413],[1.],"[-9.8659,-9.9177]","[9.5869,9.7203]",264.39,591.53
39,algoQD,39,299/400,100,11,[0.8916],[0.1389],[0.1163],[1.],"[-9.8659,-9.9177]","[9.5869,9.8034]",266.58,598.71
40,algoQD,40,301/400,100,17,[0.8919],[0.1435],[0.1163],[1.],"[-9.8659,-9.9177]","[9.5869,9.8034]",268.46,592.37
41,algoQD,41,303/400,100,14,[0.896],[0.1411],[0.1163],[1.],"[-9.8659,-9.9177]","[9.5869,9.8034]",271.50,596.81
42,algoQD,42,304/400,100,5,[0.8958],[0.1409],[0.1163],[1.],"[-9.8659,-9.9177]","[9.5869,9.8034]",272.33,593.84
43,algoQD,43,304/400,100,10,[0.8979],[0.141],[0.1163],[1.],"[-9.8659,-9.9177]","[9.5869,9.8034]",272.96,599.78
44,algoQD,44,304/400,100,10,[0.8994],[0.1411],[0.1163],[1.],"[-9.8659,-9.9177]","[9.5869,9.8034]",273.43,593.41
45,algoQD,45,304/400,100,5,[0.9001],[0.141],[0.1163],[1.],"[-9.8659,-9.9177]","[9.5869,9.8034]",273.64,599.48
46,algoQD,46,305/400,100,12,[0.9023],[0.1389],[0.1163],[1.],"[-9.8659,-9.9177]","[9.5869,9.7203]",275.20,600.52
47,algoQD,47,307/400,100,12,[0.9025],[0.1396],[0.1163],[1.],"[-9.8659,-9.9177]","[9.5869,9.7203]",277.07,599.48
48,algoQD,48,310/400,100,6,[0.9015],[0.141],[0.1163],[1.],"[-9.8659,-9.9956]","[9.5869,9.7203]",279.45,597.97
49,algoQD,49,311/400,100,6,[0.9037],[0.1388],[0.1163],[1.],"[-9.8659,-9.9956]","[9.5869,9.7203]",281.06,598.64
50,algoQD,50,311/400,100,7,[0.9042],[0.1388],[0.1163],[1.],"[-9.8659,-9.9956]","[9.5869,9.7203]",281.21,596.18
51,algoQD,51,312/400,100,15,[0.9068],[0.1384],[0.1163],[1.],"[-9.8659,-9.9956]","[9.5869,9.7203]",282.92,592.20
52,algoQD,52,314/400,100,9,[0.9082],[0.1369],[0.1163],[1.],"[-9.8659,-9.9956]","[9.9610,9.7203]",285.19,594.24
53,algoQD,53,314/400,100,8,[0.9098],[0.1363],[0.1163],[1.],"[-9.8659,-9.9956]","[9.9610,9.8983]",285.67,589.25
54,algoQD,54,315/400,100,11,[0.9116],[0.1352],[0.1163],[1.],"[-9.8659,-9.9956]","[9.9610,9.8983]",287.14,597.89
55,algoQD,55,317/400,100,6,[0.91],[0.1387],[0.1163],[1.],"[-9.8659,-9.9956]","[9.9610,9.8983]",288.46,590.49
56,algoQD,56,316/400,100,4,[0.9107],[0.1389],[0.1163],[1.],"[-9.8659,-9.9956]","[9.9610,9.8983]",287.77,592.62
57,algoQD,57,318/400,100,10,[0.9105],[0.1387],[0.1163],[1.],"[-9.8659,-9.9956]","[9.9862,9.8983]",289.53,594.48
58,algoQD,58,318/400,100,6,[0.9113],[0.1387],[0.1163],[1.],"[-9.8659,-9.9956]","[9.9862,9.8983]",289.80,594.31
59,algoQD,59,322/400,100,7,[0.9081],[0.1417],[0.1163],[1.],"[-9.8659,-9.9956]","[9.9862,9.8983]",292.40,589.51
60,algoQD,60,323/400,100,4,[0.9082],[0.1412],[0.1163],[1.],"[-9.8659,-9.9956]","[9.9862,9.8983]",293.34,590.41
61,algoQD,61,325/400,100,10,[0.9103],[0.1374],[0.1163],[1.],"[-9.8659,-9.9956]","[9.9862,9.8983]",295.86,594.94
62,algoQD,62,326/400,100,9,[0.9108],[0.1385],[0.1163],[1.],"[-9.8659,-9.9956]","[9.9862,9.8983]",296.93,591.20
