,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],"[(-9.21085, -5.0637164)]","[(-9.146583, -4.4013004)]","[(-9.113781, -3.6084712)]","[(-9.152445, -2.3097286)]","[(-9.822362, -1.6996876)]",[],"[(-9.147726, 0.60842925)]","[(-9.375821, 1.4347706)]","[(-9.36017, 2.3955977)]","[(-9.190915, 3.4473734)]","[(-9.675097, 4.12963)]","[(-9.057646, 5.7794895)]",[],[],[],[]
1,[],[],"[(-8.256745, -7.786449)]","[(-8.892888, -6.159603)]","[(-8.536499, -5.450521)]","[(-8.352469, -4.2438407)]","[(-8.22251, -3.1431732)]","[(-8.3132105, -2.9060445)]","[(-8.8851, -1.7048415)]","[(-8.251195, -0.9407559)]","[(-8.075543, 0.32790866)]","[(-8.864297, 1.4103972)]","[(-8.903538, 2.8083532)]","[(-8.228597, 3.2996938)]","[(-8.488115, 4.262206)]","[(-8.382763, 5.477498)]","[(-8.403398, 6.5192614)]",[],"[(-8.606219, 8.372366)]","[(-8.013633, 9.004848)]"
2,"[(-7.930747, -9.219317)]","[(-7.9709983, -8.0996475)]","[(-7.9680204, -7.4289765)]","[(-7.305404, -6.720603)]","[(-7.499573, -5.151444)]","[(-7.760396, -4.9489384)]","[(-7.3676233, -3.6647859)]","[(-7.4456377, -2.9245417)]","[(-7.080003, -1.9967809)]","[(-7.786181, -0.56499153)]","[(-7.4540777, 0.7286936)]","[(-7.6170106, 1.4729978)]","[(-7.4227734, 2.5985804)]","[(-7.0837836, 3.5884726)]","[(-7.1903543, 4.9534516)]","[(-7.6932483, 5.6751866)]","[(-7.6511607, 6.59991)]","[(-7.32479, 7.7943563)]","[(-7.401686, 8.912445)]",[]
3,[],"[(-6.842104, -8.238466)]","[(-6.752874, -7.2720585)]","[(-6.196806, -6.6029215)]","[(-6.7888103, -5.8627186)]","[(-6.8666286, -4.210882)]","[(-6.698809, -3.0491195)]","[(-6.9494705, -2.3265126)]","[(-6.30205, -1.6717917)]","[(-6.6540694, -0.89987624)]","[(-6.794802, 0.9936056)]","[(-6.1521597, 1.0439095)]","[(-6.278594, 2.9517267)]","[(-6.7778707, 3.228684)]","[(-6.957948, 4.2620745)]","[(-6.463228, 5.0233374)]","[(-6.7804027, 6.133067)]","[(-6.2709, 7.691134)]","[(-6.1139636, 8.584074)]",[]
4,"[(-5.5480804, -9.84588)]","[(-5.064143, -8.416284)]","[(-5.222739, -7.6287274)]","[(-5.9972916, -6.4251556)]","[(-5.2373667, -5.3818955)]","[(-5.160448, -4.467871)]","[(-5.3416944, -3.1852264)]","[(-5.310384, -2.4522312)]","[(-5.742261, -1.4839598)]","[(-5.12293, -0.616848)]","[(-5.02134, 0.17890877)]","[(-5.442765, 1.0667014)]","[(-5.765727, 2.2436724)]","[(-5.4748363, 3.844109)]","[(-5.884747, 4.5509443)]","[(-5.6809936, 5.5023403)]","[(-5.3369827, 6.962647)]","[(-5.102373, 7.0087056)]","[(-5.994127, 8.214577)]","[(-5.2868032, 9.344683)]"
5,"[(-4.384303, -9.606744)]","[(-4.202091, -8.281407)]","[(-4.5965757, -7.5351667)]","[(-4.2142987, -6.2895856)]","[(-4.3515434, -5.702641)]","[(-4.1937428, -4.841211)]","[(-4.830605, -3.0758476)]","[(-4.3243055, -2.0039563)]","[(-4.894922, -1.6335992)]","[(-4.757106, -0.7465443)]","[(-4.598669, 0.47369653)]","[(-4.0090714, 1.4084904)]","[(-4.4338017, 2.9556098)]","[(-4.052853, 3.383447)]","[(-4.3056335, 4.74445)]","[(-4.6546087, 5.1553154)]","[(-4.262478, 6.5331054)]","[(-4.425114, 7.5067334)]","[(-4.440686, 8.275016)]","[(-4.4003124, 9.331957)]"
6,"[(-3.2942853, -9.718608)]","[(-3.4188516, -8.222792)]","[(-3.075226, -7.8584423)]","[(-3.8026352, -6.075437)]","[(-3.163603, -5.1659513)]","[(-3.0439253, -4.219377)]","[(-3.0620425, -3.2994158)]","[(-3.176391, -2.0615194)]","[(-3.1610632, -1.2539635)]","[(-3.5629468, -0.14558826)]","[(-3.68542, 0.34050682)]","[(-3.52313, 1.7391343)]","[(-3.495436, 2.2253454)]","[(-3.8672876, 3.3095)]","[(-3.0679793, 4.518102)]","[(-3.596115, 5.684619)]","[(-3.3698463, 6.9197583)]","[(-3.7959785, 7.5253444)]","[(-3.8590603, 8.212808)]","[(-3.3094707, 9.826255)]"
7,"[(-2.0636795, -9.785248)]","[(-2.1013901, -8.925405)]","[(-2.2909462, -7.933824)]","[(-2.086266, -6.891917)]","[(-2.320974, -5.8175373)]","[(-2.246684, -4.207904)]","[(-2.5013125, -3.585161)]","[(-2.1596673, -2.6348362)]","[(-2.0863762, -1.5963863)]","[(-2.6111887, -0.58856946)]","[(-2.5635104, 0.4631336)]","[(-2.964224, 1.4873649)]","[(-2.136518, 2.0756218)]","[(-2.4212544, 3.2585008)]","[(-2.2915788, 4.3912334)]","[(-2.5316067, 5.8850822)]","[(-2.4367566, 6.07262)]","[(-2.2737703, 7.7850413)]","[(-2.6193485, 8.840761)]","[(-2.183208, 9.412306)]"
8,"[(-1.931389, -9.834228)]","[(-1.9609474, -8.968764)]","[(-1.5761613, -7.214024)]","[(-1.4860339, -6.826949)]","[(-1.2727413, -5.8187118)]","[(-1.5471828, -4.6630607)]","[(-1.7243525, -3.060653)]","[(-1.9243958, -2.3212414)]","[(-1.5863094, -1.053543)]","[(-1.1460003, -0.4722471)]","[(-1.0741053, 0.80828214)]","[(-1.3742206, 1.5297606)]","[(-1.5203573, 2.237518)]","[(-1.3263534, 3.980144)]","[(-1.7399237, 4.3339086)]","[(-1.9287323, 5.1631284)]","[(-1.4245931, 6.1071987)]","[(-1.3902186, 7.1805634)]","[(-1.1980282, 8.886256)]","[(-1.2706555, 9.30716)]"
9,"[(-0.82233983, -9.305992)]","[(-0.84444255, -8.840082)]","[(-0.66656226, -7.937535)]","[(-0.37273633, -6.4045362)]","[(-0.88195074, -5.0845914)]","[(-0.23808745, -4.651292)]","[(-0.104962535, -3.490454)]","[(-0.9923249, -2.7539976)]","[(-0.9739214, -1.9541371)]","[(-0.30442724, -0.29568818)]","[(-0.66647243, 0.004934758)]","[(-0.16716911, 1.3618807)]","[(-0.7526366, 2.0865533)]","[(-0.6844158, 3.4378927)]","[(-0.26845616, 4.697469)]","[(-0.96078885, 5.3699102)]","[(-0.38669103, 6.6557617)]","[(-0.14818466, 7.595103)]","[(-0.43999738, 8.72997)]","[(-0.047389075, 9.229798)]"
10,"[(0.22000626, -9.475406)]","[(0.32967988, -8.515274)]","[(0.83459425, -7.699469)]","[(0.73754704, -6.8829927)]","[(0.1424989, -5.767501)]","[(0.042076413, -4.69084)]","[(0.51836246, -3.0235736)]","[(0.51618046, -2.3657598)]","[(0.8438347, -1.363977)]","[(0.17298265, -0.109174386)]","[(0.41598713, 0.121927686)]","[(0.39408526, 1.1754125)]","[(0.58397156, 2.984862)]","[(0.95469964, 3.573421)]","[(0.93963337, 4.568958)]","[(0.24728031, 5.7524366)]","[(0.8600782, 6.432752)]","[(0.0023196358, 7.5556374)]","[(0.9376562, 8.829503)]","[(0.88904476, 9.346038)]"
11,"[(1.1089994, -9.100599)]","[(1.341583, -8.30427)]","[(1.702294, -7.455363)]","[(1.1330229, -6.4166083)]","[(1.9063523, -5.176261)]","[(1.3278804, -4.207912)]","[(1.923308, -3.4192617)]","[(1.0100133, -2.6317506)]","[(1.8004925, -1.9095867)]","[(1.1256076, -0.37860736)]","[(1.8133628, 0.5904077)]","[(1.2409412, 1.5260277)]","[(1.9611657, 2.7034833)]","[(1.1954101, 3.0261438)]","[(1.4087924, 4.17805)]","[(1.0762795, 5.3373275)]","[(1.8390131, 6.5474224)]","[(1.1813601, 7.735182)]","[(1.2613757, 8.857194)]","[(1.6330138, 9.641627)]"
12,"[(2.0157788, -9.000748)]","[(2.1492245, -8.1027565)]","[(2.1203465, -7.190827)]","[(2.9368384, -6.164453)]","[(2.135211, -5.6165295)]","[(2.0292342, -4.338097)]","[(2.2843676, -3.6210606)]","[(2.2034328, -2.2849233)]","[(2.5227208, -1.13391)]","[(2.3507822, -0.0018209629)]","[(2.0037432, 0.029885016)]","[(2.4911408, 1.5314925)]","[(2.5675912, 2.123238)]","[(2.1956296, 3.743038)]","[(2.1148746, 4.3677397)]","[(2.6768599, 5.2192707)]","[(2.7234786, 6.5278025)]","[(2.8110719, 7.7423897)]","[(2.5650296, 8.4672785)]","[(2.6778738, 9.768489)]"
13,"[(3.2889333, -9.324049)]","[(3.8910549, -8.5642185)]","[(3.1424904, -7.4466624)]","[(3.114626, -6.4795256)]","[(3.7272787, -5.9749956)]","[(3.0341551, -4.670581)]","[(3.9181964, -3.0130455)]","[(3.983873, -2.330038)]","[(3.9101908, -1.2460122)]","[(3.5151947, -0.12979291)]","[(3.3065848, 0.006227576)]","[(3.0005183, 1.8186934)]","[(3.7878203, 2.4729953)]","[(3.0012088, 3.4279187)]","[(3.5335722, 4.6581655)]","[(3.2539015, 5.5506644)]","[(3.4905221, 6.436185)]","[(3.313575, 7.3653655)]","[(3.816356, 8.04834)]","[(3.35835, 9.551364)]"
14,[],[],"[(4.1319804, -7.364312)]","[(4.3514843, -6.151247)]","[(4.716059, -5.619279)]","[(4.7612605, -4.9976244)]","[(4.739845, -3.7206573)]","[(4.403175, -2.2032788)]","[(4.8314295, -1.501476)]","[(4.6900206, -0.48105007)]","[(4.1065273, 0.26167586)]","[(4.3515315, 1.733632)]","[(4.1084905, 2.2224448)]","[(4.6811395, 3.0840578)]","[(4.7599683, 4.0958786)]","[(4.6552706, 5.889291)]","[(4.5571938, 6.5269437)]","[(4.6340437, 7.462419)]","[(4.43773, 8.490121)]","[(4.316254, 9.889023)]"
15,[],[],"[(5.085066, -7.8084145)]","[(5.828288, -6.354579)]","[(5.042549, -5.813168)]","[(5.1723337, -4.606136)]","[(5.013482, -3.555555)]","[(5.149604, -2.189297)]","[(5.6317616, -1.8013666)]","[(5.6704054, -0.14544013)]","[(5.8740854, 0.6304575)]","[(5.9465027, 1.5974057)]","[(5.1597795, 2.6713872)]","[(5.4156165, 3.3607357)]","[(5.081641, 4.9484005)]","[(5.2759533, 5.4611244)]","[(5.05846, 6.9787483)]","[(5.5073333, 7.69032)]","[(5.7279954, 8.883422)]","[(5.331174, 9.283673)]"
16,[],[],[],"[(6.982683, -6.2121286)]","[(6.1731353, -5.1792793)]","[(6.177051, -4.1606975)]","[(6.1803617, -3.5864842)]","[(6.166417, -2.9314866)]","[(6.4615097, -1.7219982)]","[(6.7360706, -0.26876116)]","[(6.8134966, 0.8921796)]","[(6.2828865, 1.9751042)]","[(6.983214, 2.3908527)]","[(6.8969803, 3.8327777)]","[(6.00919, 4.5374274)]","[(6.5684423, 5.566226)]","[(6.968521, 6.291078)]","[(6.4375343, 7.372954)]","[(6.4104233, 8.217273)]","[(6.393027, 9.468731)]"
17,[],[],[],[],"[(7.4724717, -5.9678135)]","[(7.8545613, -4.3422704)]","[(7.056041, -3.300618)]","[(7.1849184, -2.2193172)]","[(7.865167, -1.6316903)]","[(7.8598084, -0.32922897)]","[(7.196229, 0.9648936)]","[(7.908499, 1.4224031)]","[(7.556029, 2.6764152)]","[(7.132925, 3.5373855)]","[(7.248582, 4.2694907)]","[(7.1042757, 5.494866)]","[(7.618742, 6.6427255)]","[(7.2127237, 7.8314614)]","[(7.267257, 8.584765)]",[]
18,[],[],[],[],"[(8.248061, -5.673231)]","[(8.627567, -4.661294)]","[(8.608517, -3.0185032)]","[(8.769917, -2.383293)]","[(8.858431, -1.7714729)]","[(8.957749, -0.5389161)]","[(8.706342, 0.3498401)]","[(8.05514, 1.0827289)]","[(8.868465, 2.17104)]","[(8.170995, 3.6431682)]","[(8.828319, 4.1916285)]","[(8.979253, 5.268105)]","[(8.906599, 6.667188)]","[(8.49966, 7.69358)]","[(8.656332, 8.161948)]",[]
19,[],[],[],[],[],"[(9.361218, -4.142639)]","[(9.374815, -3.6050088)]","[(9.410842, -2.982624)]","[(9.117834, -1.6976532)]","[(9.655428, -0.7092312)]","[(9.750638, 0.8363474)]","[(9.078643, 1.4201285)]","[(9.51441, 2.0883386)]",[],"[(9.134249, 4.9781613)]","[(9.963958, 5.6894174)]","[(9.369259, 6.435636)]","[(9.423136, 7.0897207)]","[(9.070681, 8.258133)]",[]
