,0
0,69
1,78
2,110
3,111
4,156
5,168
6,183
7,236
8,245
9,287
10,301
11,302
12,307
13,309
14,310
15,312
16,331
17,349
18,357
19,363
20,368
21,370
22,384
23,391
24,401
25,407
26,409
27,410
28,427
29,436
30,446
31,451
32,471
33,474
34,475
35,477
36,479
37,482
38,492
39,493
40,499
41,513
42,519
43,525
44,534
45,539
46,551
47,558
48,565
49,580
50,589
51,592
52,598
53,606
54,617
55,622
56,629
57,631
58,634
59,639
60,644
61,645
62,652
63,656
64,664
65,667
66,669
67,671
68,672
69,677
70,678
71,679
72,682
73,683
74,686
75,701
76,711
77,718
78,720
79,726
80,732
81,736
82,739
83,743
84,745
85,749
86,752
87,755
88,756
89,758
90,760
91,761
92,762
93,767
94,768
95,770
96,771
97,774
98,776
99,778
100,784
101,786
102,788
103,790
104,792
105,793
106,795
107,796
108,797
109,798
110,802
111,809
112,810
113,814
114,815
115,816
116,817
117,823
118,824
119,825
120,833
121,841
122,842
123,843
124,845
125,846
126,847
127,850
128,853
129,861
130,864
131,866
132,868
133,869
134,870
135,873
136,874
137,875
138,880
139,881
140,883
141,884
142,885
143,886
144,888
145,893
146,894
147,896
148,897
149,899
150,903
151,904
152,905
153,908
154,910
155,911
156,912
157,913
158,916
159,918
160,921
161,922
162,925
163,926
164,927
165,928
166,931
167,932
168,938
169,939
170,948
171,949
172,950
173,951
174,954
175,955
176,956
177,957
178,958
179,960
180,961
181,962
182,965
183,966
184,968
185,970
186,971
187,973
188,975
189,976
190,977
191,978
192,979
193,985
194,986
195,987
196,988
197,989
198,990
199,991
200,994
201,996
202,997
203,998
204,999
205,1000
206,1001
207,1002
208,1004
209,1006
210,1007
211,1009
212,1013
213,1014
214,1015
215,1016
216,1017
217,1018
218,1020
219,1021
220,1023
221,1024
222,1026
223,1028
224,1029
225,1032
226,1033
227,1034
228,1035
229,1037
230,1039
231,1041
232,1042
233,1045
234,1047
235,1048
236,1049
237,1050
238,1051
239,1053
240,1055
241,1057
242,1058
243,1061
244,1062
245,1063
246,1064
247,1065
248,1066
249,1067
250,1068
251,1071
252,1072
253,1073
254,1074
255,1075
256,1076
257,1077
258,1078
259,1080
260,1085
261,1086
262,1087
263,1088
264,1089
265,1090
266,1091
267,1093
268,1094
269,1095
270,1097
271,1098
272,1099
273,1101
274,1102
275,1104
276,1105
277,1106
278,1108
279,1109
280,1110
281,1111
282,1113
283,1114
284,1115
285,1116
286,1119
287,1120
288,1121
289,1122
290,1124
291,1125
292,1126
293,1128
294,1130
295,1131
296,1132
297,1133
298,1134
299,1135
300,1136
301,1138
302,1139
303,1140
304,1141
305,1142
306,1143
307,1144
308,1146
309,1147
310,1149
311,1150
312,1151
313,1152
314,1153
315,1154
316,1155
317,1156
318,1157
319,1158
320,1159
321,1160
322,1161
323,1162
324,1163
325,1165
326,1166
327,1167
328,1168
329,1169
330,1170
331,1171
332,1172
333,1173
334,1174
335,1175
336,1176
337,1177
338,1178
339,1179
340,1180
341,1181
342,1182
343,1183
344,1184
345,1185
346,1186
347,1187
