,0
0,137
1,139
2,160
3,173
4,186
5,200
6,209
7,218
8,234
9,238
10,246
11,254
12,272
13,284
14,297
15,299
16,304
17,310
18,320
19,324
20,325
21,356
22,357
23,368
24,371
25,373
26,375
27,378
28,382
29,391
30,396
31,398
32,405
33,429
34,432
35,442
36,448
37,449
38,458
39,465
40,469
41,473
42,474
43,479
44,484
45,493
46,501
47,502
48,509
49,514
50,523
51,530
52,531
53,532
54,535
55,537
56,542
57,544
58,546
59,552
60,557
61,558
62,562
63,565
64,566
65,569
66,572
67,576
68,581
69,583
70,586
71,590
72,591
73,592
74,593
75,594
76,597
77,599
78,600
79,601
80,605
81,607
82,609
83,611
84,612
85,613
86,614
87,618
88,620
89,624
90,625
91,627
92,628
93,629
94,631
95,633
96,634
97,636
98,637
99,641
100,642
101,646
102,651
103,652
104,653
105,654
106,655
107,656
108,658
109,659
110,661
111,662
112,666
113,668
114,669
115,678
116,683
117,685
118,686
119,687
120,698
121,699
122,700
123,701
124,702
125,705
126,706
127,707
128,708
129,709
130,710
131,711
132,712
133,714
134,715
135,716
136,717
137,720
138,722
139,723
140,725
141,726
142,728
143,729
144,730
145,731
146,735
147,737
148,741
149,744
150,745
151,746
152,747
153,748
154,749
155,750
156,757
157,760
158,761
159,762
160,763
161,764
162,767
163,768
164,769
165,770
166,771
167,775
168,776
169,777
170,778
171,779
172,780
173,781
174,782
175,783
176,785
177,786
178,787
179,789
180,790
181,792
182,793
183,795
184,796
185,798
186,799
187,800
188,801
189,802
190,804
191,805
192,806
193,807
194,808
195,809
196,811
197,812
198,813
199,814
200,816
201,817
202,818
203,819
204,820
205,821
206,823
207,824
208,825
209,826
210,827
211,828
212,829
213,830
214,832
215,833
216,834
217,835
218,836
219,837
220,839
221,840
222,841
223,843
224,844
225,845
226,846
227,847
228,848
229,849
230,850
231,851
232,852
233,853
234,854
235,856
236,857
237,858
238,859
239,860
240,861
241,862
242,863
243,864
244,865
245,866
246,868
247,869
248,870
249,872
250,873
251,875
252,876
253,877
254,878
255,879
256,880
257,881
258,882
259,883
260,884
261,885
262,886
263,887
264,888
265,889
266,890
267,891
268,892
269,893
270,894
271,895
272,896
273,897
