,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,28/400,100,43,[0.842],[0.1966],[0.3541],[0.9999],"[-5.3672,-3.2590]","[3.6890,3.7051]",23.58,790.24
1,algoQD,1,38/400,100,23,[0.8456],[0.189],[0.3541],[0.9999],"[-5.3815,-3.2590]","[3.6890,3.7051]",32.13,607.81
2,algoQD,2,48/400,100,18,[0.827],[0.209],[0.3541],[0.9999],"[-5.3815,-3.2590]","[4.4318,3.7051]",39.69,610.96
3,algoQD,3,53/400,100,12,[0.8345],[0.1963],[0.3693],[0.9999],"[-5.3815,-3.2590]","[4.4318,3.7051]",44.23,613.92
4,algoQD,4,58/400,100,13,[0.8277],[0.2001],[0.3693],[0.9999],"[-5.3815,-3.5100]","[4.4318,3.7051]",48.01,614.05
5,algoQD,5,64/400,100,14,[0.8312],[0.1955],[0.3693],[0.9999],"[-5.3815,-3.5100]","[4.4318,5.0349]",53.19,614.01
6,algoQD,6,68/400,100,15,[0.8401],[0.1933],[0.3594],[0.9999],"[-5.3815,-3.5100]","[5.1696,5.0349]",57.12,618.14
7,algoQD,7,74/400,100,12,[0.8366],[0.1902],[0.3594],[0.9999],"[-5.3815,-3.8098]","[5.1696,5.0349]",61.91,610.26
8,algoQD,8,80/400,100,16,[0.8366],[0.1889],[0.3594],[0.9999],"[-5.3815,-3.8098]","[6.2944,5.0349]",66.93,619.18
9,algoQD,9,84/400,100,8,[0.8261],[0.2004],[0.1089],[0.9999],"[-7.0247,-3.8098]","[6.2944,5.0349]",69.39,617.62
10,algoQD,10,87/400,100,9,[0.8286],[0.2011],[0.1089],[0.9999],"[-7.0247,-4.0666]","[6.2944,5.0349]",72.09,621.25
11,algoQD,11,89/400,100,9,[0.8354],[0.1981],[0.1089],[0.9999],"[-7.0247,-4.0666]","[6.2944,5.0349]",74.35,624.16
12,algoQD,12,93/400,100,15,[0.8422],[0.1948],[0.1089],[0.9999],"[-7.0247,-4.4657]","[6.2944,5.0349]",78.33,633.14
13,algoQD,13,97/400,100,10,[0.8444],[0.199],[0.1089],[0.9999],"[-7.0247,-4.4657]","[6.2944,5.0349]",81.91,624.64
14,algoQD,14,105/400,100,13,[0.8371],[0.2105],[0.0605],[0.9999],"[-7.0247,-4.8347]","[6.2944,5.2614]",87.90,620.77
15,algoQD,15,108/400,100,12,[0.8332],[0.2152],[0.0605],[0.9999],"[-7.0247,-4.8347]","[6.2944,5.3996]",89.99,624.52
16,algoQD,16,110/400,100,8,[0.8412],[0.2064],[0.0605],[0.9999],"[-7.0247,-4.8347]","[6.2944,5.3996]",92.53,625.55
17,algoQD,17,113/400,100,6,[0.8404],[0.2068],[0.0605],[0.9999],"[-7.0247,-5.0477]","[6.2944,8.2059]",94.96,619.78
18,algoQD,18,117/400,100,10,[0.8426],[0.2035],[0.0605],[0.9999],"[-7.3656,-5.5810]","[6.2944,8.2059]",98.58,621.85
19,algoQD,19,121/400,100,11,[0.8453],[0.1985],[0.0605],[0.9999],"[-7.3656,-5.9032]","[6.2944,8.2059]",102.28,623.19
20,algoQD,20,125/400,100,12,[0.842],[0.2078],[0.0605],[0.9999],"[-7.3656,-5.9032]","[6.2944,8.2059]",105.25,623.41
21,algoQD,21,130/400,100,9,[0.8437],[0.2049],[0.0605],[0.9999],"[-7.3656,-5.9032]","[7.6534,8.2059]",109.68,618.61
22,algoQD,22,132/400,100,13,[0.8479],[0.2027],[0.0605],[0.9999],"[-7.3656,-5.9032]","[7.6534,8.2059]",111.92,624.00
23,algoQD,23,135/400,100,12,[0.8467],[0.212],[0.0354],[0.9999],"[-7.3656,-5.9032]","[7.6534,8.2059]",114.30,625.16
24,algoQD,24,140/400,100,12,[0.8427],[0.2134],[0.0354],[0.9999],"[-7.3656,-5.9032]","[7.6534,8.2059]",117.98,627.94
25,algoQD,25,142/400,100,10,[0.8541],[0.207],[0.0354],[0.9999],"[-7.3656,-5.8607]","[7.6534,8.2059]",121.28,628.07
26,algoQD,26,144/400,100,11,[0.8564],[0.2061],[0.0354],[0.9999],"[-7.3656,-5.8607]","[7.6534,8.2059]",123.33,628.08
27,algoQD,27,147/400,100,10,[0.8602],[0.2011],[0.0354],[0.9999],"[-7.3656,-5.8607]","[7.6534,8.2796]",126.46,629.80
28,algoQD,28,150/400,100,9,[0.8562],[0.2012],[0.0605],[0.9999],"[-7.3656,-5.8607]","[7.6534,8.2796]",128.44,620.64
29,algoQD,29,150/400,100,4,[0.8569],[0.2015],[0.0605],[0.9999],"[-7.3656,-5.8607]","[7.6534,8.2796]",128.54,630.35
30,algoQD,30,156/400,100,16,[0.8646],[0.1902],[0.0605],[0.9999],"[-7.7683,-7.2204]","[7.6534,8.2796]",134.87,621.54
31,algoQD,31,157/400,100,10,[0.8647],[0.1926],[0.0605],[0.9999],"[-7.7683,-7.2204]","[7.6534,8.2796]",135.75,627.13
32,algoQD,32,158/400,100,5,[0.8684],[0.1895],[0.0605],[0.9999],"[-7.7683,-7.2204]","[7.6534,8.2796]",137.20,624.65
33,algoQD,33,159/400,100,7,[0.8653],[0.1972],[0.0605],[0.9999],"[-8.1462,-7.2204]","[7.6534,8.2796]",137.58,629.72
