,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,"(0.2694417317708333,)","(0.8007343080308702,)","(0.9763997660742866,)","(0.9065898047553168,)","(0.8803415298461914,)","(0.9971410512924195,)","(0.9664011902279324,)","(0.89830322265625,)",,,,,,,
1,,,,,,"(0.8402813805474175,)","(0.9359109984503852,)","(0.9664307064480252,)","(0.9635444853040908,)","(0.9927206065919664,)","(0.9921142101287842,)","(0.9930264784230126,)","(0.9459314717186822,)","(0.9459022733900282,)",,"(0.4951736874050564,)",,,,
2,,,"(0.7752080281575521,)","(0.8895329263475206,)","(0.9992890318234762,)","(0.9327382617526584,)","(0.9972750855816735,)","(0.9995055728488498,)","(0.9518933508131239,)","(0.9950685242811839,)","(0.9932035936249627,)","(0.9988747914632161,)","(0.9698895057042439,)","(0.9067572381761339,)","(0.7940584394666883,)","(0.7985803392198351,)",,,,
3,,"(0.45580329895019533,)",,"(0.9793440514140659,)","(0.777485360039605,)","(0.9416013293796115,)","(0.9329220453898112,)","(0.9830105039808485,)","(0.9981910705566406,)","(0.9786284963289896,)","(0.9731613794962565,)","(0.9852658245298598,)","(0.9004907608032227,)","(0.9926733281877306,)","(0.7555260128445096,)","(0.8450238015916612,)","(0.7486631605360243,)",,,
4,,"(0.2752462599012586,)","(0.9633515410953097,)","(0.908611806233724,)","(0.9964127567079332,)","(0.9444223192003038,)","(0.9449490123324924,)","(0.9312372843424479,)","(0.9882295926411947,)","(0.9929078208075629,)","(0.9947464608483845,)","(0.9760300397872925,)","(0.978251134024726,)","(0.9447179158528646,)","(0.9366045157114664,)","(0.824388239118788,)","(0.6688367419772678,)","(0.3822484758165148,)",,
5,"(0.8633293151855469,)","(0.9393989774915907,)","(0.9548868868086073,)","(0.9970532205369738,)","(0.988326284620497,)","(0.9247631231943766,)","(0.9439527723524306,)","(0.9988009240892198,)","(0.9794745432005988,)","(0.9858657558759053,)","(0.9795939551459418,)","(0.9964765989118152,)","(0.9388063218858507,)","(0.9329744021097819,)","(0.993406519624922,)","(0.9897373259067536,)","(0.6527630488077799,)",,,
6,"(0.9309367285834418,)","(0.9500705666012235,)","(0.9400789366828071,)","(0.9887127200762431,)","(0.9873971488740709,)","(0.9476507398817274,)","(0.9682350582546658,)","(0.9967425803343455,)","(0.9828115357293024,)","(0.9923716068267823,)","(0.9852443244722154,)","(0.9959249072604709,)","(0.9644001007080079,)","(0.9736018180847168,)","(0.9914712289969126,)","(0.9449662738376193,)","(0.3267365349663628,)","(0.9104124069213867,)",,
7,"(0.9078742769029405,)","(0.9950790375471115,)","(0.9897774808936649,)","(0.9645762893888685,)","(0.9972927941216363,)","(0.9765644656287299,)","(0.9729181713528103,)","(0.994504322608312,)","(0.9960231728023953,)","(0.9981537087096108,)","(0.9998158985541926,)","(0.9986799558003744,)","(0.9925074610445235,)","(0.9617195261849297,)","(0.9996350540055169,)","(0.9922658986515469,)","(0.6633289761013454,)","(0.28583992852105033,)",,
8,"(0.9355932871500651,)","(0.9643896738688151,)","(0.9752857949998643,)","(0.9908414059215122,)","(0.9587814754909939,)","(0.957136066754659,)","(0.998409710990058,)","(0.9873478492101033,)","(0.9986804114447699,)","(0.9947882758246528,)","(0.9977087418238322,)","(0.9890612105528513,)","(0.9989326900906033,)","(0.9901958127816518,)","(0.9653170002831353,)","(0.9910595297813416,)","(0.8970765007866753,)",,,
9,"(0.7669935438368055,)","(0.9824395855267842,)","(0.9687465879652235,)","(0.9669819778866238,)","(0.9913740860091316,)","(0.9885373009575738,)","(0.9807363867759704,)","(0.9973290534483061,)","(0.9996672132776843,)","(0.9996128029293484,)","(0.9999923123253717,)","(0.995487364133199,)","(0.9997002265519566,)","(0.9911034186681111,)","(0.9949197381734848,)","(0.9992055588298374,)","(0.971932405895657,)",,,
