,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],[],[],[],[],[],[],[],[],"[(-9.384548, 0.096512765)]",[],[],[],[],[],[],[],[],[]
1,[],[],[],[],[],"[(-8.343848, -4.634831)]",[],"[(-8.039821, -2.2150846)]","[(-8.033953, -1.2298868)]","[(-8.28493, -0.03793027)]","[(-8.667065, 0.36381912)]",[],"[(-8.434953, 2.2474017)]",[],[],[],[],[],[],[]
2,[],[],[],[],[],"[(-7.9280777, -4.019277)]","[(-7.553474, -3.2490432)]","[(-7.3474197, -2.370455)]","[(-7.4821405, -1.8816483)]","[(-7.9671583, -0.8306157)]","[(-7.1665125, 0.5694293)]","[(-7.0492277, 1.8385916)]",[],[],"[(-7.6436234, 4.5435047)]",[],[],[],[],[]
3,"[(-6.8335357, -9.597996)]",[],[],[],[],"[(-6.652276, -4.215744)]","[(-6.8287344, -3.2161412)]","[(-6.2656693, -2.0374124)]","[(-6.876058, -1.8255867)]","[(-6.7751455, -0.16996458)]","[(-6.546116, 0.60123026)]","[(-6.279811, 1.893392)]","[(-6.0386767, 2.8957248)]","[(-6.3006186, 3.1250799)]",[],[],[],[],[],[]
4,[],[],"[(-5.687668, -7.7937255)]",[],"[(-5.6458263, -5.32217)]","[(-5.160565, -4.6595583)]","[(-5.0673733, -3.8353374)]","[(-5.486463, -2.8073258)]","[(-5.075839, -1.978104)]","[(-5.2412663, -0.58788466)]","[(-5.154554, 0.035135057)]","[(-5.0281715, 1.7323259)]","[(-5.0673943, 2.4608305)]","[(-5.380656, 3.1813316)]","[(-5.030549, 4.773414)]","[(-5.0793324, 5.058979)]",[],[],[],[]
5,[],[],[],"[(-4.1366844, -6.053074)]","[(-4.284673, -5.0918174)]","[(-4.9512305, -4.3187637)]","[(-4.1236753, -3.2335472)]","[(-4.915443, -2.8695989)]","[(-4.2351727, -1.0516607)]","[(-4.5153747, -0.661541)]","[(-4.430442, 0.9778172)]","[(-4.46677, 1.6203375)]","[(-4.5415187, 2.9209204)]","[(-4.661205, 3.2910814)]","[(-4.056815, 4.515343)]",[],[],[],[],[]
6,[],[],"[(-3.0240862, -7.34408)]","[(-3.632819, -6.510735)]","[(-3.2419667, -5.665742)]","[(-3.9982378, -4.5129447)]","[(-3.4474325, -3.9385805)]","[(-3.2524285, -2.1317916)]","[(-3.0785847, -1.4790972)]","[(-3.211033, -0.646984)]","[(-3.1324167, 0.20260976)]","[(-3.9128127, 1.2455717)]","[(-3.864001, 2.3986938)]","[(-3.7052586, 3.667734)]","[(-3.6032588, 4.290019)]","[(-3.1707277, 5.491102)]","[(-3.0951574, 6.3676972)]",[],[],[]
7,"[(-2.1438718, -9.501245)]",[],[],"[(-2.1767175, -6.860463)]","[(-2.3685014, -5.2634873)]","[(-2.6073372, -4.9508963)]","[(-2.5699265, -3.068339)]","[(-2.612151, -2.2787595)]","[(-2.1713066, -1.2373847)]","[(-2.4144251, -0.60950905)]","[(-2.1366925, 0.33215138)]","[(-2.0052588, 1.852104)]","[(-2.2511473, 2.7116292)]","[(-2.6143625, 3.3178852)]","[(-2.5981405, 4.4662414)]","[(-2.7201304, 5.652178)]","[(-2.7321656, 6.0344257)]","[(-2.1423264, 7.398867)]",[],[]
8,"[(-1.3454562, -9.746807)]","[(-1.4836483, -8.200183)]","[(-1.4742234, -7.09496)]","[(-1.4744223, -6.573328)]","[(-1.7414359, -5.2508864)]","[(-1.789077, -4.254205)]","[(-1.5197916, -3.336706)]","[(-1.6103671, -2.9569745)]","[(-1.9649028, -1.220271)]","[(-1.8100563, -0.7404064)]","[(-1.3176739, 0.84923)]","[(-1.9321622, 1.8698523)]","[(-1.0827535, 2.8770494)]","[(-1.2818551, 3.0158095)]","[(-1.0105169, 4.365175)]","[(-1.4212776, 5.526351)]","[(-1.6336669, 6.848012)]","[(-1.0596405, 7.935792)]",[],[]
9,"[(-0.766393, -9.368582)]","[(-0.42914367, -8.529666)]","[(-0.3584985, -7.134174)]","[(-0.04113709, -6.201276)]","[(-0.77632976, -5.532496)]","[(-0.46132874, -4.208494)]","[(-0.28078014, -3.7334747)]","[(-0.04814003, -2.6631968)]","[(-0.8436378, -1.9647249)]","[(-0.069581, -0.19175479)]","[(-0.03526367, 0.065491125)]","[(-0.16757014, 1.2858833)]","[(-0.87980145, 2.153507)]","[(-0.55641735, 3.0209608)]","[(-0.88034415, 4.9632697)]","[(-0.8176463, 5.220104)]","[(-0.98954517, 6.4189067)]","[(-0.209052, 7.2985826)]","[(-0.7911932, 8.209632)]",[]
