,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,41/400,100,64,[0.7507],[0.2244],[0.0594],[0.9919],"[-6.1663,-4.1676]","[8.2091,4.9442]",30.78,1182.07
1,algoQD,1,59/400,100,44,[0.8043],[0.2027],[0.0594],[0.9938],"[-6.1663,-5.1433]","[9.0301,4.9442]",47.46,520.50
2,algoQD,2,71/400,100,25,[0.7881],[0.2363],[0.0594],[0.9938],"[-6.1663,-5.1433]","[9.0301,4.9442]",55.95,497.64
3,algoQD,3,91/400,100,37,[0.7995],[0.2147],[0.1084],[0.9973],"[-6.1663,-5.9720]","[9.9539,5.1197]",72.75,497.77
4,algoQD,4,102/400,100,25,[0.8118],[0.203],[0.1084],[0.9973],"[-7.5335,-5.9720]","[9.9539,7.2994]",82.81,491.74
5,algoQD,5,113/400,100,22,[0.8185],[0.1919],[0.1406],[0.9981],"[-7.5335,-5.9720]","[9.9539,7.2994]",92.49,482.24
6,algoQD,6,118/400,100,19,[0.8309],[0.182],[0.1406],[0.9983],"[-7.5335,-5.9720]","[9.9539,7.2994]",98.04,488.45
7,algoQD,7,124/400,100,25,[0.8435],[0.1678],[0.1406],[0.9992],"[-7.5335,-9.0045]","[9.9539,7.2994]",104.59,470.07
8,algoQD,8,130/400,100,20,[0.8512],[0.1634],[0.1406],[0.9992],"[-7.5335,-9.0045]","[9.9539,7.2994]",110.66,459.69
9,algoQD,9,139/400,100,20,[0.8579],[0.1641],[0.1406],[0.9992],"[-7.9825,-9.0045]","[9.9539,7.2994]",119.25,454.87
10,algoQD,10,147/400,100,25,[0.8628],[0.163],[0.1406],[0.9992],"[-7.9825,-9.0045]","[9.9539,7.2994]",126.83,444.81
11,algoQD,11,154/400,100,17,[0.8658],[0.159],[0.1406],[0.9992],"[-7.9825,-9.0045]","[9.9539,7.2994]",133.33,446.81
12,algoQD,12,162/400,100,16,[0.8696],[0.1494],[0.1406],[0.9992],"[-8.3610,-9.0045]","[9.9539,7.2994]",140.88,437.94
13,algoQD,13,163/400,100,10,[0.8727],[0.1494],[0.1406],[0.9992],"[-8.3610,-9.0045]","[9.9539,7.2994]",142.25,445.24
14,algoQD,14,166/400,100,16,[0.8738],[0.1524],[0.1406],[0.9992],"[-8.3610,-9.0045]","[9.9539,7.2994]",145.05,441.56
15,algoQD,15,172/400,100,15,[0.8721],[0.1606],[0.0818],[0.9992],"[-8.3610,-9.0045]","[9.9539,7.2994]",150.00,443.72
