,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,"(0.8660218450758193,)","(0.2047816806369357,)",,"(0.7795359505547418,)","(0.8910609563191731,)","(0.5733246273464627,)","(0.513535902235243,)",,"(0.26010258992513013,)",,,,,,
1,,,,,,"(0.44792243109809027,)","(0.9891200178199344,)","(0.9753358814451429,)","(0.655043813917372,)","(0.5813043382432725,)","(0.9622208754221598,)","(0.9247395780351427,)","(0.9216204325358073,)","(0.5792315165201822,)",,"(0.6218176099989149,)",,,,
2,,,,,"(0.8786153263515897,)","(0.9321423212687174,)","(0.8276346100701226,)","(0.9978658497333527,)","(0.8494125578138563,)","(0.9964592761463589,)","(0.8946713659498426,)","(0.9024687025282118,)","(0.9580406374401517,)","(0.9672957473331028,)","(0.7538855870564778,)","(0.8943328433566623,)",,"(0.9029493543836805,)",,
3,"(0.6877737681070963,)",,"(0.9969865123430888,)","(0.9298912366231282,)","(0.9355795542399088,)","(0.9907983382542928,)","(0.9957926730314891,)","(0.9864609744813707,)","(0.8827579498291016,)","(0.9674210680855645,)","(0.9870412800047133,)","(0.9990444819132487,)","(0.9326872931586372,)","(0.9626290957132975,)","(0.9725850979487102,)","(0.9485322263505723,)","(0.9400890032450357,)",,"(0.9370385911729601,)",
4,,"(0.7856012980143229,)",,"(0.860656123691135,)","(0.8351040416293674,)","(0.9040365431043836,)","(0.9228819264305963,)","(0.9518851704067655,)","(0.9951018426153395,)","(0.9941911909315321,)","(0.9920720689826541,)","(0.9643855545255873,)","(0.9579413784874811,)","(0.8899198849995931,)","(0.9585028727849324,)","(0.9268146302964952,)","(0.9943229966693454,)","(0.9618179586198595,)","(0.48400794135199654,)",
5,"(0.668390358818902,)","(0.9140672471788195,)","(0.8384093920389811,)","(0.9700354311201308,)","(0.9338336997561985,)","(0.9660878287421333,)","(0.9923300332493252,)","(0.9937616984049479,)","(0.9800963030921088,)","(0.9981393055783377,)","(0.9919183360205757,)","(0.989866911040412,)","(0.986216480202145,)","(0.985026380750868,)","(0.9714292950100369,)","(0.9553952746921115,)","(0.9473006354437934,)","(0.8893702189127604,)","(0.8705396440294053,)",
6,"(0.997889252503713,)","(0.8830735100640191,)","(0.9616010798348321,)","(0.9669386943181356,)","(0.9649766074286567,)","(0.9962792565425237,)","(0.9847016718652514,)","(0.9936377207438151,)","(0.99596043990718,)","(0.9974164519045088,)","(0.9772289408577813,)","(0.9900798168447282,)","(0.9970386346181234,)","(0.9982467979192734,)","(0.9934682117568122,)","(0.9941107855902778,)","(0.9613684760199652,)","(0.9163536919487847,)","(0.9359731886121961,)",
7,"(0.7730337354871961,)","(0.868746386633979,)","(0.9771814796659681,)","(0.9622116910086738,)","(0.9824605955017938,)","(0.989051776462131,)","(0.9999410904116101,)","(0.9943588256835938,)","(0.9850300312042236,)","(0.9960503829850091,)","(0.997285411755244,)","(0.9959815528657702,)","(0.9981003277831607,)","(0.9993076023128298,)","(0.9932720442612966,)","(0.996707640753852,)","(0.9679013093312582,)","(0.9450976000891791,)","(0.9729327307807074,)","(0.9186188750796848,)"
8,"(0.9516246477762857,)","(0.948253854115804,)","(0.9857813596725464,)","(0.9831956836912367,)","(0.9957303080293868,)","(0.996930185953776,)","(0.9987340238359239,)","(0.9995853185653687,)","(0.9957970794704225,)","(0.99824890560574,)","(0.9999313780003124,)","(0.9972388373480903,)","(0.9971724420785903,)","(0.9941529088550144,)","(0.9759535762998793,)","(0.9900428023603227,)","(0.9887337154812283,)","(0.9304561773935953,)","(0.5908262464735243,)","(0.9107804192437066,)"
9,"(0.9781209071477254,)","(0.9977522442738215,)","(0.9472428215874567,)","(0.9998209446668624,)","(0.9899621665477752,)","(0.99008439845509,)","(0.9878004921807183,)","(0.9963833371798198,)","(0.9996150026718775,)","(0.9994817078113556,)","(0.999800729751587,)","(0.9998346434699165,)","(0.9922978295220269,)","(0.9927962084611257,)","(0.9982319937811958,)","(0.9995104600985845,)","(0.9960084865490596,)","(0.936615710788303,)","(0.7030643675062391,)",
10,"(0.983640894624922,)","(0.9981537183125814,)","(0.9991808066765467,)","(0.9988591453267468,)","(0.985080873966217,)","(0.9880060725741916,)","(0.990480022960239,)","(0.9961732599470351,)","(0.9999046961466471,)","(0.999509769015842,)","(0.9998450399272971,)","(0.9960941314697266,)","(0.9959820439418157,)","(0.9831269582112631,)","(0.9450671672821045,)","(0.9975776248508029,)","(0.9957812554306454,)","(0.6723530875311957,)","(0.9585099246766832,)",
11,"(0.994581115245819,)","(0.9899174637264676,)","(0.9997053735786015,)","(0.965562359491984,)","(0.989630417029063,)","(0.9439067204793294,)","(0.9988912158542209,)","(0.9926746024025811,)","(0.9925506803724501,)","(0.9982915035552449,)","(0.9996650040149688,)","(0.995919117000368,)","(0.9931589735878839,)","(0.9493105040656196,)","(0.9973270419571135,)","(0.9959626691208945,)","(0.981681055492825,)","(0.8648383034600152,)","(0.9063028229607476,)","(0.9956615053945117,)"
12,"(0.9846274375915527,)","(0.9706775665283203,)","(0.9920493529902564,)","(0.9782553990681966,)","(0.9929112805260553,)","(0.9828075210253397,)","(0.9902073118421767,)","(0.993854104148017,)","(0.9963028536902534,)","(0.9991129373510679,)","(0.9975157035721673,)","(0.9986786736382378,)","(0.9831048674053616,)","(0.8820286009046766,)","(0.9483915117051867,)","(0.9633228090074327,)","(0.9473234441545274,)","(0.81005982293023,)","(0.8072768317328559,)","(0.9188919014400906,)"
13,"(0.999278089735243,)","(0.9745917214287652,)","(0.992280552122328,)","(0.9807622989018758,)","(0.9935515575938755,)","(0.9719967020882501,)","(0.9587528705596924,)","(0.9995534472995334,)","(0.9910730891757541,)","(0.9967352668444316,)","(0.9925164540608724,)","(0.9915405697292752,)","(0.9700752920574612,)","(0.9076130761040582,)","(0.9789904912312826,)","(0.7041968451605902,)","(0.6684865527682834,)","(0.7844873852199978,)",,
14,"(0.809598011440701,)","(0.9709372255537245,)","(0.8869183010525173,)","(0.9771870268715752,)","(0.9785073704189724,)","(0.9920240263144176,)","(0.9933104197184245,)","(0.9975444767210219,)","(0.997298002243042,)","(0.9782739983664619,)","(0.9995290120442708,)","(0.9361386775970459,)","(0.9900309337510003,)","(0.6211742824978299,)","(0.8278545379638672,)",,,"(0.4246886783175998,)",,
15,"(0.7605665418836806,)","(0.9379762013753256,)","(0.9766299062305026,)","(0.9964373906453451,)","(0.9764752043618097,)","(0.9517063352796766,)","(0.9926265080769857,)","(0.9948137071397569,)","(0.999501821729872,)","(0.9933383319112989,)","(0.9812498145633274,)","(0.9720732159084744,)","(0.9841518825954861,)","(0.7316182030571832,)","(0.8028971354166666,)","(0.14558919270833326,)",,"(0.7774256812201605,)",,
16,"(0.8565764533148872,)",,"(0.9896715641021728,)","(0.9943185196982489,)","(0.8441056781344943,)","(0.7414182027180989,)","(0.980432038837009,)","(0.9773675706651476,)","(0.9988408830430773,)","(0.9640863551033868,)","(0.9582680490281846,)","(0.972848383585612,)","(0.8851075066460503,)","(0.6749766031901041,)","(0.22986297607421868,)","(0.9421448972490098,)","(0.5738463083902995,)","(0.5916525522867838,)",,
17,,,,"(0.9270343674553765,)","(0.9365275065104166,)","(0.8077585008409288,)","(0.6426366170247395,)","(0.9612571583853827,)","(0.8945226245456271,)","(0.9598744180467393,)","(0.9563085026211209,)","(0.9377767668830024,)","(0.26217117309570315,)",,"(0.6823967615763347,)","(0.8781205283270942,)",,,,
18,,,,"(0.6154884338378905,)",,"(0.7761939578586154,)","(0.9811179492208693,)","(0.8011917114257813,)","(0.6305877685546875,)","(0.7102632310655381,)","(0.5670236375596789,)","(0.3149783664279514,)",,,,,,,,
19,,,,,,,,,"(0.8938311258951823,)",,"(0.6258386400010851,)",,,,,,,,,
