,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,1,0,1,1,0,2,2,0,1,1,1,0,0,0,0
1,0,1,0,0,1,0,0,1,4,1,2,1,3,1,1,3,0,1,0,0
2,0,0,0,0,0,2,3,3,2,1,2,2,1,1,2,1,1,1,0,0
3,0,0,0,3,3,4,3,3,1,3,2,3,3,2,3,1,2,1,1,1
4,0,0,2,3,2,3,3,3,5,3,3,4,2,3,4,2,2,1,1,1
5,0,0,2,3,2,7,6,4,4,3,6,4,4,2,4,3,4,3,2,0
6,1,2,2,2,4,2,2,2,6,6,5,2,4,6,4,3,4,1,2,2
7,0,3,6,3,4,2,3,4,4,6,3,4,3,7,4,3,5,6,0,1
8,1,2,1,2,3,4,4,6,5,6,9,5,3,3,8,2,1,4,3,2
9,2,6,5,6,4,4,3,8,11,11,7,5,4,7,6,5,5,2,2,0
10,1,1,2,2,3,4,3,4,3,3,5,6,6,3,7,3,3,1,3,0
11,2,2,2,2,2,3,5,2,5,5,5,2,5,3,6,1,3,2,1,1
12,1,3,2,3,5,3,5,7,5,4,5,6,5,5,4,3,1,1,1,0
13,1,3,3,3,5,6,3,4,5,5,7,5,5,5,3,3,4,3,0,0
14,0,2,3,2,2,8,4,5,4,6,2,2,3,5,6,2,3,1,0,0
15,0,1,2,3,2,2,5,3,7,5,8,3,4,5,5,7,3,1,0,1
16,1,1,1,3,2,3,1,7,5,3,4,3,5,3,3,3,2,2,0,0
17,0,1,0,1,1,3,4,5,4,4,5,4,6,5,2,1,0,2,0,1
18,0,0,0,2,2,2,2,3,2,2,3,2,5,3,2,0,0,0,0,0
19,0,0,0,0,1,1,1,1,2,2,2,5,1,1,0,1,0,0,0,0
