,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.149227, -7.8966565)]",[],"[(-9.272008, -5.9436283)]",[],"[(-9.576814, -3.7532475)]","[(-9.913738, -2.2760143)]","[(-9.461347, -1.3853946)]","[(-9.450069, -0.053365137)]","[(-9.068517, 0.39493692)]","[(-9.287388, 1.4241434)]","[(-9.924189, 2.075497)]","[(-9.144843, 3.0292776)]",[],"[(-9.518215, 5.720057)]",[],"[(-9.847804, 7.2143703)]",[],[]
1,[],[],[],[],"[(-8.584597, -5.706917)]","[(-8.401779, -4.7961855)]","[(-8.236008, -3.9946601)]","[(-8.750225, -2.9819038)]","[(-8.881101, -1.0585343)]","[(-8.599646, -0.00053880364)]","[(-8.678985, 0.26573434)]","[(-8.657581, 1.750212)]","[(-8.519867, 2.9007523)]","[(-8.092771, 3.241267)]","[(-8.823548, 4.486192)]","[(-8.435101, 5.410232)]",[],[],[],[]
2,[],[],"[(-7.0139956, -7.0708723)]","[(-7.586932, -6.1346326)]","[(-7.3339295, -5.7033105)]","[(-7.6049137, -4.200883)]","[(-7.7124686, -3.718475)]","[(-7.6356955, -2.4850411)]","[(-7.967994, -1.6578478)]","[(-7.026782, -0.70471597)]","[(-7.220713, 0.9733448)]","[(-7.127516, 1.7472389)]","[(-7.142076, 2.2137468)]","[(-7.312613, 3.0819616)]","[(-7.7201133, 4.2658753)]","[(-7.61498, 5.02308)]","[(-7.5875907, 6.4933066)]","[(-7.1547947, 7.382051)]",[],[]
3,[],[],"[(-6.0129766, -7.932694)]",[],"[(-6.0331187, -5.567916)]","[(-6.944081, -4.3609653)]","[(-6.4123573, -3.7419355)]","[(-6.740753, -2.133662)]","[(-6.757429, -1.6666752)]","[(-6.0495753, -0.086672276)]","[(-6.8726187, 0.10037334)]","[(-6.8745337, 1.770383)]","[(-6.280866, 2.0839665)]","[(-6.32868, 3.6350834)]","[(-6.2629285, 4.993574)]","[(-6.270826, 5.602038)]","[(-6.4521, 6.346071)]","[(-6.4032416, 7.55271)]",[],[]
4,[],[],[],"[(-5.1955857, -6.2571754)]","[(-5.5800223, -5.2995663)]","[(-5.247212, -4.7131495)]","[(-5.362507, -3.0552874)]","[(-5.5660095, -2.224399)]","[(-5.9624286, -1.2208817)]","[(-5.6279755, -0.6959472)]","[(-5.739325, 0.46881565)]","[(-5.855067, 1.8403143)]","[(-5.044464, 2.1857939)]","[(-5.1128054, 3.7471545)]","[(-5.3825912, 4.4048843)]","[(-5.2459803, 5.1830244)]","[(-5.3114896, 6.752348)]",[],[],[]
5,[],"[(-4.1333756, -8.553254)]","[(-4.383196, -7.1532264)]","[(-4.351362, -6.25905)]","[(-4.6371593, -5.2356167)]","[(-4.5507927, -4.3098607)]","[(-4.397365, -3.721505)]","[(-4.2751837, -2.4801424)]","[(-4.0748625, -1.2656147)]","[(-4.804062, -0.5845386)]","[(-4.6336713, 0.5421944)]","[(-4.397418, 1.158652)]","[(-4.572198, 2.525002)]","[(-4.0711913, 3.0459845)]","[(-4.2456536, 4.7435236)]","[(-4.3709345, 5.0762095)]","[(-4.8018036, 6.317641)]",[],[],[]
6,"[(-3.3363576, -9.620773)]","[(-3.9239073, -8.532972)]","[(-3.1761277, -7.258222)]","[(-3.226893, -6.3820143)]","[(-3.1086533, -5.753787)]","[(-3.2285023, -4.612327)]","[(-3.1248655, -3.1293266)]","[(-3.7052045, -2.0115993)]","[(-3.6937797, -1.8898934)]","[(-3.2544563, -0.25221017)]","[(-3.1662643, 0.5445479)]","[(-3.52376, 1.3059573)]","[(-3.6366038, 2.4134338)]","[(-3.3595228, 3.3741572)]","[(-3.3101225, 4.2771654)]","[(-3.0188754, 5.0084023)]","[(-3.307904, 6.2198296)]","[(-3.057953, 7.417359)]","[(-3.5636728, 8.140141)]",[]
7,"[(-2.298428, -9.559892)]","[(-2.5977547, -8.962708)]","[(-2.855677, -7.3568516)]","[(-2.6669912, -6.31269)]","[(-2.8576934, -5.5583096)]","[(-2.0913599, -4.2826614)]","[(-2.1992621, -3.7196646)]","[(-2.2819722, -2.7640698)]","[(-2.5625515, -1.1010065)]","[(-2.127255, -0.5400897)]","[(-2.0252724, 0.12694828)]","[(-2.9992282, 1.7411596)]","[(-2.83065, 2.360324)]","[(-2.6263866, 3.5677109)]","[(-2.2577636, 4.0292606)]","[(-2.8965745, 5.181511)]","[(-2.720629, 6.2670126)]","[(-2.7589025, 7.5527263)]",[],[]
8,"[(-1.5730276, -9.715029)]","[(-1.148395, -8.603069)]","[(-1.5432054, -7.642433)]","[(-1.4670272, -6.0548844)]","[(-1.9275085, -5.7701426)]","[(-1.7091023, -4.755967)]","[(-1.1507747, -3.402113)]","[(-1.8691552, -2.341228)]","[(-1.3756319, -1.9214306)]","[(-1.0982032, -0.09690131)]","[(-1.6328322, 0.42774832)]","[(-1.1969382, 1.0870992)]","[(-1.2997252, 2.8734102)]","[(-1.4433779, 3.1980362)]","[(-1.9741305, 4.169556)]","[(-1.3379333, 5.473927)]","[(-1.6601719, 6.047304)]","[(-1.3718541, 7.4816127)]",[],[]
9,"[(-0.85815793, -9.788884)]","[(-0.7594971, -8.383229)]","[(-0.9809611, -7.754715)]","[(-0.3150996, -6.2883763)]","[(-0.65975577, -5.145536)]","[(-0.9563567, -4.095868)]","[(-0.67286, -3.7932475)]","[(-0.37894723, -2.3346498)]","[(-0.80519795, -1.5626141)]","[(-0.39772958, -0.91533816)]","[(-0.5702903, 0.12187185)]","[(-0.5826835, 1.3227773)]","[(-0.74575526, 2.1620715)]","[(-0.0626595, 3.9648998)]","[(-0.90100104, 4.7098575)]","[(-0.76704407, 5.1263523)]","[(-0.17993413, 6.4535127)]","[(-0.41915238, 7.0244946)]",[],[]
