,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[],[],"[(-9.316244, -7.576424)]","[(-9.360259, -6.4967074)]","[(-9.441295, -5.2290072)]","[(-9.933264, -4.059239)]","[(-9.537376, -3.2555497)]","[(-9.576859, -2.5038927)]","[(-9.102958, -1.0923555)]","[(-9.322005, -0.80272675)]","[(-9.483234, 0.62096053)]","[(-9.454445, 1.0973912)]","[(-9.721421, 2.7662208)]","[(-9.687437, 3.9391782)]","[(-9.076183, 4.5899253)]","[(-9.104771, 5.142548)]","[(-9.227297, 6.6340766)]",[],[],[]
1,[],"[(-8.351418, -8.895647)]","[(-8.388802, -7.435449)]","[(-8.3683405, -6.200839)]","[(-8.477683, -5.418408)]","[(-8.920232, -4.8942604)]","[(-8.196637, -3.1730394)]","[(-8.353457, -2.45968)]","[(-8.545118, -1.766809)]","[(-8.461628, -0.38100767)]","[(-8.026192, 0.307126)]","[(-8.23334, 1.1388317)]","[(-8.984194, 2.1368713)]","[(-8.174693, 3.346461)]","[(-8.718572, 4.8475866)]","[(-8.788585, 5.352053)]","[(-8.557221, 6.483211)]","[(-8.449841, 7.0025454)]","[(-8.010669, 8.288131)]",[]
2,"[(-7.8733006, -9.412841)]","[(-7.9558644, -8.600703)]","[(-7.7151265, -7.273519)]","[(-7.83561, -6.1973186)]","[(-7.0534616, -5.700146)]","[(-7.565652, -4.9635096)]","[(-7.409586, -3.7902148)]","[(-7.7406483, -2.809362)]","[(-7.2991657, -1.3935952)]","[(-7.8571706, -0.76969236)]","[(-7.8930798, 0.49212903)]","[(-7.692697, 1.4705561)]","[(-7.9365616, 2.9826803)]","[(-7.0044694, 3.3383505)]","[(-7.996994, 4.818292)]","[(-7.5860486, 5.803605)]","[(-7.0176563, 6.6015034)]","[(-7.6173677, 7.272664)]","[(-7.397546, 8.48772)]",[]
3,"[(-6.608612, -9.629751)]","[(-6.6552143, -8.210103)]","[(-6.0132422, -7.458105)]","[(-6.725873, -6.6851606)]","[(-6.044031, -5.2369323)]","[(-6.1162744, -4.3282256)]","[(-6.636128, -3.668644)]","[(-6.137445, -2.9509015)]","[(-6.483058, -1.5685939)]","[(-6.214657, -0.13963701)]","[(-6.21924, 0.29399648)]","[(-6.3491426, 1.4698325)]","[(-6.910524, 2.3006544)]","[(-6.244324, 3.347229)]","[(-6.5173893, 4.153395)]","[(-6.1295075, 5.551563)]","[(-6.9975166, 6.199234)]",[],[],"[(-6.36305, 9.287436)]"
4,"[(-5.99847, -9.311436)]","[(-5.69086, -8.760299)]","[(-5.7700505, -7.5192013)]","[(-5.4474173, -6.377492)]","[(-5.847969, -5.740128)]","[(-5.535636, -4.469399)]","[(-5.739419, -3.9746342)]","[(-5.123794, -2.7484941)]","[(-5.4779234, -1.353997)]","[(-5.1457667, -0.19333935)]","[(-5.0164733, 0.43285885)]","[(-5.41472, 1.5200906)]","[(-5.0173726, 2.8439806)]","[(-5.770911, 3.4454744)]","[(-5.871724, 4.8687716)]","[(-5.214957, 5.3124633)]","[(-5.7028065, 6.137151)]","[(-5.7405405, 7.6693044)]","[(-5.361047, 8.0979805)]","[(-5.296368, 9.16929)]"
5,"[(-4.021104, -9.317469)]","[(-4.2489114, -8.52052)]","[(-4.045027, -7.2957025)]","[(-4.2573824, -6.5229516)]","[(-4.53886, -5.615642)]","[(-4.5624185, -4.6471744)]","[(-4.3940697, -3.0056405)]","[(-4.6391215, -2.946525)]","[(-4.3781233, -1.2002091)]","[(-4.2422442, -0.021574585)]","[(-4.2980494, 0.21477494)]","[(-4.176378, 1.6159437)]","[(-4.942447, 2.4752967)]","[(-4.395767, 3.7070398)]","[(-4.753906, 4.3615)]","[(-4.4794374, 5.6937146)]","[(-4.205707, 6.15553)]","[(-4.458893, 7.9377475)]","[(-4.1680083, 8.518992)]","[(-4.552816, 9.716356)]"
6,"[(-3.81204, -9.660315)]","[(-3.3187814, -8.8169565)]","[(-3.4450216, -7.2241635)]","[(-3.457538, -6.2537894)]","[(-3.127764, -5.2594447)]","[(-3.044012, -4.8366823)]","[(-3.9651377, -3.941625)]","[(-3.7234943, -2.7605128)]","[(-3.9484549, -1.6464481)]","[(-3.381473, -0.30390885)]","[(-3.9999163, 0.3892764)]","[(-3.2681987, 1.0888796)]","[(-3.2736964, 2.4704673)]","[(-3.273833, 3.4755635)]","[(-3.121997, 4.679047)]","[(-3.7785811, 5.20377)]","[(-3.542753, 6.644348)]","[(-3.705615, 7.6821046)]","[(-3.0152967, 8.67395)]","[(-3.1137474, 9.3592005)]"
7,"[(-2.2780583, -9.266757)]","[(-2.7252731, -8.64775)]","[(-2.5550017, -7.757384)]","[(-2.9929767, -6.810706)]","[(-2.9430692, -5.426966)]","[(-2.0785973, -4.8073707)]","[(-2.827628, -3.1218596)]","[(-2.3278763, -2.442621)]","[(-2.369718, -1.7017032)]","[(-2.3336349, -0.05089933)]","[(-2.1115708, 0.2368409)]","[(-2.233372, 1.4470339)]","[(-2.8725898, 2.8288841)]","[(-2.1655564, 3.5163794)]","[(-2.1785927, 4.1509)]","[(-2.3102167, 5.3928494)]","[(-2.245233, 6.9884915)]","[(-2.884086, 7.3391423)]","[(-2.23713, 8.86512)]","[(-2.228554, 9.92402)]"
8,"[(-1.0611173, -9.511844)]","[(-1.646225, -8.185713)]","[(-1.8376033, -7.161041)]","[(-1.1600916, -6.212959)]","[(-1.1531972, -5.2408876)]","[(-1.5456901, -4.733088)]","[(-1.0774873, -3.442043)]","[(-1.6948595, -2.9069018)]","[(-1.1492351, -1.8552854)]","[(-1.1525433, -0.22200722)]","[(-1.16259, 0.013097057)]","[(-1.0128436, 1.8290701)]","[(-1.4008468, 2.1651337)]","[(-1.2851806, 3.8094792)]","[(-1.0397722, 4.107295)]","[(-1.2581751, 5.5029063)]","[(-1.5838239, 6.3092856)]","[(-1.3615913, 7.7377615)]","[(-1.6139771, 8.963079)]","[(-1.3826488, 9.382404)]"
9,"[(-0.40854046, -9.57328)]","[(-0.4855236, -8.156747)]","[(-0.19175531, -7.9721036)]","[(-0.8128948, -6.362131)]","[(-0.34652227, -5.2848964)]","[(-0.3497833, -4.7547812)]","[(-0.9204471, -3.2263145)]","[(-0.34796137, -2.109095)]","[(-0.89738864, -1.181034)]","[(-0.25520456, -0.19475795)]","[(-0.38496777, 0.38715944)]","[(-0.28635538, 1.1807992)]","[(-0.46469074, 2.9233809)]","[(-0.8368419, 3.2665272)]","[(-0.87181544, 4.5020494)]","[(-0.055083618, 5.827918)]","[(-0.86799395, 6.4406805)]","[(-0.15942764, 7.515706)]","[(-0.8161269, 8.1923065)]","[(-0.20988618, 9.91957)]"
