,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,45/400,100,65,[0.6601],[0.2547],[0.0209],[0.9999],"[-6.9687,-6.4209]","[7.2742,5.8905]",29.70,1144.87
1,algoQD,1,71/400,100,44,[0.6923],[0.2453],[0.0467],[0.9999],"[-6.9687,-7.0573]","[8.7293,5.8905]",49.16,546.45
2,algoQD,2,87/400,100,36,[0.7377],[0.2229],[0.078],[0.9999],"[-7.7303,-7.0573]","[9.7366,7.1933]",64.18,549.48
3,algoQD,3,105/400,100,35,[0.7482],[0.2361],[0.078],[0.9999],"[-7.7303,-7.6827]","[9.7366,7.1933]",78.56,547.43
4,algoQD,4,112/400,100,23,[0.774],[0.2166],[0.0959],[0.9999],"[-7.7303,-7.6827]","[9.7366,7.1933]",86.69,557.03
5,algoQD,5,129/400,100,37,[0.7865],[0.2149],[0.0413],[0.9999],"[-7.7303,-7.6827]","[9.7366,7.1933]",101.46,584.98
6,algoQD,6,139/400,100,29,[0.8027],[0.2093],[0.0413],[0.9999],"[-7.7303,-7.6827]","[9.7366,9.3672]",111.57,589.47
7,algoQD,7,150/400,100,31,[0.8092],[0.1971],[0.0959],[0.9999],"[-8.6567,-8.5436]","[9.7366,9.3672]",121.37,585.78
8,algoQD,8,163/400,100,29,[0.8029],[0.2057],[0.0959],[0.9999],"[-9.5060,-8.7108]","[9.7366,9.3672]",130.88,593.06
9,algoQD,9,177/400,100,25,[0.8027],[0.2055],[0.0959],[0.9999],"[-9.5060,-8.9578]","[9.7366,9.3672]",142.08,591.24
10,algoQD,10,188/400,100,29,[0.8147],[0.1999],[0.0959],[0.9999],"[-9.5060,-8.9578]","[9.7366,9.3672]",153.16,590.65
11,algoQD,11,196/400,100,25,[0.8196],[0.2005],[0.1321],[0.9999],"[-9.5060,-8.9578]","[9.7366,9.3672]",160.64,581.51
12,algoQD,12,201/400,100,16,[0.8209],[0.2],[0.1321],[0.9999],"[-9.5060,-8.9578]","[9.7366,9.3672]",165.01,586.72
13,algoQD,13,205/400,100,14,[0.8222],[0.2018],[0.1321],[0.9999],"[-9.6306,-8.9578]","[9.7366,9.3672]",168.56,583.86
14,algoQD,14,213/400,100,21,[0.8229],[0.2019],[0.1321],[0.9999],"[-9.6306,-8.9578]","[9.7366,9.3672]",175.28,591.45
15,algoQD,15,217/400,100,14,[0.8323],[0.1937],[0.1321],[0.9999],"[-9.6306,-8.9578]","[9.7366,9.5574]",180.61,587.62
16,algoQD,16,222/400,100,15,[0.8323],[0.2004],[0.067],[0.9999],"[-9.6306,-8.9578]","[9.7366,9.5574]",184.76,585.97
17,algoQD,17,230/400,100,21,[0.8328],[0.2001],[0.067],[0.9999],"[-9.6306,-8.9578]","[9.7366,9.6053]",191.53,590.74
18,algoQD,18,234/400,100,17,[0.8426],[0.1878],[0.1321],[0.9999],"[-9.6306,-8.9578]","[9.7366,9.6053]",197.18,589.30
19,algoQD,19,240/400,100,14,[0.8434],[0.1833],[0.1321],[0.9999],"[-9.6306,-8.9578]","[9.7366,9.6053]",202.42,579.15
20,algoQD,20,246/400,100,18,[0.8429],[0.1895],[0.1321],[0.9999],"[-9.6306,-8.9578]","[9.7366,9.6451]",207.34,577.33
21,algoQD,21,253/400,100,19,[0.8431],[0.1873],[0.1321],[0.9999],"[-9.6306,-9.0039]","[9.7366,9.6451]",213.31,577.60
22,algoQD,22,256/400,100,13,[0.8463],[0.1866],[0.1321],[0.9999],"[-9.6306,-9.0039]","[9.7366,9.6451]",216.66,578.68
23,algoQD,23,258/400,100,6,[0.8474],[0.1861],[0.1321],[0.9999],"[-9.6306,-9.0039]","[9.7366,9.6451]",218.63,549.04
24,algoQD,24,262/400,100,18,[0.8467],[0.1911],[0.1181],[0.9999],"[-9.6306,-9.0039]","[9.7366,9.6451]",221.84,551.05
25,algoQD,25,264/400,100,13,[0.8503],[0.1882],[0.1181],[0.9999],"[-9.6306,-9.0039]","[9.7366,9.6451]",224.47,552.76
26,algoQD,26,269/400,100,16,[0.8496],[0.1894],[0.1181],[0.9999],"[-9.8090,-9.0039]","[9.7366,9.6451]",228.56,547.34
27,algoQD,27,275/400,100,10,[0.8477],[0.1891],[0.1181],[0.9999],"[-9.8090,-9.0257]","[9.7366,9.6451]",233.13,565.28
28,algoQD,28,277/400,100,10,[0.851],[0.1889],[0.1181],[0.9999],"[-9.8090,-9.0257]","[9.7366,9.6451]",235.73,591.01
29,algoQD,29,282/400,100,12,[0.8543],[0.1842],[0.1181],[0.9999],"[-9.8090,-9.0257]","[9.7366,9.6451]",240.90,585.11
30,algoQD,30,283/400,100,8,[0.8571],[0.1814],[0.1181],[0.9999],"[-9.8090,-9.0257]","[9.7366,9.6451]",242.56,597.63
31,algoQD,31,285/400,100,7,[0.8579],[0.1808],[0.1181],[0.9999],"[-9.8090,-9.0257]","[9.7366,9.6451]",244.51,584.68
32,algoQD,32,287/400,100,8,[0.8587],[0.1811],[0.1181],[0.9999],"[-9.8090,-9.0257]","[9.7366,9.6451]",246.46,599.36
33,algoQD,33,288/400,100,9,[0.8634],[0.1777],[0.1181],[0.9999],"[-9.8090,-9.0953]","[9.7366,9.6451]",248.67,592.82
34,algoQD,34,293/400,100,13,[0.8629],[0.1776],[0.1181],[0.9999],"[-9.8090,-9.0953]","[9.7366,9.6451]",252.83,594.75
35,algoQD,35,299/400,100,11,[0.8613],[0.1782],[0.0957],[0.9999],"[-9.8090,-9.2893]","[9.7366,9.6451]",257.53,590.96
36,algoQD,36,303/400,100,9,[0.861],[0.1775],[0.0957],[0.9999],"[-9.8090,-9.2893]","[9.7366,9.6451]",260.87,557.05
37,algoQD,37,304/400,100,8,[0.8638],[0.175],[0.0957],[0.9999],"[-9.8090,-9.2893]","[9.7366,9.6451]",262.60,567.05
38,algoQD,38,310/400,100,14,[0.8623],[0.1763],[0.0957],[0.9999],"[-9.8090,-9.2893]","[9.7366,9.6451]",267.33,584.34
39,algoQD,39,313/400,100,11,[0.8621],[0.1791],[0.0957],[0.9999],"[-9.8090,-9.6018]","[9.7366,9.6451]",269.83,594.39
40,algoQD,40,315/400,100,9,[0.8635],[0.1785],[0.0957],[0.9999],"[-9.8090,-9.6018]","[9.7366,9.6451]",272.00,581.98
41,algoQD,41,315/400,100,7,[0.8662],[0.1755],[0.0957],[0.9999],"[-9.8090,-9.6018]","[9.7366,9.6451]",272.87,547.78
42,algoQD,42,316/400,100,10,[0.8709],[0.1708],[0.0957],[0.9999],"[-9.8989,-9.6018]","[9.7366,9.6451]",275.20,554.75
43,algoQD,43,317/400,100,10,[0.8722],[0.1703],[0.0957],[0.9999],"[-9.8989,-9.6018]","[9.7366,9.6451]",276.49,557.04
44,algoQD,44,321/400,100,8,[0.8699],[0.1756],[0.0431],[0.9999],"[-9.8989,-9.6018]","[9.7366,9.6451]",279.25,552.85
45,algoQD,45,323/400,100,10,[0.8738],[0.1693],[0.0431],[0.9999],"[-9.8989,-9.6018]","[9.7366,9.6451]",282.25,556.24
46,algoQD,46,327/400,100,16,[0.8783],[0.1624],[0.0431],[0.9999],"[-9.8989,-9.6018]","[9.7366,9.6451]",287.20,559.26
47,algoQD,47,330/400,100,10,[0.881],[0.1613],[0.0431],[0.9999],"[-9.8989,-9.7910]","[9.7366,9.6451]",290.73,555.90
48,algoQD,48,330/400,100,8,[0.8866],[0.1496],[0.2648],[0.9999],"[-9.8989,-9.7910]","[9.7366,9.6451]",292.59,544.13
49,algoQD,49,330/400,100,5,[0.8881],[0.1487],[0.2648],[0.9999],"[-9.8989,-9.7910]","[9.7366,9.6451]",293.06,546.62
50,algoQD,50,333/400,100,12,[0.8884],[0.1508],[0.2648],[0.9999],"[-9.8989,-9.7910]","[9.7366,9.6451]",295.85,546.29
51,algoQD,51,334/400,100,8,[0.8902],[0.149],[0.2648],[0.9999],"[-9.8989,-9.7910]","[9.7366,9.6451]",297.34,560.74
52,algoQD,52,337/400,100,13,[0.8907],[0.1487],[0.2648],[0.9999],"[-9.8989,-9.7910]","[9.7366,9.6451]",300.16,551.38
53,algoQD,53,338/400,100,5,[0.8931],[0.1444],[0.2648],[0.9999],"[-9.9359,-9.7910]","[9.7366,9.6451]",301.88,548.58
54,algoQD,54,338/400,100,6,[0.8939],[0.1441],[0.2648],[0.9999],"[-9.9359,-9.7910]","[9.7366,9.6451]",302.12,575.12
55,algoQD,55,338/400,100,7,[0.8955],[0.1427],[0.2648],[0.9999],"[-9.9359,-9.7910]","[9.7366,9.6451]",302.69,588.03
56,algoQD,56,340/400,100,6,[0.895],[0.1429],[0.2648],[0.9999],"[-9.9359,-9.7910]","[9.7366,9.8424]",304.32,580.59
57,algoQD,57,341/400,100,7,[0.8953],[0.1427],[0.2648],[0.9999],"[-9.9359,-9.7910]","[9.7366,9.8424]",305.31,578.12
58,algoQD,58,343/400,100,10,[0.8961],[0.142],[0.2648],[0.9999],"[-9.9359,-9.7910]","[9.7366,9.8424]",307.36,583.78
59,algoQD,59,343/400,100,7,[0.8972],[0.1415],[0.2648],[0.9999],"[-9.9359,-9.7910]","[9.7366,9.8424]",307.72,578.92
60,algoQD,60,343/400,100,5,[0.8988],[0.1394],[0.2648],[0.9999],"[-9.9359,-9.7774]","[9.7366,9.8424]",308.29,587.35
61,algoQD,61,344/400,100,7,[0.9021],[0.1352],[0.2648],[0.9999],"[-9.9359,-9.7774]","[9.8845,9.8424]",310.33,579.44
62,algoQD,62,344/400,100,8,[0.9032],[0.1347],[0.2648],[0.9999],"[-9.9359,-9.7774]","[9.8845,9.8424]",310.70,573.74
63,algoQD,63,346/400,100,15,[0.9034],[0.1355],[0.2648],[0.9999],"[-9.9359,-9.7774]","[9.8845,9.8424]",312.58,587.70
64,algoQD,64,347/400,100,8,[0.9047],[0.1327],[0.2648],[0.9999],"[-9.9359,-9.7774]","[9.8845,9.8424]",313.93,580.65
65,algoQD,65,349/400,100,6,[0.905],[0.132],[0.2648],[0.9999],"[-9.9359,-9.7774]","[9.8845,9.8424]",315.84,579.81
66,algoQD,66,351/400,100,4,[0.9063],[0.1279],[0.2648],[0.9999],"[-9.9359,-9.7774]","[9.8845,9.8518]",318.10,575.92
67,algoQD,67,351/400,100,5,[0.9065],[0.1279],[0.2648],[0.9999],"[-9.9359,-9.7774]","[9.8845,9.8518]",318.17,579.29
68,algoQD,68,353/400,100,11,[0.9095],[0.1242],[0.2648],[0.9999],"[-9.9359,-9.7774]","[9.8845,9.8518]",321.05,589.95
69,algoQD,69,355/400,100,5,[0.9101],[0.1232],[0.2648],[0.9999],"[-9.9359,-9.5152]","[9.8845,9.8598]",323.10,586.90
