,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,"(0.8879694408840604,)","(0.8102300220065647,)","(0.9320690578884548,)","(0.9969884892304738,)","(0.9701602405971951,)","(0.9957531611124675,)","(0.9873797363705106,)","(0.9049536493089464,)","(0.9097574022081163,)","(0.9922224779923757,)",,"(0.836631817287869,)",,,
1,,,"(0.896101591322157,)","(0.9269714832305909,)","(0.9733777364095052,)","(0.8217353820800781,)","(0.9903523657057021,)","(0.8977954122755263,)","(0.9892368621296352,)","(0.9777488655514187,)","(0.9848006990220811,)","(0.924232874976264,)","(0.8872757169935438,)","(0.9979630788167317,)","(0.983486090766059,)","(0.9646704170438979,)","(0.870145575205485,)","(0.39367116292317705,)",,
2,,"(0.996516137652927,)","(0.991070200337304,)","(0.9859403080410427,)","(0.91652815606859,)","(0.9536176893446181,)","(0.9107799953884549,)","(0.9996676112214724,)","(0.9599277999666002,)","(0.9540051990085178,)","(0.9930176562733121,)","(0.9857183562384711,)","(0.9988145218955146,)","(0.9974039024776883,)","(0.998275136285358,)","(0.972065167956882,)","(0.9797226031621297,)","(0.9764525704913669,)",,
3,"(0.9769953515794542,)","(0.9890170786115858,)","(0.9973513709174262,)","(0.9912105957667033,)","(0.9995235436492496,)","(0.9842148542404174,)","(0.9710834635628595,)","(0.96317581070794,)","(0.9855894645055135,)","(0.914818000793457,)","(0.9932250095738305,)","(0.9877924733691745,)","(0.9420085695054796,)","(0.9906047224998474,)","(0.9913869924015469,)","(0.9902293370829688,)","(0.9960944828059938,)","(0.9119184811909994,)","(0.8844689475165473,)","(0.49774763319227433,)"
4,"(0.9541258811950684,)","(0.985806495613522,)","(0.9860174947314793,)","(0.9631247070100573,)","(0.9667058361901177,)","(0.9845467991299099,)","(0.9316093974643284,)","(0.9678472598393758,)","(0.9818523989783393,)","(0.997875181833903,)","(0.999240345425076,)","(0.9884214666154649,)","(0.9983435908953349,)","(0.9945988469653659,)","(0.9932695229848226,)","(0.988636048634847,)","(0.9843270368046231,)","(0.9439912584092882,)","(0.9656212329864502,)","(0.7479891035291883,)"
5,"(0.913025697072347,)","(0.973192482524448,)","(0.9939094066619873,)","(0.9568359507454767,)","(0.9875057750278049,)","(0.9886245250701904,)","(0.9748819139268663,)","(0.9719997406005859,)","(0.9555977079603407,)","(0.9830640289518568,)","(0.9860851248105367,)","(0.9966742724180222,)","(0.9514526897006564,)","(0.996807787153456,)","(0.9616286489698622,)","(0.9929082499610054,)","(0.9764609389834934,)","(0.7644492891099718,)","(0.9620123545328776,)","(0.5247837490505642,)"
6,"(0.913742552863227,)","(0.9953523529900445,)","(0.9655707465277777,)","(0.9928746912214491,)","(0.9755912939707438,)","(0.9830097423659431,)","(0.9328977372911241,)","(0.9848410526911417,)","(0.9601212925381131,)","(0.9924595263269212,)","(0.9841837697558933,)","(0.9981477525499132,)","(0.9915579093827142,)","(0.9965341789854898,)","(0.9921785652637481,)","(0.9623106002807618,)","(0.9758239163292779,)","(0.8897876527574328,)","(0.7124661551581488,)","(0.9130503548516168,)"
7,"(0.8358326382107205,)","(0.9962401813930936,)","(0.9934590478738149,)","(0.9942879782782661,)","(0.995332067542606,)","(0.9591959635416667,)","(0.9886705742941962,)","(0.9996003819836511,)","(0.9905631674660577,)","(0.9973217007186678,)","(0.9989229705598619,)","(0.9640803866916232,)","(0.9961872236596213,)","(0.998523786995146,)","(0.9996016750733058,)","(0.9664600319332547,)","(0.9958887736002604,)","(0.944204404619005,)","(0.6401290045844183,)","(0.9696215523613824,)"
8,"(0.8363021850585938,)","(0.9961708082093133,)","(0.9979508855276638,)","(0.9954783300558726,)","(0.9843801418940227,)","(0.9893291473388672,)","(0.9963279588354959,)","(0.9849625733163622,)","(0.9952240520053439,)","(0.999349088801278,)","(0.9843325058619181,)","(0.9962149722708596,)","(0.993284093009101,)","(0.9927917904324002,)","(0.9174922307332357,)","(0.9672103563944499,)","(0.8426672511630589,)","(0.8144999821980794,)","(0.9069478140936957,)","(0.9669877370198567,)"
9,"(0.9243813461727566,)","(0.9449692090352376,)","(0.9879856427510579,)","(0.9298003514607748,)","(0.9953929596477085,)","(0.9897437605592939,)","(0.9996514274014368,)","(0.9992688986990187,)","(0.9986304389105902,)","(0.99977891114023,)","(0.9987253534297148,)","(0.9969388723373414,)","(0.98868973520067,)","(0.9965783377488454,)","(0.9968822393152449,)","(0.9920601182513766,)","(0.9833772805002,)","(0.9616675323910183,)","(0.9526847839355469,)","(0.535172610812717,)"
