,0
0,79
1,102
2,103
3,137
4,151
5,219
6,294
7,297
8,298
9,303
10,306
11,309
12,310
13,319
14,341
15,353
16,375
17,377
18,379
19,391
20,399
21,407
22,436
23,450
24,466
25,467
26,472
27,473
28,478
29,483
30,492
31,501
32,518
33,523
34,528
35,531
36,550
37,553
38,559
39,566
40,575
41,581
42,584
43,589
44,606
45,608
46,613
47,616
48,620
49,624
50,625
51,628
52,631
53,632
54,633
55,643
56,646
57,647
58,650
59,652
60,656
61,657
62,660
63,664
64,665
65,667
66,669
67,671
68,673
69,685
70,691
71,693
72,698
73,711
74,714
75,719
76,724
77,736
78,737
79,738
80,739
81,750
82,752
83,753
84,759
85,763
86,768
87,769
88,777
89,780
90,783
91,785
92,787
93,788
94,789
95,792
96,795
97,796
98,802
99,810
100,812
101,814
102,823
103,824
104,826
105,828
106,829
107,832
108,835
109,839
110,845
111,847
112,849
113,858
114,861
115,869
116,870
117,871
118,873
119,876
120,878
121,884
122,891
123,892
124,893
125,897
126,901
127,906
128,910
129,911
130,913
131,917
132,918
133,919
134,920
135,921
136,922
137,924
138,926
139,929
140,932
141,938
142,942
143,943
144,945
145,946
146,952
147,953
148,954
149,955
150,957
151,958
152,959
153,960
154,963
155,964
156,965
157,966
158,968
159,969
160,970
161,975
162,976
163,979
164,980
165,981
166,983
167,989
168,990
169,992
170,995
171,996
172,998
173,999
174,1000
175,1001
176,1002
177,1003
178,1004
179,1005
180,1006
181,1010
182,1011
183,1012
184,1013
185,1017
186,1019
187,1020
188,1021
189,1022
190,1023
191,1024
192,1026
193,1027
194,1028
195,1029
196,1031
197,1032
198,1033
199,1035
200,1036
201,1039
202,1040
203,1041
204,1044
205,1045
206,1047
207,1048
208,1050
209,1051
210,1053
211,1054
212,1055
213,1056
214,1057
215,1058
216,1060
217,1061
218,1064
219,1065
220,1066
221,1067
222,1069
223,1070
224,1071
225,1075
226,1076
227,1077
228,1078
229,1079
230,1080
231,1083
232,1084
233,1085
234,1087
235,1091
236,1092
237,1093
238,1094
239,1098
240,1100
241,1102
242,1103
243,1105
244,1106
245,1108
246,1109
247,1110
248,1111
249,1112
250,1113
251,1114
252,1117
253,1119
254,1120
255,1123
256,1126
257,1127
258,1128
259,1130
260,1132
261,1134
262,1136
263,1137
264,1138
265,1139
266,1140
267,1142
268,1144
269,1146
270,1147
271,1148
272,1149
273,1150
274,1151
275,1152
276,1153
277,1154
278,1156
279,1157
280,1158
281,1159
282,1162
283,1163
284,1164
285,1165
286,1167
287,1169
288,1171
289,1172
290,1173
291,1174
292,1176
293,1177
294,1178
295,1180
296,1181
297,1182
298,1183
299,1184
300,1186
301,1187
302,1188
303,1189
304,1190
305,1191
306,1192
307,1194
308,1195
309,1196
310,1197
311,1198
312,1199
313,1200
314,1201
315,1202
316,1203
317,1204
318,1205
319,1206
320,1208
321,1209
322,1210
323,1211
324,1212
325,1213
326,1214
327,1215
328,1216
329,1217
330,1218
331,1219
332,1220
333,1221
334,1222
335,1223
336,1224
337,1225
338,1226
339,1227
340,1228
341,1229
342,1230
343,1231
344,1232
345,1233
346,1234
347,1235
348,1236
349,1237
350,1238
351,1239
352,1242
353,1243
354,1245
355,1246
356,1247
357,1248
358,1249
359,1250
360,1251
361,1252
362,1253
363,1254
364,1255
365,1256
366,1257
367,1258
368,1259
369,1260
370,1261
371,1262
372,1263
373,1264
374,1265
375,1266
