,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,1,1,2,2,3,4,3,4,3,2,4,1,2,1,1,1,0,0
1,1,1,0,1,3,5,2,6,4,4,1,3,1,2,4,1,1,0,0,0
2,2,2,1,1,4,4,2,5,3,4,2,5,3,4,2,1,3,0,2,1
3,3,1,5,5,2,5,4,3,4,5,5,4,4,5,2,2,2,2,1,1
4,2,3,3,9,1,2,5,2,5,6,5,3,8,5,2,3,3,3,1,1
5,2,3,3,3,4,4,2,4,4,6,6,2,2,4,3,7,4,1,1,1
6,2,3,4,6,6,6,3,7,10,6,2,2,4,4,5,2,5,5,3,1
7,1,3,6,4,4,5,5,6,7,2,4,4,2,3,4,5,3,2,2,1
8,3,4,6,5,5,5,4,3,3,7,8,3,5,5,5,5,2,3,2,1
9,3,3,3,5,5,5,4,6,9,3,6,4,5,3,1,3,3,3,3,1
10,1,3,3,3,6,3,5,5,6,11,6,4,5,6,3,3,6,5,2,2
11,2,4,3,2,4,5,4,3,4,6,7,2,6,6,5,2,4,2,1,0
12,3,2,6,3,7,6,6,4,3,8,3,6,5,3,5,2,4,2,0,1
13,4,2,2,4,5,1,9,3,3,4,3,7,1,6,4,3,4,2,2,1
14,2,3,4,3,6,5,6,4,3,5,3,5,4,3,4,3,3,1,0,0
15,2,2,1,3,2,2,4,2,2,3,4,2,2,6,6,3,4,5,1,1
16,1,1,4,2,4,6,3,6,4,4,4,4,2,5,3,3,2,3,1,0
17,0,1,1,1,1,1,3,5,3,3,4,5,3,2,3,2,1,0,0,0
18,1,0,0,1,3,2,3,4,2,4,3,2,4,2,2,4,2,0,0,0
19,0,0,0,0,1,0,2,1,2,1,2,3,5,4,1,0,0,0,0,0
