,alg_name,iteration,cont_size,evals,nb_updated,avg,std,min,max,ft_min,ft_max,qd_score,elapsed
0,algoQD,0,57/400,100,72,[0.6287],[0.2891],[0.0154],[0.9997],"[-5.0026,-8.9952]","[8.7189,5.7548]",35.83,791.98
1,algoQD,1,85/400,100,46,[0.6419],[0.2981],[0.0154],[0.9997],"[-8.9195,-8.9952]","[8.7189,5.7548]",54.57,397.45
2,algoQD,2,103/400,100,41,[0.6747],[0.2961],[0.0154],[0.9997],"[-9.0406,-8.9952]","[8.7189,6.1572]",69.49,413.59
3,algoQD,3,122/400,100,32,[0.6919],[0.2838],[0.0154],[0.9997],"[-9.0406,-8.9952]","[8.7189,7.4473]",84.41,414.07
4,algoQD,4,136/400,100,36,[0.7102],[0.2827],[0.0154],[0.9997],"[-9.0406,-9.5945]","[8.7189,9.9445]",96.59,422.17
5,algoQD,5,157/400,100,36,[0.7223],[0.2762],[0.0133],[0.9997],"[-9.0406,-9.6535]","[9.9999,9.9445]",113.40,417.38
6,algoQD,6,173/400,100,33,[0.7365],[0.265],[0.0133],[0.9997],"[-9.0406,-9.6535]","[9.9999,9.9445]",127.42,414.84
7,algoQD,7,187/400,100,25,[0.7481],[0.2531],[0.0133],[0.9997],"[-9.0406,-9.6535]","[9.9999,9.9445]",139.89,414.67
8,algoQD,8,199/400,100,27,[0.7576],[0.2405],[0.0133],[0.9997],"[-9.0406,-9.6535]","[9.9999,9.9445]",150.76,417.59
9,algoQD,9,209/400,100,29,[0.7708],[0.2288],[0.0133],[0.9997],"[-9.4518,-9.6535]","[9.9999,9.9445]",161.11,421.33
10,algoQD,10,219/400,100,30,[0.7796],[0.2222],[0.0133],[0.9997],"[-9.4518,-9.6535]","[9.9999,9.9445]",170.73,415.81
11,algoQD,11,227/400,100,22,[0.7783],[0.2231],[0.0133],[0.9997],"[-9.4518,-9.6535]","[9.9999,9.9445]",176.69,417.91
12,algoQD,12,232/400,100,25,[0.79],[0.2218],[0.0074],[0.9997],"[-9.4518,-9.6535]","[9.9999,9.9445]",183.28,418.07
13,algoQD,13,242/400,100,22,[0.7861],[0.2294],[0.0074],[0.9997],"[-9.4518,-9.6535]","[9.9999,9.9445]",190.24,420.16
14,algoQD,14,246/400,100,23,[0.794],[0.2274],[0.0074],[0.9998],"[-9.4518,-9.6535]","[9.9999,9.9445]",195.33,419.56
15,algoQD,15,253/400,100,29,[0.8068],[0.2145],[0.0074],[0.9998],"[-9.4518,-9.6535]","[9.9999,9.9445]",204.11,420.08
16,algoQD,16,257/400,100,12,[0.8071],[0.21],[0.0074],[0.9998],"[-9.4518,-9.6535]","[9.9999,9.9445]",207.41,419.62
17,algoQD,17,263/400,100,20,[0.8098],[0.211],[0.0074],[0.9998],"[-9.4518,-9.6535]","[9.9999,9.9445]",212.99,418.80
18,algoQD,18,274/400,100,18,[0.8023],[0.2127],[0.0397],[0.9998],"[-9.4518,-9.6535]","[9.9999,9.9445]",219.84,418.14
19,algoQD,19,277/400,100,22,[0.8106],[0.2038],[0.0397],[0.9998],"[-9.4518,-9.6535]","[9.9999,9.9445]",224.54,423.47
20,algoQD,20,287/400,100,21,[0.8147],[0.2035],[0.0397],[0.9999],"[-9.4518,-9.6535]","[9.9999,9.9445]",233.83,424.74
21,algoQD,21,293/400,100,27,[0.8241],[0.2013],[0.0397],[0.9999],"[-9.4518,-9.6535]","[9.9999,9.9445]",241.46,422.72
22,algoQD,22,300/400,100,18,[0.8291],[0.1997],[0.0397],[0.9999],"[-9.4518,-9.6535]","[9.9999,9.9445]",248.73,424.62
23,algoQD,23,300/400,100,19,[0.839],[0.19],[0.0397],[0.9999],"[-9.4518,-9.6535]","[9.9999,9.9445]",251.70,424.38
24,algoQD,24,302/400,100,15,[0.8422],[0.1877],[0.0397],[0.9999],"[-9.4518,-9.6535]","[9.9999,9.9445]",254.33,423.16
25,algoQD,25,309/400,100,19,[0.8423],[0.1889],[0.0397],[0.9999],"[-9.4518,-9.6535]","[9.9999,9.9445]",260.28,432.26
26,algoQD,26,315/400,100,22,[0.85],[0.1817],[0.0397],[0.9999],"[-9.4518,-9.6535]","[9.9999,9.9445]",267.76,428.64
27,algoQD,27,322/400,100,16,[0.8487],[0.1846],[0.0397],[0.9999],"[-9.4518,-9.6535]","[9.9999,9.9445]",273.28,471.32
28,algoQD,28,328/400,100,17,[0.848],[0.1873],[0.0018],[0.9999],"[-9.4518,-9.6535]","[9.9999,9.9445]",278.15,523.97
29,algoQD,29,329/400,100,15,[0.8544],[0.1773],[0.0397],[0.9999],"[-9.4518,-9.8869]","[9.9999,9.9445]",281.09,519.60
30,algoQD,30,333/400,100,18,[0.8581],[0.1747],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.9445]",285.74,521.53
31,algoQD,31,334/400,100,13,[0.8633],[0.1706],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.9445]",288.35,519.96
32,algoQD,32,341/400,100,14,[0.8641],[0.1669],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.9445]",294.65,520.34
33,algoQD,33,344/400,100,19,[0.8663],[0.1693],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.9445]",298.00,520.35
34,algoQD,34,345/400,100,16,[0.8701],[0.1693],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.9445]",300.19,519.34
35,algoQD,35,346/400,100,17,[0.8726],[0.1738],[0.0062],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.9445]",301.92,517.08
36,algoQD,36,349/400,100,10,[0.8736],[0.1726],[0.0062],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.9445]",304.90,520.75
37,algoQD,37,348/400,100,17,[0.8739],[0.1745],[0.0062],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.9445]",304.10,516.01
38,algoQD,38,349/400,100,12,[0.8752],[0.1738],[0.0062],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.8680]",305.44,521.81
39,algoQD,39,350/400,100,8,[0.8763],[0.1734],[0.0062],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.8680]",306.72,509.28
40,algoQD,40,352/400,100,17,[0.8812],[0.167],[0.0062],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.8680]",310.17,516.86
41,algoQD,41,353/400,100,16,[0.885],[0.1623],[0.0062],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.7874]",312.40,515.15
42,algoQD,42,354/400,100,11,[0.8882],[0.1555],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.7874]",314.43,513.27
43,algoQD,43,354/400,100,11,[0.892],[0.1502],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.7874]",315.76,519.74
44,algoQD,44,356/400,100,9,[0.8914],[0.152],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.7874]",317.35,521.97
45,algoQD,45,357/400,100,14,[0.8928],[0.1515],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.7874]",318.72,521.90
46,algoQD,46,359/400,100,10,[0.8931],[0.1524],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.7874]",320.64,518.36
47,algoQD,47,361/400,100,7,[0.8937],[0.152],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.7874]",322.61,516.52
48,algoQD,48,362/400,100,12,[0.8958],[0.1502],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.9999,9.7874]",324.29,516.53
49,algoQD,49,362/400,100,8,[0.9],[0.1444],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.8430,9.7874]",325.79,515.78
50,algoQD,50,364/400,100,13,[0.9013],[0.1435],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.8430,9.7874]",328.06,510.30
51,algoQD,51,366/400,100,7,[0.8992],[0.1472],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.8430,9.7874]",329.12,517.56
52,algoQD,52,366/400,100,9,[0.9012],[0.1438],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.8430,9.7874]",329.84,517.88
53,algoQD,53,365/400,100,12,[0.9043],[0.1426],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.8220,9.7874]",330.05,514.08
54,algoQD,54,365/400,100,15,[0.9072],[0.1396],[0.0193],[0.9999],"[-9.9130,-9.8869]","[9.8220,9.7874]",331.14,517.10
55,algoQD,55,365/400,100,8,[0.9118],[0.1319],[0.0397],[0.9999],"[-9.9130,-9.8869]","[9.8220,9.7874]",332.80,512.08
56,algoQD,56,365/400,100,7,[0.9133],[0.1293],[0.0397],[0.9999],"[-9.9130,-9.8869]","[9.8220,9.7874]",333.36,510.76
57,algoQD,57,366/400,100,4,[0.9142],[0.1281],[0.0397],[0.9999],"[-9.9130,-9.8869]","[9.8220,9.7874]",334.61,509.31
58,algoQD,58,366/400,100,11,[0.918],[0.121],[0.0397],[0.9999],"[-9.9130,-9.8869]","[9.8220,9.7874]",336.00,510.79
59,algoQD,59,368/400,100,17,[0.9198],[0.119],[0.0397],[0.9999],"[-9.9130,-9.8869]","[9.7020,9.7874]",338.49,508.35
60,algoQD,60,368/400,100,7,[0.9213],[0.1188],[0.0397],[0.9999],"[-9.9130,-9.8869]","[9.7020,9.7874]",339.03,511.33
61,algoQD,61,367/400,100,11,[0.9232],[0.1161],[0.0397],[0.9999],"[-9.9130,-9.8869]","[9.7020,9.7874]",338.83,511.93
62,algoQD,62,368/400,100,8,[0.923],[0.1165],[0.0397],[0.9999],"[-9.9130,-9.8869]","[9.7020,9.7874]",339.67,511.94
63,algoQD,63,368/400,100,5,[0.924],[0.1155],[0.0397],[0.9999],"[-9.9130,-9.8869]","[9.7020,9.7874]",340.03,516.07
64,algoQD,64,368/400,100,7,[0.9274],[0.1056],[0.0674],[0.9999],"[-9.9130,-9.8869]","[9.9373,9.7874]",341.27,504.65
65,algoQD,65,368/400,100,9,[0.9286],[0.1047],[0.0674],[0.9999],"[-9.9130,-9.9101]","[9.9373,9.7874]",341.74,511.89
66,algoQD,66,370/400,100,7,[0.9267],[0.1117],[0.0674],[0.9999],"[-9.9130,-9.9101]","[9.9373,9.7874]",342.89,506.81
67,algoQD,67,370/400,100,7,[0.9279],[0.1109],[0.0674],[0.9999],"[-9.9130,-9.9101]","[9.9373,9.7874]",343.31,515.31
