,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[(-9.181628, -9.226952)]",[],"[(-9.980842, -7.5912414)]","[(-9.455317, -6.2402735)]",[],"[(-9.067021, -4.258003)]","[(-9.156096, -3.6934552)]","[(-9.545515, -2.2251613)]","[(-9.002148, -1.5558134)]","[(-9.331142, -0.73369586)]","[(-9.517034, 0.88487744)]","[(-9.68234, 1.0959677)]","[(-9.078683, 2.378721)]","[(-9.170625, 3.1328678)]","[(-9.541845, 4.6920166)]","[(-9.760014, 5.34108)]","[(-9.163928, 6.740998)]","[(-9.717105, 7.1337376)]","[(-9.792391, 8.458637)]",[]
1,"[(-8.439132, -9.12164)]","[(-8.101268, -8.316269)]","[(-8.738139, -7.7706385)]","[(-8.062811, -6.081221)]","[(-8.918732, -5.194603)]","[(-8.809762, -4.7077637)]","[(-8.325085, -3.4633574)]","[(-8.768256, -2.8408213)]","[(-8.651206, -1.0925521)]","[(-8.222683, -0.7851608)]","[(-8.193141, 0.43298894)]","[(-8.538949, 1.6709496)]","[(-8.334018, 2.6083817)]","[(-8.998143, 3.7299948)]","[(-8.765837, 4.274734)]","[(-8.260907, 5.793187)]","[(-8.620732, 6.4248424)]","[(-8.700767, 7.6053696)]","[(-8.063151, 8.309137)]","[(-8.099925, 9.0255995)]"
2,"[(-7.0918603, -9.375003)]","[(-7.955114, -8.995472)]","[(-7.987469, -7.0990863)]","[(-7.8757195, -6.077559)]","[(-7.288569, -5.5493007)]","[(-7.8384295, -4.664106)]","[(-7.9476147, -3.0841615)]","[(-7.115557, -2.3971004)]","[(-7.509839, -1.5488256)]","[(-7.8368235, -0.64565027)]","[(-7.111389, 0.1280726)]","[(-7.077619, 1.538932)]","[(-7.676485, 2.2167583)]","[(-7.100373, 3.5113997)]","[(-7.3043914, 4.6506567)]","[(-7.808054, 5.634726)]","[(-7.149825, 6.296588)]",[],"[(-7.9057417, 8.670174)]",[]
3,"[(-6.65674, -9.294223)]","[(-6.2258954, -8.408264)]","[(-6.4674115, -7.334486)]","[(-6.004733, -6.7567577)]","[(-6.806798, -5.0473514)]","[(-6.551335, -4.4939265)]","[(-6.052724, -3.625509)]","[(-6.421225, -2.8825693)]","[(-6.887015, -1.9019611)]","[(-6.359914, -0.8757447)]","[(-6.3861537, 0.022091586)]","[(-6.2410474, 1.560483)]","[(-6.0935254, 2.1571295)]","[(-6.2881265, 3.18785)]","[(-6.061983, 4.3862433)]","[(-6.401143, 5.09419)]","[(-6.9569807, 6.6947036)]","[(-6.0557475, 7.648802)]","[(-6.1775885, 8.5076475)]","[(-6.0409775, 9.830852)]"
4,"[(-5.923038, -9.304794)]","[(-5.8796344, -8.156022)]","[(-5.9517446, -7.23317)]","[(-5.6692147, -6.4265046)]","[(-5.721726, -5.624932)]","[(-5.8205276, -4.881214)]","[(-5.6113424, -3.6791785)]","[(-5.1018877, -2.7118227)]","[(-5.62336, -1.7987397)]","[(-5.196278, -0.90839547)]","[(-5.7515154, 0.8434172)]","[(-5.57284, 1.1465662)]","[(-5.288173, 2.0072165)]","[(-5.9058003, 3.4248896)]","[(-5.6885505, 4.0603614)]","[(-5.4190216, 5.941873)]","[(-5.959513, 6.7053175)]","[(-5.937663, 7.1998544)]","[(-5.2827725, 8.934515)]","[(-5.5964656, 9.640325)]"
5,"[(-4.4188623, -9.710256)]","[(-4.0822296, -8.106485)]","[(-4.2188206, -7.110319)]","[(-4.6583815, -6.095139)]","[(-4.12904, -5.513186)]","[(-4.8936777, -4.402248)]","[(-4.129565, -3.893738)]","[(-4.710018, -2.3498602)]","[(-4.8669243, -1.0405608)]","[(-4.88446, -0.56104475)]","[(-4.3448224, 0.3402516)]","[(-4.97829, 1.3707495)]","[(-4.812872, 2.676229)]","[(-4.650058, 3.6514418)]","[(-4.955634, 4.3811655)]","[(-4.437108, 5.476625)]","[(-4.077601, 6.2759676)]","[(-4.23036, 7.733064)]","[(-4.6601224, 8.375831)]","[(-4.2239733, 9.723762)]"
6,"[(-3.8188515, -9.228191)]","[(-3.9969544, -8.740304)]","[(-3.786066, -7.176066)]","[(-3.1013668, -6.229495)]","[(-3.6819816, -5.3171425)]","[(-3.7324364, -4.724773)]","[(-3.0499055, -3.5403771)]","[(-3.9948902, -2.391855)]","[(-3.1180165, -1.8351367)]","[(-3.1217802, -0.7029353)]","[(-3.049572, 0.882643)]","[(-3.3511055, 1.7424395)]","[(-3.9663818, 2.1656816)]","[(-3.025908, 3.288124)]","[(-3.1872451, 4.731729)]","[(-3.8171527, 5.8318763)]","[(-3.4626634, 6.9224896)]","[(-3.7252803, 7.3390436)]","[(-3.3568845, 8.760614)]","[(-3.9864097, 9.159135)]"
7,"[(-2.885246, -9.272563)]","[(-2.510195, -8.281177)]","[(-2.9147105, -7.8402987)]","[(-2.035542, -6.088577)]","[(-2.3631005, -5.876328)]","[(-2.3075354, -4.8194637)]","[(-2.8289013, -3.1569347)]","[(-2.1912806, -2.4918883)]","[(-2.110153, -1.1277959)]","[(-2.934851, -0.5727478)]","[(-2.0368714, 0.96507865)]","[(-2.674245, 1.045243)]","[(-2.8047647, 2.9426594)]","[(-2.353314, 3.3568482)]","[(-2.8884099, 4.091325)]","[(-2.3086252, 5.8960752)]","[(-2.994202, 6.9137263)]","[(-2.7326581, 7.2798486)]","[(-2.3379686, 8.733949)]","[(-2.1346176, 9.514377)]"
8,"[(-1.198761, -9.44004)]","[(-1.7179424, -8.04401)]","[(-1.317772, -7.354949)]","[(-1.3035905, -6.221047)]","[(-1.2702198, -5.9518237)]","[(-1.9024681, -4.7408915)]","[(-1.5563762, -3.242067)]","[(-1.0424645, -2.1366234)]","[(-1.686735, -1.7646422)]","[(-1.179165, -0.6413431)]","[(-1.0338032, 0.75040704)]","[(-1.0625232, 1.6113416)]","[(-1.2845569, 2.308727)]","[(-1.6519849, 3.7172627)]","[(-1.5236921, 4.260328)]","[(-1.2602, 5.6102114)]","[(-1.9043708, 6.084991)]","[(-1.7369497, 7.0654855)]","[(-1.5638467, 8.577855)]","[(-1.3124299, 9.272974)]"
9,"[(-0.75379467, -9.339167)]","[(-0.95147175, -8.949304)]","[(-0.7421696, -7.517648)]","[(-0.014756004, -6.2510653)]","[(-0.40463674, -5.767743)]","[(-0.13189822, -4.5487585)]","[(-0.8149784, -3.5136282)]","[(-0.10699827, -2.2057443)]","[(-0.8132266, -1.0627233)]","[(-0.27249306, -0.5945379)]","[(-0.04683344, 0.052062176)]","[(-0.49393415, 1.5533245)]","[(-0.2482141, 2.9358277)]","[(-0.97095186, 3.2364671)]","[(-0.45429894, 4.810163)]","[(-0.27134874, 5.0011272)]","[(-0.6379469, 6.516096)]","[(-0.50696856, 7.9000993)]","[(-0.8652199, 8.724695)]","[(-0.756566, 9.9971895)]"
